"Title","views","Publisher","Time","Duration","Like","Dislike"
"LOREDANA X ZUNA - DU BIST MEIN (prod by SRNO)","931,452 views",,,"2:28","106K","10K"
"AK AUSSERKONTROLLE x SHINDY - HOOD (prod. OZ & Nils)","226,164 views",,,"3:27","34K","1.9K"
"Ufo361 - ""Allein sein""","417,414 views",,,"2:37","93K","1.1K"
"Mois ft. ???? & ???? VORBEI (prod. by Aside & HNDRX)","244,198 views",,,"3:24","52K","1.7K"
"LUCIANO - TRIPPIN","346,488 views",,,"3:11","66K","774"
"Kontra K -  Puste sie weg (Official Video)","315,054 views",,,"3:24","74K","512"
"Schlägt Tonis Herz doch für Connor? 💓🤔 #2160 | Berlin - Tag & Nacht","503,364 views",,,"15:12","20K","481"
"Gefühlschaos! 🤯😵 Ben oder Oskar? #1831 | Köln 50667","317,370 views",,,"13:52","8.6K","181"
"FARID BANG  - ""QUAVO"" [official Video]","164,814 views",,,"2:18","27K","370"
"LIL LANO - KEIN GRUND (Official Video)","358,163 views",,,"3:00","61K","1.4K"
"Mein neuer Freund ist ein Knacki?! 😍 | Hilf Mir!","157,555 views",,,"15:54","5.5K","300"
"Nintendo Direct Mini 3.26.20","2,951,463 views",,,"28:55","103K","7.5K"
"Corona: Was weiß die Wissenschaft? – Leschs Kosmos [Ganze TV-Folge] | Harald Lesch","465,538 views",,,"43:36","12K","1.1K"
"BUNDESLIGA CHALLENGE - BAYERN VS DORTMUND FREISTOß BATTLE!","88,995 views",,,"11:09","8.2K","227"
"NGEE & NIMO - YA MAS5ARA ( prod. HEKU)  [Official Video]","103,926 views",,,"2:41","17K","227"
"JP Performance - Boost Wars 2.0 | Nissan GT-R R35","530,743 views",,,"27:17","23K","501"
"FRAG EINEN STREAMER | Papaplatte über Domo, Kleinwüchsige, Cash & Community","356,563 views",,,"18:47","44K","428"
"Joyner Lucas - Will (ADHD)","5,302,105 views",,,"3:59","475K","5K"
"Tränen in den Augen: Sarah Lombardi singt Pietros neuen Song","948,475 views",,,"3:41","19K","1.5K"
"Ein wenig Zeit musste vergehen - Der Oldtimer Teilemarkt bei Jaco","116,306 views",,,"16:05","8.6K","29"
"Antoine versteckt sich im Wald wegen Corona und Chelene","594,786 views",,,"9:33","28K","864"
"Semmel VS. Brötchen","961,990 views",,,"2:34","125K","508"
"10 MIN SIXPACK WORKOUT - Let's train together / No Equipment I Pamela Reif","397,513 views",,,"12:15","13K","247"
"Top 10 Moments Of F1 Safety Car Chaos","492,967 views",,,"6:01","15K","125"
"Krasse Fressattacken: Wieso kann die Schülerin nicht aufhören zu essen? | Die Familienhelfer | SAT.1","135,782 views",,,"11:06","3.5K","191"
"Chefs & Kollegen beeindrucken: Beste Hintergründe für Video-Calls! | Late Night Berlin | ProSieben","202,184 views",,,"6:55","6.2K","273"
"Ärztin muss Schülerin trösten: Wieso weint sie so bitterlich? | Klinik am Südring | SAT.1","83,913 views",,,"15:24","1.8K","51"
"Verkohlte Nudeln! Finales Testessen endet im Chaos | 7/7 | Rosins Restaurants | Kabel Eins","157,486 views",,,"16:25","2.2K","102"
"ANASTASIJA - VOLIM TE (OFFICIAL VIDEO)","2,944,186 views",,,"3:10","89K","4.2K"
"Real wieder an Haaland dran! Götze zu Bayer? | TransferKickz","74,336 views",,,"13:43","2.9K","96"
"Meine neue Frühlingskollektion.. (PESO Basic Instinct)","220,547 views",,,"13:27","27K","764"
"Cricket ft Dafina Zeqiri - Nje here ne jete (Official Music Video)","1,626,645 views",,,"3:12","29K","659"
"Die 5 TRAURIGSTEN YouTube-Trennungen! - Teil 3 | TOP 5","199,287 views",,,"11:00","11K","252"
"Wie ist das UNTER BODY SHAMING ZU LEIDEN?","171,103 views",,,"13:29","9.4K","350"
"SDP - Die Nacht von Freitag auf Montag (Corona Edition)","583,798 views",,,"3:37","46K","636"
