"Title","views","Publisher","Time","Duration","Like","Dislike"
"Nintendo Direct Mini 3.26.20","3,129,181 views",,,"28:55","107K","8.2K"
"‘People Are Dying’: Battling Coronavirus Inside a N.Y.C. Hospital | NYT News","2,747,083 views",,,"5:33","54K","3.4K"
"J’avais que ça sous la main mais j’ai adoré","2,878,191 views",,,"13:11","349K","4.8K"
"PSA Safe Grocery Shopping in COVID-19 Pandemic – UPDATED!!!","12,599,571 views",,,"13:31","140K","3.4K"
"Lil Mosey - Blueberry Faygo (Dir. by @_ColeBennett_)","3,935,743 views",,,"3:00","395K","9.5K"
"NAV & Gunna - Turks feat. Travis Scott (Official Audio)","369,702 views",,,"2:41","60K","384"
"Bill Gates: Returning to normal life in April is not realistic","995,458 views",,,"10:51","15K","1.8K"
"SCARING KEVIN HART WITH A SNAKE!! (FREAKOUT)","7,319,501 views",,,"5:26","470K","4.7K"
"Kim & Kourtney's Feud Gets Physical: ""KUWTK"" Katch-Up (S18, E1) | E!","924,841 views",,,"3:21","17K","964"
"KSI - Poppin (feat. Lil Pump & Smokepurpp)","1,513,084 views",,,"3:32","246K","8.7K"
"Joyner Lucas - Will (ADHD)","5,546,737 views",,,"3:59","496K","5.2K"
"Dua Lipa - Break My Heart (Official Video)","4,816,809 views",,,"3:49","616K","6.6K"
"PARTYNEXTDOOR & Rihanna - BELIEVE IT (Official Audio)","559,798 views",,,"3:03","65K","699"
"Coronavirus Deaths Are Skyrocketing in Spain","660,287 views",,,"5:12","9.8K","351"
"Selena Gomez - Dance Again (Performance Video)","2,521,934 views",,,"2:48","333K","5.7K"
"Backyard Underground Bunker Tour/Update 5 years on","2,960,639 views",,,"10:01","168K","1.6K"
"Huawei P40 Pro Impressions: What We Should Copy!","1,989,609 views",,,"11:04","69K","3K"
"President Trump and Coronavirus Task Force Hold Press Briefing | TIME","836,775 views",,,"1:11:07","4.4K","1.7K"
"Machine Gun Kelly & Travis Barker - Misery Business (Paramore Cover)","863,772 views",,,"3:23","65K","1.9K"
"Who Won My Best Friend's Heart? *REVEAL | Twin My Heart w/ The Merrell Twins Season 2 EP 6 Pt 2","660,363 views",,,"35:35","41K","808"
"Sober Convos 4: Crushes and The Perfect Relationship","765,233 views",,,"8:48","66K","594"
"Ice Cream Taste Test Tournament (Day 4)","1,095,226 views",,,"14:57","36K","655"
"Update on COVID-19 - March 26, 2020","62,005 views",,,"31:11","Like","Dislike"
"I have a BIG announcement...","510,104 views",,,"2:56","43K","795"
"Huawei P40 Pro Unboxing and Camera Test","497,627 views",,,"11:20","21K","739"
"Jimmy Kimmel’s Quarantine Minilogue – Friends Trivia with Courteney Cox","1,327,610 views",,,"16:35","21K","990"
"Bartenders Match the Drink to the Person | Lineup | Cut","540,196 views",,,"13:22","22K","174"
"How we must respond to the COVID-19 pandemic | Bill Gates","1,062,319 views",,,"51:50","28K","1.9K"
"Hello (from the Inside) An Adele Parody by Chris Mann","158,269 views",,,"4:51","5.9K","69"
"WINNER - '뜸(Hold)' M/V","2,834,680 views",,,"4:19","420K","5.1K"
"Hot Ones: Quarantine Update | Hot Ones","1,073,774 views",,,"5:45","51K","488"
"A New Chapter..","1,239,189 views",,,"14:17","103K","1.2K"
"Doctor Recommends Strict Measures To Curb Coronavirus In U.S. | Morning Joe | MSNBC","264,458 views",,,"10:20","2.7K","195"
"Bassassin - Fortnite Shorts","658,915 views",,,"0:31","44K","1.1K"
"DDG - Toxic (Audio)","135,855 views",,,"2:36","27K","239"
"More Gigantamax action comes to the Pokémon Sword and Pokémon Shield Expansion Pass!","442,700 views",,,"2:15","21K","836"
"I spent a day with FACELESS YOUTUBERS (ft. SwaggerSouls, Corpse Husband, BlackySpeakz)","833,284 views",,,"23:17","71K","636"
"The Morons Of Coronavirus","2,763,851 views",,,"15:44","238K","10K"
"An Unexpected Apology, Charli D'Amelio Coronavirus Challenge, Last Minute Stimulus Problem Emerges","895,945 views",,,"15:12","41K","1.2K"
"Fixing Our Cheap (And Broken) Exotic Cars Was A Complete DISASTER","1,126,488 views",,,"18:29","50K","1.7K"
"YBN Nahmir - 2 Seater (feat. G Eazy & Offset) [Official Music Video]","925,586 views",,,"3:41","74K","1.2K"
"FIXING THE 300LBS POWER HAMMER!!! Part 3","614,072 views",,,"12:20","27K","275"
"A BRAND NEW GAME SHOW ft. SIDEMEN","1,355,051 views",,,"28:03","89K","1K"
"FaZe Clan Challenged By A Professional Basketball Player","628,999 views",,,"20:32","29K","335"
"Why Doesn't NASA Launch Trash Into the Sun","273,609 views",,,"9:03","7.8K","317"
