Title length,Description length,View Count,Like Count,Dislike Count,Comment Count,month,year
8,8,92787,370,78,8,3,2020
7,28,447285,13430,661,1226,3,2020
11,28,19902,268,33,12,3,2020
5,5,2602224,77558,3927,2678,3,2020
18,25,738220,3524,766,111,3,2020
38,43,380016,1135,234,44,3,2020
76,29,67688,677,56,21,3,2020
66,72,1482306,8145,2033,157,3,2020
17,25,74695,433,103,16,3,2020
11,27,733024,6672,954,329,10,2019
32,22,141650,8488,500,202,3,2020
16,27,34614074,328070,15817,21159,9,2018
19,19,294606,1557,273,57,3,2020
8,0,8219054,79370,5595,2937,7,2017
64,70,2934344,15965,3630,416,3,2020
11,30,131305,9082,1003,1053,3,2020
9,28,417571,17727,323,1307,3,2020
21,25,6334547,19139,5447,432,12,2019
9,24,621665,8431,223,525,2,2020
45,97,6764262,42854,9176,856,3,2020
5,27,327116,5241,525,468,3,2020
11,32,841685,28526,879,321,3,2020
28,34,86529,222,52,10,3,2020
12,23,512794,1961,475,45,2,2020
17,20,245566,1013,238,53,3,2020
8,21,50088,2852,59,399,3,2020
8,26,47170,2380,38,50,3,2020
16,27,232629,1196,259,52,3,2020
13,19,3145734,38804,1585,1121,8,2018
7,5,4886,237,1,53,3,2020
33,48,27409220,70614,15463,1442,5,2019
13,29,4128296,87643,3313,3784,11,2019
37,43,455810,1811,361,43,3,2020
28,38,80016,1459,98,54,3,2020
11,22,413831,6560,390,166,3,2020
7,16,473284,2646,659,364,2,2019
18,25,4756433,16962,4581,242,2,2020
14,24,10440182,37345,9608,465,1,2020
11,25,8177955,95214,4101,2540,4,2018
10,29,41401,1050,17,42,3,2020
85,124,169952,1598,194,25,3,2020
8,2,3989810,17004,2830,239,1,2020
7,26,1375522,38587,575,632,2,2020
13,21,7232230,47805,3801,472,12,2019
12,24,1338867,13716,581,498,8,2018
11,28,322531,5893,339,334,2,2020
44,28,576188,6285,363,75,3,2020
88,99,37531520,226612,19360,4597,9,2019
10,21,4372583,12160,2631,261,1,2020
68,74,1060392,8520,1586,250,3,2020
17,22,1153126,3660,1241,86,2,2020
13,28,1675154,10971,841,216,1,2020
55,19,132547,1656,244,NA,3,2020
16,27,440932,1936,461,86,2,2020
35,83,74941,919,58,27,3,2020
10,29,1816064,56079,1303,2070,9,2019
42,55,1130732,5792,909,109,3,2020
52,22,126884,3353,153,99,3,2020
13,21,3023915,4339,911,137,7,2016
69,75,5714320,21772,6333,474,3,2020
21,25,217813,1007,279,24,2,2020
45,58,6811336,19039,4582,344,1,2020
21,26,56827,3399,53,119,3,2020
6,28,2348760,47773,1436,2377,2,2020
4,19,1297060,30223,1824,3116,2,2020
4,19,2009533,49865,1859,4150,2,2020
6,15,57836,442,40,36,3,2020
12,30,151201,8215,106,354,2,2020
13,27,25460,522,25,28,2,2020
35,83,33885,346,30,14,3,2020
8,26,344914,40163,243,364,3,2020
7,29,2450140,22522,1125,972,9,2018
7,24,1247803,40253,765,2393,2,2020
59,65,5178725,22043,5425,443,3,2020
46,88,14839835,72036,19440,996,2,2020
12,24,1038234,6292,648,117,2,2020
45,118,3621506,19723,4103,417,3,2020
11,23,1179493,3380,941,91,2,2020
4,19,1756879,44675,1863,4723,2,2020
70,88,307202,11573,1209,NA,3,2020
9,29,1840813,50754,1253,3610,2,2020
45,112,10280521,51797,10790,1291,2,2020
10,0,1593422,8619,1548,458,9,2018
9,22,436531,16327,190,917,2,2020
73,78,934627,7022,1282,183,3,2020
12,28,20703895,112935,16427,2959,10,2019
60,66,1031794,7425,1462,206,3,2020
54,95,27210285,115653,36759,923,2,2020
8,24,992600,48230,1944,896,2,2020
13,23,8798993,34723,11247,472,2,2020
18,17,924984,4953,1092,177,2,2020
56,91,7394766,41497,9404,721,2,2020
12,27,24275,448,19,21,3,2020
12,14,124856,1319,113,NA,3,2020
56,66,5206607,19287,5250,474,3,2020
7,31,1712762,45787,803,1890,2,2020
12,16,197173,1921,173,85,2,2020
40,122,8198,61,11,11,3,2020
44,170,484565,10271,1017,338,3,2020
12,27,4551343,34509,2707,1949,12,2019
14,19,10903,865,23,194,3,2020
10,26,253565,9591,378,177,3,2020
10,7,5047906,78988,5879,1591,3,2020
12,14,2398764,35644,1822,1823,9,2018
67,73,2631716,12187,3449,381,3,2020
98,102,14561,423,12,25,3,2020
9,9,367605,1214,310,20,3,2020
104,22,14759,874,26,145,3,2020
12,16,29505,860,80,21,3,2020
15,21,20097,104,20,9,3,2020
9,35,1297134,36484,1125,1473,1,2020
9,28,360602,6848,560,765,1,2020
53,62,7349559,22728,7529,400,2,2020
