title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
9,27,1593190,33969,1338,1472
3,28,12627764,129967,4253,3605
6,30,905720,11555,390,108
5,30,616369,6579,449,128
16,30,966949,17773,975,1394
15,19,19764114,134717,10319,3514
8,21,15275,318,16,34
7,9,572556,1142,120,131
12,22,19174,237,9,27
18,29,1873864,32360,1846,2881
9,28,3239,20,0,0
6,16,5601,21,6,0
11,27,0,0,0,0
17,24,69416,246,42,49
6,18,21575,393,14,50
8,27,1994,3,5,2
7,29,8244,28,15,8
16,19,1134,19,1,5
8,23,3098,44,6,9
7,29,818,2,0,1
5,22,114,1,0,0
9,19,410,3,0,0
79,36,11,3,0,2
9,26,28441225,470176,9375,21195
6,25,18581505,136419,13047,4837
14,18,42543903,207433,18617,6499
5,29,5602851,67025,4693,1436
14,26,18232084,192885,14909,3887
5,26,17357922,413261,9402,13795
6,23,2148928,45484,945,1100
13,30,15118004,39194,15775,NA
13,27,4936568,95668,4106,6612
13,24,24938361,505527,15401,27697
4,18,26424537,225891,16029,4523
9,27,6674520,49891,4200,2097
8,29,3764924,39944,2707,945
7,23,21249084,403268,14737,18938
6,26,9412446,62518,9648,1852
7,31,14772498,86828,24557,8273
14,19,43794034,1055830,31527,72096
17,29,11811539,320639,9399,22571
15,31,30634559,214228,18184,6689
7,25,10864877,61862,14845,6775
10,28,1563911,26897,8401,7813
15,30,118607788,506942,87229,15070
13,28,80537892,155974,63261,NA
13,19,1648737,12254,1535,518
6,18,2683617,44505,1092,1369
17,28,4154964,28192,1440,480
26,25,13300,915,26,204
7,33,68282527,126542,48466,NA
10,21,3165749,66566,6510,4829
9,28,38815863,219025,30553,6531
9,25,2314141,37436,788,1062
9,30,15403054,57562,17909,4368
9,20,12116450,66252,8297,NA
10,26,204007,2358,235,95
9,23,136450,6681,98,893
15,28,22747171,173598,13452,7648
11,23,9366196,47805,11850,1521
13,27,4171120,25299,1449,557
11,30,1906268,37360,2530,5213
9,28,5622,481,6,54
17,29,36654258,100365,49473,460
11,31,677612,22752,479,825
3,28,3708396,NA,NA,23941
12,22,39767299,333422,111411,31855
16,27,9279489,157583,6131,5087
10,21,1952643,31260,679,580
10,27,13993246,53204,16748,505
11,27,5698713,42934,9513,11766
10,29,353949,11574,184,889
16,22,2611587,64942,2711,3370
10,16,98250168,221961,107020,2529
5,34,645977,48858,13069,4084
10,33,9725753,45858,7824,1585
11,25,345702,2263,935,NA
11,32,3112,386,3,47
14,33,369894,13097,460,967
11,26,306263,1244,375,34
11,32,172512,5065,276,559
13,27,2028634,47816,1770,1973
10,28,24191392,479851,21980,61039
11,23,2756991,13140,2859,347
17,22,954816,77676,854,7174
9,29,3244892,26087,3593,1394
8,25,314234,5035,149,129
13,23,13115563,145082,5162,12159
4,26,6903992,235022,3623,16261
10,26,1768359,9427,3563,745
14,0,24778,539,19,155
12,14,177539,5684,126,226
9,19,2771015,7122,2423,NA
10,16,449658,6147,191,184
7,24,26785,1620,32,211
17,14,468628,13716,328,588
7,24,574240,26610,811,1803
2,23,515340,20706,279,605
15,22,5481378,62561,2895,NA
11,33,798162,32964,436,1281
8,30,202466,4890,160,733
11,25,29201028,77698,27920,NA
11,26,10773901,165834,12278,18958
8,27,4401103,108008,5400,5850
9,27,5211549,129221,2014,7854
15,29,4118977,59379,3698,2317
16,24,2770994,54646,933,4901
10,27,18558011,213709,11796,14547
15,31,106187,7999,68,385
15,26,1994411,39585,1706,1640
10,28,646765,15236,1559,2871
13,29,8862771,50816,2535,2978
12,30,3239866,65120,1431,3353
11,25,722396,35296,398,1643
15,32,3490406,50595,4181,1845
14,30,4443379,51999,2383,2066
7,19,4472839,31126,2825,1814
54,25,358644,10672,186,464
6,30,28182040,293925,10430,17827
9,22,1763760,47521,1104,4286
5,35,1316621,34902,449,1190
11,30,191954,9290,135,632
15,29,10881864,120730,10771,3769
14,27,443837,16018,373,747
12,28,9949908,22318,8660,NA
19,28,146742,3172,77,411
14,30,87926,3842,84,NA
7,26,3379434,56513,2183,6020
10,26,782910,5047,159,117
5,24,2817073,64327,1021,3363
45,13,186920,4451,122,302
10,27,4974972,32623,2403,1209
12,29,33493937,80975,33220,NA
10,17,28120039,66156,23646,NA
5,24,24191099,306934,19600,6678
9,28,1199936,10304,1237,480
10,30,2627751,56187,3296,7153
7,27,15583464,123494,15224,11667
12,27,6532,340,9,49
16,27,3785203,64088,3687,2729
11,26,2386751,50464,2175,2079
10,30,5865436,103363,8320,14315
11,26,63684,721,47,32
7,25,29064,1154,39,72
13,34,1234090,46239,646,1821
15,27,6777012,82956,6033,4329
8,31,28946608,69116,29310,1097
7,27,9970,643,14,67
11,24,11474,111,19,7
17,27,893416,5994,681,NA
14,29,9909739,104594,8772,5440
5,23,2825721,33713,2964,1077
9,30,1238208,26156,2089,3631
10,31,124049111,184640,79859,NA
1,23,79012,2529,22,60
6,24,2440472,16920,8082,9730
8,28,65822,1009,66,54
9,36,2977766,53415,2762,5448
10,27,4019472,36720,3737,1027
12,28,582806,7789,669,425
13,32,8750487,60529,9905,7331
14,22,131363,2689,153,207
16,24,485596,29868,284,4681
12,27,1623296,51438,1838,2387
13,19,355593,2409,406,137
16,28,4642939,75795,4686,2537
5,24,16227696,212365,4162,13661
11,27,3548,573,5,62
15,31,565122,4381,458,674
10,24,36024,1162,50,104
12,19,206025,2957,200,191
4,21,12222387,144341,2999,9889
6,31,3609578,239801,7787,13111
13,29,7891615,66507,6272,14584
12,28,30748154,100241,41802,NA
12,32,456503,12913,260,1103
9,33,8060,805,16,82
12,19,649644,19207,475,1963
16,28,5347988,47036,2248,625
11,25,3430353,165663,3011,9650
9,18,8771006,36888,12660,NA
12,30,8032134,107081,6397,3501
11,29,5398500,39913,1768,1881
19,24,74299,1697,34,81
11,29,73826,2129,102,186
8,27,38952,1308,47,86
14,31,4706699,94432,3722,4560
12,25,70612,2247,105,180
13,25,19860668,126544,3682,3704
8,28,20828,1072,16,128
17,27,1395187,12659,1408,NA
11,28,59737,2982,36,264
10,26,14290633,249024,10826,14759
13,24,529101,6583,740,279
10,22,11712,612,25,NA
14,28,3602426,66519,3195,2687
11,25,12125793,30423,10560,420
10,25,1600170,33749,1414,3259
5,10,2270826,59995,986,7278
68,15,79469,1438,62,108
7,25,29465263,285739,6865,23324
9,29,17734644,220071,3463,15762
7,28,550378,5529,443,353
14,27,429330,32589,201,1796
17,24,4480690,63485,3311,NA
9,19,3287854,69052,2698,3216
14,30,94026,11024,143,873
10,32,35341844,152107,65890,NA
10,25,644327,17910,317,1670
7,28,683017,13858,420,759
17,30,7848278,111107,3899,7136
5,26,237627,9987,107,577
13,26,10536149,189414,10573,6724
6,31,247959,2347,273,65
5,27,1116038,53407,618,2695
13,23,3158073,65818,2789,4167
9,26,398267,31312,135,1898
11,24,21852134,604275,8415,20588
16,27,14783829,135663,15133,3854
10,31,6940401,120719,6605,15100
11,23,255412,3671,280,177
10,24,232922,7001,126,1214
9,26,538324,13275,592,1452
10,26,138603,1852,130,75
9,35,2993892,34384,1687,3606
4,11,4477,372,3,9
12,31,5774717,110493,3081,9267
48,99,41054,652,14,87
9,26,4977770,45151,3609,885
9,28,860419,21754,667,2265
6,27,790904,4687,2389,703
8,25,50889397,122447,45409,NA
13,28,8996223,112160,8583,3856
3,28,5678807,141179,2318,33783
8,27,24049,889,157,247
36,120,8912940,333244,6483,15887
31,120,55283,2829,25,126
114,142,35791,1898,64,334
5,32,7604436,258626,5974,22185
11,29,384355,11118,330,2766
15,12,380497,34785,238,961
11,30,121444,342,38,0
10,33,2807968,56549,1911,3368
6,17,1080282,7891,980,163
9,25,89998,6425,106,516
16,31,11490550,243439,3364,14220
6,24,15905430,195658,5878,10960
6,27,251826,21466,223,1860
5,26,2056262,70811,679,3411
8,23,2373948,35163,3631,11476
13,20,272805,13708,132,943
11,25,906698,15642,261,1078
11,26,28159,564,78,70
14,28,12202,874,2,106
8,17,202217,3616,298,23
14,23,28599823,187482,7697,7692
14,30,2192052,24937,826,3752
8,31,7034427,212082,3723,16740
6,23,1584054,90937,930,3555
14,37,1244157,21844,765,1614
7,30,150329683,381171,155157,NA
5,28,711597,4425,111,270
7,29,38277,1284,63,90
5,24,1485189,31179,277,610
10,31,4170073,66784,2379,5566
9,26,37643,199,8,24
15,26,7309278,314756,6495,22462
4,32,15512706,83320,3585,2676
8,26,6831,507,57,76
10,26,62592,831,61,36
6,31,1321029,17022,1302,1255
5,25,18726882,255988,8124,24814
46,27,463891,12633,245,1243
9,28,112934,3014,32,379
10,21,180969235,946305,56172,36346
10,28,8732716,88957,9832,2757
11,31,8897086,129080,7295,6656
12,21,667914,23814,1420,2865
7,26,12716324,47030,11058,901
7,22,273170,9480,252,1430
6,32,5065542,213879,2390,15664
8,22,72869,8359,57,333
9,32,2753675,55052,2229,5780
10,20,934766,26332,808,2568
9,33,22360,1212,18,185
14,33,2831222,29763,2357,NA
13,24,15447943,33376,7306,NA
75,74,1338800,39210,1528,1357
11,29,11341786,58913,7671,5288
5,11,4438,419,0,12
10,31,31182,973,13,88
13,26,2658314,47609,2563,1947
5,21,29425727,267260,5254,7181
10,19,3456111,53404,2346,10783
12,27,34898,648,51,48
14,23,720583,17031,152,471
10,20,83349,2934,31,214
17,31,14028935,85803,26116,449
7,26,3291976,60907,1309,2748
10,29,27361068,63571,19178,NA
7,14,138636,193,6,10
11,25,762315,7919,931,391
16,21,344319,8353,168,976
6,26,14595,2081,8,193
11,21,1530625,8076,3262,836
8,25,4704524,43948,9623,2941
7,29,97756175,157042,71280,NA
6,27,36083,1508,44,112
14,26,2404053,57522,2392,2095
9,17,224003,26287,113,2011
9,30,6156430,75280,1978,5777
67,73,12588,651,23,134
3,25,13095,68,6,2
8,22,23668,37,3,15
9,28,16697,1131,38,96
12,33,3844471,46722,3612,5210
11,22,11605503,120451,11563,5066
10,25,5056111,112430,9250,3557
15,17,49018,949,20,44
11,18,541811,37252,273,1771
8,26,147872,9768,905,903
12,30,117910,1883,113,143
8,22,811194,8081,768,NA
8,22,811194,8081,768,NA
8,22,811194,8081,768,NA
8,22,811194,8081,768,NA
7,26,8055309,133270,2785,4936
12,26,39100650,5909,95,444
3,27,5472,66,0,8
3,27,6948221,277196,3986,20793
5,24,126698,141,8,56
12,27,11346898,81833,11543,2579
9,28,2641663,56484,1162,2306
13,32,9324973,173828,5097,12350
12,22,27500,520,28,29
10,17,1252773,20164,752,5113
13,24,87673,2266,103,366
16,32,907597,92373,335,9915
12,24,966278,11114,1008,497
6,21,43745,10,7,3
11,34,134123,1458,153,187
5,26,9348878,77171,11449,9799
15,30,1134543,31786,1374,1653
11,29,3644910,25181,4517,1011
10,19,2043890,90118,1251,3415
9,28,723020,20521,426,1537
5,25,166843,1906,159,102
7,33,16492731,170637,20747,0
