title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
6,24,663061,13620,387,1721
7,23,211487,4186,867,2337
5,24,2847701,26132,1423,7529
8,29,511,21,2,13
9,28,1680683,14277,603,3723
13,32,2319,161,3,19
6,21,1287721,20734,635,837
10,30,101769,1820,132,161
7,27,294630,4584,238,885
11,31,4387637,23444,2536,1874
8,32,3168655,15327,1278,1911
9,28,1535040,8705,552,821
6,36,339286,9515,597,3013
10,16,1166,78,7,63
8,28,2732919,14939,1261,1180
7,25,8016639,48507,2926,3691
10,30,1217,12,1,1
15,29,60506433,540881,41812,20163
5,30,293143,5397,934,1165
9,26,747387,2320,255,161
6,26,2799029,32387,1437,3083
140,109,394592,1011,359,93
5,26,5671838,21002,2537,1309
130,109,82789,600,55,95
146,109,54706,749,76,76
9,31,440287,1499,328,71
10,6,249110,2247,104,91
6,27,179679,2777,390,864
5,33,77823,2556,149,539
9,12,15546,1122,59,136
6,31,749274,6440,346,491
13,23,99,3,0,1
11,25,31589402,207159,19429,19514
5,28,1891014,21305,6559,6115
9,32,66425,1239,76,137
7,27,517433,12292,719,3146
9,32,183735,2482,134,573
8,9,4281289,15338,7471,1653
6,28,5994929,37540,1965,12592
9,30,9190311,25974,3035,1567
7,25,51945,855,59,22
10,23,1286341,7510,981,1491
4,27,1966,45,9,74
11,26,99901,2204,113,137
9,27,467129,5000,3430,1766
6,33,434720,5635,483,731
14,20,8193914,19154,6551,483
144,109,16471,257,14,21
7,33,304940,5910,171,452
8,27,187363,6016,384,1720
8,27,120793,2691,118,430
14,26,337,7,1,1
10,24,105589,619,36,24
7,27,348188,809,158,19
10,26,1618560,24749,836,2739
150,109,159130,1027,257,71
7,24,553207,6558,99,340
6,27,157152,4141,163,632
6,20,3496519,21926,5813,8858
10,10,300,3,0,0
6,17,1555045,17036,607,2195
14,24,1316046,14775,2396,393
7,27,203745,2891,533,772
7,29,376,5,0,1
8,24,1699562,15409,2283,3381
6,26,1236694,13392,3644,5690
12,30,509478,6355,396,384
8,24,3509112,10858,3173,1561
8,30,437730,4335,431,686
6,27,165888,3072,133,448
126,109,217827,1838,139,196
11,25,3021,62,12,35
15,27,101099,1737,192,298
11,28,94321,1804,83,100
21,28,5,1,0,0
4,26,5340247,27854,2018,7963
11,34,20016439,76704,10211,11267
7,23,62892,752,35,33
9,26,248752,963,82,81
8,28,48743,1202,47,149
11,26,245305,4372,296,241
4,27,353626,6995,2753,2597
7,30,7259719,33539,2816,15173
11,22,1259153,16040,784,2207
6,0,113,5,2,1
9,20,329187,4886,408,1254
11,33,308900,17633,664,2635
6,29,2660822,17860,2489,5497
138,109,26701,287,33,32
126,109,162963,1610,90,180
11,34,4103109,22041,2354,1642
157,109,33163,382,30,43
138,114,1275334,11649,1926,510
8,19,243397,3633,118,258
14,9,13944,990,35,103
12,28,2459,49,6,18
9,26,305528,3634,185,393
6,30,161129,5332,162,1301
6,33,763246,24409,694,4069
8,21,184293,2253,106,520
8,25,1900445,31763,1056,4443
13,21,1868871,6920,1021,444
6,21,3784727,21562,2888,NA
11,28,1630,9,5,8
7,30,149459,3608,393,861
8,25,275432,4687,255,656
11,28,15759480,48865,6554,6331
14,28,1148312,13956,1393,1342
12,28,4093,39,3,12
11,27,2959482,26176,825,942
15,20,3712,72,21,151
12,23,132209,321,99,16
134,106,1184370,12219,1217,1182
6,30,51,5,4,1
4,30,1519406,12945,1018,5601
24,25,2941777,6346,1715,330
11,25,28213,1027,24,125
5,19,344506,4255,278,1032
8,25,14235247,37610,1736,2257
7,18,804080,32982,814,4388
148,109,5583,164,14,42
8,29,1225186,6340,529,277
11,22,5077007,54392,919,940
10,28,24,1,0,0
5,33,326659,4499,688,1205
13,28,314971,4171,674,355
11,27,83409,845,293,77
10,33,2051990,19164,1052,1037
9,32,610960,12916,601,1105
8,28,959580,9255,656,4312
8,23,1235283,11339,832,1912
8,26,23408,637,29,63
16,26,71427,5676,110,277
138,109,322177,1934,525,129
5,24,126621,4136,145,1853
6,27,239240,4545,195,553
161,114,3353297,59443,4552,6582
7,27,44428,1605,107,260
7,19,1202149,12443,1008,3357
6,31,25127,178,35,91
13,27,769065,10018,1015,3374
6,7,4073404,25382,1129,1047
7,27,4617234,25142,3393,8311
7,22,14986,263,12,18
8,29,46246,1535,35,613
8,29,12832300,113731,6252,15002
15,23,18,0,0,0
11,27,173432,3972,92,154
113,104,237695,2252,330,253
13,32,879441,10228,1032,1542
5,28,6640727,49110,1118,3437
13,0,2925253,5328,1614,194
8,19,235031,4454,280,876
10,29,7463327,85618,3389,2404
34,64,9607648,53468,4879,3665
15,23,1935365,16572,1348,2500
13,25,209,23,0,14
11,18,2629893,30302,3330,1781
12,0,12335,1007,39,228
4,30,2338174,11777,1113,2976
11,28,138164,5652,297,2295
9,28,2328,102,17,150
8,25,339776,2936,248,183
12,15,5688098,70283,4821,5416
10,27,1054,56,5,24
151,109,71822,641,104,64
9,24,169,6,4,0
6,32,4941605,23257,1858,7070
9,32,181610,603,73,50
7,28,851947,6140,345,419
6,21,2192,34,2,9
9,20,3191,34,4,2
7,29,511214,8492,1020,1627
10,28,23,1,0,0
8,23,9882486,32962,1905,2880
8,26,3640891,NA,NA,106
7,22,560960,6576,554,1228
12,26,13184287,29992,3515,4575
6,24,3178372,30117,3057,13048
8,27,87043,2252,57,522
12,23,14608744,45687,2766,2669
6,21,681,49,4,49
165,102,120557,864,174,127
13,23,10532564,60371,6239,5474
9,25,13937,131,18,50
7,30,171,9,1,11
8,31,639524,6308,265,862
11,25,791454,11851,961,421
7,19,4353757,52842,3797,5421
7,14,19427,190,11,13
6,32,914850,9941,487,535
5,5,12232,42,8,0
7,24,586884,5220,236,506
14,22,6905797,41780,4434,4450
6,6,60,3,0,0
8,22,1028,22,2,2
13,28,5,3,0,0
8,30,391803,4777,259,396
7,32,162,9,1,47
6,18,32,7,0,1
13,21,12398568,101443,37362,22068
5,29,1323,6,5,7
12,25,41565,666,46,40
4,24,639,2,0,0
7,14,3831,20,3,0
5,0,239,13,0,0
5,26,16618,NA,NA,NA
7,22,2563230,51186,8832,7778
7,27,126114,3213,45,401
17,24,1636284,8910,2017,NA
8,29,11873789,103132,6669,12574
7,25,227013,2255,195,740
29,22,3686106,13550,1627,2254
10,26,323099,5748,539,343
6,32,31765,934,48,148
10,15,37586,113,10,32
5,5,4860,25,5,0
7,27,485424,1979,169,312
146,109,278680,2489,477,572
7,24,39632,519,43,38
6,33,30015893,124421,19228,22797
9,22,2283577,17456,497,507
9,31,523769,3054,487,763
6,4,100203,246,56,27
11,14,5752709,38701,5044,4214
7,24,31884,529,37,27
8,21,802225,9107,1141,2026
6,28,15,0,1,0
7,32,2825994,18771,1148,2212
6,31,4955523,41964,2361,9798
10,31,5119209,16053,1302,2195
14,26,26561,110,13,NA
6,26,33745,516,52,148
15,26,45020,3784,80,216
77,125,81,5,1,2
6,5,137,5,0,3
8,5,216,4,1,2
4,27,13944,149,12,56
9,32,115477,687,53,57
8,28,193374,3963,347,289
12,26,175,3,0,0
9,22,4527677,20351,1704,2860
11,26,312,6,0,6
11,27,168,NA,NA,1
9,29,5660415,18650,2764,2037
10,26,2006128,2964,162,324
9,0,34162,58,3,16
5,4,4850,72,3,5
6,26,669,43,2,20
11,23,498,30,1,38
6,26,118314,2636,120,391
5,20,1436,129,0,17
6,6,77,6,1,0
6,22,28583891,600067,8001,62731
5,26,33962,829,23,164
11,22,922830,40526,782,1512
4,7,19,4,0,0
7,29,24,2,0,0
6,0,141,8,0,0
5,0,123,12,0,0
142,109,47197,373,30,128
16,27,58273,965,49,497
11,24,9606,248,21,64
9,17,4,3,0,0
9,26,1001988,2985,359,286
14,25,331,5,0,1
2,27,33,1,0,4
7,29,1499,9,0,0
11,29,31,2,0,0
6,24,7211,206,6,16
10,16,65,4,0,0
7,19,68,2,0,5
12,30,349338,4888,155,1200
10,26,27,2,0,0
5,14,944,2,2,21
7,33,334,6,0,5
9,24,7762,157,0,37
9,13,1456108,5053,968,402
13,22,757898,18853,805,732
10,25,58531,899,99,238
11,31,92,1,0,15
10,38,620,20,2,6
9,29,2034144,14995,1881,3403
11,26,32,6,0,7
12,25,5402990,31964,23734,3798
13,24,1392,14,0,3
9,19,4572,15,2,6
12,11,1344,7,0,1
4,34,54845,1064,569,616
15,23,1073,8,6,1
5,21,6885936,33680,2190,2778
7,84,107,6,0,0
14,19,27988,168,21,16
7,27,17493,41,32,10
57,59,455,8,0,NA
11,33,268918,283,46,32
5,24,28668,98,46,6
14,25,530083,14745,815,659
6,12,104176,19,4,3
8,10,12670,279,20,17
13,19,105,3,0,0
14,24,353950,2468,194,69
5,27,819726,4206,417,413
13,28,378,27,0,1
10,17,1257037,3281,1895,253
5,25,166,1,0,0
8,6,7,1,0,0
9,20,571,23,4,1
7,17,4015,15,5,2
13,18,89371,364,80,19
12,20,131279,1965,198,285
10,25,1161,6,0,0
12,31,10694,73,3,4
9,14,428,8,1,5
4,13,1628,17,2,1
11,14,11320,719,28,104
6,24,64764,155,69,14
10,19,335693,1266,124,21
6,5,1513,20,4,3
9,22,124440,173,86,2
6,28,529,9,1,6
8,27,213,0,0,0
17,36,163,13,1,0
9,8,4733320,7786,5505,283
15,25,289048,789,159,12
3,29,266,5,2,0
6,27,280946,4476,81,NA
7,29,199,8,0,4
6,28,132316,69,33,3
8,29,455051,832,149,29
5,28,1325742,4950,461,287
25,28,1015000,8423,755,1653
7,29,5030,33,11,2
14,14,8510195,30658,4613,572
9,29,4814770,22595,1951,1547
16,18,9066798,51027,6407,1023
9,25,833834,1548,157,67
8,28,11212,542,20,238
7,31,652893,5713,1552,1394
10,34,1339709,9534,682,1669
4,31,116441132,973517,43414,27644
8,30,622060,7722,286,979
7,30,2581243,13888,2075,1627
7,26,11662384,34974,2523,1915
8,21,5335577,14504,3250,785
10,32,10966158,50380,6011,9792
9,33,245954,1004,98,64
5,28,2001717,7100,733,506
14,31,11463284,31276,9101,3321
16,25,176620,511,87,14
10,27,2603142,18572,1775,1780
9,30,999419,10404,735,2511
7,26,282764,5190,706,1432
13,32,10662218,27651,6886,948
10,31,4235599,25447,2093,1245
10,24,2594,61,5,16
6,34,3062058,20154,1065,2117
7,27,4717882,55441,1044,2962
15,22,895405,1670,457,77
6,33,6841308,27730,5254,3774
13,18,897399,2500,480,195
11,11,786944,7423,446,70
20,20,11675021,222528,12540,90228
8,28,16312914,44693,1384,4089
7,29,323006,2799,272,252
6,26,212615,1277,75,84
18,26,12219941,109916,9696,17020
9,0,235,1,0,3
8,25,2148638,24173,617,1650
7,30,388741,7475,296,1018
13,30,261384,1710,69,102
10,29,4115455,22284,1624,417
11,26,7779003,20547,4821,1703
3,23,7752063,10960,646,2592
14,22,4990711,20055,7924,1764
8,24,70296,3250,282,1098
9,28,1033602,7315,471,1289
5,32,NA,NA,NA,5965
14,14,6757948,19869,2891,666
8,22,124913,2488,186,490
12,22,931587,8685,286,476
10,28,377180,675,245,20
10,26,7442976,88183,7836,5579
14,8,511149,1828,324,71
11,28,195830,1013,128,48
16,31,24795366,184838,11864,8873
6,22,6651,79,1,4
12,19,11079264,38337,5076,2887
4,24,2899290,7904,250,0
6,27,107059,760,28,45
9,28,3260853,38944,941,81
8,28,4221176,42968,8960,16229
6,28,26544323,632199,9863,64219
12,27,15287966,91948,5135,4039
