title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
10,32,397591,8440,1519,3125
7,28,850575,25881,3913,10557
9,30,361445,8823,1065,2412
10,27,219057,4256,396,775
7,27,488888,4852,365,909
9,31,76726,2482,152,642
9,31,385053,6558,349,1478
13,26,206052,3288,574,778
12,28,396186,4041,845,833
10,34,209745,4830,7896,3524
12,31,383425,6632,8027,4705
8,29,2963279,51565,1761,3836
9,29,960293,13563,920,2334
12,29,102143,1732,209,724
5,28,2805700,42853,2224,7470
7,22,167388,1342,206,61
8,30,626130,12989,1479,3287
9,29,705119,11199,875,3324
5,26,346995,4694,215,870
5,30,16760030,97927,3871,10313
6,31,2229189,25205,1723,9051
8,29,571450,7588,225,1910
7,32,518488,12453,2077,3059
8,32,477787,7087,5379,3661
5,27,1169965,11196,353,2830
5,30,1334990,6026,1021,1130
6,27,2801718,27154,1549,7442
8,29,1218819,24225,1270,1813
8,22,1553809,5994,406,146
16,30,2003121,11186,993,1619
6,27,7228599,51129,2011,8480
6,29,1615875,14537,504,2674
5,27,6294774,39948,2894,18963
7,27,3183965,24430,2889,7988
8,23,1465087,16943,8830,15312
13,28,546342,4858,333,601
6,28,6017010,46286,1559,12458
9,30,230955,4581,368,958
8,27,565268,7569,589,2804
11,27,3258356,60002,2130,698
5,31,727818,13127,2277,11627
5,25,7147951,43672,1897,16540
8,30,3155883,32286,712,4474
7,31,4138179,35265,3062,19795
5,28,422494,3772,278,1666
9,25,319929,5294,434,1569
11,18,291422,5571,189,174
7,26,421816,2916,147,170
8,28,694795,11992,1049,2559
4,26,6242317,39741,5030,9534
8,27,3940673,33468,1296,14449
6,30,1055912,8639,1732,3460
10,25,276958,4678,248,1621
5,25,5088653,34968,934,3993
5,29,2781553,26289,4152,10891
10,30,301879,5317,393,1429
7,29,6651539,45959,8266,38395
6,28,201571,3583,126,628
6,29,1031530,13003,286,1600
12,26,630011,4379,331,309
17,24,485475,13800,321,191
5,29,432048,5830,317,1759
4,31,1042102,35013,2698,4251
7,24,701337,10314,1860,3780
8,28,494776,5080,882,1706
10,34,31,4,0,1
6,29,1811255,21454,2838,2463
19,24,244030,6094,255,163
5,29,1228232,14337,543,3608
7,26,7494,193,24,77
9,32,356448,4961,1411,2239
6,15,665447,3363,292,150
5,29,741349,9532,705,3532
6,30,205370,4465,169,1016
7,29,1222775,12330,584,2128
7,26,2354997,20540,1410,3684
6,26,2446238,17436,1075,3876
8,25,86816,301,35,88
6,32,1286057,14589,776,4513
7,28,759708,8904,741,4183
9,28,2434828,18785,795,2959
8,26,157143,3044,122,335
7,23,1333890,12581,536,1952
5,31,1317076,13181,676,2792
12,26,347320,4329,238,273
3,24,869363,11044,517,1156
7,30,7305617,38720,4301,8677
11,22,1078592,11193,1311,1749
9,20,150477,901,128,589
14,15,230687,1212,133,175
9,25,11149,277,10,57
18,23,9325,311,11,50
6,31,59,6,1,3
14,26,9195,353,14,168
10,29,164052,981,14,614
6,29,773997,14404,1337,2646
6,30,452840,4721,471,1156
5,14,4747797,37977,1953,9639
18,27,305303,9355,134,630
8,30,140153,4242,84,192
12,24,50291,995,15,167
9,27,1432,13,3,5
15,27,174890,4997,59,155
18,30,47795,2047,82,205
6,31,1509622,12328,727,3448
10,28,8318,NA,NA,NA
5,8,9,1,0,0
9,26,2810,NA,NA,NA
12,16,28,2,1,0
8,31,746,18,0,2
9,26,751,7,3,5
8,35,230227,2873,353,549
12,21,394347,11208,173,448
12,31,100,20,1,45
11,31,14,3,0,0
11,18,700153,10559,214,388
11,34,15,NA,NA,1
15,22,702737,14323,531,386
11,31,1735351,8998,702,719
6,23,3415,67,2,29
