title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
7,29,14549049,920383,3880,58252
89,115,119,3,0,2
12,28,31855,472,48,112
5,20,19398544,1089594,21911,34078
8,27,6737,162,1,24
6,34,1660,63,2,18
4,27,1058334,35593,806,1773
11,23,36797,497,5,21
15,24,3100,129,0,5
110,73,351,3,0,1
4,32,3023,NA,NA,NA
5,22,15444,41,3,8
13,14,1299,NA,NA,7
7,31,20,0,0,0
101,73,172,10,0,0
3,29,537,14,0,14
112,19,273,6,1,0
5,28,15379,928,15,127
8,28,6682,11,1,0
18,21,31394,233,6,16
63,117,115,3,0,0
10,22,52,3,0,0
114,19,1786,9,1,0
89,19,148,3,2,0
32,73,137,3,0,0
14,19,69846,929,14,30
16,22,15180,296,3,14
114,21,490,4,0,1
64,73,68,1,0,0
10,25,30764,499,31,104
6,4,3349,7,0,0
5,29,50,4,0,0
4,29,27851,23,2,8
136,73,100,3,0,1
5,26,1215,37,2,6
9,31,1826,1,0,0
6,27,25,26,0,0
16,20,45825,670,17,27
18,26,73,1,0,0
69,73,50,3,1,1
12,30,78,4,0,0
5,25,206,4,0,0
3,28,29142,36,4,20
3,26,13370,30,0,8
12,17,192798,4874,166,583
8,23,40474,337,12,24
131,21,60,4,0,0
13,23,3450,11,0,0
5,22,2468,179,2,30
16,23,27,3,0,0
131,21,57,3,0,0
12,23,5255,8,2,0
9,20,1011,47,2,1
8,29,17528,35,3,11
5,28,27654,49,8,20
8,29,5,2,0,0
14,28,609,8,2,0
8,26,15816,32,5,7
12,27,1564,112,1,13
3,27,31069,37,8,12
126,120,73,1,0,0
12,27,659,1,0,0
5,31,36,1,0,0
5,28,97,6,0,0
7,21,51816,734,5,76
6,27,22687,51,19,9
4,27,39497,23,15,18
13,29,255276,13395,144,701
18,32,132,22,0,18
12,26,1146,76,2,11
3,24,22153,66,4,31
99,21,79,0,0,0
77,21,76,1,0,0
12,22,391,7,0,0
5,24,23239,32,2,12
5,27,41320,50,12,8
12,22,145398,2057,67,56
7,12,322,2,0,0
7,31,3859,13,5,2
9,25,22421,972,18,152
10,22,45504,878,12,32
5,14,103,1,0,0
4,23,19531,35,5,7
8,22,3901,47,1,6
7,29,13811,38,5,11
3,20,71629,214,8,8
4,24,14305,36,8,14
3,12,154937,342,29,29
7,28,13529,47,3,17
8,19,74099,541,22,51
9,14,2616,95,1,11
7,19,20728,499,7,67
3,28,47,5,0,0
7,21,22084,338,6,39
9,30,8225,41,3,12
4,24,24406,149,9,20
5,10,1167,1,0,2
3,35,45302,507,30,NA
6,23,106155,995,55,54
9,24,213,1,0,0
42,174,178,13,0,3
15,22,80723,650,31,10
7,24,17656,35,7,15
4,30,458504,404,111,16
14,29,746544,10703,781,724
15,28,9771,117,8,25
7,31,1103172,25640,448,1028
9,21,71277,291,34,21
6,27,2522,NA,NA,NA
12,22,151,2,0,0
7,21,17720,98,22,88
10,22,2538,28,0,6
6,22,138537,782,24,49
11,28,1660,31,5,13
6,21,19849,114,7,21
15,26,487257,29673,427,3008
12,30,701198,20081,456,3085
17,37,437467,13919,296,803
3,17,1961758,68500,2361,NA
4,26,616035,4069,174,210
12,29,10029,463,11,40
6,27,1573023,53088,1609,NA
7,18,715550,13593,407,NA
7,15,3294578,110832,2989,21586
7,0,92009,596,24,34
20,0,6157,12,4,0
9,27,652277,20450,667,2642
12,23,10649,418,7,27
5,29,372602,11284,245,NA
14,19,117542,16897,137,2867
56,66,1401694,41033,1669,115
8,30,743465,17158,519,1338
7,20,9190929,392634,4710,26789
20,38,5583643,73617,4846,4613
12,31,6160,407,5,30
7,30,371971,25496,498,1091
16,32,2193268,77736,2479,4276
20,0,26576,NA,NA,NA
20,0,25589,NA,NA,NA
11,26,594746,32663,609,1545
7,33,60334,1924,51,84
16,24,115503,1475,185,125
11,29,374393,4621,282,448
20,0,25296,NA,NA,NA
15,31,13208,491,21,70
6,26,17462,316,33,28
13,30,33873,1122,39,122
9,18,4745,NA,NA,18
63,30,17631,374,42,49
11,18,37830,765,19,174
20,0,78356,NA,NA,NA
6,30,8631,550,3,154
100,170,2800,274,6,74
6,25,7364,83,4,11
34,23,70858,1233,40,232
9,21,14422,327,9,54
5,24,2003971,13384,785,226
13,28,16303,502,21,66
22,25,278670,5079,160,301
8,27,57480,1277,32,21
11,19,28712,748,48,113
15,15,244732,10819,257,1089
16,25,161375,4085,100,407
10,26,110919,6832,249,284
8,26,143150,16268,174,1490
17,15,57382,3422,67,212
8,25,625840,31513,468,2356
10,26,299794,30551,301,3388
12,10,254881,10695,1167,2225
13,25,20735,501,42,111
11,21,117069,2059,272,951
8,25,245649,21324,266,2897
13,25,297647,18344,410,1411
16,29,698830,20328,1387,1527
10,25,1111438,60981,781,7046
10,23,66,NA,NA,NA
10,31,116187,2414,41,283
11,24,1754603,130359,1670,26744
10,23,2144247,130252,1515,47790
7,38,3059,145,6,21
10,26,732228,20465,845,1856
16,32,30728,1221,14,146
6,17,303070,3885,321,666
7,25,203794,22705,212,3827
9,23,92,11,0,0
8,33,6628980,84999,8945,16351
9,19,87659,11090,200,NA
11,20,57747,654,48,94
8,27,842131,13633,586,NA
9,23,376183,32428,386,2152
9,27,6265223,157215,6222,5607
13,27,359050,13363,660,1140
10,28,64938,830,57,70
10,26,217768,32200,453,1783
17,30,35539826,164997,24177,NA
12,30,818571,8539,433,993
16,23,323769,18217,429,1580
13,29,270136,6277,898,338
58,38,398995,8764,1165,409
9,21,267728,25125,286,3230
17,31,1416048,5701,1126,NA
12,34,772,118,0,42
6,29,226941,1017,30,13
17,44,181923,4861,282,482
7,18,42774,877,35,24
8,28,9687,596,26,45
12,22,26437042,130281,27259,NA
7,22,135272,1686,194,292
12,27,47101,2041,26,160
14,25,11499,542,7,51
12,23,108,NA,NA,NA
9,31,1783725,51248,1341,2200
17,36,18528848,143299,18323,NA
10,23,55388,476,29,42
11,27,1935,205,10,41
8,24,641099,36146,633,5260
11,21,1986963,84111,1288,7292
12,22,141696,15046,149,2733
7,24,606813,44753,1961,6104
6,29,23747,361,14,31
10,23,175540,18300,156,1260
13,25,561047,12035,998,421
10,22,243523,18854,231,2138
11,21,1226055,66217,1224,8019
8,26,19842,979,28,157
19,29,12730,1480,23,893
9,21,52948,2781,77,143
10,20,287355,37202,266,4027
9,19,199669,20272,223,1489
11,28,129463,2946,91,364
12,29,332719,12890,426,499
10,23,56,NA,NA,NA
13,26,32781,2894,40,129
7,31,258894,10101,1036,1270
10,22,510,49,2,6
8,23,192975,20125,178,2226
13,82,847,49,2,11
10,72,11471,200,8,26
11,23,128922,16503,158,2330
20,33,47964,2062,31,27
9,23,416846,29426,469,5522
9,27,175479,19455,203,2748
7,32,3901907,39582,1769,1924
9,26,520,45,7,3
10,20,2578,151,10,67
