title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
5,27,1374702222,8250263,297049,293066
21,28,188533,2976,132,159
7,25,204964,3024,187,251
6,21,645367984,3705064,185731,145292
10,27,412496,6575,308,511
12,28,20209,208,7,25
11,27,2773650,19010,2369,1898
8,10,41790057,299340,12631,6050
8,25,7652210,44887,3786,1649
7,27,12535349,90674,24072,10382
14,30,181301601,509725,137111,24334
12,24,16516,251,35,12
17,30,299764,3298,249,127
11,6,42819,6091,29,338
13,21,43894387,309918,25321,14930
14,20,13160,1629,18,224
12,18,54763,4112,107,277
14,27,24598336,33240,13576,564
8,28,940955,35927,674,8991
13,13,37826731,78399,25511,3702
12,28,126040,4779,54,276
4,22,6957481,74275,1639,4534
12,16,1766234,4693,1398,77
13,19,632928,5356,538,239
8,27,1446462,8137,1349,432
5,22,43302503,334218,13147,14397
7,28,4787196,49988,2619,1295
9,6,112441,9901,43,432
11,29,256787,2950,787,116
9,32,17533,2065,19,314
5,26,1274146,NA,NA,NA
8,18,6990181,88671,2047,1990
7,27,147155,4832,167,631
12,28,44487096,171802,20929,NA
14,14,57531449,106829,28180,2736
6,5,85389429,212810,133038,1478
22,24,17294154,59181,28531,NA
10,26,1128059,7425,2233,344
19,28,16160525,177833,9467,5500
11,26,82303997,510126,47988,25169
8,17,119519,6335,235,345
16,30,145467,10156,78,960
16,27,12304370,31245,16966,234
13,17,11583150,24017,8439,557
5,23,91636226,228242,159019,0
8,24,71373,1655,64,203
5,34,1352273,94089,957,31289
5,23,2556255,15112,238,1121
17,32,93797,6890,59,931
10,22,29479281,91893,58626,0
13,27,2961,328,1,16
12,22,155814,12185,58,733
5,15,208082,8501,203,204
8,24,53392,2993,70,383
15,26,56045,2481,21,170
6,22,28354,1890,42,117
7,21,154346,21638,191,756
18,25,116972,5556,314,1512
11,21,208756,10328,224,1204
7,24,266631,6544,106,1763
10,14,155821,8577,295,1366
8,34,111285,3843,387,NA
15,24,144419,1480,147,35
13,24,95242,1214,80,92
6,23,11115356,315745,3535,13305
9,23,334189,18628,261,2112
10,23,373955,33337,138,1498
11,29,72505,1194,35,154
12,23,205346,5971,80,852
12,32,60663,981,40,192
16,31,52942,6247,59,928
3,23,146828,10665,141,729
14,14,136193426,364610,225829,2669
8,26,59941,1609,22,356
18,20,48739,3214,51,595
6,21,223999431,734866,407926,NA
11,34,256124,7800,141,825
15,26,90250,4123,44,493
3,20,33899962,260315,5142,16959
9,25,34053,2418,42,280
11,25,46422,5139,29,131
6,29,382915,22222,553,31618
5,29,397172,13347,92,612
14,20,202595576,459141,249597,2839
12,30,17641,584,38,86
12,30,24224,686,30,49
10,29,50858,837,26,90
9,26,179486,8318,107,673
5,9,228964,15636,140,1039
8,27,376376,11455,165,731
6,28,722903,11786,495,609
6,30,124622,3555,86,440
11,31,48900,1278,25,61
9,31,298703,8420,92,531
9,33,236307,15849,153,1082
14,32,201549,9978,167,809
8,26,94600,3415,34,692
13,29,135051,2863,480,1001
7,30,329537,23460,182,1722
17,32,68601,4994,60,801
10,30,287570,17942,81,2020
8,27,201892,8023,183,756
13,22,146109,4250,78,862
12,24,234133,14650,152,1033
7,26,321916,17378,197,2078
6,27,97754,2167,83,117
14,25,57083,944,202,62
17,30,121628,8631,49,893
16,12,41518,1577,25,147
13,29,555894,2065,1252,0
11,26,489119,12941,329,673
8,31,228089,7755,84,436
5,22,73481,5328,51,617
11,19,2448997,10012,3706,NA
19,33,250379,17616,231,1982
13,25,178463,6943,78,530
14,22,610069,18599,359,2215
9,25,2709389,129836,1401,6159
13,25,479079,27212,416,1304
4,29,179639,13957,50,1030
19,33,4952338,80026,2010,4084
13,25,75613523,131254,47010,3560
13,31,397173,10762,300,1061
13,32,201525,4848,74,676
12,23,32280,700,16,44
7,26,449234,15100,315,1811
14,22,169814,4573,89,680
12,18,123064,9257,339,555
12,27,133179,2804,47,151
11,27,231300,5697,91,946
13,25,88229,2174,502,611
9,6,229282,21901,102,1430
9,30,191418,4249,115,315
10,30,83548,2575,232,519
5,26,119100,10987,135,707
13,22,53534,1665,36,72
11,31,273973,7521,95,587
11,22,60845,1514,52,137
8,28,27408,1232,19,242
10,26,79820,2335,41,269
14,21,39025,1071,29,55
9,26,116283,3469,100,126
15,19,16904453,36235,12347,529
11,29,75254,2347,102,227
7,19,237043,5131,157,795
7,26,607904,33307,358,1429
13,26,118242,3389,40,342
7,21,53284205,222379,95541,NA
