title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
7,23,111603,851,305,373
5,27,367579,11165,654,455
7,19,97826,1758,184,117
7,26,1703341,19194,1160,314
8,23,138987,2173,69,76
13,19,192451,1764,65,54
14,23,492825,7022,193,101
6,28,4335378,61813,1023,1161
9,25,426615,2849,283,43
5,22,1232744,45453,725,1808
10,31,448757,4504,289,253
13,5,825792,17063,865,602
15,22,585252,7466,246,74
15,19,2343939,16785,1343,178
15,20,1675416,3187,657,86
8,32,1520039,74057,557,3564
5,18,1982402,53033,1360,2517
7,23,430143,4305,217,547
8,19,1350380,16363,408,92
11,36,1296395,25363,1342,723
9,13,325546,5014,95,86
7,26,279990,14121,263,1156
7,26,226849,9950,90,614
7,18,66669,1685,27,113
13,24,941134,35846,892,1209
3,20,1926807,6404,421,45
8,27,1432141,50167,1430,2127
8,30,10531208,75636,2847,2298
17,26,44294,1339,9,339
11,26,26866,NA,NA,184
12,27,1157430,89861,4809,5261
7,24,57721,866,33,68
15,26,1874403,73366,2031,6567
12,29,11096,118,14,12
11,24,1204154,35585,400,2431
7,30,135846,360,10,8
9,26,7165,157,6,11
10,30,176459,2550,182,276
10,25,643449,12050,329,789
8,21,1375010,33623,1360,1272
5,24,2378531,110356,1310,12236
11,24,1189458,29036,593,1861
8,6,363287,9473,689,906
7,29,399485,6714,147,301
9,29,126434,2715,51,38
6,22,65583,1191,43,NA
9,36,94714,2046,45,62
13,29,31037,635,7,46
12,4,601275,6443,284,68
9,31,66195,1281,29,34
8,29,1464435,15542,1070,431
12,21,1719752,29149,2669,967
11,26,159841,3572,67,40
18,29,832208,49472,1626,1374
6,55,999622,13315,751,NA
15,18,160534,3998,134,131
13,21,441436,34032,295,1364
9,27,442415,2067,217,28
9,31,8105,55,3,12
12,28,208976,1315,136,156
11,27,103598,1000,110,100
4,29,351309,10385,211,276
4,25,301804,10414,205,517
13,25,497725,7449,227,97
8,31,687502,10615,261,69
7,25,346701,NA,NA,434
7,20,853452,11029,1650,1090
13,35,109197,1386,61,211
5,33,203685,2264,114,51
13,26,533898,12232,284,NA
7,0,4890888,52787,3937,916
14,23,144835,1368,72,69
12,15,746556,8488,450,335
4,22,1531756,39262,853,14307
11,26,1493727,23035,1481,1586
9,22,204943,4099,185,894
11,21,1205819,17260,481,1860
10,16,317993,1635,108,20
13,25,10635566,156987,7537,NA
7,26,243355,1599,104,29
16,31,339217,7248,130,573
10,24,276473,4906,55,117
7,27,164072,1530,82,406
7,19,169336,2529,126,105
8,29,2742928,NA,NA,NA
14,24,197902,2699,422,199
8,23,7048222,46872,1656,1572
9,21,44440,148,46,31
8,26,482507,18656,302,1262
10,25,582675,30795,427,3489
17,29,2823374,73447,4174,5297
13,25,13828,506,21,25
9,17,2127940,51354,865,2734
10,27,38725,1434,14,306
8,28,4261407,58583,988,1578
8,26,170043,888,86,18
7,29,1888722,32486,1444,2083
9,17,1985005,74174,1208,4648
8,23,216744,3776,80,26
10,26,676470,20625,177,413
12,31,1762359,5803,272,336
9,33,155805,4473,86,75
10,24,153988,2387,44,24
11,10,1487503,NA,NA,31
10,28,2063603,7208,2602,NA
10,18,14782783,324147,13782,30808
12,30,26050,727,17,305
7,28,431037,5677,525,458
5,16,373219,2756,181,240
5,25,795805,54574,189,1563
9,18,83167,2290,41,49
10,21,3993406,62420,3017,NA
8,26,747667,18939,477,615
8,31,23486,429,4,27
11,19,270974,3742,87,78
6,30,3267766,90097,2703,5086
9,3,1942589,24455,884,165
8,28,1154863,9674,491,1057
3,39,254893,8984,184,385
12,20,2997737,33985,1447,684
10,10,3397394,9191,1237,209
11,25,320749,7871,183,NA
11,24,6965188,120154,6883,NA
5,21,765804,13497,578,1395
14,26,2626505,35664,2090,NA
14,30,951210,10404,297,431
5,26,177267,5790,94,472
8,30,2317932,67077,929,3203
13,21,106280,1307,92,82
13,28,1460855,83640,1735,4454
11,24,520000,4093,295,114
2,24,278767,17429,106,1218
6,25,4067103,116222,3941,4386
11,18,55190,911,22,16
11,28,47507,406,30,1
11,19,162388,2393,61,27
7,18,232314,6308,105,266
9,23,103302,1791,33,28
9,20,118114,1961,42,52
