title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
9,27,8167645,269800,6221,11826
5,29,444026,2580,82,158
9,28,605050,11401,266,728
6,19,17060992,86013,8438,5501
10,31,763035,10371,444,221
6,26,661908,4002,141,236
21,28,1494305,31957,1117,2730
4,30,338448,8333,1586,1024
4,30,367997,8966,203,472
5,26,1845161,11252,448,909
6,26,1475866,8328,280,750
5,27,1106859,6982,293,369
5,26,542619,3933,187,523
5,29,489581,2691,86,235
6,29,1590000,10168,325,559
8,23,1950104,43928,1209,2176
3,29,600248,5044,289,538
5,29,751786,5669,153,407
10,32,1025152,5468,688,767
11,30,760197,5657,626,799
7,22,249615,2508,85,363
11,26,150964,6158,48,231
5,20,940466,37294,351,1305
9,24,439646,5374,496,1196
9,30,2544122,14969,1672,687
13,25,1809789,34399,2236,1224
2,21,4934886,69330,1760,5392
16,28,326866,7935,75,375
10,32,1173538,23869,487,1132
87,128,1435887,15940,273,1063
6,29,6507154,48216,3485,2003
9,27,360802,14431,241,671
5,23,561354,8310,192,718
13,26,702572,14682,408,773
10,28,1002855,21859,1209,718
5,28,251593,2145,66,156
101,128,1835934,12988,491,1702
6,27,45645,404,7,51
7,30,1613766,60953,485,4288
11,22,1074500,40071,1197,3917
8,30,1511170,33922,875,822
9,28,1329118,18409,1564,665
10,32,152719,6767,80,251
12,33,718214,20980,385,1954
6,31,113307,1288,54,129
13,25,277190,7728,109,357
4,22,376293,15180,69,386
6,24,114525,1120,33,87
10,32,935595,14904,234,NA
4,29,867940,15401,535,1167
10,31,107189,2066,85,123
15,74,168782,2418,109,171
13,29,2408949,59057,1439,1879
11,27,911504,41282,555,1082
13,24,1577597,19506,680,1910
11,26,1640577,54794,4331,9027
7,28,373367,15367,98,674
6,32,1286312,51659,631,1533
4,24,52999,453,8,26
11,35,442767,9292,256,282
5,21,973250,6733,183,213
9,28,145604,676,358,105
7,18,545469,26266,150,1010
67,16,523859,5871,422,463
10,27,669433,12909,251,701
11,33,18480,129,6,25
17,30,420361,6892,391,293
13,30,195094,2892,104,346
14,31,177924,1909,54,163
14,23,295467,3512,137,262
8,23,487613,13929,236,918
3,26,44572,1555,11,144
14,30,116526,1280,120,433
5,25,1429891,14068,457,1177
8,28,684351,20932,489,789
7,31,333976,11053,214,1969
9,29,698876,4560,857,117
9,30,593060,10107,306,500
9,33,85301,874,24,123
8,29,211681,2725,201,457
7,29,133932,685,35,64
14,84,334921,4931,266,339
10,30,2388459,40227,1310,431
39,30,11469999,14375,7509,442
7,29,190753,3027,154,586
14,30,1005653,11111,554,1191
3,31,380936,2969,225,403
8,17,522931,15140,320,363
5,25,106277,1232,35,120
