channel,section,playlist,video,link,time,views,publication date,likes,dislikes,description
Apple,Discover More,Discover More from the Apple Event,September Event 2019 — Apple,https://youtu.be/-rAeqN-Q7x4,1:42:19,6527776, sept 2019,100 571,14 583,"Innovation takes the stage September 10, 2019. Check out the all-new iPhone 11 Pro, iPhone 11, Apple Watch Series 5, and iPad. And get the latest on Apple Arcade and Apple TV+.3:20 — Apple Arcade13:12 — Apple TV+19:58 — Introducing the all-new iPad36:35 — Introducing Apple Watch Series 546:56 — Introducing iPhone 111:07:40 — Introducing iPhone 11 Pro"
Apple,Discover More,Discover More from the Apple Event,Wonderful tools — Apple,https://youtu.be/nyp_PczrqFE,1:47,3373558, sept 2019,123 360,4388,"An amazing journey through our hardware, software and services. Song: “Flirting With June” by Les Gordon https://apple.co/FlirtingWithJune"
Apple,Discover More,Discover More from the Apple Event,Dear Apple: Face to Face — Apple Watch,https://youtu.be/mx1by12-oF4,3:44,818735, sept 2019,16 918,1684,"Every day, people reach out to Apple to say how Apple Watch is helping them live healthier lives. So we decided to reach out to some of them.Learn more: https://apple.co/2kulkSL"
Apple,Discover More,Discover More from the Apple Event,Apple Event in a flash,https://youtu.be/ZA3MV2V--TU,2:04,18467032, sept 2019,141 990,20 172,"Seriously abbreviated Apple Event. Introducing iPhone 11 Pro, iPhone 11, Apple Watch Series 5, and the new iPad. And announcements about Apple TV+, Arcade, and more.Learn more: https://apple.co/2mftz63Song: ""Adiós"" by Benjamin Clementine https://apple.co/Adiós"
Apple,Discover More,From WWDC 2019,Introducing the new Mac Pro and Pro Display XDR — Apple,https://youtu.be/wl4Hg23RQHQ,5:01,3838527,juuni 2019,81 695,26 853,"Introducing the most configurable, expandable Mac ever and the world’s best pro display. Mac Pro has a Xeon processor with up to 28 cores, numerous expansion slots, and the most memory capacity ever in a Mac. It also offers the world’s most powerful graphics card and a new accelerator card that eliminates the need for proxy workflows. Pro Display XDR completes the system with a 32-inch, Retina 6K display delivering extreme dynamic range, a P3 wide color gamut, and remarkable contrast ratio. Coming Fall 2019. Learn more at https://apple.co/3184ycg"
Apple,Discover More,From WWDC 2019,Memoji Makeup Tutorial — Patrick Starrr and Desi Perkins — Apple,https://youtu.be/3x7_w9Oz8lQ,1:40,2498039,juuni 2019,45 237,9071,"Patrick Starrr and Desi Perkins show off how to totally glam out your Memoji with all of the new makeup, hairstyles, headwear and piercings in iOS 13. Coming Fall 2019. Learn more at https://apple.co/2XoN2hQ"
Apple,Discover More,From WWDC 2019,Introducing Dark Mode in iOS 13 — Apple,https://youtu.be/E5Jg4Wm9b7o,0:58,1740872,juuni 2019,55 437,3624,iOS now lives in the dark. A cool new look that’s easy on the eyes and perfect for low-light environments. Coming Fall 2019. Learn more at https://apple.co/2XnJs7zSong: “Magic” by Mr Jukes: http://apple.co/Magic
Apple,Discover More,From WWDC 2019,WWDC 2019 — Goodnight Developers — Apple,https://youtu.be/fa5p19APgd8,2:10,996220,juuni 2019,44 609,1203,"When the world goes to sleep, developers stay up to chase their dreams. Learn more about WWDC at https://apple.co/wwdc2019Song: “I Guess I Should Go To Sleep” by Jack White: http://apple.co/IGuessIShouldGoToSleep"
Apple,Discover More,From WWDC 2019,Introducing Voice Control on Mac and iOS — Apple,https://youtu.be/aqoXFCCTfm4,1:26,841313,juuni 2019,41 012,1113,"Voice Control gives your voice the power to navigate, dictate, and work your devices in a new way. Coming Fall 2019. Learn more at https://apple.co/2ZazIOF Version with Audio Descriptions here: https://apple.co/2MnupcVSong: “Jump In” by Atomic Drum Assembly: https://apple.co/JumpIn"
Apple,Discover More,From WWDC 2019,For All Mankind — Official First Look Trailer | Apple TV+,https://youtu.be/HZS9M52Bd_w,2:04,12791818,juuni 2019,23 813,10 080,"What if the space race had never ended? Watch For All Mankind now on the Apple TV app: http://apple.co/_ForAllMankindFor All Mankind is created by Emmy® Award winner Ronald D. Moore (Outlander, Battlestar Galactica), Matt Wolpert and Ben Nedivi. Told through the lives of NASA astronauts, engineers and their families, For All Mankind presents an aspirational world where NASA and the space program remained a priority and a focal point of our hopes and dreams.For All Mankind stars Joel Kinnaman, Michael Dorman, Wrenn Schmidt, Shantel VanSanten, Sarah Jones and Jodi Balfour. Ronald D. Moore, Maril Davis, Matt Wolpert, Ben Nedivi serve as executive producers.Subscribe to Apple TV’s YouTube channel: https://apple.co/AppleTVYouTubeFollow For All Mankind:Instagram: https://instagram.com/forallmankind_Twitter: https://twitter.com/forallmankind_Follow Apple TV:Instagram: https://instagram.com/AppleTVFacebook: https://facebook.com/AppleTVTwitter: https://twitter.com/AppleTVGiphy: https://giphy.com/AppleTVMore from Apple TV: https://apple.co/32qgOEJStories to believe in. Apple TV+ is a streaming service with original stories from the most creative minds in TV and film. Watch now on the Apple TV app: https://apple.co/_AppleTVapp#ForAllMankind #JoelKinnaman #AppleTV"
