video_id,duration,viewCount
0LfWMrERydM,35.33,92787
63PoPEeMdiU,27.08,447285
Sp0D5_YkYhc,14.18,19902
TToBppEkntA,10.13,2602224
hEyEHUgDlBc,11.05,738220
RCttR07Ciw4,16.47,380016
fQjNUMJQ_08,16.03,67688
47iOCC1DHoM,12.56,1482306
aYMn2GMZ8g8,10.03,74695
s6uW1odtjPc,25.23,733024
ziBjMv9K40o,10.02,141650
rStsx8SGsPc,39.4,34614074
iCP0bakbPR0,4.43,294606
twlb_LJsp4Q,10.54,8219054
M9sHwGQYmJI,11.46,2934344
nWe2On5H6UA,10.35,131305
8vOUnywZxrs,3.43,417571
JhixxfQWauw,5.5,6334547
mzF1nZjGdGQ,14.09,621665
qmMN9MLMWfs,12.29,6764262
xG-shzpyAnI,5.5,327116
npfahtvaWOk,5.21,841685
58oVAN8BYBE,10.38,86529
O0kFELTag1o,4.42,512794
1OfABoqs27I,4.07,245566
crhvwfX8CLQ,22.06,50088
vZ23ZxDcRB8,8.17,47170
aoHziWK2TcI,5.21,232629
t_E4SFZ1hMc,8.27,4886
hjI2-o60W1I,12.11,27409220
kLUFit8815c,37.4,4128296
GLZqyCqTxTM,18.5,455810
-M6-gVCZBnc,37.46,80016
He1SQV8kAqY,6.12,413831
oGLeVSSErXk,12.07,4756433
hPSRSDEaYJg,12.23,10440182
saDnAkBU6Qs,12.37,8177955
oPU4rmIrvuw,10.02,41401
idwchtBBXB0,19.24,169952
2nNzfGHvl7U,31.42,3989810
quZU_hA4Pr4,7.52,1375522
83a1lb5gwNQ,3.55,7232230
QSKOPTiwhe0,39.16,322531
DUgAnN268kc,4.5,576188
5FXFnyRnl48,11.3,37531520
OED5v-n6BLw,16.56,4372583
lHPYmEvOjAc,10.5,1060392
tyk3aiBHISw,10.19,1153126
Hbk9GhfBjw4,27.49,1675154
zyUXBxw1mhg,12.52,132547
coXOC09c66s,5.19,440932
99OUjrgEq3Q,22.29,74941
ntvyMfRPKBM,8.44,1816064
s3VzM4CZoqA,10.47,1130732
nipiyITHoIQ,5.34,126884
27tNJWq8C4U,44.59,3023915
iyovjb8u7zY,10.36,5714320
llJXtDVjO2A,10.32,217813
49AqU3bmtuk,13.55,6811336
BWPFKedme7M,11.17,56827
S0fjb5CiUsU,10.43,2348760
lAB3T5kzIdo,37.11,57836
5S3opuECs6U,7.37,151201
ScC0tJsv96w,3.4,25460
Rrmle7fx7IM,19.17,33885
Uli4FpngmMc,17.02,344914
VxyLwYB494c,46.23,2450140
4Xo3Fq7GGWk,47.34,1247803
ZjRYbgDkIOo,14.43,5178725
0KH6zldCYjQ,12.07,14839835
oQSIwt-m2oo,7.05,1038234
AzyIXRweo0Q,9.42,3621506
wYUtDn8kmAs,21.25,1179493
quKXa6O6-5c,11.31,307202
bOUQhwMweVE,15.52,1840813
muJ3NyVO8yk,11.14,10280521
1HIfNI92Mjw,55.23,1593422
u4l0TSGhWTs,13.27,436531
Hqpl2jnJOag,10.18,934627
RmtjUnVTVUA,25.29,20703895
pCk6VmsVo6M,17.27,1031794
Wa2U3tcXNAo,12.41,27210285
mcJY5N1ypEc,11.06,992600
pZcnvIAL6Ys,6.32,8798993
wsI-usDoGW0,10.08,924984
uty3UDLCQ2E,9.26,7394766
HJ2bn4dAr5Q,16.52,24275
jtUgFJO4Q3Q,13.36,124856
hFj8CwisIe0,4.08,5206607
6Szd-gqoUuI,5.05,1712762
RPTfFjQn5Zg,45.42,197173
60LJHWFu9yA,29.43,8198
wnlWCZxnwPg,42.56,484565
UcIlk1tNWsE,21.53,4551343
UcFMD5GUUn4,10.55,10903
9tZz9lCkHgM,4.07,253565
Bo3hjrUOppk,11,5047906
YLU6m1D_uWs,12.15,2398764
8f-1X3ot5sE,49.8,2631716
uM1Us340040,37.48,14561
PpCCjRisWSc,19.09,367605
1ijZnaQ8RcE,5.03,14759
ltoKDWBAqj8,10.3,29505
lH5NvlFuku0,9.12,20097
KdlawuL19U4,41.25,1297134
N9lKS_i8-g8,12.2,360602
Ureo_0gyRAw,73.17,7349559
06Ej52-D7a0,7.23,1922036
Z6YCqqd8nL0,16.03,691024
-t0KBMSXfYI,14.24,666745
L2hLi_Zu5fM,8.03,2831115
ttGVD6kRc6A,5.54,121782
HmWiTyHLwG8,41.31,1417266
jNtmyTyV7LA,10.37,279248
UJcbeCUNnGA,5.17,30148924
CNgOqNNWLQ4,9.07,4976496
W2Gfecvz1Ks,6.24,148203
8skhhxbX8a8,67.06,32062
-dulGdlC6hs,9.49,2676694
3Sbw0lZ9LmY,20.31,3630024
i7iAK_q70do,9.21,5533802
lQEnZ5oTRXY,17.26,304897
kJRPujGhyYg,47.26,3015614
wOwvnBzJK5k,12.22,1961320
AAqn3FwtXKQ,17.11,524743
Tqsz6fjvhZM,10.17,13940563
laR2SrGiBac,4.09,3272267
6P7YUB0buqY,28.55,2824898
JUizXmMtODg,11.1,4732746
nQ_u5WqU-pU,11.05,79234
nnQwDWBBuwQ,16.26,348720
dtruMNbQtOs,9.41,40845
wTGc0bG77Og,3.43,165884
SkNT6XUyMTw,4.32,427791
dJUN52oQNVg,5.23,839121
cIhY5KoYBd8,5.3,60499
LorScLCUG7o,6.02,49074
aR8vbF9BcsE,37.15,401762
NDJf_oFuq_Q,29.34,2270835
fqjU_OCZ4j4,11.56,48321
A-uF_X9tPw4,7.27,191220
PHgNMJviO6I,6.56,2927868
wKC917O5FjE,14.57,52328
T7U3Zi0KSh8,11.59,154955
RDkFSZzfgaM,8.42,3154964
Lr2jWCYXGg4,14.06,661260
bUL0wMZwCf8,79.52,267601
ikr-QGhndz4,31.44,3754648
0GTHnAOXXns,12.43,1685856
gojLtR2BVwQ,12.44,524595
Aix9377fPjU,11.37,749932
o35aIWq-OPM,10.49,978070
8bqRaM9ajXE,10.13,45648912
97aSlf5mJ6g,6.57,27943564
tjEpBtD6jZ8,17.51,1276440
I1QFY6DuJ6Q,23.07,97493
bKtG1Sk31i8,8.07,35108
De8sVdASs58,14.07,5035872
iZS7QknKeX0,24.46,368359
jAGquFtkCRc,10.01,229046
io6wi8DVZ3o,13.44,7946183
P6cqnrB61AE,7.07,19648163
9o8-xC4f9mI,25.36,123869
QiSb6oy6M3E,11.37,115645
nXa3dsrzGMk,10.18,9448556
ilzEgeb4ZK8,79.54,2256970
2R8rQ1q_yLs,10.18,1893631
Zf24GghsESA,15.5,521365
dzlW38luF-0,10.13,27123198
imc7glCxNog,11.33,397129
hw5gvy6y8QQ,3.43,11337915
DEp2hCMChvc,14.23,1013392
H2TfBTaV9AA,10.29,5762138
uB4TlX8cK7g,10.29,50434
Ef12EVA8_rs,12.39,12219086
PREfRJHd3ZY,10.52,10840794
F8YAq8jgE70,13.33,195127
yuSgcr-J_fA,17.02,678473
MDpnnJvZjLM,6.3,6884865
Ozp32aTdkmU,11.34,1519747
t-eUJmO9kYM,22.07,44076343
Wj6YIaL2CcI,7.31,4082690
TXNjyX0R0xo,15.08,6040638
F_7QXlXpytM,54.16,2269748
BOaBoiP92NU,13.04,443701
-aRy7LZOO7M,20.18,3948170
A-vtVm49008,2.4,49695
mgWQCu7eJbY,3.51,1374150
05Gp0MTDiTg,23.43,12820213
Gb1DHxY9wQg,6.27,4643087
dvWsEC7xGXM,58.28,9191540
C2LSCN2e84g,14.27,30069412
dvHrDeoqMts,8.22,636898
9IrooOnETgM,2.03,96861
jckzyr2a-dE,5.17,556998
ElBej6DoWr0,10.36,675098
j5BnbeEdNv4,10.06,80317
MoJ0--bf-jY,5.09,1377512
ZbgZPXsiYto,10.18,44054
bQbH5RZiBgs,17.07,3466324
T7O9XkIBtTo,8.58,3935763
roIaW7LDrKo,10.1,18110465
ZGfpVdA3w0U,23.52,8492360
v8Wm_tFrgOQ,9.56,5374539
IWcpeBY5vA0,10.21,11466224
iVVd0ZfBRbo,11.44,527723
TPjUpeFzj7I,11.11,18595594
1MiztsTBSwM,19.39,4578703
iy0YUkbfNgo,32.48,83794
IfRYf_0hUuA,5.23,566650
lWXI4BC2CUA,3.57,55785
LF0iFERBT5g,6.53,509413
Lohgljl8t1w,10.29,5724
hqrfTqR6u5g,12.53,14720
tZm1eaBs24s,12.49,79449865
wlwXXb3-qn0,9.15,16258031
cIHfl3EPRwA,8.23,178861
VheNT7HOGFI,4.3,4132290
JEuAD7Ey0jc,9.45,471909
sYFxJefCIPc,12.07,21824268
cZAts3LgiUw,10.2,103031
-27fDCsgKPo,12.29,20146415
AU4Nct1lEVU,8.25,3952822
b7eror7JG2Y,6.12,29582429
JpfiVU5_3PY,13.13,2153230
sfXKVj5zZeA,28.14,17217558
8vV_XLn6wuE,nan,2509577
PXiAouRxIvY,6.23,810075
HQ_1ZVLO6HU,3.51,349072900
6wfvWKVgOu0,17.17,12055542
YLNnKxpJ4-s,10.48,635678
qo7G516Hjak,10.12,7814344
dMHuZeQCBlw,13.29,2295300
umvdeuF5qIU,5.06,15192423
O4x7sbbJNcQ,4.19,766743
F_6y94n2zzQ,6.24,3312569
ivYFB7D88xU,12.56,3394894
q1KU7xEpiQo,12.31,457592
kJtq_mXivFM,8.57,2070784
eMTKKwO8fmE,nan,11273825
dsPPlQtxkmQ,22.1,1128490
tGtrGrhG678,6.5,2075872
VjYCnmbiGeI,10.07,8712344
pSVGGFCoamE,12.02,3284264
H9JfugPgsB8,10.13,25234728
McnRmUGXEHc,10.07,5422995
_1ivcDsVcEA,41.51,1658938
RKMMzC7amiI,4.01,1494169
zG60C6tnGz4,10.08,2382418
W5Q7KFbMwiE,10.08,2573347
f0BwtXF0EME,17.17,7759267
_Y9nJfPza6Y,11.17,1066404
k1hLxojtBuk,8.45,11617556
SKYCs9B6vHg,10.03,1173463
GH36es5aVNU,9.37,4553826
ks1CC9HBqSE,10.14,5945483
XEBtSL_ieC8,18.19,4629887
xG6QBvtTKGU,10.07,6028540
jrkTZp06KV4,16.05,2943846
uX763B89Bks,7.52,239858
WxmAtVicpUc,9.44,993679
vtvlZr4gq8o,10.25,633694
CQhrLUYoJJY,nan,2667286
13Ji1rrGeAQ,18.43,79636
oF8g6VTuXBc,13.1,1799807
xpGUU0BZhRw,15.07,4036831
D2mpyc3-tCc,12.53,207849
ylvxPlsZ9vg,16.03,3869207
DOb5gSs-6o8,10.04,774520
0N6hC_EsUc8,18.12,5578454
SBKluTNOVPI,13.19,4552763
cvdZT0eqnek,14.05,1173388
0uZ1SZ2qTns,8.3,18260466
HQILxqS831E,9.4,6739309
eA45sk4_LeE,18.49,1237231
XDQzAgpKmJ4,nan,589695
xelLxcn41kM,17.48,7330042
X3ec4jZNaRg,44.27,71751
7xtFGPqJ6N0,8.32,439607
uVioLliiCX4,4.49,4017757
LBjGD5VGVg0,7.59,8523241
OgCJftv__N0,6.4,14976798
bwSUhBrKAe8,6.03,19468107
FHGx0FLyV0Y,7.28,2552129
CdmgQn6ZQcQ,5.13,180294
bIfaljHZMEc,21.17,2180084
O_rGlnOfGfI,18.22,278863
9aZCdcUta7c,nan,2162180
4GwiWADRjjs,7.48,2622393
l8mIX6mEv6M,12.11,2305733
mwakqGMhB5s,3.14,1283164
nm5G-1Et0LE,nan,9250584
bS9R1akUWPg,4.42,898408
MEWTMTTupgo,nan,312792
HyIbwcRToBw,9.2,851066
Nkk-8ss3PBI,3.51,219180
H8Z1HgF9iBs,12.32,1031679
9y6LwSG97zo,3.51,5972437
zGnNEh6Ya80,12.32,11903349
vK_KMicFb3w,4.56,7737093
vOM-ekg708I,12.07,1261521
maLegAwjExo,nan,9865236
6FqUN9MO0zc,nan,54396922
EX-x6oul0ZU,8.39,659958
SE9K-1IG028,16.36,493503
jAELQ9yCPdA,26.08,4813050
M-EbBS649OU,4.58,305937
VCFzJeI7poE,4.19,188174
p54e46_pmMI,nan,111119
65a-w526X5k,8.54,188690
Qn1B1qKfTSM,nan,310919
-Jnh_g_yt0Q,9.04,557797
Z1PCtIaM_GQ,nan,17106653
6Lc5D68L8ek,2.38,7283923
gj4uyjlz-vY,4.26,245239
SsLc5JwCDNs,4.58,149396
-cAvpsVhW3o,nan,57305
SZWBrgyF5FA,nan,3750574
fr34Tsrcry8,nan,12541398
TRahfoWq_3U,4.18,498915
mith6CEZ-V4,4.27,98350
PcnzbnDZKHQ,nan,66139
B2zHIq5-jmE,1.02,5278555
jmSdKUQ2N4U,nan,65352
3rgLBXZlCMo,0.31,2399699
