video_id,duration,viewCount
Vrg4KlKnKoY,22.26,397591
XZDA0gGOnqg,21.22,850575
urT537iysGg,17.54,361445
4-j_Hu1WThE,25.53,219057
_pGfUwgbHKk,17.43,488888
E0WvVNhvP2A,15,76726
CR026kQQdsU,21.43,385053
Ei7ZtO5qYgo,25.12,206052
njC2RHo194Y,20.58,396186
pdD2vMgAdh4,10.04,209745
Jbd2mRM-4u8,10.09,383425
1MenwQ5D_FI,12.52,2963279
9DkBYixYBFs,18.51,960293
8_EWSZ2pNFc,26.19,102143
IVsMSPNVHR0,17.1,2805700
5YZz3bgM120,15.05,167388
nQwp93Xw-8Q,14.04,626130
bnTTz4CFqXY,17.55,705119
lDyyCvMh-Ow,9.22,346995
K3g2840zXKY,5.58,16760030
zUBXNS-BWb8,8.13,2229189
72ySGgfAhP8,8.04,571450
yq3F7BKl0Fg,13.15,518488
O-N-p_nXChQ,20.02,477787
pbjfgA0wipM,6.45,1169965
8YZdLhDSEng,10.03,1334990
ruuzRpCYrwU,13.02,2801718
tLzp_xUr-gQ,17.22,1218819
8A9Sdvppurs,nan,1553809
NK9F1zwBNug,39.31,2003121
hLTY8ue0pdE,10.22,7228599
ZMJL3LkSq50,9.18,1615875
pAAwTIrhKKw,7.45,6294774
LnI6Do8ByNw,7.14,3183965
XN6yTjiG4PY,9.32,1465087
DYrrWSd9bFk,43.09,546342
sA8SnfEaDEU,8.44,6017010
PkhVybrCMks,18.33,230955
RWE3tNmNrr4,8.48,565268
dTpFnkuYPYE,5,3258356
YVr_rfqHax0,8.53,727818
I4Vx11JxFc4,9.06,7147951
WocjtVabfho,9.13,3155883
P98Sa3L6GAs,10.12,4138179
DO5L-FXFCdM,7.04,422494
pI-JPlKROUk,nan,319929
s5EigVsM_OI,22,291422
Rz2gU1yyLeE,12.31,421816
DbolchbGedk,11.1,694795
iUKEom6gJt0,8.31,6242317
NYt3B9lcUm0,7.24,3940673
CrU8PrNBVy4,9.58,1055912
XA22RPCkKB8,10.41,276958
cRRIsM8GjGM,8.22,5088653
Zxcr2q9Sqlg,8.51,2781553
WA7sX9mBvgo,4.56,301879
3f47eONJgLA,7.31,6651539
HULETp40pVk,12.5,201571
MfpT3l_64Zk,8.47,1031530
vmDz1nuFSVE,20.37,630011
eUuSpqbHmPc,10.03,485475
PrYCCSfrhh8,9.09,432048
iRxJg2y2UqQ,21.11,1042102
2VwOvclCTfA,10.17,701337
pyXC9aQu3fY,8.38,494776
gpvme0-CFAQ,15.03,31
IlElgfH0Rb0,17.38,1811255
mRX9tz1OoEI,10.06,244030
2hK9gLfBxNE,6.55,1228232
7DuQtVVxuIo,16.47,7494
sGz2F-FKwsE,10.5,356448
mWQ_x2ltWD8,13.45,665447
GBcxBCRs0y4,7.29,741349
zBaDMJknffU,3.37,205370
TFXrpwrfsWI,9.3,1222775
y_q93K9S7oI,10.18,2354997
TxMveV1Uae8,9.27,2446238
QcQa54miYvY,2.02,86816
M4AlJ626jQM,8.57,1286057
k1AfYKSk7ps,9.11,759708
gc3SLFKoAJg,8.54,2434828
FnThpvuLm8Q,9.09,157143
L_eQjwAnsxw,14.01,1333890
O9ydIdjf4Sw,8.35,1317076
mUJUgf0zX9Y,5.02,347320
nrfnA5_L8sE,5.09,869363
2Gx5Bx6PE9A,7.54,7305617
y7R3NghyxNw,15.29,1078592
plHrjHfTOvc,34.43,150477
x94NyYrmrNc,32.55,230687
YuE5ZCeaWkM,14.36,11149
0_GBfjwmRcI,18.55,9325
cJblpoh9Lok,25.33,59
90zdfn8dmPw,nan,9195
vIRVYy_P7Ak,2.28,164052
ogX8Ygecxuc,12.03,773997
UxFCXbZHLHc,9.07,452840
8_gt3UzNxgY,7.44,4747797
FFhh72bXJeE,14.16,305303
