video_id,duration
p8scg41xVzY,49.14
S7ssrGfEcZk,9.03
fBZcZuImlDw,2.07
IMxdjKaRlfg,11.1
pc8-8KfIW5c,25.24
gkyNhQ5Pmoo,11.18
4qH3M3Xst0w,10.42
IoSuQ5QGrEA,2.14
V8YDuxPQ7BA,15.22
DTZ4khupsCM,2.42
5GCTHbdZEDM,1.32
EoxtmICX0tk,3.46
V9fYGe1n2AU,13.52
iGwF3ecEV7U,10.02
TIquIMgbZ_8,5.17
78AlddTd098,10.38
JWy_jc4l3dU,4.58
TCW23noZhzo,12.28
ThATkncf8nY,10.1
JAFGMSqIPBU,5.23
byDjZBpl5PE,1.31
M_x3lYsJoek,6.12
m4fSb5eqcmA,7.1
wW7adGSb2UE,15.16
FySRB-JdzNs,5.04
u8rUUFkdQ8E,13.08
73S_BAj6zBY,20.11
h8_sExhM4Mw,22.51
FanjQuWHDeE,12.05
-wcCfuEiyXc,10.14
T9GtaWznpv0,10.13
mllqeVSsIl0,10.02
FXtyfl50zjg,8.49
B5e03Ytec44,9.3
TORGSzjV4U0,4.22
Yk9BnCT5n1o,3.23
AP_E0D043a4,13.47
QlkZ72KgQP8,2.17
KYFk76tjo38,9.04
8CrajEITBgI,9.37
iONJOi7TGPQ,5.27
K40A2hA2QFM,9.34
YLOKnfY2MGs,3.1
9ca7dIAq5wA,11.06
O1CUBRyZ2T4,3.32
VGnoUxWl5xY,19.14
NqJlErvkVRE,8.23
1pux2YkHLcY,6.04
zOSxPEIlwzg,3.33
m4M3QlxioqM,1.54
kRejHx6W2kg,11.58
XcahejFvkiE,10.11
35Ok_6hbBEI,6.49
LEVh10h7IIg,3.5
xeqSKJQEx9Y,2
_03b-UYNlZc,13.11
snGM-Xtm5PE,2.15
erV1VMlLDC8,1.15
YGhQRGFzo7A,11.35
12fapgeEJEs,2.21
JWEKUgefwnk,6.41
6JMR_T_oiYE,10.15
gK1qlo0OsSc,5.11
N3MqNV14AbI,11.1
Gfkk8Z-k-FI,2.16
WhA34oMGd0I,4.29
3vdkjaRxyb0,1.23
hfsl0-63GxY,10.11
SwcEaTFwv2M,12.17
gonsEbLgGzY,4.05
U50osvxVYU4,18.14
-iuarzpHIyY,8.45
3OevdnUEKcw,13.31
Ds_C972uGWs,5.05
GXXIyjoPwLo,7.08
HeG5t7hWD1o,4.16
kEWYIc2fBmg,6.22
6AFtJwKRctE,1.5
QT3MWrUeiEc,1.27
CJ_cneQgqBY,6.16
dkX2kuzAYRE,3.35
G4Q8hmXtAYk,5.23
LP8oYe5AaGs,5.02
XwUiof9R6gg,3.44
5FKJ6Y6qxTU,14.19
4ZTe7AFBC2k,5.12
zjye1dRsMmY,NA
yjRqja4slIc,12.35
ND96VvzjxWA,2
u_kTUbuJxI8,4.11
G1xA4AUSfgc,14.01
ESfWfEThcdI,2.21
Gw9RuNGYKPg,5.55
q7QBW_jx3D8,3.2
hEE0CQDqmus,5.59
9tKsmG5ghdU,3.25
5c8DhgVfwR4,2.21
LqjGetXKkYc,5.17
HOV3sGdPp5U,7.31
6F-9DVxcH7E,3.08
yT8MI-uACUE,4.28
7E3v2Z7_fsg,1.42
4vLbzHuCBxY,8.36
efp92RjFebc,6.47
USvVACWljno,2.03
OKm3Ft9Xp-w,4.43
crpa3s4gGCQ,10.42
bKExaaowRqU,1.05
pwkNAq5gOhE,18.37
60GtxbF97g4,8.49
J4lpmwz9uh4,4.48
p0KtPOhKFA4,3.46
LQqzRMEULAA,14.34
M_TU-YNwtUU,4.21
TQUnhLbOt34,4.01
gVS0vEjuLcc,2.21
d8rc0_SZcu4,8.06
y3YOnLKO3Pk,7.48
iTNQCGUgMIM,2.49
Kd06L6oOY_Y,2.07
zL0pPq6j7R0,21.52
Xn7HJtt7U7E,1.25
vVQVuGxhzVg,13.56
XEvR8j6j4tM,13.24
5yqndGH_q1M,1.47
1SWP8InGAN0,4.13
bZKba3nevZk,3.58
ab9kL73yDA0,18.29
2VaPCsc1ITI,3
0mrpwbY_qdo,3.45
-Q1UM5G-GlI,11.02
449s0gIJbTU,10.15
uD35FJYNOzY,10.56
fh3cYx3lr6U,7.12
7mUM1lBys1k,7.44
lOo5bxBjggQ,3.19
HpJAd9qrRr4,5.1
NUa8JQ8aT1w,3.25
XLBTS8HpmtI,2.28
O4v13Nyv2Qo,7.01
TwN7ZJBU7EA,10.58
QCevg3JRtjQ,1.1
fJu7EfnkIs4,16.35
RP3A1QrGaq0,6.08
f-aY_KlEDjE,4.08
8a3EG7PHHgo,5.01
ZHyx0CqOmyg,10.55
