video_id,duration
VKg3w8cnMoI,23.54
mnG5ST-x73I,9.3
mK79gVAD7xw,1.2
epHvfvd6edU,24.34
vtmpHuHKdMc,2.21
sfTzinQuHxs,40.52
KKmlLozKf8E,0.53
EihqZWH6aT4,4.45
sk7qw0R6phw,26.16
VacqBkJMofo,27.32
w2k85PW0slY,1.09
GLEu_w0edq4,26.39
OsXWJOb58Nw,32.56
dBOvo4iJJS8,2.59
ovBRDPFVrjA,17.36
hz791Sc2tQ8,11.05
9urFLYzCj-0,45.52
k2cHpZPdYaI,4.17
vJ9JZDRT5so,1.18
v5fVnivRZR0,12.04
mPNgbzJcWhk,0.56
HCzlMg3fszU,3.03
UvpYzMUXX7s,72.54
H-DwMtEaFgg,7.52
GdpY4JrrEGk,19.53
DtFAAU2h_S8,27.08
D-muzNczXuM,45.06
1A2hAozGDnk,39.58
qxfZ0muu1uI,1.14
ywrLKRUMayk,16.54
_A-WNl-o280,3
Om7wGUivcPw,6.09
1gUsNbNBECY,1.23
iXTQHgDDIv4,33.45
MfSkga19OX8,1.13
NDA5Vxv0dBU,51.47
JKvE0wXc3lU,4
pEUA_YXjZNY,14.41
42eDrH4m4cs,52.13
vCA_V9i6L98,54.02
XUmC92Ioi5ca,1
Aok564K9SBA,8.43
0WB1zdT656o,15.39
Awv4Xh_xIJ0,11.43
42k0XtQ6q9g,12.17
VqK9JO1tu1c,3.52
rIH4tCLv7qM,31.07
fgWB1LqUmt0,36.13
XFQOV7rjffM,4.51
gAZJlTxWpNE,14.4
FWArtUCTPXc,0.2
