video_id,duration,likeCount
p8scg41xVzY,49.14,1006235
S7ssrGfEcZk,9.03,878
fBZcZuImlDw,2.07,13635307
IMxdjKaRlfg,11.1,11822789
pc8-8KfIW5c,25.24,20091330
gkyNhQ5Pmoo,11.18,4363422
4qH3M3Xst0w,10.42,32892
IoSuQ5QGrEA,2.14,216
V8YDuxPQ7BA,15.22,1045667
DTZ4khupsCM,2.42,4928977
5GCTHbdZEDM,1.32,13
EoxtmICX0tk,3.46,2527278
V9fYGe1n2AU,13.52,152671
iGwF3ecEV7U,10.02,1407588
TIquIMgbZ_8,5.17,8599219
78AlddTd098,10.38,1349817
JWy_jc4l3dU,4.58,155
TCW23noZhzo,12.28,3274
ThATkncf8nY,10.1,15675189
JAFGMSqIPBU,5.23,51
byDjZBpl5PE,1.31,2
M_x3lYsJoek,6.12,116
m4fSb5eqcmA,7.1,63
wW7adGSb2UE,15.16,1314
FySRB-JdzNs,5.04,545887
u8rUUFkdQ8E,13.08,50
73S_BAj6zBY,20.11,187
h8_sExhM4Mw,22.51,175
FanjQuWHDeE,12.05,16583
-wcCfuEiyXc,10.14,21858
T9GtaWznpv0,10.13,420
mllqeVSsIl0,10.02,5326493
FXtyfl50zjg,8.49,1953166
B5e03Ytec44,9.3,960617
TORGSzjV4U0,4.22,80070
Yk9BnCT5n1o,3.23,251
AP_E0D043a4,13.47,337
QlkZ72KgQP8,2.17,18771
KYFk76tjo38,9.04,742714
8CrajEITBgI,9.37,336
iONJOi7TGPQ,5.27,328
K40A2hA2QFM,9.34,18
YLOKnfY2MGs,3.1,218948
9ca7dIAq5wA,11.06,38526
O1CUBRyZ2T4,3.32,184
VGnoUxWl5xY,19.14,87
NqJlErvkVRE,8.23,106
1pux2YkHLcY,6.04,15363
zOSxPEIlwzg,3.33,115424
m4M3QlxioqM,1.54,62121
kRejHx6W2kg,11.58,7120
XcahejFvkiE,10.11,10607
35Ok_6hbBEI,6.49,665
LEVh10h7IIg,3.5,79992
xeqSKJQEx9Y,2,38
_03b-UYNlZc,13.11,1655
snGM-Xtm5PE,2.15,80
erV1VMlLDC8,1.15,44
YGhQRGFzo7A,11.35,61
12fapgeEJEs,2.21,2
JWEKUgefwnk,6.41,19
6JMR_T_oiYE,10.15,24810
gK1qlo0OsSc,5.11,9475620
N3MqNV14AbI,11.1,42
Gfkk8Z-k-FI,2.16,10045639
WhA34oMGd0I,4.29,263063
3vdkjaRxyb0,1.23,24
hfsl0-63GxY,10.11,18560
SwcEaTFwv2M,12.17,162
gonsEbLgGzY,4.05,106664
U50osvxVYU4,18.14,971
-iuarzpHIyY,8.45,32
3OevdnUEKcw,13.31,3861731
Ds_C972uGWs,5.05,133545
GXXIyjoPwLo,7.08,888
HeG5t7hWD1o,4.16,164
kEWYIc2fBmg,6.22,1594
6AFtJwKRctE,1.5,20
QT3MWrUeiEc,1.27,341
CJ_cneQgqBY,6.16,132
dkX2kuzAYRE,3.35,130071
G4Q8hmXtAYk,5.23,116
LP8oYe5AaGs,5.02,3271
XwUiof9R6gg,3.44,7
5FKJ6Y6qxTU,14.19,2113
4ZTe7AFBC2k,5.12,1424
zjye1dRsMmY,NA,0
yjRqja4slIc,12.35,110835
ND96VvzjxWA,2,3
u_kTUbuJxI8,4.11,195206
G1xA4AUSfgc,14.01,416155
ESfWfEThcdI,2.21,4
Gw9RuNGYKPg,5.55,2366
q7QBW_jx3D8,3.2,209367
hEE0CQDqmus,5.59,1667
9tKsmG5ghdU,3.25,4
5c8DhgVfwR4,2.21,1
LqjGetXKkYc,5.17,199
HOV3sGdPp5U,7.31,19
6F-9DVxcH7E,3.08,498
yT8MI-uACUE,4.28,108449
7E3v2Z7_fsg,1.42,23
4vLbzHuCBxY,8.36,22
efp92RjFebc,6.47,494964
USvVACWljno,2.03,1507
OKm3Ft9Xp-w,4.43,125259
crpa3s4gGCQ,10.42,5735
bKExaaowRqU,1.05,24
pwkNAq5gOhE,18.37,136
60GtxbF97g4,8.49,3080
J4lpmwz9uh4,4.48,211
p0KtPOhKFA4,3.46,126892
LQqzRMEULAA,14.34,370
M_TU-YNwtUU,4.21,135956
TQUnhLbOt34,4.01,154480
gVS0vEjuLcc,2.21,2
d8rc0_SZcu4,8.06,71295
y3YOnLKO3Pk,7.48,228
iTNQCGUgMIM,2.49,16721
Kd06L6oOY_Y,2.07,255
zL0pPq6j7R0,21.52,1917
Xn7HJtt7U7E,1.25,58
vVQVuGxhzVg,13.56,672
XEvR8j6j4tM,13.24,2937
5yqndGH_q1M,1.47,34
1SWP8InGAN0,4.13,335650
bZKba3nevZk,3.58,61
ab9kL73yDA0,18.29,2586
2VaPCsc1ITI,3,141
0mrpwbY_qdo,3.45,129704
-Q1UM5G-GlI,11.02,7140
449s0gIJbTU,10.15,1669
uD35FJYNOzY,10.56,29646
fh3cYx3lr6U,7.12,289642
7mUM1lBys1k,7.44,12
lOo5bxBjggQ,3.19,15
HpJAd9qrRr4,5.1,28102
NUa8JQ8aT1w,3.25,56383
XLBTS8HpmtI,2.28,1
O4v13Nyv2Qo,7.01,235994
TwN7ZJBU7EA,10.58,77
QCevg3JRtjQ,1.1,332
