video_id,duration,viewCount
3TJP5a3pBME,25.58,1113018
lTI_B9ez-J8,23.36,508544
jHHNa41EGUE,7.25,486336
kE7D7qFayVg,13.09,13090616
ruaTcr0GRxs,12.1,189724
-RmUADCWI4A,11.41,78531151
G4sRQB_vJjg,18.58,14710123
dwV04XuiWq4,11.56,36590416
c-XiD3pigdQ,4.56,109841
I3OIbbuZ1XE,26.25,687332
xW_Mty_gXrI,5.54,197089
YKMAtyFQ4u8,6.03,135010
DoXWNhP52X4,43.1,1472572
n_rVmGdMJMY,12.2,36626796
bIDKhZ_4jLQ,7.26,18382991
WfTNcCaFGWs,4.26,225184
juZQxFsHqJo,3.18,7138
HB4_PRsJA-E,5.47,19249222
eHF2_Ovs1_Y,9.04,2511266
o7W7OvETO40,28.27,17034857
j1dPlI3X3jU,10.18,127689
berQRyO8D9E,2.58,395692
r016VBRa3o0,13.57,107949
XYX-IZa3rNs,13.05,14295246
mTPWcLmWvD0,11,1905856
Pdhjpd1OBSU,4.52,6658
9Ffm_X-ppFo,10.04,5305373
KfEVElPhHDk,7.3,46126
hmFQqjMF_f0,3.46,803242
QLFz8mBeXY8,3.2,3154355
t9xwxoLcKZs,2.45,2885978
No8-mBek3rs,11.07,49748104
rJBhkkzNDkQ,9,37632970
_0YXkCN4yJw,1.07,54593
F9bUMDdItNg,25.31,4924699
_NtnrcG4plE,2.44,5392
T4lNRM558YM,20.01,651031
dSeuK0CMVno,25.47,17602
rFSDJbVYYFM,3.48,280
_upMR6Us7bg,40.23,16379
noBJ_o8j3J8,56.5,32271
cnUEGS-4hq4,3.23,40154
aiU4xQ7ICM4,3.25,6259794
8DooK8xk4YY,18.33,445129
zhEBnY217-0,5.09,71970
cOf0RZKOQ2s,11.05,6774
-YO55FBiBYc,18.05,2120240
WX8OFXr9OsM,15.58,464592
7l8JSqMhlyM,18.28,762889
72p6bBumTEI,15.42,881620
y3UKngq-WPc,24.25,945787
zOi3XKWg_3k,20.01,8349308
c4ISjLv1tzI,22.45,112798
2aM_KxtV-A4,11.23,436845
lxa9V3BQvOc,15.17,12127
AnX_41lIPcg,13.42,65323
VJY37MjiHfo,12.35,1473295
6J_A281XvZU,10.52,13862680
Wsf9UAAWXtg,20.17,3365113
DpR50O1nGNs,1,27114148
mrkSJDigMs8,14.18,1432121
zltL-_A8iB8,8.13,141849
8eFnrBXxGh4,1.32,125
ijRsKljwN58,11.22,5653015
wIm8bR2B3zc,19.12,1368486
F9OAj1hC-nA,6.22,1386022
o81tuQSXbiw,2.42,8115594
ehxCDvnfj7U,8.52,18092510
P0lzqyT9fb4,10.38,48820125
xKg0C6g8UDg,11.38,4852224
QG85K2jH-vA,7.39,202713
WDKc6z4LRgQ,9.07,948394
qfAXjGXf6jA,10.17,1562993
_XFzT9GMmw8,7.38,29421923
OF_bAr5H4a0,7.39,3054
W1sxFgTUbWo,5.38,3597752
GePOa_bpAK0,15.51,540682
WMQWCDgc-1c,14.47,555211
S9QUWwMvcTM,10.41,41531721
lQhKy1oWLCw,28.42,8140389
aor3ljwc2AY,5.33,1312979
X_ZJpZgRecI,9.1,524825
gz4ZFMalpqM,2.1,43044
0T_fV5AXxNo,12.29,3669811
Zd6jIfmmzd0,14.49,66988
dU8vzzBKYMc,13.35,142972
zIXn9KMdXk8,0.59,32756
As4d8oZql9I,26.47,12439498
7e_PIyTy-sI,10.05,1573007
zBUeqG3NA9s,14.16,9368585
TyGuD3r2fd8,17.01,5162699
570wvTAYqXE,24.06,30114
4TlPhwvKc8o,10.28,838687
7hOaSFP3n0A,24.33,2841209
tgUSHk6JaTY,6.23,1704512
1QlmNcJSXR4,3.58,42508
Z5lTiB_j3CM,6,440315
U7R2bqkjmlU,2.51,32225
y3EqxOf34lg,10.06,278229
I_XkWjbiLsI,14.09,3011488
DiMrY_BLxmw,32.53,63472
4kr-oidwlQc,6.46,35563017
aiU4xQ7ICM4,3.25,1613038
x5rf7wz06xI,11.12,2602250
FCEwPio2bkg,12.06,420432
UL2BY0NR0Eo,22.47,6137407
DlnwZzK2Ngo,5.15,2301723
zUeqZnFzgig,8.41,3067435
xebeabqKINQ,8.3,103384
Z_aGcYtrarU,5.34,5726518
MTECmBZFSB4,23.45,1217212
_9bO9AUGrcQ,11.09,505917
pmURLFj7jAA,11.13,10351664
i6yqpHqaiME,9.52,41972
sZYqYiM7sa8,8.24,1282524
tbnGIh1aad0,18.19,1019830
qqdiuzMU3Cs,5.37,44714535
pBITga6Nkxw,26.46,190547
GK28zT_mcP4,35.38,5915246
WLdW9iv8dAw,5.15,44554842
02wD1mT1goI,3.53,33257
rZXqPRvXdu4,6.16,57564
SLYP7PQc6sM,11.54,772324
ISaYXWfSfrI,10.14,4873651
IZbrrKNEGTs,2.44,8519
1ybMKpDPLDw,11.07,8360207
BhDCqqkAs20,3.5,24330
YzA-HMq0rUA,10.35,6906616
OGt4izGR4rU,15.52,40171
M3Rde73r8cQ,10.06,2130869
24d-fPJF_rA,4.15,53891
gJumc-eMd98,24.35,809784
TQzVrzpSgh0,6.48,9672787
lmhz2ZFSrz8,5.5,9911182
vAPmqbY6Omw,10.57,17894600
MRN0_aPixkI,3.06,21137
XhYtXCtDVGk,10.41,517166
6Ni5WH9Bzug,3.47,14969092
_VRftrfzrvc,7.35,4453781
kdGOncoqGN0,1.34,2358
GLLaC9v9JNU,37.27,3086459
SzzcgCi20Z8,1.03,89157
kFErqS7BT_g,10.46,418252
SkYuFa5TrPM,10,61051
TMA7ywNKKog,9.52,15013465
ei9lrGCSW34,18.56,97955
S8ErqsENh6g,27.21,6485
wmFhqlzGeOM,3.42,42888
xHQp-SxcNww,10.25,28385460
U62lVWpeOpY,3.19,42474
Pr5o2wMYMjo,9.39,566150
DdFCqE1Xg5s,10.01,2658355
11aWvH4UWd0,26.31,683096
8iGN2KGE4_0,10.12,8045516
hYOPU8mBGUI,22.19,6426
vMc-ZHRUYVM,21.06,2217327
2pX5O0_hUx0,10.21,1611
6LtEO8lYc3k,38.42,6139330
nCeYxkqNZBw,1,213780
XjNAuk8-u6I,16.05,206480
SeEqCMU1svQ,10.26,413241
YZOAh4PIcyM,11.05,5606647
bN-RPX-_rL8,32.1,367881
xUtRDKEFtNQ,11.06,75172661
1PGXeSbFu_I,9.48,5955804
RoBQdYus2Go,5.43,6390
rBd0rlKE32o,6.2,9589522
wuX2pC6IUCg,11.27,92744
cXNAPJIw86U,10.16,516182
HM3KNEY61BE,11.16,363128
qBnYwQtzy5M,10.44,9212964
BgT4N9GcH8M,12.18,5269401
DloLoFd3Qvw,7.14,1525152
szeXkBYq5HU,2.45,2362600
om80Y_V3fhw,2.59,189140
_eaK4DIxB5s,29.45,7402354
nYRefC7E9gU,7.41,4379665
Jfh9YnbvNa0,12.52,4584704
ssIVhATa_Vg,11.2,2486365
8S6hvlEXyC8,12.16,70094
UeQTKwURwi8,4.48,7044
7Svx3Xf8gIA,11.25,181
eXl3gQcEkTA,10.17,5860376
GDIc_HAwnAw,12.11,7219798
s9G7j5XnV6k,12.25,3542328
qd4P-ybQMJY,11.3,2097321
YgYtDa6r4xM,13.16,8282061
5yRaHBWSG_U,19,2180522
7vAq222TNTs,11.2,16615019
-WYFXbxVCBU,1.47,3476
2alDg_8tvDM,18.11,7383553
xt6_gvts32w,10.31,5163063
FtdMpcUAj2I,6.18,43883
DJDsmmehUjI,11.47,3830020
HuVGDjxPjFw,11.4,234698
QQ8l83uqYcs,10.24,10057280
Ij7k1ozU6l0,10.28,95077697
aGd-N_-owvo,19.45,10865760
6MzgUmAy2m0,12.24,727106
HsZ0VqTsLNI,19.31,3633715
VFGzQtn4y6E,17.31,281474
ExhNEGQMw9I,7.53,8545
vB575zpaE9o,6.22,45761
CAUZMpo32sg,10.31,17871927
26zZWIccylY,11.16,12199736
JCLr7jFeppw,10.16,1240543
FKVdLHZYGhI,12.15,6658124
w_dWE9gAWDE,3.32,2401
8sqDW1U8i4s,14.17,5647054
8O2WYktspcY,8.53,615875
Rvf0C1pWGJ8,19.17,3304596
se9RzE3rKdQ,11.32,16088255
9_tyi0MbvzE,0.24,16431
GE_cbu0tnrs,10.27,3481803
K33Qf_2cuP0,7.06,18868465
G5YFpBuGYPY,10.3,1421595
BYZJIT1AUqk,27.16,199071
xpAwpiRntgo,10.08,3601610
rgsjWyl2B5U,10.25,1991707
DQFs7CZc5Qc,11.39,1516604
b-0Sf_Nn-Tc,21.09,63637155
Xl0HWvRqLJo,9.5,2747463
CUKC2rvSZmo,0.31,1791765
AQkbbtDoPq0,9.22,7002371
t6kJ6Jdsh08,16.24,2241069
gRa7Wb240us,5.4,33880374
Hij4dSrslDU,10.02,234662
1H54zblnCgQ,10.27,10225
Y7ICnFfEJQI,7.39,24555
Vo7QtHdeTbo,8.45,4189644
V0wy2R5_y4U,17.59,6565651
lZt5p4_OFg4,3.51,34011
YXaP-3AhUGg,3.28,7356
pdkhG54qL-0,11.2,682564
70rVHQYQdfs,11.12,565674
QjL7D33xpS4,4.1,1360050
iDD6OtNUzig,4.41,895364
rBxXlSTYeSw,6.32,373946
9uzc0NnwZEk,10.04,615079
fLJNjHtGLBs,12,1000162
ZT_DjqZs0w8,5.26,17015
aZJ4vvvhEUo,3.24,6449
CJIhvNAP_Tg,35.44,654141
gygP8TRHzXU,11.05,526167
VyL6WzvIhUU,9.34,9850641
8_WKErpF1ZM,7.48,1210430
aZ8tjbqfLFE,5.29,76294
ZQs5Cf3PPps,3.13,7252085
ta3YMe39xTs,6.02,16724570
2lErfjqbE9Y,11.08,4539192
DO_WNciUIEo,4.12,1256857
ASI5d0w8TKo,5.23,2638040
EtEnKNsvqnc,4.13,3316885
1mZydGeaqFM,5.54,6130621
qnMxsGeDz90,10.38,53312371
EYvmRvQG2Lw,10.38,5589489
4mJgI0cYPpk,5.21,8553803
_qyopTE7iFQ,10.01,32690619
5WOkJeUo8zA,22.18,13905584
8Ug-PQ-v4kA,4.11,23462802
22pN7zL8u50,30.58,235121
27DaotWiGG4,14.18,188317
gNMHUFMI-HI,11.42,216855
y83HqzGDKM8,5.2,2296019
t1q2Pdext7Y,11.42,6285261
JzgpttEmtf0,8.55,22801
tBPsc6PPmok,4.42,44297
I3IEv3CLI4c,10.19,5005214
3DDXBRTHsxI,18.59,115635
9jMfXz-503w,10.21,6028
ic640alXKmM,11.27,13679617
gfMQ9JwaShY,3.4,13531509
vAeFPnf7h4s,13.3,67035
CsfiKEBwdiM,10.18,18731590
EILAv2QaqhA,15.1,39085
Dgt-mY_dJuo,3.42,8282628
9tU-D-m2JY8,4.16,4583589
A-L8EbQM60A,0.59,59739
aVGdGxj00MQ,49.03,1345
VpnHSfRzHOU,20.57,1596216
JcDcy-QoY2s,3.34,3127173
gQ5GU1eN3PU,22.06,42760
y81eM-oCkwE,1.17,9677
DyZl1fu9mSI,22.06,855
qM5yoXki_So,13.27,200237041
bgNmfK-Olu4,1.55,4344
npBkoUnmLLw,0.36,196381
3govrW3Ohxs,13.11,2099
ceWG-KRO1D8,1.47,20159
o6bMoNys110,13.01,254
8MsOsH1VL2E,6.35,132683
GAkYRimvUDk,15.2,3252
EqZAfJK9SpA,11.36,139633
jwtp8VqYnp0,12.08,177
8Ij4a6x_mPs,4.59,5280242
6jxQmW8kzps,6.08,34964
Y7zEsuPlbss,0.31,25432
FXB80Zd337s,10.04,182567
C42gi7CkoiU,13.38,1278
8xqi-FkhylE,4.15,18348
ajeS3d_Fy_o,0.22,9159
IEB6XqjvlKc,34.41,9413
CU-sJ2UlMiA,1.56,7951
6LNXckvuvq4,11.14,114201
SHIJsnb8zxU,12.39,241
rTHukCXhMvM,0.35,12726
gFrlgb8bRjc,11.32,3052
6OLcDa89LxY,10.02,200111
oYzWSeM3sRU,0.52,7650
Nn7CqVHggnI,1.33,27608
iBgR9v8h__8,1.57,8474
w7zCZMHEGw4,15.06,6460
zZQ_gCefuaI,21.53,8491
Nexg4Wc_VZQ,14.47,1050
NY7zpEsXE64,2.09,7482
gILMwodxlkU,16.32,7915
otS-BPwh0bM,16.42,20104
1IKmSueG19E,1.53,41065
QScEeii-T7A,3.18,234933674
RrAhrHu0ruk,13.45,162
EAwEU6rhlVk,8.01,638224
BWZl-MMzBGY,14.11,1379
HK-8ezWWIEo,5.33,1616331
-cQoGwpDBPs,0.5,8639
K9qKc6H_jeA,9.19,192161
sx6IwaZw-00,0.53,3237
iJTC3oTa-Aw,7.11,2090046
atUt0Wdwlls,14.11,218
xxDwQ7C1ncs,7.18,12243
zx8DXlRYB8I,35.3,11226
G6xeOFjXHVA,1.31,40973
K9rAuFhu6rM,1.31,27939
qHm8VrdQt7M,3.07,127463
Ktd5hUS0UaU,14.26,5179
Og6LSvOqx44,6,159477
mBhei2dXswQ,2.04,47716
KZ1-O9BZAqk,0.49,82757
sQLQD327C-k,0.42,30780
3uj1-anjA5A,3.49,11040
KKACny5vkgU,0.16,1096307
xo41bR74INk,11.11,96301
sOJv7y63F50,0.47,35925
5k2ZROz0K08,0.29,745136
RWE0ysT7ysI,14.36,177744
NpfJHKKs9B0,1.34,18345
nqQ7R2KtXoM,1.41,39544
rpyLbrcrHCA,0.31,104501
p6JEVqc_XPo,1.19,150556
h8KWAfCi2oE,14.29,2223
4F_vNJBI9Ps,4.1,427071
4mcxkogEl_Q,10.04,128365
Pa9rrsQfmXY,10.31,8115
nr6rdTjDanI,11.56,229
kYg53Nbu5rA,30.31,23732
6bH9Qb_feRY,8.38,27282972
czBlNpOLnhQ,0.21,20222
vXjSdneERUM,12.31,378
DCq6VOXhZck,2.25,21597
H5n4ZrcP4sU,1.41,856503
liqVcMLMKD8,1.27,244407
4dPAqEoKOa0,13.35,560416
2EnkSLdGbJM,39.11,24300
vDz8vHDRDLs,1.43,365456
fIGyMwetJJ0,0.11,1015889
MrhtMXeOv4k,0.16,3381
8NTtiA6L5xU,0.31,20986781
gahHygnQM-c,0.31,231025
dTEyphdglq8,0.5,700351
TVDVDfP79tg,26.25,32376300
HcbmIcii1LQ,10.34,3297
s6UE8XLyJSg,35.18,12480676
Qrg-5uUrn7k,12.11,81428
uGR1LjAAWnA,10.23,5654448
hZh4CswQbgo,0.44,11551
ac_x4ucbReo,28.37,721590
H_neSjf8QMA,14.28,972349
TlswpPMVRko,5.25,75701
UfHddpDB1T8,14.39,386321
H4HLYQcVk-Q,9.01,429347
277rHHI4diE,0.31,19944531
iorg8YsLP6U,0.16,10292029
EOGXa8xGj8o,4.19,160077
xLEE9BKhD4o,17.14,5680
AFJOaVOfphg,30.14,138208
BUDJJxhn6lo,35.08,309375
8m2NjJyhYuM,3.58,19755
OZ_c_GYShLQ,4.06,49174
WPLCt8XMCG8,4.41,6396
ZEVHK98fDQY,8.52,493617
0lazUzkePZc,1.3,9211
avgUpeG1WMA,12.31,1236653
l0YICD0IXYQ,3.03,392401
_X0G8em3RVA,12.11,107873
3ugnoU2wPB4,24.1,143
pUZ6V8XwMbE,5.33,262780
pBWv5BM7Ir0,2.21,7387
