"","video_id","duration"
"1","l1grJsHdgzg",NA
"2","Npy4pGSzeLo",10.53
"3","o_0UbLa_78A",12.28
"4","NQDe5dNoNog",9.43
"5","3PrOKyzPNeI",NA
"6","9JCKCpq7-30",10.17
"7","PRSNvadwM4Y",6.07
"8","j8PDTJNaPc0",1.41
"9","G9mDFfERPwM",12.31
"10","jRHXLSNyPHI",10.03
"11","2HYR4Lxyc7Y",8.53
"12","X7Mpp35EAqI",6.41
"13","hwb4ozNE6w0",6.21
"14","NC06iPd3C5U",13.42
"15","7LM4Fmay8rY",19.11
"16","bq-l3_rIGys",10.53
"17","sHFeuBlBUos",NA
"18","iFUFFUb5W4w",9.33
"19","07d2dXHYb94",4.06
"20","9TDgcTtFaNc",1.46
"21","96kI8Mp1uOU",4.19
"22","sdbHXKlpPAM",2.54
"23","0HSYMgf4_h8",1.38
"24","5KXLCkhhWbM",5.58
"25","J3N5HewglNs",3.51
"26","n3sSF098q4Y",1.47
"27","ziIS6NJk_GI",13.29
"28","qqSyecJ0zAQ",33.11
"29","FlSQcGbN_4A",NA
"30","6eFfZUqwkMA",1.52
"31","lE60WbSvulI",10.01
"32","lTxn2BuqyzU",2.57
"33","kXjylzfpDQM",10.06
"34","vmPvjZKBNYY",11.15
"35","E-fbaLE_0Ew",5.35
"36","qLGNj-xrgvY",2.46
"37","ff8OMFBt_3g",4.56
"38","EL733nvX1Pk",31.03
"39","LTneDMPtznc",23.37
"40","qDjksHH9ohg",3.22
"41","SrJk1qmthd4",21.43
"42","kA0Ywk7sQLg",14.22
"43","ihMR-XhZUtU",2.12
"44","CeX-Ul2CHEw",0.49
"45","kNw8V_Fkw28",6.48
"46","Yk_5Z5KcFUk",12.16
"47","IHZOfYX8M0M",3.02
"48","cXmQV2DewbQ",NA
"49","vgsg6RTfTXk",32.02
"50","szquJa-ioZg",29.35
"51","W_B2UZ_ZoxU",3.06
"52","Uk9MHtArsBk",NA
"53","eriO46w9aAo",0.42
"54","kySOnK_hBLY",14.06
"55","qlPkvHKWM5Y",2.58
"56","ny9lhBaaIdY",3.09
"57","pCBP4M08ndE",7.35
"58","mVLrBJYGxk4",5.04
"59","2veSikPKNcY",10.49
"60","3ykaGNl67iI",3.57
"61","b7swSNzCTC0",23.31
"62","hp0rZDsXt1w",12.04
"63","k3hr1W9OFeI",10.04
"64","TktL3QR8Yg8",12.55
"65","BlU49dJhfcw",7.28
"66","aRlVlcsfbS8",5.01
"67","slV71TdCnbU",10.08
"68","F2ZwAUzABZE",10.57
"69","eE2wA8yGcBE",10.46
"70","cLloxSDh_2g",4.26
"71","ND_6TS6p80A",30.1
"72","IxfwFNuhUag",5.15
"73","9c52Z5sMuTQ",2.28
"74","1qLlJi_81Mw",4.15
"75","1qLlJi_81Mw",4.15
"76","aid_6FP62Ys",22.08
"77","5Yoy9W7lVFM",10.03
"78","9ZEoP8hjaYs",10.15
"79","F9Mw0lsUXxE",2.36
"80","tZqIQmdSa1E",1.46
"81","TgCBkZqn-Tw",19.36
"82","D0nXy8a71Ok",5.35
"83","zXcQMexZhdM",22.47
"84","kITEjQ8aYOI",14.25
