video_id,duration
0LfWMrERydM,35.33
63PoPEeMdiU,27.08
Sp0D5_YkYhc,14.18
TToBppEkntA,10.13
hEyEHUgDlBc,11.05
RCttR07Ciw4,16.47
fQjNUMJQ_08,16.03
47iOCC1DHoM,12.56
aYMn2GMZ8g8,10.03
s6uW1odtjPc,25.23
ziBjMv9K40o,10.02
rStsx8SGsPc,39.4
iCP0bakbPR0,4.43
twlb_LJsp4Q,10.54
M9sHwGQYmJI,11.46
nWe2On5H6UA,10.35
8vOUnywZxrs,3.43
JhixxfQWauw,5.5
mzF1nZjGdGQ,14.09
qmMN9MLMWfs,12.29
xG-shzpyAnI,5.5
npfahtvaWOk,5.21
58oVAN8BYBE,10.38
O0kFELTag1o,4.42
1OfABoqs27I,4.07
crhvwfX8CLQ,22.06
vZ23ZxDcRB8,8.17
aoHziWK2TcI,5.21
t_E4SFZ1hMc,8.27
hjI2-o60W1I,12.11
kLUFit8815c,37.4
GLZqyCqTxTM,18.5
-M6-gVCZBnc,37.46
He1SQV8kAqY,6.12
oGLeVSSErXk,12.07
hPSRSDEaYJg,12.23
saDnAkBU6Qs,12.37
oPU4rmIrvuw,10.02
idwchtBBXB0,19.24
2nNzfGHvl7U,31.42
quZU_hA4Pr4,7.52
83a1lb5gwNQ,3.55
QSKOPTiwhe0,39.16
DUgAnN268kc,4.5
5FXFnyRnl48,11.3
OED5v-n6BLw,16.56
lHPYmEvOjAc,10.5
tyk3aiBHISw,10.19
Hbk9GhfBjw4,27.49
zyUXBxw1mhg,12.52
coXOC09c66s,5.19
99OUjrgEq3Q,22.29
ntvyMfRPKBM,8.44
s3VzM4CZoqA,10.47
nipiyITHoIQ,5.34
27tNJWq8C4U,44.59
iyovjb8u7zY,10.36
llJXtDVjO2A,10.32
49AqU3bmtuk,13.55
BWPFKedme7M,11.17
S0fjb5CiUsU,10.43
lAB3T5kzIdo,37.11
5S3opuECs6U,7.37
ScC0tJsv96w,3.4
Rrmle7fx7IM,19.17
Uli4FpngmMc,17.02
VxyLwYB494c,46.23
4Xo3Fq7GGWk,47.34
ZjRYbgDkIOo,14.43
0KH6zldCYjQ,12.07
oQSIwt-m2oo,7.05
AzyIXRweo0Q,9.42
wYUtDn8kmAs,21.25
quKXa6O6-5c,11.31
bOUQhwMweVE,15.52
muJ3NyVO8yk,11.14
1HIfNI92Mjw,55.23
u4l0TSGhWTs,13.27
Hqpl2jnJOag,10.18
RmtjUnVTVUA,25.29
pCk6VmsVo6M,17.27
Wa2U3tcXNAo,12.41
mcJY5N1ypEc,11.06
pZcnvIAL6Ys,6.32
wsI-usDoGW0,10.08
uty3UDLCQ2E,9.26
HJ2bn4dAr5Q,16.52
jtUgFJO4Q3Q,13.36
hFj8CwisIe0,
6Szd-gqoUuI,
RPTfFjQn5Zg,
60LJHWFu9yA,
wnlWCZxnwPg,
UcIlk1tNWsE,
UcFMD5GUUn4,
9tZz9lCkHgM,
Bo3hjrUOppk,
YLU6m1D_uWs,
8f-1X3ot5sE,
uM1Us340040,
PpCCjRisWSc,
1ijZnaQ8RcE,
ltoKDWBAqj8,
lH5NvlFuku0,
KdlawuL19U4,
N9lKS_i8-g8,
Ureo_0gyRAw,
06Ej52-D7a0,
Z6YCqqd8nL0,
-t0KBMSXfYI,
L2hLi_Zu5fM,
ttGVD6kRc6A,
HmWiTyHLwG8,
jNtmyTyV7LA,
UJcbeCUNnGA,
CNgOqNNWLQ4,
W2Gfecvz1Ks,
8skhhxbX8a8,
-dulGdlC6hs,
3Sbw0lZ9LmY,
i7iAK_q70do,
lQEnZ5oTRXY,
kJRPujGhyYg,
wOwvnBzJK5k,
AAqn3FwtXKQ,
Tqsz6fjvhZM,
laR2SrGiBac,
6P7YUB0buqY,
JUizXmMtODg,
nQ_u5WqU-pU,
nnQwDWBBuwQ,
dtruMNbQtOs,
wTGc0bG77Og,
SkNT6XUyMTw,
dJUN52oQNVg,
cIhY5KoYBd8,
LorScLCUG7o,
aR8vbF9BcsE,
NDJf_oFuq_Q,
fqjU_OCZ4j4,
A-uF_X9tPw4,
PHgNMJviO6I,
wKC917O5FjE,
T7U3Zi0KSh8,
RDkFSZzfgaM,
Lr2jWCYXGg4,
bUL0wMZwCf8,
ikr-QGhndz4,
0GTHnAOXXns,
gojLtR2BVwQ,
Aix9377fPjU,
o35aIWq-OPM,
8bqRaM9ajXE,
97aSlf5mJ6g,
tjEpBtD6jZ8,
I1QFY6DuJ6Q,
bKtG1Sk31i8,
De8sVdASs58,
iZS7QknKeX0,
jAGquFtkCRc,
io6wi8DVZ3o,
P6cqnrB61AE,
9o8-xC4f9mI,
QiSb6oy6M3E,
nXa3dsrzGMk,
ilzEgeb4ZK8,
2R8rQ1q_yLs,
Zf24GghsESA,
