video_id,duration
MVVH0OlAN8s,12.48
zLfGZOrUuPU,13.37
mi7ScJbHxss,10.12
CFdecZr5IuE,10.02
Fql_zy1EuqI,nan
EtImhRShqUI,19.48
BaxvApyXwBA,13.05
jPa5uExpPkk,10.52
tnBXalqf4nk,nan
jog1wD8K9xM,10.03
BEBfqJcsXXc,14.48
_FNnURGU88k,13.59
n2Dd8bMuTP8,3.15
yaG6tkpBDrU,10.01
66Ck_5SePZg,17.12
WEDndTCyGgU,13.42
QOQdsewdGTs,5.18
RCxpqotKE2s,10.52
KVyQFwx0ly0,5.42
J4BLmNgTGG0,13.3
_KkOxO-vWWA,12.34
u1ELxTd31C4,13.3
G2jYIGdmC6I,12.34
tku0e-uJgA4,10.07
1dpW3-iOe7g,12.28
1kRcUKux2aU,7.01
oS-EVLsMFz4,9.57
WhJa5fZUfT8,5.38
oIK8UzNuCTY,13.42
8-2a3al8pm0,22.05
zNDPubOcXkI,10.56
AbMz_5oZW9Y,5.02
yr4r9Sdc3Y8,13.28
K0bDzCqtPIQ,10.3
DezRP2sS-2Q,10.5
wqK7wcgVOWw,17.16
KGAj8IhnR3c,7.4
ZJy1ajvMU1k,6.05
JAEL40k5YtA,2.36
L5Sfo09enYs,17.13
LUNOa3cK4rc,16.3
zpetXmq3sFE,3.52
HwWtG9luToI,36.16
rJK6-91TLik,5.05
b5J7JYyMk_0,6.15
uOqAr0PMjuk,16
ayImIgdgLEI,10.45
dUgGwQsiZDE,3.02
xab-2oHoN4c,21.03
Wd0AYwxW2zg,13.16
ZRuQE6mFvO0,10.03
2ro43cwVOZI,31.5
r5KidgLsaeQ,10.29
kNIQYIswBlM,5.02
xXPxUtWDTAA,10.47
R4lwakkGNrU,6.23
dY9ZWGOwr-Q,12.38
cbxe1ANrfDo,20.53
dbSL7vmt27Y,11.46
uZYm8L5-HS4,11.41
4of3b7Xb4Rs,10.5
bLEAv4W3vss,10.05
vpD5M0BKzoY,nan
96dZXj5hUUU,10.03
LSpH3vwMl5U,11.44
vs5XUCFrhFM,10.16
bHswGRvMulc,7.57
g8y4nH64--o,10.03
u1OsLuCY580,10.16
3G0l4vddIgE,10.14
WDf0qQWh0XU,0.27
kSd9w03hh9U,9.1
4iRJDDjejCI,30.33
9Y1XazyDiwc,4.37
af3dEbAd4Os,12.45
aLZGO7Tcjck,16.02
KJg4AS4uVWk,10.03
gpvbeZvOzBw,10.28
os0F7jBWJfQ,12.59
9XVWG0kYycw,10.15
_4Gu9aIeQFA,28.53
D9F2rDyMIm8,10.03
jYjXj-PAi5s,15.3
pUTjjzxfGN0,10.17
MQLqrtaevCM,14.51
ITn8B5LGopM,9.32
zioTEH65Vxg,10.03
xIeagpcfpms,13.4
xyS0JGnbTf0,12.31
VMcmWCjzsj4,10.08
RKoT0VANcZQ,23.01
FR0r-b6MBBY,17.39
BnyT5viG7h0,6.21
54HWDJABEgk,19.47
lyD9t3uhHio,6.32
CDLYu2K1mVw,16.25
666Mkq-GJBI,10.23
rfbAn05tRDs,24.01
GWqBWsruvOo,2.59
YIjWwZwlHQg,8.19
pKN_XoUBsXc,17.44
EoKC1-2LsUk,10.03
Ac6sCvgnWR8,12.28
civ5adZdOGI,6.56
X5oD_thIk3c,10.56
ZTU78dBp1No,10.25
lQ5z6cxxYl4,10.08
f7PdXLclVAQ,10.02
Oqt-EVXF408,3.45
R52rpXOMwvw,5.55
5-24zRezgB4,17.48
LlrXlzlgSEw,3.4
Jvb0ksw33DM,12.01
kFthJgdiHrw,7.26
Yq-OPFIYOAk,10.18
R4wo3Rgqti8,6.54
wcGH5tnpeto,10.03
WYKCzN465jY,22.07
wIqvaiZQ-3Y,6.2
lPQvkc-g3Ak,10.02
-R3FmmjPWAs,5.09
jIxaGhPDNTw,13.06
ZT3GlECfYoU,10.04
xU2kCJ8827Y,10.04
ad3kl4-oIkw,nan
emnv7VxGriY,4.1
k6MgyY87WKQ,10.04
woiu4OPJwAY,39.46
w6r8eFhnjGY,12.02
6SKReWv_0YU,23.26
NIUc2FAbMdU,22.26
ENF3PYItZMo,11.54
h9F4VN2LiO8,44.13
29lnu-l6ukg,34.26
uSWtEUmmh98,37.57
tBxTXxPj9YU,22.32
L696FZMmZ9w,12.08
XwqO3-gggqU,6.06
23aU_ZaAinE,10.02
VO-9th0pIVc,11.49
Nk4AA9DRXjY,7.2
76V3FZX-REs,14.4
ir5U88d_3iI,11.31
WgLZ1mTV958,13.31
jC9yjnMhYm0,13.21
yc8CcIpo7As,11.11
CXypMR5JNPQ,8.45
6p5x0nxtqVs,nan
AJ3knbm1miU,10.3
Mg4K8lovFPM,16.56
jrBHd1Y4hT8,10.2
4aWRlzJFeBE,11.28
FL4vTp9YAbU,10.07
Vufstp_39zY,27.11
qWAagS_MANg,13.09
G6RdmyLAuJg,30.45
vOr42oIjruk,23.25
4ItN-eaPx1Y,23.15
Jpd_CUX2o98,10.5
D7Il2mP_Qdo,10.02
HxmnsevPZJ4,18.59
cLStVE2DMjQ,25.5
B5rsbbrD2zY,21.24
qmUPJhL55bI,18.25
coaac5GoBUQ,10.08
ZPBMa8lsG2c,21.04
gGD1K-hrcls,16.08
If2rE7Sagyw,12.22
bffOdZoZwqs,17.29
M-2GkXygMQE,10.02
niUtBxOagGo,9.56
8CsN9n62J8I,6.45
cUmxHi3aooY,19.45
iqIA5lyFLzg,13.29
a4C2sB3U31o,16.01
2eINllOc0hc,14.17
oBtZ44Az-iE,11.39
UaoSTg-sXnY,13.22
v6wBrOFx5aA,13.58
yT3rhPvtayY,5
mE1Uaqb5wgY,11.34
u2qoxI66r0k,9.15
DEJrEV7yr4o,12.42
DYdOPjjBvm0,3.12
2nun7CXAs4I,7.43
ClUXWcQTN3E,5.02
-dUjN6AVjj8,20.35
GF_bsZMe7zg,22.57
qFitQn0W-Ns,13.19
peAUzXwmvGs,10.04
