video_id,duration
Vrg4KlKnKoY,22.26
XZDA0gGOnqg,21.22
urT537iysGg,17.54
4-j_Hu1WThE,25.53
_pGfUwgbHKk,17.43
E0WvVNhvP2A,15
CR026kQQdsU,21.43
Ei7ZtO5qYgo,25.12
njC2RHo194Y,20.58
pdD2vMgAdh4,10.04
Jbd2mRM-4u8,10.09
1MenwQ5D_FI,12.52
9DkBYixYBFs,18.51
8_EWSZ2pNFc,26.19
IVsMSPNVHR0,17.1
5YZz3bgM120,15.05
nQwp93Xw-8Q,14.04
bnTTz4CFqXY,17.55
lDyyCvMh-Ow,9.22
K3g2840zXKY,5.58
zUBXNS-BWb8,8.13
72ySGgfAhP8,8.04
yq3F7BKl0Fg,13.15
O-N-p_nXChQ,20.02
pbjfgA0wipM,6.45
8YZdLhDSEng,10.03
ruuzRpCYrwU,13.02
tLzp_xUr-gQ,17.22
8A9Sdvppurs,nan
NK9F1zwBNug,39.31
hLTY8ue0pdE,10.22
ZMJL3LkSq50,9.18
pAAwTIrhKKw,7.45
LnI6Do8ByNw,7.14
XN6yTjiG4PY,9.32
DYrrWSd9bFk,43.09
sA8SnfEaDEU,8.44
PkhVybrCMks,18.33
RWE3tNmNrr4,8.48
dTpFnkuYPYE,5
YVr_rfqHax0,8.53
I4Vx11JxFc4,9.06
WocjtVabfho,9.13
P98Sa3L6GAs,10.12
DO5L-FXFCdM,7.04
pI-JPlKROUk,nan
s5EigVsM_OI,22
Rz2gU1yyLeE,12.31
DbolchbGedk,11.1
iUKEom6gJt0,8.31
NYt3B9lcUm0,7.24
CrU8PrNBVy4,9.58
XA22RPCkKB8,10.41
cRRIsM8GjGM,8.22
Zxcr2q9Sqlg,8.51
WA7sX9mBvgo,4.56
3f47eONJgLA,7.31
HULETp40pVk,12.5
MfpT3l_64Zk,8.47
vmDz1nuFSVE,20.37
eUuSpqbHmPc,10.03
PrYCCSfrhh8,9.09
iRxJg2y2UqQ,21.11
2VwOvclCTfA,10.17
pyXC9aQu3fY,8.38
gpvme0-CFAQ,15.03
IlElgfH0Rb0,17.38
mRX9tz1OoEI,10.06
2hK9gLfBxNE,6.55
7DuQtVVxuIo,16.47
sGz2F-FKwsE,10.5
mWQ_x2ltWD8,13.45
GBcxBCRs0y4,7.29
zBaDMJknffU,3.37
TFXrpwrfsWI,9.3
y_q93K9S7oI,10.18
TxMveV1Uae8,9.27
QcQa54miYvY,2.02
M4AlJ626jQM,8.57
k1AfYKSk7ps,9.11
gc3SLFKoAJg,8.54
FnThpvuLm8Q,9.09
L_eQjwAnsxw,14.01
O9ydIdjf4Sw,8.35
mUJUgf0zX9Y,5.02
nrfnA5_L8sE,5.09
2Gx5Bx6PE9A,7.54
y7R3NghyxNw,15.29
plHrjHfTOvc,34.43
x94NyYrmrNc,32.55
YuE5ZCeaWkM,14.36
0_GBfjwmRcI,18.55
cJblpoh9Lok,25.33
90zdfn8dmPw,nan
vIRVYy_P7Ak,2.28
ogX8Ygecxuc,12.03
UxFCXbZHLHc,9.07
8_gt3UzNxgY,7.44
FFhh72bXJeE,14.16
Bs8A1oxQw5I,6.39
2O5g93Fc_uw,13.08
sJ9_oTq2B2E,11.22
_Xu7LBV_w_o,10.39
ePRlIPSNaOY,10.5
5NEJB1vNhdM,11
9lxu-gA6bJ4,0.31
chKGlrFz73g,2.3
GMpr_rKyBRg,9.52
vgReeDuWa1c,30.15
EuzGEj5m-QA,25.59
5nCiUqnIkLU,13.42
dbrzMY8ABVc,6.47
conaicQG39M,10.31
1vXp4Ccd7Vk,20.59
b3AOD118yQQ,1.24
j_xKU4_VFXM,11.2
NgQHBEkLYQY,35.39
hnWCkvjw36M,9.43
yFozDe63qIA,33.52
cUgrN9ZEffc,16.28
ePiNaN0iYhs,23.06
qb6onA8oyiw,9.2
Z9c6nI-gWqk,27.2
VVAvZ6kHE70,27.2
YRpoiPFjTU0,10.15
dbePzch5OZE,1.09
wZh1NByCmJM,29.38
YmUNjG-cSz0,11.34
yN183Trh2NY,10.51
OujBxkJd8GY,9.18
iwcByfhfVww,3.14
RlnVYNu5qLI,5.3
-C1JDK80LUM,nan
ML8nGmEDGOA,9.36
VPOviBkfXls,3.51
TxKSmvXs2ug,38.33
JLpDavd8KVw,9.51
YcHE1wY2dVE,12.54
FFWvDr2-DLI,19.42
UepdPaMbzWc,16.26
8JvFVuiUXW8,13.41
By2hmo323xM,8.23
irymghI4Y7k,2.09
cxKFeMiZTYs,7.03
HIwzFHAQK_w,9.46
UBbyRCU-V2Y,3.49
TRjfkYiUcSI,12.15
50jgV_bzV5U,18.29
_Q-4PpsmluI,13.39
sMaOIqPOghg,7.5
h79nJFhbOIQ,15.55
SjpjzEjmVxo,nan
KuLRCXpPjhs,12.32
_Lkk0Xw0q_U,1.3
PNYdQrFResI,nan
4Vb9g17kN5U,3.29
RT5vAQgG7JQ,9.46
S5Z_bxxAcpU,0.16
VHu5EcF4diw,10.47
60CQMYxxPhI,2.48
9E4HMgh7ZsE,1.35
H3CGsnTom_A,25.16
cSFqD6MKifM,10.09
X4wWLQdd-xg,2.02
T1G3J7sypbc,12.26
GOv0O6_ubEk,17.5
GxWhfhmh4PY,11.07
MIaL1jHaZyk,10
JBaK7BjrrBA,20.36
GuIvN3cv3PA,10.25
CC3HI6FgnX0,9.2
bhK3W_3CW7w,22.28
lVxEEKyv1vE,10.06
QOYMk9tb_iE,17.14
W5ksZzTLR9o,16.58
Zg3j6anDU6U,20.25
4GBJC-7v5eM,12.07
aWWcKDfNS3g,7.18
JvvZ0G6n-g0,9.39
km8bc_oBRgk,7.52
4tbDcf-n1Xs,37.24
HTL1vptIZXo,4.25
3_NR_h8w1gY,16.2
fviTnr8n43k,14.18
IedYrYK-i4U,1.57
wBoR6T6HaYQ,7.18
jlOrXFC95mA,16.38
RQH7mikvqE0,12.01
R-QPs5abSsQ,15.39
i6WEyU1NfNI,22.06
lBfR7T0B01A,5.08
nKM6toYxvOQ,23.39
rKpcWD_jh1I,2.39
i4QzZ1b7iAk,23.27
68m9_iWwHZc,11.35
l5eEcKa7g2U,45.53
BYpHEZQ3owU,nan
u7M6r7o_bx8,10.31
_xzl1DxYzwk,11.52
rn_dWVwXetg,36.51
lP3OJfYuHCk,17.41
Vx6T8BMyqUY,11.44
4gCAeDu5Ziw,44.55
jd9-yoH9ZbA,12.42
w4oDMaER2zA,22.41
PBZRy3ZxMRk,3.41
r9WEP3EuMK4,11.27
qAhKgMcMhIA,32.48
GQpOIv_YtRE,3.41
qfP5DHnHT94,11.27
cZgDfg6vwgI,15.12
yJ0GdmWF3cY,13.04
kpwMbvMBvXA,9.43
FAscL5xuO68,11.28
WI5osKJSX6I,12.31
o0ELdsroUME,20.13
M8Wm2GnzHK0,10.48
uKsFs8ryBJw,1.44
duhnFCW3we8,13.06
jDXRpI3rkhs,7.58
gaajUGSCZxw,10.16
i886i9kCbBg,23.4
E4bgEs0zYyQ,16.32
EdzGGmwwE1g,15.54
vUyXa1SOeXQ,10.33
-tBfpLA5jhk,10.02
7SzXNieVbgU,13.57
oUx7KWMEKKA,12.42
ZWKyV-iHQhU,8.33
0sckFvub-K4,1.11
Nj7mZU31KHw,6.48
fUxrMeuscIk,14.27
rovv7MRaW3A,1.33
aeUFmFnKsQQ,14.58
r01KfUiSdKg,11.02
dgGlyjBNvOQ,13.31
8J_3l1jwt6Q,7.4
piPE_Qu97Zk,15.55
BYXv9XJc5z4,18.19
NFq6MgzobDg,2.01
a72PNZ8frfg,4.21
zDhPwtuBn-k,12.08
Fqk2xTWZ4vM,10.26
4iePdpfmdJM,21.2
GCNbhH6jq_8,6.05
3CsxwvqXx4Y,32.05
Pjuk3ZJFWsg,10.25
sDelXDkDwlw,2
k-2642UDvKw,8.46
u-PclYgrW2w,21.19
PzQORLyBCI4,nan
DYFPrmRgBO0,7
28HABZJ358g,5.52
E3b62-R7GzI,21.48
Joj6wLOfNys,17.3
lCxWp3u27g4,5.35
75Oz96bkfkQ,18.48
UY0WFV8aE_Y,21.49
cVQt3fiiOXg,7.51
Q44ulHb9S_M,9.32
3OMhdAEs1Wo,15.37
LjzMq3l8sVw,8
XBwOPjOg7Wo,13.42
p3nm2myaj4M,6.52
eHdqr54k5xY,13.24
gt2-oP6oBXk,3.01
htUb_YIRUUI,11.19
BRCs7yX372Y,10.45
4BIDXxmZ-P0,3.46
YmicVgAQAP4,10.57
qDs46nT1or0,1.51
szPez5q2mY0,34.35
zAUS5XCTjow,17.27
jFXScHIkpkA,5.18
wV7Uv-ftCLQ,2.48
ta2KBoy_G5c,10.33
unocKIwBS6M,6.19
f1zclytbTYY,6.11
y0r5t3hfoZY,11.01
