video_id,duration
XZDA0gGOnqg,21.22
NK9F1zwBNug,39.31
Vrg4KlKnKoY,22.26
1MenwQ5D_FI,12.52
Ei7ZtO5qYgo,25.12
DYrrWSd9bFk,43.09
_pGfUwgbHKk,17.43
tLzp_xUr-gQ,17.22
vmDz1nuFSVE,20.37
IVsMSPNVHR0,17.1
zBaDMJknffU,3.37
5YZz3bgM120,15.05
qxmW-o-a7xc,16.46
cUgrN9ZEffc,16.28
9DkBYixYBFs,18.51
pdD2vMgAdh4,10.04
DbolchbGedk,11.1
yq3F7BKl0Fg,13.15
mWQ_x2ltWD8,13.45
RlnVYNu5qLI,5.3
KSA9Ltcp3R8,2.26
PkhVybrCMks,18.33
s5EigVsM_OI,22
eUuSpqbHmPc,10.03
dTpFnkuYPYE,19.42
kooDW45JJc0,5.58
K3g2840zXKY,47.46
bAl-xp6fYDo,47.46
8A9Sdvppurs,nan
x94NyYrmrNc,32.55
plHrjHfTOvc,34.43
iRxJg2y2UqQ,21.11
jJkNHCTGN1w,27.53
atb3b_Dy3vI,24.48
4tbDcf-n1Xs,37.24
pAAwTIrhKKw,7.45
HEDHFlYOgP8,13.32
HULETp40pVk,12.5
y7R3NghyxNw,15.29
PNYdQrFResI,nan
7DuQtVVxuIo,16.47
cJblpoh9Lok,25.33
glEEXAX2Xcg,5.43
dW-7NANA6TA,13.52
By2hmo323xM,8.23
EuzGEj5m-QA,25.29
88cJVoESSps,39.32
l5eEcKa7g2U,45.53
FGWn8P7c7yE,1.18
IlElgfH0Rb0,17.38
TxKSmvXs2ug,38.33
nrfnA5_L8sE,5.09
H3CGsnTom_A,25.16
FNfI0kK2fyM,38.25
sJ9_oTq2B2E,11.22
9E4HMgh7ZsE,1.35
chKGlrFz73g,2.3
vMgiLyh-IKU,12.31
7YAuI3sX1KU,nan
NgQHBEkLYQY,35.39
QcQa54miYvY,2.02
vgReeDuWa1c,30.15
T-L2TC1sQD4,9.18
WeMwiLFv7d0,9.31
sA8SnfEaDEU,8.44
CDzqSBaJIao,24.2
5nCiUqnIkLU,13.42
_9YV6S7nGPo,4.58
SH1Yd8ky8b4,4.58
yN183Trh2NY,10.51
NYt3B9lcUm0,7.24
5NEJB1vNhdM,11
b3AOD118yQQ,1.24
-C1JDK80LUM,nan
Sgr90HS_g7A,18.5
TczM8rdqcDY,nan
