video_id,duration
3TJP5a3pBME,25.58
lTI_B9ez-J8,23.36
jHHNa41EGUE,7.25
kE7D7qFayVg,13.09
ruaTcr0GRxs,12.1
-RmUADCWI4A,11.41
G4sRQB_vJjg,18.58
dwV04XuiWq4,11.56
c-XiD3pigdQ,4.56
I3OIbbuZ1XE,26.25
xW_Mty_gXrI,5.54
YKMAtyFQ4u8,6.03
DoXWNhP52X4,43.1
n_rVmGdMJMY,12.2
bIDKhZ_4jLQ,7.26
WfTNcCaFGWs,4.26
juZQxFsHqJo,3.18
HB4_PRsJA-E,5.47
eHF2_Ovs1_Y,9.04
o7W7OvETO40,28.27
j1dPlI3X3jU,10.18
berQRyO8D9E,2.58
r016VBRa3o0,13.57
XYX-IZa3rNs,13.05
mTPWcLmWvD0,11
Pdhjpd1OBSU,4.52
9Ffm_X-ppFo,10.04
KfEVElPhHDk,7.3
hmFQqjMF_f0,3.46
QLFz8mBeXY8,3.2
t9xwxoLcKZs,2.45
No8-mBek3rs,11.07
rJBhkkzNDkQ,9
_0YXkCN4yJw,1.07
F9bUMDdItNg,25.31
_NtnrcG4plE,2.44
T4lNRM558YM,20.01
dSeuK0CMVno,25.47
rFSDJbVYYFM,3.48
_upMR6Us7bg,40.23
noBJ_o8j3J8,56.5
cnUEGS-4hq4,3.23
aiU4xQ7ICM4,3.25
8DooK8xk4YY,18.33
zhEBnY217-0,5.09
cOf0RZKOQ2s,11.05
-YO55FBiBYc,18.05
WX8OFXr9OsM,15.58
7l8JSqMhlyM,18.28
72p6bBumTEI,15.42
y3UKngq-WPc,24.25
zOi3XKWg_3k,20.01
c4ISjLv1tzI,22.45
2aM_KxtV-A4,11.23
lxa9V3BQvOc,15.17
AnX_41lIPcg,13.42
VJY37MjiHfo,12.35
6J_A281XvZU,10.52
Wsf9UAAWXtg,20.17
DpR50O1nGNs,1
mrkSJDigMs8,14.18
zltL-_A8iB8,8.13
8eFnrBXxGh4,1.32
ijRsKljwN58,11.22
wIm8bR2B3zc,19.12
F9OAj1hC-nA,6.22
o81tuQSXbiw,2.42
ehxCDvnfj7U,8.52
P0lzqyT9fb4,10.38
xKg0C6g8UDg,11.38
QG85K2jH-vA,7.39
WDKc6z4LRgQ,9.07
qfAXjGXf6jA,10.17
_XFzT9GMmw8,7.38
OF_bAr5H4a0,7.39
W1sxFgTUbWo,5.38
GePOa_bpAK0,15.51
WMQWCDgc-1c,14.47
S9QUWwMvcTM,10.41
lQhKy1oWLCw,28.42
aor3ljwc2AY,5.33
X_ZJpZgRecI,9.1
gz4ZFMalpqM,2.1
0T_fV5AXxNo,12.29
Zd6jIfmmzd0,14.49
dU8vzzBKYMc,13.35
zIXn9KMdXk8,0.59
As4d8oZql9I,26.47
7e_PIyTy-sI,10.05
zBUeqG3NA9s,14.16
TyGuD3r2fd8,17.01
570wvTAYqXE,24.06
4TlPhwvKc8o,10.28
7hOaSFP3n0A,24.33
tgUSHk6JaTY,6.23
1QlmNcJSXR4,3.58
Z5lTiB_j3CM,6
U7R2bqkjmlU,2.51
y3EqxOf34lg,10.06
I_XkWjbiLsI,14.09
DiMrY_BLxmw,32.53
4kr-oidwlQc,6.46
aiU4xQ7ICM4,3.25
x5rf7wz06xI,11.12
FCEwPio2bkg,12.06
UL2BY0NR0Eo,22.47
DlnwZzK2Ngo,5.15
zUeqZnFzgig,8.41
xebeabqKINQ,8.3
Z_aGcYtrarU,5.34
MTECmBZFSB4,23.45
_9bO9AUGrcQ,11.09
pmURLFj7jAA,11.13
i6yqpHqaiME,9.52
sZYqYiM7sa8,8.24
tbnGIh1aad0,18.19
qqdiuzMU3Cs,5.37
pBITga6Nkxw,26.46
GK28zT_mcP4,35.38
WLdW9iv8dAw,5.15
02wD1mT1goI,3.53
rZXqPRvXdu4,6.16
SLYP7PQc6sM,11.54
ISaYXWfSfrI,10.14
IZbrrKNEGTs,2.44
1ybMKpDPLDw,11.07
BhDCqqkAs20,3.5
YzA-HMq0rUA,10.35
OGt4izGR4rU,15.52
M3Rde73r8cQ,10.06
24d-fPJF_rA,4.15
gJumc-eMd98,24.35
TQzVrzpSgh0,6.48
lmhz2ZFSrz8,5.5
vAPmqbY6Omw,10.57
MRN0_aPixkI,3.06
XhYtXCtDVGk,10.41
6Ni5WH9Bzug,3.47
_VRftrfzrvc,7.35
kdGOncoqGN0,1.34
GLLaC9v9JNU,37.27
SzzcgCi20Z8,1.03
kFErqS7BT_g,10.46
SkYuFa5TrPM,10
TMA7ywNKKog,9.52
ei9lrGCSW34,18.56
S8ErqsENh6g,27.21
wmFhqlzGeOM,3.42
xHQp-SxcNww,10.25
U62lVWpeOpY,3.19
Pr5o2wMYMjo,9.39
DdFCqE1Xg5s,10.01
11aWvH4UWd0,26.31
8iGN2KGE4_0,10.12
hYOPU8mBGUI,22.19
vMc-ZHRUYVM,21.06
2pX5O0_hUx0,10.21
6LtEO8lYc3k,38.42
nCeYxkqNZBw,1
XjNAuk8-u6I,16.05
SeEqCMU1svQ,10.26
YZOAh4PIcyM,11.05
bN-RPX-_rL8,32.1
xUtRDKEFtNQ,11.06
1PGXeSbFu_I,9.48
RoBQdYus2Go,5.43
rBd0rlKE32o,6.2
wuX2pC6IUCg,11.27
cXNAPJIw86U,10.16
HM3KNEY61BE,11.16
qBnYwQtzy5M,10.44
BgT4N9GcH8M,12.18
DloLoFd3Qvw,7.14
szeXkBYq5HU,2.45
om80Y_V3fhw,2.59
_eaK4DIxB5s,29.45
nYRefC7E9gU,7.41
Jfh9YnbvNa0,12.52
ssIVhATa_Vg,11.2
8S6hvlEXyC8,12.16
UeQTKwURwi8,4.48
7Svx3Xf8gIA,11.25
eXl3gQcEkTA,10.17
GDIc_HAwnAw,12.11
s9G7j5XnV6k,12.25
qd4P-ybQMJY,11.3
YgYtDa6r4xM,13.16
5yRaHBWSG_U,19
7vAq222TNTs,11.2
-WYFXbxVCBU,1.47
2alDg_8tvDM,18.11
xt6_gvts32w,10.31
FtdMpcUAj2I,6.18
DJDsmmehUjI,11.47
HuVGDjxPjFw,11.4
QQ8l83uqYcs,10.24
Ij7k1ozU6l0,10.28
aGd-N_-owvo,19.45
6MzgUmAy2m0,12.24
HsZ0VqTsLNI,19.31
VFGzQtn4y6E,17.31
ExhNEGQMw9I,7.53
vB575zpaE9o,6.22
CAUZMpo32sg,10.31
26zZWIccylY,11.16
JCLr7jFeppw,10.16
FKVdLHZYGhI,12.15
w_dWE9gAWDE,3.32
8sqDW1U8i4s,14.17
8O2WYktspcY,8.53
Rvf0C1pWGJ8,19.17
se9RzE3rKdQ,11.32
9_tyi0MbvzE,0.24
GE_cbu0tnrs,10.27
K33Qf_2cuP0,7.06
G5YFpBuGYPY,10.3
BYZJIT1AUqk,27.16
xpAwpiRntgo,10.08
rgsjWyl2B5U,10.25
DQFs7CZc5Qc,11.39
b-0Sf_Nn-Tc,21.09
Xl0HWvRqLJo,9.5
CUKC2rvSZmo,0.31
AQkbbtDoPq0,9.22
t6kJ6Jdsh08,16.24
gRa7Wb240us,5.4
Hij4dSrslDU,10.02
1H54zblnCgQ,10.27
Y7ICnFfEJQI,7.39
Vo7QtHdeTbo,8.45
V0wy2R5_y4U,17.59
lZt5p4_OFg4,3.51
YXaP-3AhUGg,3.28
pdkhG54qL-0,11.2
70rVHQYQdfs,11.12
QjL7D33xpS4,4.1
iDD6OtNUzig,4.41
rBxXlSTYeSw,6.32
9uzc0NnwZEk,10.04
fLJNjHtGLBs,12
ZT_DjqZs0w8,5.26
aZJ4vvvhEUo,3.24
CJIhvNAP_Tg,35.44
gygP8TRHzXU,11.05
VyL6WzvIhUU,9.34
8_WKErpF1ZM,7.48
aZ8tjbqfLFE,5.29
ZQs5Cf3PPps,3.13
ta3YMe39xTs,6.02
2lErfjqbE9Y,11.08
DO_WNciUIEo,4.12
ASI5d0w8TKo,5.23
EtEnKNsvqnc,4.13
1mZydGeaqFM,5.54
qnMxsGeDz90,10.38
EYvmRvQG2Lw,10.38
4mJgI0cYPpk,5.21
_qyopTE7iFQ,10.01
5WOkJeUo8zA,22.18
8Ug-PQ-v4kA,4.11
22pN7zL8u50,30.58
27DaotWiGG4,14.18
gNMHUFMI-HI,11.42
y83HqzGDKM8,5.2
t1q2Pdext7Y,11.42
JzgpttEmtf0,8.55
tBPsc6PPmok,4.42
