video_id,duration
k5enLagtezg,9.24
BL-dq01_pV8,26.08
M1nmDnG9Crw,23.54
A0Cljtm28y4,1.47
Qw59nVWk86I,12.52
PrlrlEreJ7k,10.05
P_iY3GQevN0,4.42
3B82XUyL7Ws,8.34
fvybxfxx6jc,2.51
miCkW1i4ewE,4.11
gRwCG70im4c,31.39
EfiPZaIWb0U,16.28
8tdXV007oN4,23.12
kxiUwL6nFEE,51.42
RrEskVSOQ2w,13.21
-ga4wZdQ8HM,19.3
3DBmZs9mIeA,9.42
RPDP1ZgEWIA,9.14
UU6Q2ZyIPc4,17.18
IS38Q1jd9eI,4.45
HFmDGSeVQDI,9.33
09ZctbeGcDA,NA
0k09SevgsSQ,16.54
q3pN1qz9USk,7.06
8mwZezIBmJY,13.53
9Io4m9_y2rA,7.19
DRg2jUwI8lY,2.11
Q84XA_Utb4Q,53.03
DQKdiduTgF8,7.12
B3Z-3_PjuSU,42.15
lA14gF_DsEw,8.01
0jP3716GUjU,35.13
E8TWbkKCDA8,6.22
10tbBHJhXYQ,3.39
miO6QL-CGok,4.1
3ItBQn_BDdM,17.51
X3OAwr3KmjQ,21.34
6qpj-MIQieQ,3.29
-SWKflfAdUI,7.36
XsHf_YktHMY,14.59
CfEWaAzbnco,14.32
w2_GBfyI-JM,9.15
VmlyPg60ofU,8.26
WVfUbfF1cSw,2.44
N1FZeykhvVw,11.59
7Iwnrrlw3GM,9.26
iz6U86OkdJg,10.49
HBR6kFnEcSw,10.59
sfJopPNVn40,3.08
oNGlrRQW6N8,3.37
_14ALxpYtIQ,12.24
PniDVLa8hE8,0.3
699neFJFg60,15.54
6sdiYHlwYWk,13.52
pwyzFT55uo4,5.51
3ieTAMRF_hQ,15.32
rhbDTFG4mUk,5.51
p1K0urfcj8w,15.32
6JdnioDHn6k,8.5
FBNEsuvZPb0,4
GEaAsGf-NiE,28.41
9jwHxai6Up0,nan
AirDDpISxKA,20.51
va73XaUoyCE,9.57
MsxQLrsqoAQ,3.53
E5hlvqEwafk,20.29
9NhLZOEhI1U,5.29
Q71-zflLkBM,13.46
fx6D65CIy94,15.04
WHunrgLjFzA,8.02
pjXKxnBIpZI,12.19
79fpx9uFpcs,10.53
cU8EtBpkHAw,11.15
7qu60_Ffa7c,23.47
H2nGNBTT-fk,1.4
lbW-A8sVUGs,27.5
3VEknrqaeR4,14.16
XvF6ovtUE-c,23.2
35wlGH7FSzE,5.17
uSTaQD0ieXg,9.09
MKuAmGPXS5A,2.29
6O83BZ54eIw,16.2
uebZU4z96Jc,5.5
jALzHvD01bc,15.4
-EWgRo6DXXk,8.37
UxcY74-ngqw,11.58
t3NsnQGNeJ8,15.51
J50tmqUPfrQ,5.56
PFYd13AoETA,21.59
a4qhVOA4Hd0,11.4
qdrDN1_VV24,23.25
oNZjGVIjR88,12.02
I5AONicJGlc,36.53
jIA1usFTAZ8,4.33
FnSgLiZUegA,15
0Oxg8joNN7c,5.59
USgzs-spZi0,11.17
EZneKMbOTMM,17.45
7hshGjqVoZA,28.29
pKu0kzHh7LE,9.22
ExQNj5Ibw64,8.18
iKWFEgjVBtA,13.41
78_QPj0LS-M,16.34
f6Va6lCZFwM,16.29
9J8LDUNBZ14,17
OIKm6UaN7To,15.58
zEzsefJWPyk,8.5
kzkngjR4NEg,6.55
TgLaEcasCZk,16.31
pMw1ZsHNetw,28.22
cu6vAfw9qBA,5.54
pdYIMix66MU,6.2
11ce-O2CY8c,14.14
Py-pRpslPII,3.57
ahUm4Pc5WUI,31.31
TtUKuX-MDPg,16.36
3LJcKymQZc8,14.23
hbrdLH-Mv2s,12.38
XlyikM3-BGw,11.21
BN4Bhm14R5g,13.27
xYUJ5r4MWVk,5.57
LmHXlL209V0,14.28
5G5Bd106gA0,15
MwWNx60KapQ,6.08
crp2imKKNn0,20.35
nRPtl-WNpPg,7.2
A8kvRLBqu5E,18.47
vTRRKNrOABI,7.42
jjQL7_xcA8Y,5.16
12lTJN-wi0o,20.16
cprq7kzZHHM,8.48
IirCLxOwDWs,20.24
az1zYyiEJOE,15.46
0ZEvrN_tyFw,4.02
O1HAMi2gwJE,36.09
oRxja53qkRQ,43.02
B99nKxPlFNs,30.17
iwqznG4NmgQ,23.04
EWjJ0-qurAQ,11.44
-69oswycB5k,50.55
1NimuDryq0c,14.39
TmdXDGK-y9Y,19.27
mnG5ST-x73I,9.3
Lyu39Bw_ilI,3.35
yhH48wwazlw,14.36
DpJS28l1GVo,1.01
9N4YUA_qNOk,34.02
DNpo7iKAB9I,18.23
Wm1u5pCPlnM,27.26
HOKljs2jMQc,5.52
vtmpHuHKdMc,2.22
EFQMjFgsJ9Q,7.3
KqlljnEILAc,9.2
a3TG8Tdy3CI,8.01
CGG6cRG30Qk,15.12
XSAISeYP6Zg,3.5
UQidMJSKK7c,3.17
7WHnNxtU7IM,4.05
-15jAtliHsg,25.37
7-Le6N4ViOA,18.31
Cbcas4Q2Ci0,0.29
ZR0lBxGPJw0,6.01
udjmLtMqQXM,11.17
MHfwA7K31SU,3.48
bXA7nQuZop4,7.27
4dgxsUTk9hk,13.36
jEZHmkvuElY,7.56
D6x5Qh4diwg,0.53
ffQnbZtsowk,NA
VHJr7iIZ9vI,45.2
VM8uTHiKKGU,7.14
MwSvcDIyktQ,3.5
DNJ-ZAtfu8Q,0.37
vGRKSmBUOLc,7.57
vwYnk6gMZLk,11.22
cbLFRcUkPig,9.2
gy803qW3JrA,20.19
YKNqI2ziS5A,2.33
hwRXd9HfwyQ,8.39
U-bB6g9X5gM,10.03
O1Py66EH6yY,12.29
oN6GGV8IkDI,5.48
FzSoInB1LKg,20.59
IkhRFjGyDBU,1.14
ypeW7Ivx_oo,17.16
7749vSI2O6w,10
rVQGCrlm3cc,13.3
KfYcjhf2P3Q,5.32
ZRheV_Aqu0k,11.44
4CNqlXc_bjI,10.57
Zt6M2X2kaSQ,9.1
TR7aGlvdfpI,9.33
-yiTRImxxcA,12.46
lYkOBCbMvWQ,6.5
bDQmDXmTXo4,12.57
iX6skjZzRl4,15.1
lH6Q4UOv93I,11.53
ffVRFHL_CkY,21.31
nC2iILOLb9Y,19.27
PqO0bkQGPGo,13.26
hoqCmu_ElMA,15.02
2AixZi1fOs4,18.17
bVO1uKC2pQo,41.3
yufXV2leN7U,15.4
U_W2bvn8M94,11.5
6zPXY8XU2mU,NA
inbIsfTDflI,9.2
_GvkBZaYVq8,NA
N-bEwd4OM-o,3.17
Pwo-okOzZx4,3.45
ylMNtdBHSII,19.34
plR5az79lBc,38.34
flSWR_DAMcs,9.19
elecE786Wjg,7.46
OC7YAMC55Gg,6.09
dQ1deJqk97c,8.07
zqvn7CeB5kk,9.59
RHdShtUZxzY,9.37
XQG-4nIYro8,9.52
obCvjThuXYY,6.59
areKxmGS-D8,13.2
8gwsWg2lcXA,14.59
AXV8SSghF_w,6.46
3Yaq66bUdOQ,4.54
K4kvrSRTrto,34.13
ckSlY_4wA6w,3.57
w9y_VfYOz5I,11.41
OhWkNBfVxzs,2.47
iNBuuGSaqVE,7.31
jNNQdMRyz4s,5.26
C9ZUgG_jOHs,16.14
g7ZNY5v9AVI,12.17
TV6d-tRNets,11
EQDMxS02l6Q,7.06
n3Jluedf_t8,10.4
HC1ymed1k8w,16.19
UnD9FH22n9s,10.03
SIp_It2Pr9g,6.4
JZj56bXUcUQ,8.29
_2qiboIen5E,3.36
F-isDuBZT8o,7.14
cRC1zxWl8YM,23.25
X974X4CQZGw,4.32
tWYoVyR9E-g,27.27
75OBN9Wwzlc,13.23
KphhgbaEOng,24.16
dR1fMdIoBug,2.41
CSCHlbxM_LY,17.37
_6UjwCW-bgk,11
PP-E0bn6nmM,8.29
KJ8duu6QtS4,32.06
LAULQEEYaVg,21.01
T8DlUw7EQd4,6.1
DMs2Sj8RHxc,8.07
89weeEV3OEk,28.51
yPjU2bt1nGY,11.57
WvCKDyyM3BQ,10.26
QC6gfMDJ9ug,25.12
2dVo6P5C79c,4.22
ODrpPhXuCRs,13.04
sgcZ4ZSm1tA,7.35
T5lTi_e70KE,8
e-Be6uUWX2Q,9.01
lP_bln0DPFI,5.05
W0u6I8U-XDA,11.5
zxiAh4-zbCM,9.26
ZRLkccEZ9JE,1.37
AbLQBlgR3j0,13.28
wkKVO55N-u0,10.49
qwmu4vz33so,1.15
CYIWsNi21tI,2.5
bzox8sHoZ-Y,6.15
UhwP74cjo1I,9.25
VxRK8n2fPUk,1.4
G1yLNxPBFg4,4.28
iXg72vyLg4k,0.58
ACFJLvx79TQ,34.24
aCuI9N8_T64,11
iozjPS35s2M,36.48
i59D5lZSMDs,4.49
iDNyXxnIvOk,NA
NXa_Gk3pgb8,10
