"Title","views","Publisher","Time","Duration","Like","Dislike"
"JE SUIS LA MORNING ROUTINE DE MON MEC (en confinement) ft. @Tibo InShape","1,788,530 views",,,"0:06","87K","3.3K"
"JE ME LISSE LES CHEVEUX EN RÉPONDANT À VOS QUESTIONS INDISCRÈTES","559,327 views",,,"31:39","38K","455"
"MADDY BURCIAGA ET GMK : ON VOUS DIT TOUT !! 🥰","897,922 views",,,"19:46","35K","1.2K"
"Coronavirus : le bac à 100% en contrôle continu ? ""Je n'exclus rien du tout"", répond Jean-Michel …","101,930 views",,,"3:17","1.2K","144"
"🖖🏾","1,990,487 views",,,"3:07","155K","2K"
"Maquillage STABILO et CRAYOLA ?! Faut arrêter là ...","235,131 views",,,"15:23","15K","437"
"LE CONFINEMENT VOUS REND FOU 🤯 (C'est marrant)","1,342,962 views",,,"11:48","135K","1.7K"
"Un Bon Moment avec BIGFLO & OLI #ChocMental","153,483 views",,,"1:51:51","8.3K","134"
"ESSAYEZ DE NE PAS RIRE SUR TIK TOK (Confinement)","975,249 views",,,"12:44","94K","1.9K"
"Faire un clip du futur en 24h (Feat. Flashboy)","635,039 views",,,"0:06","106K","581"
"COCO CORONA","613,338 views",,,"3:01","31K","1.7K"
"GMT - Mon Phone (Clip Officiel)","116,794 views",,,"3:19","21K","1.8K"
"JE DEVIENS YOUTUBEUSE BEAUTÉ (enfin j'essaie)","138,758 views",,,"10:29","23K","130"
"Instagram contrôle mon confinement (en couple)","1,993,500 views",,,"15:44","126K","3.4K"
"ON NOTE UN RESTO FRANÇAIS AU JAPON 👨‍🍳","239,879 views",,,"15:32","18K","255"
"SUHO 수호 '사랑, 하자 (Let’s Love)' MV","1,691,133 views",,,"3:54","511K","2.3K"
"Je teste une machine à beurre de cacahuètes","240,129 views",,,"9:50","16K","354"
"Swap Seconde Main W/Jenesuispasjolie !","95,332 views",,,"10:01","6.6K","65"
"KOH LANTA L'ILE DES HEROS RESUME EN 6 MN (PARODIE - AMBASSADEURS)","245,519 views",,,"5:59","16K","200"
"Benzema lache une bombe sur Instagram","168,073 views",,,"10:06","10K","462"
"L'APPART DU COUPLE BRISÉ - Épisode 4","119,297 views",,,"4:15","8.6K","65"
"Un HAUL à risque 😂 Boohoo & PLT","295,846 views",,,"11:09","27K","282"
"Validé - Les guests (bonus)","145,099 views",,,"4:12","3.6K","66"
"ÉNORME ESCAPE GAME ! (on a fait construire un tank)","1,291,933 views",,,"26:57","138K","1.8K"
"Masque de soin du CHU Grenoble repensé.","80,182 views",,,"9:40","1.2K","62"
