"Title","views","Publisher","Time","Duration","Like","Dislike"
"LOREDANA X ZUNA - DU BIST MEIN (prod by SRNO)","1,073,862 views",,,"2:28","117K","12K"
"AK AUSSERKONTROLLE x SHINDY - HOOD (prod. OZ & Nils)","250,741 views",,,"3:27","38K","2.3K"
"Kontra K -  Puste sie weg (Official Video)","371,051 views",,,"3:24","81K","614"
"Ufo361 - ""Allein sein""","470,601 views",,,"2:37","100K","1.3K"
"LUCIANO - TRIPPIN","382,370 views",,,"3:11","71K","903"
"Mois ft. ???? & ???? VORBEI (prod. by Aside & HNDRX)","262,531 views",,,"3:24","56K","2K"
"LIL LANO - KEIN GRUND (Official Video)","370,595 views",,,"3:00","63K","1.6K"
"Schlägt Tonis Herz doch für Connor? 💓🤔 #2160 | Berlin - Tag & Nacht","526,227 views",,,"15:12","20K","497"
"FARID BANG  - ""QUAVO"" [official Video]","186,234 views",,,"2:18","31K","451"
"NGEE & NIMO - YA MAS5ARA ( prod. HEKU)  [Official Video]","112,611 views",,,"2:41","19K","292"
"Gefühlschaos! 🤯😵 Ben oder Oskar? #1831 | Köln 50667","327,575 views",,,"13:52","8.8K","184"
"Corona: Was weiß die Wissenschaft? – Leschs Kosmos [Ganze TV-Folge] | Harald Lesch","483,139 views",,,"43:36","12K","1.2K"
"FRAG EINEN STREAMER | Papaplatte über Domo, Kleinwüchsige, Cash & Community","366,824 views",,,"18:47","46K","445"
"Nintendo Direct Mini 3.26.20","3,002,643 views",,,"28:55","104K","7.6K"
"Mein neuer Freund ist ein Knacki?! 😍 | Hilf Mir!","163,418 views",,,"15:54","5.8K","325"
"Tränen in den Augen: Sarah Lombardi singt Pietros neuen Song","959,820 views",,,"3:41","20K","1.6K"
"JP Performance - Boost Wars 2.0 | Nissan GT-R R35","537,743 views",,,"27:17","23K","504"
"Ein wenig Zeit musste vergehen - Der Oldtimer Teilemarkt bei Jaco","118,500 views",,,"16:05","8.7K","30"
"BUNDESLIGA CHALLENGE - BAYERN VS DORTMUND FREISTOß BATTLE!","91,189 views",,,"11:09","8.2K","231"
"Antoine versteckt sich im Wald wegen Corona und Chelene","603,691 views",,,"9:33","28K","879"
"Semmel VS. Brötchen","967,599 views",,,"2:34","126K","513"
"Joyner Lucas - Will (ADHD)","5,355,938 views",,,"3:59","479K","5.1K"
"ALBAs tägliche Sportstunde | Kita 4 | Der Zaubertrank","141,407 views",,,"17:56","703","52"
"Coronavirus: Virologe Drosten über neue Erkenntnisse","250,422 views",,,"1:05:25","2K","558"
"10 MIN SIXPACK WORKOUT - Let's train together / No Equipment I Pamela Reif","405,178 views",,,"12:15","13K","254"
"Chefs & Kollegen beeindrucken: Beste Hintergründe für Video-Calls! | Late Night Berlin | ProSieben","206,017 views",,,"6:55","6.3K","284"
"Krasse Fressattacken: Wieso kann die Schülerin nicht aufhören zu essen? | Die Familienhelfer | SAT.1","137,619 views",,,"11:06","3.6K","194"
"Ärztin muss Schülerin trösten: Wieso weint sie so bitterlich? | Klinik am Südring | SAT.1","85,236 views",,,"15:24","1.8K","53"
"Coronavirus-Update #21: ""Antikörpertests kommen bald"" | NDR Podcast","312,879 views",,,"40:39","5.3K","404"
"Top 10 Moments Of F1 Safety Car Chaos","507,469 views",,,"6:01","15K","132"
"Atemschutzmaske / Mundschutz selber nähen #MaskeZeigen","184,090 views",,,"8:58","2.3K","556"
"Real wieder an Haaland dran! Götze zu Bayer? | TransferKickz","76,074 views",,,"13:43","3K","96"
"Wie ist das UNTER BODY SHAMING ZU LEIDEN?","173,553 views",,,"13:29","9.5K","357"
"SDP - Die Nacht von Freitag auf Montag (Corona Edition)","590,361 views",,,"3:37","47K","641"
"Verkohlte Nudeln! Finales Testessen endet im Chaos | 7/7 | Rosins Restaurants | Kabel Eins","158,648 views",,,"16:25","2.2K","102"
"Dirk Müller - Lasst uns in Solidarität investieren!","138,156 views",,,"5:26","7K","291"
"Was du über das deutsche Disney+ wissen musst | WALULIS DAILY","119,188 views",,,"8:45","6.2K","124"
"Der CRASH ist noch NICHT vorbei!","69,020 views",,,"18:01","2.4K","72"
"Meine neue Frühlingskollektion.. (PESO Basic Instinct)","222,661 views",,,"13:27","27K","781"
"GTA 6: Stimmen die Gerüchte zur Ankündigung? - News","127,496 views",,,"7:22","5.3K","142"
"Arbeitsscheinwerfer XENON 🚒! Alle guten Dinge sind 3 😁!  ItsMarvin","95,830 views",,,"16:26","4.8K","82"
"Die 5 TRAURIGSTEN YouTube-Trennungen! - Teil 3 | TOP 5","203,478 views",,,"11:00","12K","257"
"Tourette im Fitnessstudio","567,122 views",,,"10:37","43K","601"
"Wann dürfen wir wieder raus? Können auch Jüngere sterben? | Interview mit dem RKI zum Cor0na Virus","195,304 views",,,"16:59","15K","365"
"I DROVE THE REPLICA CYBERTRUCK!! - the Hacksmith's Crazy Studio","1,083,925 views",,,"21:33","56K","1K"
"FarmVLOG#320 - Erster Startversuch....FAIL!!!","50,228 views",,,"26:41","2.6K","33"
"Das Coronavirus erklärt & Was du jetzt tun solltest","555,526 views",,,"8:35","44K","494"
"Coronavirus – unnötiger Alarm bei COVID-19? | Harald Lesch","5,304,120 views",,,"9:11","107K","12K"
"Familie entführt 😲😱 Dean greift an 👊💥 #2159 | Berlin - Tag & Nacht","667,377 views",,,"12:47","23K","689"
"Coronavirus: Merkel zu neuen Regeln - Maximal zwei Personen erlaubt","1,669,588 views",,,"24:08","18K","3.6K"
"DARDAN ~ H 0 T E L ft. MONET192","2,591,947 views",,,"3:06","83K","2.3K"
"Corona: Wann ist die Pandemie vorbei? | Quarks exklusiv","2,142,711 views",,,"11:35","40K","2K"
"Dinge halbieren eskaliert etwas😅... mit Gewitter im Kopf","1,085,795 views",,,"10:46","89K","1.8K"
"Pietro Lombardi – Kämpferherz (Official Music Video)","1,252,416 views",,,"2:53","94K","2K"
"Ben und Lea küssen sich! 😱💋 #1830 | Köln 50667","509,732 views",,,"16:17","11K","338"
"Tourette vervollständigt UNSERE Sätze! mit blauem Besuch! (Rezo)","714,163 views",,,"10:29","60K","666"
"Der Corona Song","1,835,667 views",,,"1:47","55K","4K"
"Frei.Wild - Corona Weltuntergang v2 (Offizielles Video)","676,594 views",,,"3:17","30K","1.6K"
"STANLEYS GOLDENE TAUSEND IM BETT 😏🛏 Folge 7 | Krass Klassenfahrt","788,195 views",,,"11:00","41K","1.1K"
"Corona-Krise: Die Welt steht still","544,787 views",,,"43:53","4.8K","972"
"Soolking feat MERO - Hayati [Official Lyric Video] Prod By AriBeatz","2,455,912 views",,,"2:29","80K","2.8K"
"Mit YouTube zum Millionär? Wie viel verdienen erfolgreiche deutsche YouTuber? | Galileo | ProSieben","1,891,770 views",,,"11:26","55K","2.4K"
"Wer ist die Göttin? | The Masked Singer | ProSieben","287,225 views",,,"8:16","2.8K","465"
"ALBAs tägliche Sportstunde | Kita 1 | Flug mit dem Albatros","1,261,562 views",,,"36:54","8.9K","482"
"Coronavirus: So verläuft die Erkrankung Covid-19 | Visite | NDR","1,380,343 views",,,"5:03","14K","567"
"SAMRA & CAPITAL BRA - BERLIN (PROD. BY BEATZARRE & DJORKAEFF, LUKAS PIANO)","4,606,946 views",,,"3:12","167K","14K"
"GReeeN - Klopapier (Corona) [MUSIKVIDEO]","677,200 views",,,"3:18","53K","1.9K"
"Corona-Krise: Robert Koch-Institut Update vom 20.03.2020","1,148,923 views",,,"35:39","11K","1.1K"
"Wer liegt im Bett? Luciano & Klaas spielen das Home-Office Mitarbeiterquiz | Late Night Berlin","587,563 views",,,"7:29","23K","529"
"Do the Corona Dance!","1,593,440 views",,,"1:48","104K","15K"
"ICH SCHMINKE JANA ""FULL GLAM"" (und sie hasst es) 😂🥺👉🏼👈🏼","588,879 views",,,"8:45","39K","867"
"DIE DÜMMSTEN TIK TOK LIFE HACKS ALLER ZEITEN im Test | Joey's Jungle","625,938 views",,,"15:46","52K","864"
"ALLEINE eingesperrt in Quarantäne. Ich raste aus...","391,895 views",,,"13:27","29K","1.3K"
"NICHT RAUSGEHEN (TUTORIAL)","664,954 views",,,"1:29","86K","1.2K"
"Recognizing Ignaz Semmelweis and Handwashing","55,542,542 views",,,"0:50","Like","Dislike"
"Jador x Lino Golden - Dau Moda | Official Video","18,161,835 views",,,"2:16","398K","22K"
"Corona: Kommt der große Wirtschafts-Crash?","611,000 views",,,"15:58","24K","655"
"Das Problem mit Disney+","307,560 views",,,"10:20","25K","9.9K"
"Dreckswohnungs Umstyling: Streichen, Möbel, Nervenzusammenbruch (Part 2)","621,263 views",,,"12:44","31K","716"
"ALMAN Witze | Julien Bam vs Phil Laude","2,160,534 views",,,"6:18","139K","2.5K"
"Audi RS6 Avant | Test auf Autobahn und Heimstrecke | Matthias Malmedie","675,149 views",,,"30:17","16K","632"
