Title,views,Publisher,Time,Duration,Like,Dislike
Badshah - Genda Phool | JacquelineFernandez | Payal Dev | Official Music Video 2020,"17,744,740 views",,,2:54,900K,113K
Bhula Dunga - Darshan Raval | Official Video | Sidharth Shukla | Shehnaaz Gill | Indie Music Label,"27,763,707 views",,,3:25,2M,139K
कोरोना संकट मिट्टी के मोल मिलेगा पेट्रोल | Coronavirus Latest Updates,"2,562,719 views",,,9:11,18K,2.9K
"RRR Motion Poster - NTR, Ram Charan, Ajay Devgn, Alia Bhatt, Olivia Morris | SS Rajamouli","5,634,484 views",,,1:15,256K,8.7K
AEROPLANE - Mr. Faisu & Jannat Zubair | Vibhor Parashar | Rajat Nagpal | Anshul Garg,"6,419,071 views",,,2:53,533K,69K
GUMMY vs REAL FOOD Challenge #Funny Eating challenge | Aayu and Pihu Show,"2,359,278 views",,,14:10,149K,6.9K
Coronavirus का China में 21 Million Mobile बंद होने से क्या Connection? | Duniyadari E17,"1,110,259 views",,,14:07,40K,1.9K
"Pandaga Sir Pandaga Anthe|ETV Ugadi Spl Event 2020|Sudheer,Aadhi| 25th Mar 2020| Full Episode","5,192,666 views",,,2:08:08,57K,8.7K
मजदूरों ने कहा- Lockdown होने के बाद काम नहीं मिल रहा,"2,983,573 views",,,5:51,85K,4.6K
"Corona संकट पर PM Modi का बड़ा ऐलान, हिंदुस्तान को बचाने के लिए 21 दिनों तक पूरे भारत में LockDown","14,650,548 views",,,30:10:00,137K,18K
SHOCKING: Actor Dr.Sethuraman Passed Away | RIP,"350,326 views",,,0:47,7.1K,228
7 AM | ETV Telugu News | 27th March 2020,"780,970 views",,,24:04:00,5.7K,976
April 14 తర్వాత ఏం జరగబోతుంది..? - TV9,"726,415 views",,,2:55,Like,Dislike
COVID-19 | ‘How many deaths are acceptable to me?’: Watch Trump’s reply to reporter,"1,981,553 views",,,2:05,21K,1.1K
EMIWAY - ASLI NAKLI (MEIN EP 2017) (OFFICIAL ONE TAKE MUSIC VIDEO),"1,312,920 views",,,4:09,258K,9.2K
"Tumhari Yaad Ayee Hai|Bhavin,Sameeksha,Vishal|Palak Muchhal,Goldie S|Amjad Nadeem|ZeeMusicOriginals","3,243,033 views",,,3:19,266K,10K
ગુજરાતમાં આગામી 29 માર્ચે  અતિ ભારે વરસાદની હવામાન વિભાગે આપી આગાહી,"408,409 views",,,10:32,2.6K,268
Virus scenario - The current situation | Jump cuts | Hari Baskar | Naresh Dillibabu (with Eng-subs),"827,110 views",,,10:02,66K,1.2K
Today Headlines - 27 March 2020 | இன்றைய தலைப்புச் செய்திகள்| Tamil Morning Headlines| Corona update,"769,819 views",,,5:46,5.6K,655
Sukha poori 1 | Whatsapp groups and politics | Zakir khan,"1,332,681 views",,,4:52,106K,3K
Time to save 1.5 Crore people from Corona | Tamil | LMES,"925,949 views",,,11:04,53K,811
"ಅಗ್ರ ರಾಷ್ಟೀಯ ವಾರ್ತೆ | Kannada Top Stories Of The Day | March 26, 2020","118,329 views",,,21:30,549,115
5 Minutes 25 Headlines | hmtv Telugu News,"480,350 views",,,4:21,Like,Dislike
రంగంలోకి అసలైన నాయకుడు దిగితే ఎలా ఉంటుందో చూడండి | Harish Rao Serious On Police | LockDown | PQ,"714,866 views",,,2:23,6.7K,539
25 महानगरं 50 बातम्या | 26 March 2020 -TV9,"374,648 views",,,13:14,Like,Dislike
🔴 LIVE: Sun News | சன் நியூஸ் | Tamil Live News | Tamilnadu Latest News,"2,118,981 views",,,13:14,4.3K,760
Corona Virus: Russia के राष्ट्रपति Vladimir Putin की बेफ़िक्री की वजह क्या है? (BBC Hindi),"1,786,414 views",,,4:44,Like,Dislike
இந்த மாசம் EMI கட்டணுமா..? - கொரோனா அதிரடி | COVID 19 | EMI | Corona Virus | Thanthi TV,"377,936 views",,,3:44,5.7K,234
"Naayagi Episode 641, 26/03/2020","877,258 views",,,18:32,8K,1.4K
"സന്ധ്യാവാർത്ത  | 6 PM News | March 26, 2020","383,079 views",,,29:16:00,2.5K,415
ROJA Serial | Episode 592 | 26th Mar 2020 | Priyanka | SibbuSuryan | SunTV Serial |Saregama TVShows,"929,438 views",,,18:20,10K,10K
"नवरात्रि Special Non Stop Devi Bhajans I देवी भजन I ANURADHA PAUDWAL, SONU NIGAM, Navratri Special","250,144 views",,,31:45:00,2.9K,318
Quarantine With MOM || Mahathalli || Tamada Media,"748,973 views",,,10:34,23K,865
"இளம் மருத்துவரும், நடிகருமான சேதுராமன் காலமானார்!","1,263,900 views",,,0:44,17K,822
"Bathinda police ਨੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਸਮਝਾਇਆ Curfew ਦਾ ਮਤਲਬ, ਰੱਜ ਕੇ ਫੇਰੀ ਡਾਂਗ","1,805,145 views",,,4:33,15K,2.4K
Types Of DESI MOM | ShrutiArjunAnand,"870,565 views",,,20:23,45K,2.3K
আজকের বড় খবর || Today Latest Update,"779,829 views",,,14:08,11K,1.2K
"Lockdown: Dahod-Godhra's Workers Stuck In Surat,Forced To Go Pedestrian | ABP Asmita","168,567 views",,,5:00,1.1K,123
