"Title","views","Publisher","Time","Duration","Like","Dislike"
"人間と恐竜が共存していた時代？！UMA特集！","417,154 views",,,"0:22","10K","500"
"【吹いたら退場】シバッハのソロクラシックコンサート","1,429,532 views",,,"8:59","77K","930"
"【ご報告】ヒカルはYouTubeを卒業しテレビタレントになりますドッキリ【ラファエル】","556,069 views",,,"0:22","11K","2.8K"
"【ドッキリ】美容院に来たはずが一人ぼっちでこの状況…","227,685 views",,,"11:52","7.1K","120"
"漢 a.k.a. GAMI vs MU-TON【真 ADRENALINE】2回戦第2試合 (シード戦)","202,032 views",,,"10:02","3.3K","70"
"何故、ヒカル君が動画にあまり出演しないのか？それに答えます！","191,189 views",,,"6:52","9.1K","402"
"世界で死者２万人超","118,857 views",,,"4:08","693","43"
"【３歳児のモーニングルーティン】senliving．","1,005,095 views",,,"16:07","68K","544"
"レペゼン地球なら絶対はいと言わないでしょ。","477,955 views",,,"11:27","21K","295"
"【ご報告】なちょころりんの今後について","894,487 views",,,"10:25","19K","3.9K"
"【ご報告】2024年に結婚する❗️らしいです【ふくれな】【M君】","747,621 views",,,"12:15","17K","458"
"【神回】天才的なボケてにツッコミ入れてみた。【#21】","453,422 views",,,"2:25","13K","216"
"JO1｜『メンバーカラー決め会議』でメンバーカラーが決定しました！","249,317 views",,,"13:21","15K","167"
"【大食い】超巨大マウンテン天丼がマジでデカすぎる！！！","943,305 views",,,"15:03","20K","589"
"住所特定された…!? 家にファンから本当にヤバイものが届いた…","497,643 views",,,"15:25","13K","343"
"呂布カルマ vs 輪入道/戦極MC BATTLE 第21章(20.2 .15)BEST BOUTその2","157,228 views",,,"19:41","3.6K","72"
"東京で感染拡大・・・北海道に学ぶ自粛中の生活態度(20/03/26)","163,371 views",,,"4:54","613","130"
"通販に売られていた奇妙な商品","188,590 views",,,"3:43","4.9K","71"
"WINNER - '뜸(Hold)' M/V","2,642,812 views",,,"4:19","404K","5K"
"【漫画】ぼっち大学生の１日の過ごし方【マンガ動画】","731,006 views",,,"0:15","15K","274"
"50,000円のカツサンド売っとったwwwww","721,566 views",,,"6:12","18K","535"
"【公式】「ファンタズミック！」スペシャル動画 | 東京ディズニーシー/Tokyo DisneySea","1,281,133 views",,,"22:58","Like","Dislike"
"PS4®×『FINAL FANTASY VII REMAKE』CM 「4.10 - ナポリの男たち」篇","192,548 views",,,"0:40","5.2K","59"
"【見つかったら月収公開!?】船貸し切って罰ゲーム付き隠れんぼ！好きな人は⁇嫌いなYouTuberは？","232,992 views",,,"15:47","4.3K","159"
"Travis Japan【捜索願い】黄金の中村海人を東京23区で探せ！","211,296 views",,,"19:33","Like","Dislike"
"35歳トクサンの肘が限界…野球人生の終わりが近かった。","239,903 views",,,"12:00","1.7K","80"
"冷凍庫パンパンに詰め込んだ食材２時間半で全部食べきれるか！？","399,917 views",,,"16:57","7.3K","357"
"一杯10万円の牛丼(並)がヤバすぎたwwwww","582,933 views",,,"20:39","14K","540"
"【質問コーナー】喧嘩の理由も大暴露！？リクエスト多かったのは・・・","172,067 views",,,"9:38","5.5K","124"
"The voice actor will try his best to become a voice actor! ]","802,111 views",,,"29:36","35K","213"
"Perfume - ""Challenger"" (Official Music Video)","140,253 views",,,"6:48","11K","74"
"自分を大蛇丸と信じて止まない一般男性が、鮭のホイル焼きと白米で優勝する動画です。","307,548 views",,,"2:19","7.8K","105"
"新アイテムを使ってジギングしたら・・・爆釣","168,076 views",,,"17:08","2.3K","152"
"【超デカ盛り】チャンネル史上で最も巨大なとんかつが最強に旨かった！！","112,820 views",,,"10:24","1.9K","266"
"【セ・リーグ順位予想】巨人は連覇難しい!?１位は他の解説者もノーマークのチーム!?里崎智也がガチ予想します！","151,405 views",,,"15:56","2K","234"
"ご報告があります。","929,199 views",,,"16:23","25K","1.4K"
"Snow Man「宮舘の食べたいものを当てろ！」イタリアン編","758,119 views",,,"0:30","Like","Dislike"
"実写映像初出し！ドラマ『映像研には手を出すな！』TVCM【公式】齋藤飛鳥・山下美月・梅澤美波","280,750 views",,,"0:42","Like","Dislike"
"【漫画】彼女が節約と健康志向にハマった結果、金欠＆栄養失調！まさかの真逆の状況に…","624,573 views",,,"6:29","8.8K","224"
"朝倉海の愛車を目の前で突然知らない人が乗って行ったらどうなるかやってみた","398,833 views",,,"10:02","7.4K","393"
"ヒカルちゃんに大量の駄菓子をプレゼントしたら泣いて喜んでた（嘘）","618,542 views",,,"14:58","20K","477"
"【学生:社会人必見】ストレス解消や安眠効果！これを聞けば絶対に眠れる子守唄【リラックス】","951,168 views",,,"3:49","48K","321"
"3人は無事合流できるのか！？まさかの◯◯で集合！！【ジュキヤくん＆せりしゅんくんコラボ】","505,677 views",,,"12:10","14K","256"
"【一夫多妻制】美人ハーレムを築くとどうなるのか？【アニメ】【漫画動画】","326,388 views",,,"7:24","5K","151"
"【衝撃】母からの置き手紙がツッコミどころ満載だったwwwwww【#2】","503,719 views",,,"2:31","24K","267"
"【アニメ】この車掌やばすぎWWWWWWWWWWWWWWWWWWW","460,556 views",,,"1:09","28K","252"
"食ってみな飛ぶぞ","404,785 views",,,"5:46","12K","214"
"ビッグマックを丸ごとプレスしてせんべいにしてみた結果！！","286,107 views",,,"13:32","4.4K","563"
"東海オンエアの腸内を内視鏡で調べてみたら…とんでもない事実発覚！","2,267,234 views",,,"18:23","56K","1.1K"
"【初YouTube】佐藤健『たけてれ』","7,071,259 views",,,"53:23","195K","5.5K"
