"Title","views","Publisher","Time","Duration","Like","Dislike"
"4705회. 민식이법 시행 첫 날,  첫 사고가 올라왔습니다","1,421,346 views",,,"34:54","18K","824"
"WINNER - '뜸(Hold)' M/V","2,646,796 views",,,"4:19","407K","5.1K"
"※결혼식 앞둔 예신예랑 주목※ 오늘부로 축의금 액수 논란 종ㅋ결ㅋ결혼 유경험자 짬바 제대로 보여준 웨딩홀 알바 리뷰ㅣ워크맨 ep.45","664,418 views",,,"10:23","27K","1.1K"
"[LIVE] 100분토론 - 재난기본소득, 긴급처방인가 포퓰리즘인가 (866회)","252,735 views",,,"1:51:54","6.7K","315"
"[Jangbbijju VS] (Ball) Sacked","997,838 views",,,"4:16","31K","908"
"[무료] 하트시그널 시즌3 1회 Full vod | 수요일 밤의 설렘주의보♥","511,057 views",,,"1:27:50","4.9K","642"
"[김경래의 최강시사] 최강욱 총선 출마 첫 인터뷰 “개혁 저항 세력들을 심판해야 한다”- 최강욱 전 청와대 공직기강비서관(열린민주당 후보).(200327)","169,881 views",,,"18:47","16K","271"
"2nd episode to tease someone who hasn't watched Itaewon Class yet LOL","301,949 views",,,"3:22","10K","190"
"100만 유튜버의 상징 골드버튼!! 6개 훔치기!!ㅋㅋ 안녕하세요 600만 유튜버 더블비 입니다^^ ㅋㅋㅋㅋㅋ","839,084 views",,,"1:04","15K","1.7K"
"[골라봐야지] ""(우한 제외)후베이성엔 추가 확진자 0명"" 중국 대표 장역문에 타일러가 받아친 말♨ #77억의사랑 #JTBC봐야지","131,481 views",,,"11:23","2.6K","127"
"분노한 재앙신의 폭주💥 나쁜짓 하면 이렇게 벌 받음💦｜4화 하이라이트｜신비아파트 고스트볼 더블X : 6개의 예언｜투니버스","110,720 views",,,"2:49","1.7K","94"
"'윤우진 뇌물 사건' 때 윤석열도 수사대상...MB 민정수석실 외압, 경찰수사 막혀 - 뉴스타파","372,854 views",,,"27:17","25K","348"
