"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"oy80-T0JJtA",2018-04-21,"UCmh5gdwCx6lN7gEC20leNVA","surprising best friends with 3 new cars","My 420 fun surprise Thanks to SeatGeek for sponsoring this gift. Use code DAVID for $20 off your first order: https://sg.app.link/david Thanks to everyone at ...","https://i.ytimg.com/vi/oy80-T0JJtA/default.jpg","120","90","https://i.ytimg.com/vi/oy80-T0JJtA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/oy80-T0JJtA/hqdefault.jpg","480","360","David Dobrik","none",14549049,920383,3880,0,58252,4,2018
"Om7wGUivcPw",2019-10-17,"UCGyhCn52ork3QWb0UlCy-OA","sri lanka elle <U+0D91><U+0DBD><U+0DCA><U+0DBD><U+0DDA> <U+0D9A><U+0DAB><U+0DCA><U+0DA9><U+0DCF><U+0DBA><U+0DB8><U+0DCA> <U+0DC3><U+0DAF><U+0DC4><U+0DCF> <U+0DBD><U+0DCF><U+0D82><U+0DA1><U+0DB1><U+0DBA><U+0DB1><U+0DCA> <U+0D91><U+0DC4><U+0DD9><U+0DB8><U+0DAD><U+0DCA> <U+0DB1><U+0DD0><U+0DAD><U+0DD2><U+0DB1><U+0DB8><U+0DCA> <U+0DC3><U+0DBD><U+0D9A><U+0DD4><U+0DAB>","<U+0D91><U+0DBD><U+0DCA><U+0DBD><U+0DDA> <U+0D9A><U+0DAB><U+0DCA><U+0DA9><U+0DCF><U+0DBA><U+0DB8><U+0DCA> <U+0DC3><U+0DAF><U+0DC4><U+0DCF> <U+0DBD><U+0DCF><U+0D82><U+0DA1><U+0DB1><U+0DBA><U+0DB1><U+0DCA> <U+0D91><U+0DC4><U+0DD9><U+0DB8><U+0DAD><U+0DCA> <U+0DB1><U+0DD0><U+0DAD><U+0DD2><U+0DB1><U+0DB8><U+0DCA> <U+0DC3><U+0DBD><U+0D9A><U+0DD4><U+0DAB> www.srlankaelle.com <U+0DC0><U+0DD9><U+0DB6><U+0DCA> <U+0DB4><U+0DD2><U+0DA7><U+0DD4><U+0DC0> <U+0DC0><U+0DD9><U+0DAD><U+0DD2>...","https://i.ytimg.com/vi/Om7wGUivcPw/default.jpg","120","90","https://i.ytimg.com/vi/Om7wGUivcPw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Om7wGUivcPw/hqdefault.jpg","480","360","Sri Lanka Elle","none",119,3,0,0,2,10,2019
"ovBRDPFVrjA",2019-07-23,"UCxbt2Jhpo1ozpVCCVhagdEw","100 pack opening first bundle of mut 20 madden 20 ultimate team","This video is presented by EA Game Changers. We rip our first $100 bundle of Madden 20! Can we pull something glitchy?? What are the pack odds?! Follow ...","https://i.ytimg.com/vi/ovBRDPFVrjA/default.jpg","120","90","https://i.ytimg.com/vi/ovBRDPFVrjA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ovBRDPFVrjA/hqdefault.jpg","480","360","The Director: Madden and Chargers Football","none",31855,472,48,0,112,7,2019
"6VF0GEf3S0I",2020-01-11,"UCmh5gdwCx6lN7gEC20leNVA","surprising people with justin bieber","We surprise some students with Justin Bieber!! Yummy music video: https://www.youtube.com/watch?v=8EJ3zbKTWQ8 Yummy on itunes: ...","https://i.ytimg.com/vi/6VF0GEf3S0I/default.jpg","120","90","https://i.ytimg.com/vi/6VF0GEf3S0I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6VF0GEf3S0I/hqdefault.jpg","480","360","David Dobrik","none",19398544,1089594,21911,0,34078,1,2020
"-zAAWPNtgw0",2016-08-05,"UC6tQAnaOjjwYX7aTlPwEYWg","6two1 39 s ireland honda hunt part 1","I headed out to Ireland for a week to see if i could find some of the best Honda's they had to offer! NEW BLOG POST ...","https://i.ytimg.com/vi/-zAAWPNtgw0/default.jpg","120","90","https://i.ytimg.com/vi/-zAAWPNtgw0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-zAAWPNtgw0/hqdefault.jpg","480","360","Adam Ivell","none",6737,162,1,0,24,8,2016
"VKg3w8cnMoI",2019-07-16,"UC7q6uQnKC3rGDfeKeLXzyJQ","nhl 20 game play trailer breakdown","In this video I go over the NHL 20 game play trailer, as well as all the information that EA released in their NHL 20 blogs! Let me know what you think! Follow Me: ...","https://i.ytimg.com/vi/VKg3w8cnMoI/default.jpg","120","90","https://i.ytimg.com/vi/VKg3w8cnMoI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VKg3w8cnMoI/hqdefault.jpg","480","360","Sleeveless Gaming","none",1660,63,2,0,18,7,2019
"rxsqPiVWskY",2019-05-19,"UC-SV8-bUJfXjrRMnp7F8Wzw","they kicked her out","Yesterdays Vlog - https://youtu.be/2xhd9iqDyQ8 Welcome to day 3 of our very productive and fun trip to the beautiful Bahamas. Thank you so much for being ...","https://i.ytimg.com/vi/rxsqPiVWskY/default.jpg","120","90","https://i.ytimg.com/vi/rxsqPiVWskY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rxsqPiVWskY/hqdefault.jpg","480","360","Roman Atwood Vlogs","none",1058334,35593,806,0,1773,5,2019
"Owy2hhn9fTQ",2016-07-11,"UC2QfralkpSNApY81B8Fp8Eg","beginner 39 s guide to serging ep 10 yarn application foot","https://www.sewingpartsonline.com/?utm_source=Youtube&utm_medium=product Welcome back to the Beginner's Guide to Serging! In this episode, we'll learn ...","https://i.ytimg.com/vi/Owy2hhn9fTQ/default.jpg","120","90","https://i.ytimg.com/vi/Owy2hhn9fTQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Owy2hhn9fTQ/hqdefault.jpg","480","360","Sewing Parts Online","none",36797,497,5,0,21,7,2016
"x8G-pasEZgs",2018-11-16,"UCkuhvS6P68pAhbTDgrIvsSg","60 second tutorial all occasion card set by nichola battilana for graphic 45 featuring flutter","Flutter Card Set - By Nichola Battilana “The holidays are coming up so fast, and for many people, that means Christmas, winter celebrations, and Thanksgiving, ...","https://i.ytimg.com/vi/x8G-pasEZgs/default.jpg","120","90","https://i.ytimg.com/vi/x8G-pasEZgs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/x8G-pasEZgs/hqdefault.jpg","480","360","Graphic 45","none",3100,129,0,0,5,11,2018
"sk7qw0R6phw",2019-10-20,"UCGyhCn52ork3QWb0UlCy-OA","sri lanka elle <U+0D89><U+0DAD><U+0DCF><U+0DBD><U+0DD2> <U+0DBB><U+0DB1><U+0DCA> <U+0D9A><U+0DD4><U+0DC3><U+0DBD><U+0DCF><U+0DB1> 04 <U+0DAD><U+0DBB><U+0D9C><U+0DB8><U+0DCF><U+0DBD><U+0DCF><U+0DC0><U+0DDA> <U+0D9A><U+0DD4><U+0DC3><U+0DB4><U+0DAD><U+0DCA> <U+0D87><U+0DAF><U+0DD3><U+0DB8> 2019 <U+0D94><U+0D9A><U+0DCA><U+0DAD><U+0DDD><U+0DB8><U+0DCA><U+0DB6><U+0DBB><U+0DCA> <U+0DB8><U+0DC3> 19 <U+0DC0><U+0DD9><U+0DB1><U+0DD2> <U+0DAF><U+0DD2><U+0DB1>","Subscribe Me: https://www.youtube.com/channel/UCGyhCn52ork3QWb0UlCy-OA?sub_confirmation=1 <U+0D87><U+0DAD><U+0DCA><U+0DAD><U+0DB8><U+0DBA><U+0DD2>..<U+0D85><U+0DB4><U+0DDA> <U+0DA0><U+0DD0><U+0DB1><U+0DBD><U+0DCA> <U+0D91><U+0D9A><U+0DA7><U+0DAD><U+0DCA> <U+0D9C><U+0DDC><U+0DA9><U+0DC0><U+0DD9><U+0DBD><U+0DCF> <U+0DBA><U+0DB1><U+0DCA><U+0DB1>...","https://i.ytimg.com/vi/sk7qw0R6phw/default.jpg","120","90","https://i.ytimg.com/vi/sk7qw0R6phw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sk7qw0R6phw/hqdefault.jpg","480","360","Sri Lanka Elle","none",351,3,0,0,1,10,2019
