"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"VKg3w8cnMoI",2019-07-16,"UC7q6uQnKC3rGDfeKeLXzyJQ","nhl 20 game play trailer breakdown","In this video I go over the NHL 20 game play trailer, as well as all the information that EA released in their NHL 20 blogs! Let me know what you think! Follow Me: ...","https://i.ytimg.com/vi/VKg3w8cnMoI/default.jpg","120","90","https://i.ytimg.com/vi/VKg3w8cnMoI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VKg3w8cnMoI/hqdefault.jpg","480","360","Sleeveless Gaming","none",1656,63,2,0,18,7,2019
"mnG5ST-x73I",2019-07-11,"UCkuhvS6P68pAhbTDgrIvsSg","tutorial 3d pop up paper boat for graphic 45 by vera shelemekh","[Tutorial] Summer Fun Pop-Up Album for Graphic 45 by Vera Shelemekh This album will keep the best moments of summer vacation and pop up techniques ...","https://i.ytimg.com/vi/mnG5ST-x73I/default.jpg","120","90","https://i.ytimg.com/vi/mnG5ST-x73I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mnG5ST-x73I/hqdefault.jpg","480","360","Graphic 45","none",1127,75,2,0,11,7,2019
"mK79gVAD7xw",2019-08-13,"UCnAkgsE5qsLaU4Uyaev3fnA","39 voluntourism by world economic forum","'Voluntourism by World Economic Forum. / 'Voluntourism These islands are using tourists to help offset the effects of tourism Stark, rugged and sparsely ...","https://i.ytimg.com/vi/mK79gVAD7xw/default.jpg","120","90","https://i.ytimg.com/vi/mK79gVAD7xw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mK79gVAD7xw/hqdefault.jpg","480","360","Titles Teams","none",42,3,0,0,0,8,2019
"epHvfvd6edU",2019-09-11,"UC7Wyuc7HQXbC70GGqVLl9mQ","easy ways to make coins in fifa 20 fifa 20 ultimate team","thanks for watching beauties twitter: https://www.twitter.com/runthefutmarket twitch: https://www.twitch.tv/runthefutmarket instagram: ...","https://i.ytimg.com/vi/epHvfvd6edU/default.jpg","120","90","https://i.ytimg.com/vi/epHvfvd6edU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/epHvfvd6edU/hqdefault.jpg","480","360","Nick - RunTheFUTMarket","none",191621,4865,164,0,585,9,2019
"vtmpHuHKdMc",2019-07-11,"UCkuhvS6P68pAhbTDgrIvsSg","tour summer fun pop up album for graphic 45 by vera shelemekh","[Tour] Summer Fun Pop-Up Album for Graphic 45 by Vera Shelemekh This album will keep the best moments of summer vacation and pop up techniques make ...","https://i.ytimg.com/vi/vtmpHuHKdMc/default.jpg","120","90","https://i.ytimg.com/vi/vtmpHuHKdMc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vtmpHuHKdMc/hqdefault.jpg","480","360","Graphic 45","none",1553,112,1,0,13,7,2019
"sfTzinQuHxs",2019-02-07,"UCZWmksterrOcTNh1ljvs6Hg","winning andy stanley","We all want to win. After all, winning is better than not winning. In a game a win is defined, but life is not a game. And winning in the most important areas of our ...","https://i.ytimg.com/vi/sfTzinQuHxs/default.jpg","120","90","https://i.ytimg.com/vi/sfTzinQuHxs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sfTzinQuHxs/hqdefault.jpg","480","360","Andy Stanley","none",44555,504,30,0,NA,2,2019
"KKmlLozKf8E",2019-02-25,"UCV2CdBb3JyWOOySefa6m6mA","world economic forum video malawi","Malawi is planting bamboo to fight against climate change and restore the forests. Seedlings planted in Malawi is supplied by Bambu Nusa Verde in Yogyakarta.","https://i.ytimg.com/vi/KKmlLozKf8E/default.jpg","120","90","https://i.ytimg.com/vi/KKmlLozKf8E/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KKmlLozKf8E/hqdefault.jpg","480","360","bambunusaverde Indonesia","none",206,4,0,0,0,2,2019
"EihqZWH6aT4",2019-07-06,"UCl-Zrl0QhF66lu1aGXaTbfw","how many blog posts should you write per month","How Many Blog Posts Should You Write Per Month? // Everyone says content marketing works, but how much content should you be creating? One of the ...","https://i.ytimg.com/vi/EihqZWH6aT4/default.jpg","120","90","https://i.ytimg.com/vi/EihqZWH6aT4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EihqZWH6aT4/hqdefault.jpg","480","360","Neil Patel","none",21966,959,18,0,152,7,2019
"sk7qw0R6phw",2019-10-20,"UCGyhCn52ork3QWb0UlCy-OA","sri lanka elle <U+0D89><U+0DAD><U+0DCF><U+0DBD><U+0DD2> <U+0DBB><U+0DB1><U+0DCA> <U+0D9A><U+0DD4><U+0DC3><U+0DBD><U+0DCF><U+0DB1> 04 <U+0DAD><U+0DBB><U+0D9C><U+0DB8><U+0DCF><U+0DBD><U+0DCF><U+0DC0><U+0DDA> <U+0D9A><U+0DD4><U+0DC3><U+0DB4><U+0DAD><U+0DCA> <U+0D87><U+0DAF><U+0DD3><U+0DB8> 2019 <U+0D94><U+0D9A><U+0DCA><U+0DAD><U+0DDD><U+0DB8><U+0DCA><U+0DB6><U+0DBB><U+0DCA> <U+0DB8><U+0DC3> 19 <U+0DC0><U+0DD9><U+0DB1><U+0DD2> <U+0DAF><U+0DD2><U+0DB1>","Subscribe Me: https://www.youtube.com/channel/UCGyhCn52ork3QWb0UlCy-OA?sub_confirmation=1 <U+0D87><U+0DAD><U+0DCA><U+0DAD><U+0DB8><U+0DBA><U+0DD2>..<U+0D85><U+0DB4><U+0DDA> <U+0DA0><U+0DD0><U+0DB1><U+0DBD><U+0DCA> <U+0D91><U+0D9A><U+0DA7><U+0DAD><U+0DCA> <U+0D9C><U+0DDC><U+0DA9><U+0DC0><U+0DD9><U+0DBD><U+0DCF> <U+0DBA><U+0DB1><U+0DCA><U+0DB1>...","https://i.ytimg.com/vi/sk7qw0R6phw/default.jpg","120","90","https://i.ytimg.com/vi/sk7qw0R6phw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sk7qw0R6phw/hqdefault.jpg","480","360","Sri Lanka Elle","none",346,3,0,0,1,10,2019
"VacqBkJMofo",2019-07-20,"UCafCiSnC9iMRB7Dv7a68Ixw","is the shale boom over","Multiple data points continue to show that the boom in the shale basins is slowing. Companies are cutting back investment in new production as cashflows and ...","https://i.ytimg.com/vi/VacqBkJMofo/default.jpg","120","90","https://i.ytimg.com/vi/VacqBkJMofo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VacqBkJMofo/hqdefault.jpg","480","360","John Polomny","none",1209,37,2,0,6,7,2019
