video_id,duration,viewCount
VKg3w8cnMoI,23.54,1656
mnG5ST-x73I,9.3,1127
mK79gVAD7xw,1.2,42
epHvfvd6edU,24.34,191621
vtmpHuHKdMc,2.21,1553
sfTzinQuHxs,40.52,44555
KKmlLozKf8E,0.53,206
EihqZWH6aT4,4.45,21966
sk7qw0R6phw,26.16,346
VacqBkJMofo,27.32,1209
w2k85PW0slY,1.09,3
GLEu_w0edq4,26.39,262
OsXWJOb58Nw,32.56,60
dBOvo4iJJS8,2.59,148
ovBRDPFVrjA,17.36,31837
hz791Sc2tQ8,11.05,50
9urFLYzCj-0,45.52,181
k2cHpZPdYaI,4.17,166
vJ9JZDRT5so,1.18,114
v5fVnivRZR0,12.04,3415
mPNgbzJcWhk,0.56,5
HCzlMg3fszU,3.03,141
UvpYzMUXX7s,72.54,149
H-DwMtEaFgg,7.52,53
GdpY4JrrEGk,19.53,1626
DtFAAU2h_S8,27.08,11
D-muzNczXuM,45.06,485
1A2hAozGDnk,39.58,47
qxfZ0muu1uI,1.14,7
ywrLKRUMayk,16.54,171
_A-WNl-o280,3,136
Om7wGUivcPw,6.09,119
1gUsNbNBECY,1.23,14
iXTQHgDDIv4,33.45,136
MfSkga19OX8,1.13,1
NDA5Vxv0dBU,51.47,114
JKvE0wXc3lU,4,584
pEUA_YXjZNY,14.41,100
42eDrH4m4cs,52.13,73
vCA_V9i6L98,54.02,66
XUmC92Ioi5ca,1,7
Aok564K9SBA,8.43,57
0WB1zdT656o,15.39,76
Awv4Xh_xIJ0,11.43,76
42k0XtQ6q9g,12.17,1
VqK9JO1tu1c,3.52,17684
rIH4tCLv7qM,31.07,2
fgWB1LqUmt0,36.13,6
XFQOV7rjffM,4.51,25
gAZJlTxWpNE,14.4,18
FWArtUCTPXc,0.2,110
