"Title","views","Publisher","Time","Duration","Like","Dislike"
"Ольга Бузова — свадьба с DAVA, конфликт с Галич, ссора с сестрой, поддержка ЛГБТ и пластика","2,143,739 views",,,"1:15:50","65K","6.3K"
"ВЛАД А4 - 24 ЧАСА ГОВОРЮ ДА (ВЛАД БУМАГА ЧЕЛЛЕНДЖ)","237,072 views",,,"6:41","28K","991"
"Моя новая тачка. О такой мечтали все!","1,487,140 views",,,"43:58","85K","9.8K"
"HARD PLAY СМОТРИТ СОЮЗ СМЕХА 12 МИНУТ СМЕХА ЛУЧШИЕ ПРИКОЛЫ МАРТ 2020","465,431 views",,,"12:53","65K","2.1K"
"САША ВАШ, СТАРИКОВА, КАЛИНКИН и КОТЕЛЬНИКОВА  / ЧТО ОНИ СЕБЕ ПОЗВОЛЯЮТ? ВЫПУСК#46","448,938 views",,,"1:14:24","37K","2.7K"
"ЧТО БЫЛО ДАЛЬШЕ? || ТИЗЕР НОВОГО СЕЗОНА","348,221 views",,,"1:03","41K","782"
"Налог на вклады и неделя каникул! Обращение президента. Дмитрий Потапенко","172,152 views",,,"38:11","11K","315"
"Кopонавирус. Последние новости 26 марта. В России выявлены 182 новых случая заболевания COVID-19","1,669,615 views",,,"14:32","12K","2.4K"
"БЕЗУМНЫЕ ТРЮКИ С КОНФЕТАМИ || Сладкие лайфхаки и розыгрыши с конфетами","352,091 views",,,"10:13","4.3K","968"
"СДЕЛАЛИ ПРИЦЕП ИЗ МАШИНЫ! ВСЕ ПРОСТО В ШОКЕ С ЭТОГО!","88,171 views",,,"21:52","19K","194"
"Испугал вирус новыми налогами | Блог Ходорковского | 14+","455,646 views",,,"9:12","37K","1.3K"
"Вечер с Владимиром Соловьевым от 26.03.2020","569,532 views",,,"2:27:26","7.4K","4.3K"
"Соединил Фомикарий с Лабиринтом! Такого результата я не ожидал!","101,078 views",,,"11:59","11K","277"
"МОТЯ VS БРЕЙН! 20 МЯЧЕЙ","555,239 views",,,"7:50","72K","711"
"Реакция МИЛЛИАРДЕРА на Обращение Президента ПУТИНА. Коронавирус. Карантин. БИЗНЕС и Работа в России","151,080 views",,,"13:24","8.2K","409"
"Лекция в Майнкрафте // Олимпийские игры в Японии перенесут на год // КИВИ закроет «Рокетбанк»","85,679 views",,,"25:58","8.9K","869"
"Мир после коронавируса и Путин со скрученным пробегом. Невзоров и Уткин в ""Паноптикуме"" 26.03.20.","227,182 views",,,"47:01","11K","497"
"Мы достали 7 ЛЮТЫХ ОЧКОВ, которые ПОЧТИ НИКТО НЕ ВИДЕЛ!!","69,482 views",,,"10:46","9.6K","255"
"""Сегодня"": 27 марта 2020 года. 08:00","206,378 views",,,"19:13","1.1K","199"
"ФРОСТ VS СТОЛЯРОВ \\ Спорт ДЖЕНГА 3.0","276,281 views",,,"39:56","53K","418"
"Похоже кое-кому наконец-то прищемили хлеборезку","200,508 views",,,"10:47","9.3K","422"
"Коронавирус: экономика рухнет?","295,023 views",,,"1:23:53","19K","747"
"DAVA - Малая (Премьера клипа, 2020)","187,030 views",,,"1:54","18K","469"
"Huawei P40 Pro и P40 - распаковка и первый взгляд... А где Google Play Store?","243,611 views",,,"11:52","20K","1.6K"
"СРОЧНО! В Москве вводят комендантский час!","77,002 views",,,"8:37","4.7K","832"
"США вышли на первое место в мире по числу зараженных коронавирусом","38,266 views",,,"3:33","595","64"
"Сравните сами: Путин и Трамп","125,669 views",,,"13:14","13K","345"
"ЯЖЕМАТЬ!","662,051 views",,,"1:34","88K","1K"
"Навальный про обращение Путина к населению","251,060 views",,,"13:54","12K","622"
"МЕСЯЦ ЭПИДЕМИИ В США - и люди банкроты! ЧТО будет с РАБОТОЙ В США? Американцы НЕ ВЫХОДЯТ НА УЛИЦУ!","138,146 views",,,"14:42","12K","442"
"Спецоперация ""Чистый YouTube"" | Быть Или","401,377 views",,,"15:08","112K","1.8K"
"ДЕЛО №30 |Ярмила Фалатер| - Убийца во сне? Лунатизм и его самые невероятные последствия","50,526 views",,,"26:16","7.1K","50"
"Бабушкин любимчик. Мужское / Женское. Выпуск от 26.03.2020","355,235 views",,,"44:45","2.2K","470"
"Ожидается вооружённый мятеж: Путины отжимают Центральный Банк","238,104 views",,,"10:39","7.9K","1.6K"
"КТО ЛУЧШЕ ПОЕТ ПОПУЛЯРНЫЕ ПЕСНИ!? ( Goody, Zivert, Олег Кензов )","94,875 views",,,"14:07","11K","515"
"RADIO TAPOK – Песня из комментариев по мотивам Король и Шут","403,731 views",,,"4:13","63K","1.1K"
"ДЕЛАЕМ БРИГАДОЙ КРАСИВЫЕ КЛЕТКИ КРОЛИКАМ / РЕЦЕПТ ГРУДИНКИ С КАРТОШКОЙ В ТАНДЫРЕ","246,299 views",,,"57:39","21K","1.5K"
"8 Мистических Явлений в Море, Снятых На Камеру","50,717 views",,,"10:32","6.4K","173"
"ASSAULTING WITH VANT-VM SHIELD. AIRSOFT ACTION.","26,908 views",,,"9:19","3.4K","61"
"ТОП 10 ""Сдувшихся"" топ-тренеров","196,928 views",,,"21:27","15K","255"
"Путин в чрезвычайном положении. #ДмитрийПотапенко #ИгорьГончаров","360,263 views",,,"13:00","19K","528"
"Трамп в Панике: Великая Депрессия накрыла США (Telegram. Обзор)","134,400 views",,,"15:24","8.1K","374"
"Выпуск новостей в 18:00 от 26.03.2020","455,976 views",,,"21:17","Like","Dislike"
"27 МАРТ БУГУН РАСМИЙ ХАБАР! РОССИЯ ВИРУСНИ УЧ ОЙДА ЕНГАДИ","191,399 views",,,"10:11","2.9K","145"
"Злой блог о боярах и червях","377,207 views",,,"19:37","40K","413"
"ЕМЕЛЬЯНЕНКО РАЗНЫЛСЯ ИЗ-ЗА ДЕНЕГ / Шлеменко разносит А. Емельяненко и РЕН ТВ","122,206 views",,,"13:03","5.7K","276"
"САШИМИ = СЫРОЕ! Всё что вам продавали все эти годы - НЕ сашими!","390,334 views",,,"15:42","21K","2K"
"ХАМВИ с сюрпризом! Разобрали и покрасили Hummer H1 за 4 дня.","496,131 views",,,"19:04","45K","1.1K"
"СЫГРАЛИ В ФУТБОЛ 3х3 по правилам УЛИЧНОГО ФУТБОЛА!","409,307 views",,,"10:10","60K","700"
"Почему коронавирус? Важное обращение  | Шейха Халида аль-Фулейдж","154,563 views",,,"18:55","6.8K","226"
"EAT TO KEEP 1000$ CHALLENGE !","6,850,281 views",,,"27:59","1M","39K"
"Срочное обращение Путина к россиянам из-за ситуации с коронавирусом. Полное видео","2,440,957 views",,,"17:29","32K","32K"
"Little Big - Uno - Russia 🇷🇺 - Official Music Video - Eurovision 2020","48,143,364 views",,,"3:13","1.8M","126K"
"Обращение Владимира Путина в связи с коронавирусом","1,558,115 views",,,"16:00","25K","41K"
"Папа Против Молдаванина. Каменные Лица в Тюрьме","3,057,181 views",,,"35:09","194K","21K"
"Сервисмены сожгли Мерседес клиента!","1,258,184 views",,,"29:16","83K","3.1K"
"Крымский мост. Украдено с любовью!","2,527,270 views",,,"21:58","269K","4.4K"
"ЗА СКОЛЬКО МИНУТ ОПАРЫШИ СЪЕДЯТ БУРГЕР?","7,986,858 views",,,"17:41","672K","26K"
"Max Korzh - Maloletka (Use the subtitles)","6,368,467 views",,,"6:57","517K","19K"
"ГОЛУБАЯ КРАСНАЯ ИЛИ ЖЕЛТАЯ ЕДА ЧЕЛЛЕНДЖ","3,020,211 views",,,"24:14","302K","16K"
"Если бы предметы были людьми","3,153,939 views",,,"10:27","47K","4.1K"
"Little Big – UNO (Eurovision 2020). Вечерний Ургант. 13.03.2020","13,630,386 views",,,"3:16","373K","24K"
"Блиц-крик #8: Щербаков, Соболев, Каргинов (ft. Фираз Шатохин)","1,775,784 views",,,"37:07","70K","5.3K"
"Путин обращается к россиянам в связи с ситуацией по коронавирусу — LIVE","1,114,468 views",,,"17:16","15K","20K"
"Обращение Путина к россиянам. Спецэфир с комментариями | 25.03.20","579,201 views",,,"1:05:08","4.5K","15K"
"ГИГАНТСКИЕ ""ПЛАНШЕТЫ"" НА КАРАНТИНЕ! ЧТО МЫ ВЫБЬЕМ? МАСКИ И ПЕРЧАТКИ ПОМОГУТ?","2,058,405 views",,,"23:59","239K","6.5K"
"Купил старое легендарное советское чудовище ...","1,755,616 views",,,"37:49","85K","3.7K"
"Проверил ЛАЙФХАКИ из ТИКТОКА..**СЛЕДИМ ЗА БАКТЕРИЯМИ**","1,497,530 views",,,"16:20","136K","3.6K"
"Нашли разобранную Феррари под слоем пыли","2,309,153 views",,,"24:41","127K","3.4K"
"Терпила. Мужское / Женское. Выпуск от 23.03.2020","975,213 views",,,"43:58","4.6K","1.2K"
"ДЖАВИД vs KYIVSTONER - ДОБРЫЙ ОБЕД / БОРЩ С САЛОМ И КЛИП В КОНЦЕ","1,944,990 views",,,"27:32","169K","4.9K"
"БУРЯТСКИЙ ТВИН ПИКС: Как убийцы расследовали своё же убийство, а жители поселка молчали 17 лет","1,127,550 views",,,"1:07:52","42K","2.1K"
