video_id,duration
-wxCxGmfEF8,66.36
I-tzCDRwbtg,148.38
epQ2TJFHcWc,2.16
s3lw1w9lk4Q,3.52
WK5cgoq_6l0,13.38
Q_kuKoBSBZg,5.13
PvInWsGrNrw,56.58
tHIkQRMxP7o,8.26
T-Ku36em8gQ,4.53
rhe6cW5oPT0,4.02
itHr-V5ucpc,9.51
gupM3eBeNJQ,17.2
BmzHumQH_Rw,1.09
STCEJUqAcPM,0.51
-vFBxApXUX8,6.06
GBdjkrbfX9s,4.17
dbCw5U3toFo,10.25
A2E5r3OE1r8,10.02
yGpBC5Wngc8,12.39
jYl8qnwMvwI,10.03
M85P9qkcQ-M,0.23
S-nEFfxZ3rM,8.01
a5lZ8SxFYfk,24.35
tfPOc5Y4IUQ,1.39
yJevesLTdRY,11.59
iVWBRWMXSjc,11.28
2pLsq-jKqkU,22.48
h8ac69EkY3I,14.39
B-zaxdFsmNw,3.31
IsPHdsNvaKE,30.47
0PZzqQYvPwI,109.45
2M-aY9tuKY4,3.13
fujDmCz8fwo,0.14
Yw8VKF4Qe0c,4.02
uLBbbG_ZPPc,7.14
bwO8OJ8oluQ,10.51
hJ4VOHfDDRE,2.38
3SSxj-4OK-g,5.41
Ft69uj_yIKk,4.58
T2eDApno_10,2.5
rT7uivBhOQ0,0.43
k-hYGZKYIdU,10.27
NuaVacHFgfw,34.53
8VNsHq21PFE,56.34
Eja-shQOEew,65.13
9E9NoYfESU8,17.12
x04Jp0UbGOs,76.22
8n53jcEfNmc,22.04
_gZcQ0WXINo,68.14
jp4_suKp0t4,8.53
5k3V1aoVt10,1.58
i0MBeS1OApA,1.57
RBZeVmTmcjk,4.16
mPrgVHthsK0,2.04
Fzek7nIvgzg,8.17
AiXJkqoTcI8,5.08
sJIcxPj0R3A,35.07
tjNe8l7-Zfw,18.18
gU79fOUUra0,2
T8YhHgwwyZw,
iAp0euWFPCs,
_O7XBd-pDfg,
AqtOvMoImfY,
TVNfeVxjJm0,
nfkt1v7DZkU,
RKdJqkfchJM,
knmd17GDHLc,
z9cmFbklBRg,
jnVLHUXwpnY,
tjhF6CoBMi8,
oxdV2RYIxbE,
G-8J6sOU2fw,
WwYQCfUlRN4,
wDhHAqdjQGE,
2UMfkGYTwi8,
wQ8OpgjgA5Q,
9wMMMzVpRUw,
ArcsaAgvsG0,
nhkmf_-MwAs,
EWXlYy7_5RM,
v3tutGp3o-M,
To5SrxfaJJ4,
ezfxA0PWL2I,
rWAENtTg38A,
l9zhZulH43o,
5rLaOkOVD64,
7HP-OltUbpI,
0U-zA1ekdE8,
UwsrzCVZAb8,
V0FZHY0K9Ko,
R0nmpb1BRAo,
IgAOZjx7HZ0,
UxA3u6jAqYo,
hTDQx1-S_3k,
8i9jR3mklYk,
XLay35N8EtI,
OwrkbCI_vmQ,
WiViBDe732g,
CrZ6kQPx41w,
l7ZRZWhJqDY,
VJI88QIW7H4,
FtMGs6ehQfg,
Us4_k6ioFZA,
9PhltDiGH3Q,
1dPN7HGmo_8,
ABCHodBxXJo,
YfGcB7a_ZCI,
Ga7O9Ik_6LE,
Am9QVqXc0QQ,
48Vrt5NBZik,
pwZNuSJzRtU,
39WrSskl3XE,
k0XN29u7ORY,
BevMoyBGoJg,
_cKzJ7dUgiA,
oBgzySFEU1s,
VpO4GYv46Wg,
PAqgPzOpJ90,
pdMnKx-D1Ng,
eFGNBQzmPb8,
ELa4TbLr--I,
sjxOB7XMNtk,
6xas4emF9uQ,
3m-k61WPaOY,
d0dfdduBIrs,
LBwv55zvF8w,
BGpBtnJNbZU,
tnqZvUaMl8Q,
Hektmo-DOzo,
qr2m_E1odGo,
0PpMglgTi9w,
ad8rN7ddrWI,
oWqI8myVkyI,
07k7hPqsJl8,
I-4VPfoBEk0,
HZDKjx5JfV0,
lRm4z0gLXaU,
7ZACj0rZsfQ,
FYAv3v9HNB4,
h9R5APO8KRw,
yWuYWUCv_IY,
SQXEYDqQDOY,
qNNEmGpxhG8,
uAYgAEYNWn0,
DjxyxaxutGI,
3XUleb_2Cfk,
AFXF17_rh4E,
TbTXkxVcddc,
Pit0qY6cj14,
xRmF4mQLK4s,
lIZlofVIBkc,
3ysz7qWTL-A,
LyZ-2hINfec,
NXrpp4Yji0s,
d7CFkfG74kY,
2On9PVrBaHY,
pckTMCuX9lc,
X8ACDGqPP1Y,
jpYlsLk_ido,
tbCSORD6-Z8,
WD5tB3s8E5U,
Nqpxw2jA5E0,
lO5pUUrYBbM,
lHz1EiQE_r4,
iSqLjHgUdrs,
EnyxT-EiUIw,
YQbv4RJVU0I,
ACAjm7bPN60,
ElVEhhr-mQw,
Mfdwc8HAf5Q,
fhRBm8IsiR8,
DD1PP6zlqPA,
RVFCCSQJymI,
eYFNRG0hksA,
7nQmm9ykvV8,
tFiTbSo-yXs,
5IvQ3fYKnfM,
MHgVysWhn9g,
aflOj4JGiCM,
PZdFAWTYM8I,
HPcCu4QCXe8,
4b2xGzpwHW8,
zDWOfHoPS8U,
2sdHoE_OdrY,
_Qm5-hybL94,
6qIuhUkowfM,
9FcGhU6zixQ,
WFs0a4ePjRg,
Uj6oqgrfF8E,
ppUPttJmmCY,
MUkE36xsD2o,
Ue-HWvisbH8,
qcsFMyAGHrk,
Q_KJEjGAZf4,
hitML1nbJYA,
0I-d3lIt2cM,
N2OeqX12F5I,
UG1wnREfc3E,
SUOJpKJx6E4,
ihON2HKJ8lc,
F-Q3pXyEeMk,
QV3t4qNTDPQ,
srwRMRj91mI,
w0zpwXA9QKk,
6f6DRKOygGU,
tQVyogfaJ_w,
VmqJHOuxUUc,
3rVItGyyxik,
9_Is7OZH3cA,
cYmziSr8TCA,
wJsDScGDsow,
ZN7RmRc83F0,
t7TU9vmyCMc,
SFz5sY8yygc,
tznrV0GIEKU,
fqAXTjMOl8U,
IKs7x3nHqIw,
6H2_LnAzZMw,
Edon-ZZVvuQ,
rShZDVkJR_w,
fkQ5bNcI6c0,
_hEPCwWSkxw,
7Y1YJK4H7xs,
GAhyd8a0XrM,
quO-uzC6YAM,
o_PRlNJuhy4,
fvyaa18DdAU,
M22WFA8ZnAs,
7yS7Rw5nxV8,
PljiZPM8log,
DNfO3sEipro,
LOiRhdEhYFk,
DhXOI-1tn2c,
ZQ25aTl2GAs,
rqqpioreqAc,
kEgLG6zw4y4,
z5QPpH99O14,
rDd1pA5BPOU,
DDdYN6mcAbc,
dcKdZnU3VZM,
ibzC2ZVnnjg,
M9QxA-m40Gc,
jN0mUZlEWes,
_5uDATAJfbI,
YbB1TnrJbl0,
av2COS8_XiM,
zPG14t2XurY,
qUO6Bq_pwxI,
DLLHdwOh_RM,
SY9WTAd6hZA,
ZNArQWFUeFA,
vhS2-1BmjYQ,
l6MJ5FeXohw,
O67ngudBc0w,
ipWTJkOVKnc,
qVhLmvTyQHI,
BrmvOAoGIs0,
D0x_ZODZBVk,
wgRQu5RoY8U,
TBdTXhg_Vhk,
ubtIYcx4_Gw,
wAuyOS2LPJg,
Ongi2BbXQx4,
K7CpLTRrmHY,
mwVuN5q4sqI,
l5S_2h5kffg,
yJVyQHTHhMo,
vH-w4DplCF0,
COCWHuhNhYo,
OJE-OSg2pc8,
cZI-XvzonX4,
hLHaStdtiC0,
zCC17EjsOmY,
opL1hbC7qOI,
9obSB5V30O4,
ex4SVGO6bPM,
-kLqwv8YO2g,
hr-xLeOPoNU,
3WTuEGJ_XLU,
d6u-IymtwG4,
vXTZ1uJWhVM,
YwLoY4nVbkA,
4r-eOeayh-s,
d7-vpgqG8GI,
hhLStv2SsyI,
g3NOiXHajW8,
tyU8-m3cYH0,
-73jpG0Erms,
lXDvNYAtjB8,
AjP4Ez-LuuQ,
yw1rGqm3-WU,
kAaN26lO-ok,
TjI6qCiaS-g,
zSW2Qti08xw,
yFqs-OKEkxg,
T4ehXnn2k-A,
eTvoW89v07s,
IKoWcgKQcC8,
fTns5AdR-EY,
qBHJcl9ChSM,
-QR9uxuk18M,
a0_Fqs9Hi8M,
-qrkTqMgPL0,
Fdv5wO1G5Zw,
bo9nMmG6q_o,
hx4pHw7_-10,
j4077r2rGVI,
41eh_jSs2Jk,
t4Op1Ck2MgQ,
p_GKyaT9GIo,
ZAmCM-NTAMg,
5kVJnps7jYw,
3bdaRLSV1QY,
DnE9KN-jQ44,
FTjRBwLcr5c,
brJ3xrkLrkM,
y4Y2qrYCOKw,
pwuhziJPjd8,
2vZmBs_UxDg,
qvuB-Zg8390,
g5vKIwnZYtg,
e35bYXOQ2fA,
mIiOM2MHa-o,
k8wJFK3CISU,
2kPv8TUlIhQ,
HkZWT5BKKws,
9Ld-P9d4JI8,
2DQ4YB4rtCo,
fsJYM7JTaEQ,
QAs34S_UfxA,
okmw-bTAgak,
HoR9miCzXXk,
IbQ3DdApdKM,
caeeYLoBVjg,
U0TPzpbJFYE,
cGCPGMiucUE,
MkVI15wsG4Y,
5-1T3u_4qkE,
x-V36ZoUIOM,
c_Dqb3PJRfU,
ptmOUMA_HoQ,
nq_qJl06DgM,
JwFFrt3lCK0,
GcuPhdzx9o4,
Aw695uJznj4,
pwE-oJfDsLs,
iD2zurFbBu8,
eD2G_KKPTQY,
2BLrR26CCcg,
y-t93kfVyVQ,
iAsPUArBEPs,
TIAPiqBDRSY,
T3j8FT9j1Ws,
GoovTetYjQY,
-x2cjdT9t0Q,
wWRbAtPWOho,
RMqn10wf-8M,
UCvXsMmqzHs,
yCn61SiwFns,
SztkWGBodjY,
FJfcdJ7sizc,
21xZj2zqhB0,
NvqKZHpKs-g,
ABb_1WsxJFk,
VGKNWTOPsr4,
uAUnpBJEhvM,
En4P4m5c06A,
pS-bGv72AJs,
x9sC83bwgEo,
901iIpIyNrw,
yLhpktxpr7w,
TfYeJZeCCjk,
BR-eMMCp7tg,
8g4hdNy236k,
aY98Wkf-CBY,
AgbeGFYluEA,
PcSkOkBaVkI,
ZQgQmTyWMCw,
Id4EgveiPHA,
D_N1-7TXF4c,
MiUkjYm_VVU,
9pPoj608W2Y,
-YIp3JzpH8U,
T2YNua6v9VU,
Kr1fmKVY3cA,
ZTa4ap3i278,
Wfcrg83ApLA,
ng7Lq7rvlOI,
pjpX1t0yb-E,
7DoAGk-FIfc,
cT18szRKb3w,
