title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
9,26,1888864,9009,1161,156
8,24,1213234,13754,1872,550
8,24,498802,5093,550,105
8,24,643522,8012,418,113
9,25,327303,1933,319,58
8,24,840205,7807,853,154
8,24,566877,5064,592,144
17,20,962933,13462,1000,145
12,25,47282,320,67,28
6,23,4352169,32740,2795,1313
14,31,96974,854,108,16
11,21,2938099,37582,2443,1799
10,26,432853,3964,253,1
4,24,2227039,21879,1714,1324
15,19,1693068,19719,1607,528
15,23,4266238,55881,4761,1330
14,19,1376017,15288,1277,476
17,24,1244755,18009,1490,476
16,31,2735543,41291,2942,1990
6,20,3328967,24641,1952,1100
15,21,2140325,35080,1936,6292
15,29,33710,299,36,20
83,86,1487218,31330,2219,745
14,18,371561,5686,414,94
15,30,51584,744,138,26
8,26,403519,2303,1850,216
10,22,2547829,55977,2194,2356
11,21,44513,588,35,29
12,20,158213,1622,219,54
9,28,356617,3808,214,147
13,23,2866147,32884,3023,1528
15,20,3880768,62031,4349,1243
8,28,2103668,11938,2143,175
14,19,1777530,15820,1735,300
16,23,2481541,36170,2483,6707
17,22,1325107,24175,2555,410
17,23,2642312,19103,8071,NA
18,29,258538,4053,311,101
5,23,2151162,70238,1851,1941
15,20,532386,6613,318,73
16,23,157913,2816,174,105
12,25,1004166,8748,904,97
12,21,96508,1019,76,42
11,25,4100168,22113,2764,480
17,29,679560,14726,902,452
12,22,1362304,23851,3778,188
17,24,1762788,30909,2100,561
16,22,637963,11472,862,126
16,19,531997,5767,458,60
11,55,20613,646,63,18
5,24,4959853,69408,6056,2555
11,22,39200,NA,NA,32
15,18,1233564,19055,1284,389
10,30,272178,2777,244,56
14,17,3350892,29696,3341,2352
16,20,5434808,33304,3646,334
16,27,3415362,33402,3560,999
14,27,2311253,21277,2418,655
12,21,142312,1612,106,46
17,20,2197076,36338,2480,276
15,19,2283570,25756,2288,455
10,25,20286,194,35,9
16,20,182463,3318,270,54
16,20,4363306,64332,4728,631
15,19,1308894,14683,1161,346
37,29,122289,2585,218,139
15,19,448131,5774,545,108
15,20,177025,2449,182,49
8,23,5719,92,2,1
22,34,1972331,34811,3981,987
9,31,1897041,12962,850,624
6,26,943917,20347,1207,1377
6,27,3777357,59205,2722,2476
12,61,12348,382,22,20
8,28,471861,2204,356,57
7,24,1999923,41871,1783,1362
16,24,2678887,41174,3281,3257
11,25,2423042,25791,1795,583
16,20,503847,5655,373,69
11,27,2742232,37826,6736,1050
16,26,859475,18194,1433,361
16,29,1657182,47374,2849,1496
14,20,498758,7104,453,73
12,24,3488430,54464,3229,1365
10,45,2291466,27455,5689,NA
8,30,5987230,22980,3640,626
14,35,1365213,15106,1141,360
11,27,1053383,32336,3680,1188
8,24,637528,6732,398,186
18,26,1166550,14100,1219,410
14,24,6087,230,23,10
12,20,77225,764,111,19
65,9,6447965,49352,4540,3406
17,22,1028377,14952,2312,322
12,23,29020,364,76,34
10,27,66009,582,67,48
55,23,2070923,32329,2035,5401
6,8,11741035,63913,12905,6032
10,33,434302,7063,518,375
14,24,4090226,79691,6840,2475
18,28,5255770,62170,7478,2562
15,20,896511,10982,872,116
18,19,324576,4558,312,166
15,30,741221,11090,961,473
12,19,1408397,18197,2350,626
15,21,17722,500,32,11
8,30,222136,1621,102,117
15,20,3825478,135353,5116,5246
13,22,403170,7977,1200,64
14,31,22175,293,74,16
16,20,223728,2429,212,28
15,19,625558,7772,618,128
16,30,961578,20299,1378,579
14,23,499002,9939,664,1032
10,29,299004,2351,189,45
14,23,1136,13,5,13
50,56,5476,306,22,15
15,25,155676,2059,209,66
7,24,1285,22,3,6
14,18,8592,94,11,6
9,24,211914,2290,148,41
12,12,541967,3562,386,71
14,27,888746,NA,NA,494
9,22,3539536,38678,2092,1149
12,15,18464013,103006,19585,106
7,20,2314391,15366,982,514
13,24,1889753,10641,992,392
10,28,744695,3617,502,33
14,28,6891,232,9,31
5,27,41,1,0,0
7,30,667433,2475,214,638
15,31,106,4,0,0
9,24,9806701,51635,9115,1150
17,27,422479,4680,908,93
6,28,1298289,6620,1117,302
7,28,58970,1358,104,75
7,23,2634009,21732,1575,984
10,31,557453,8774,842,143
10,26,22344,315,31,9
