"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"CLwA_coJppg",2019-04-24,"UCOkrld1FHoM_VMMjaeMekug","make money blogging how we built a 100 000 month blog 10 steps for 2019","Free 5-Day eCourse: https://createandgo.com/blogging-bootcamp/ How to start a blog in 10 minutes: https://www.youtube.com/watch?v=Qrdew-7kb5w Learning ...","https://i.ytimg.com/vi/CLwA_coJppg/default.jpg","120","90","https://i.ytimg.com/vi/CLwA_coJppg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CLwA_coJppg/hqdefault.jpg","480","360","Create and Go","none",487257,29673,427,0,3008,4,2019
"uo7b5DBl9L0",2016-04-14,"UCOTKYFfRMaLj4n-QPBGWzDg","how to start a blog step by step for beginners meg says","I get asked every day how to start a blog, so here are my top ten steps :) Subscribe here: https://www.youtube.com/channel/UCOTK... <U+2665> NEW UPDATED 2019 ...","https://i.ytimg.com/vi/uo7b5DBl9L0/default.jpg","120","90","https://i.ytimg.com/vi/uo7b5DBl9L0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/uo7b5DBl9L0/hqdefault.jpg","480","360","Meg Says","none",701198,20081,456,0,3085,4,2016
"AnX9INqSflA",2018-02-16,"UCJMEcR_fcx72FHojQMHCGMQ","blogging tips from a full time blogger what you need to know before you start a blog","I've been blogging for over nine years! Now it's my full-time job, but I started it as a creative outlet while I was a freshman in college. It's one of the most rewarding ...","https://i.ytimg.com/vi/AnX9INqSflA/default.jpg","120","90","https://i.ytimg.com/vi/AnX9INqSflA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AnX9INqSflA/hqdefault.jpg","480","360","Carly the Prepster","none",437467,13919,296,0,803,2,2018
"JAMjloeZEwg",2017-12-23,"UCh29y1VWPlLfc26nl9lEG4g","my first vlog","THANKS FOR WATCHING GUYS!! EDITOR: Mhegs Cerdena FOLLOW HIM ON: INSTAGRAM: https://www.instagram.com/frodoswag21/ TWITTER: ...","https://i.ytimg.com/vi/JAMjloeZEwg/default.jpg","120","90","https://i.ytimg.com/vi/JAMjloeZEwg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JAMjloeZEwg/hqdefault.jpg","480","360","Mark Reyes","none",1961758,68500,2361,0,NA,12,2017
"NjwUHXoi8lM",2013-07-06,"UCLgqhMisF-ykzHZzuMEfV4Q","what is a blog","Blogging on platforms like WordPress has become very popular over the past 10 years. This video is an introduction to blogging in plain english and was ...","https://i.ytimg.com/vi/NjwUHXoi8lM/default.jpg","120","90","https://i.ytimg.com/vi/NjwUHXoi8lM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NjwUHXoi8lM/hqdefault.jpg","480","360","WPMU DEV","none",616035,4069,174,0,210,7,2013
"w0eHoxxxp-g",2020-01-08,"UCCYgwu0YlQw6-Fj6omYgmNg","starting a blog in 2020 that actually makes money tips for beginners","Join Blogging to Win before we close the doors! https://www.bloggingtowin.com/ Thinking of starting a blog in 2020 but don't know the first thing about making ...","https://i.ytimg.com/vi/w0eHoxxxp-g/default.jpg","120","90","https://i.ytimg.com/vi/w0eHoxxxp-g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/w0eHoxxxp-g/hqdefault.jpg","480","360","Allison Lindstrom","none",10029,463,11,0,40,1,2020
"gByIOj52bHY",2017-05-05,"UCe0X2OM65_rwTaZlUBu5ohg","child vs teen you girlys blog","Bekijk onze music video voor onze eerste single 'Landen Op Ibiza': http://bit.ly/GBLOI-YT Hi GIRLYSS! We hebben een COMEDY VIDEO voor jullie! CHILD YOU ...","https://i.ytimg.com/vi/gByIOj52bHY/default.jpg","120","90","https://i.ytimg.com/vi/gByIOj52bHY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gByIOj52bHY/hqdefault.jpg","480","360","Girlys blog","none",1573023,53088,1609,0,NA,5,2017
"K0nzKssVrH4",2016-09-02,"UCe0X2OM65_rwTaZlUBu5ohg","vakantievlog op ibiza en formentera girlys blog","GIRLYS BLOG VAKANTIEVLOG OP IBIZA EN FORMENTERA!(met oa WATERPARK AQUAGAMES,SNORKELEN OP FORMENTERA,SEABOB EN HEEL VEEL ...","https://i.ytimg.com/vi/K0nzKssVrH4/default.jpg","120","90","https://i.ytimg.com/vi/K0nzKssVrH4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/K0nzKssVrH4/hqdefault.jpg","480","360","Girlys blog","none",715550,13593,407,0,NA,9,2016
"YmVWPzzZ7FU",2016-12-14,"UCEnKa-FmaQcVGHxfwhux3lQ","experimentando doces fini ácidos blog das irmãs","EXPERIMENTANDO DOCES FINI (gelatinas): https://www.youtube.com/watch?v=cS5Mqsp_vJ8 EXPERIMENTANDO DOCES DA FINI: ...","https://i.ytimg.com/vi/YmVWPzzZ7FU/default.jpg","120","90","https://i.ytimg.com/vi/YmVWPzzZ7FU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YmVWPzzZ7FU/hqdefault.jpg","480","360","Blog das irmãs","none",3294578,110832,2989,0,21586,12,2016
"2IckTNXSmAY",2017-10-22,"UCDyhMA2W3LqFsbK6Iuu6xJA","jhong hilario blog quot grocery store quot","","https://i.ytimg.com/vi/2IckTNXSmAY/default.jpg","120","90","https://i.ytimg.com/vi/2IckTNXSmAY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2IckTNXSmAY/hqdefault.jpg","480","360","OFFcam","none",92009,596,24,0,34,10,2017
