Title,views,Publisher,Time,Duration,Like,Dislike
Will We Be On Lockdown For Six Months? | This Morning,"950,497 views",,,13.02,5.8K,1.2K
Some Good News with John Krasinski,"4,608,781 views",,,15.43,225K,863
Why I Don't Like Reading,"3,184,149 views",,,7.15,274K,4.5K
THE END OF THE SIDEMEN CHANNEL,"3,958,851 views",,,52.5,220K,3.3K
Home Photoshoot Challenge. SISTER vs SISTER,"864,551 views",,,15.07,61K,680
Hardy Caprio - 9 Months,"89,346 views",,,2.3,9.5K,53
"SUHO 수호 '사랑, 하자 (Let’s Love)' MV","1,866,566 views",,,3.54,528K,2.6K
Updated House Tour! Being SINGLE and Quarantined,"8,907,626 views",,,24.53,423K,18K
coming clean,"733,313 views",,,24.57,62K,827
Will it run Ford Sierra Cosworth RS 3 door,"379,013 views",,,19.31,10K,249
FUNNIEST MAFIA GAME Ft. AnEsonGib (BOXING FORFEIT),"554,247 views",,,24.43,39K,292
Samurai & Shogun (Rick and Morty) | adult swim,"5,354,021 views",,,5.42,307K,6.6K
FUN TikTok Life Hacks To Do When You're Bored at Home!,"883,634 views",,,10.45,44K,794
Revealing Jeffree Star's Iconic Spa Makeover!,"3,803,496 views",,,48.24,236K,3.6K
Kim & Kourtney FIGHT Over Work Ethic | Season 18 | Keeping Up With The Kardashians,"415,168 views",,,3.13,7.5K,411
Reacting To Quarantine,"272,158 views",,,20.4,14K,154
WHAT TO DO WHEN YOU'RE BORED,"1,949,187 views",,,14.39,133K,1.4K
Mariah Carey - Always Be My Baby (Live at iHeart Living Room Concert For America),"362,322 views",,,3.1,30K,291
#StayHome,"2,170,708 views",,,21.23,225K,4.2K
5 Seconds of Summer - Carpool Karabloke,"325,307 views",,,18.2,71K,102
Lil Durk - All Love (Official Music Video),"1,150,458 views",,,4.08,76K,1.1K
I ONLY ate EASTER Food for 24 HOURS!!,"473,421 views",,,15.55,20K,555
How To Properly Wash Your Hands,"1,032,414 views",,,3.01,122K,2.9K
Peter Gets Into A Fight With an ‘Eccentric Inventor’ | Dragons’ Den,"92,760 views",,,12.26,1.2K,74
Homemade Bread | Keep Cooking and Carry On | Jamie Oliver,"266,692 views",,,5.15,8.3K,177
£50 WIMPY RETRO MENU CHALLENGE (AT THE WORLD'S SMALLEST WIMPY) | The Midlands Mini-Series Pt.4,"364,137 views",,,12.2,11K,144
ALL ABOUT ALTERS. Part 1 | Debunking DID Ep. 3 | Dissociative Identity Disorder,"335,045 views",,,18.33,49K,189
Coronavirus warning. up to 6 months before UK returns to normal - BBC News,"945,723 views",,,14.5,5.9K,641
DJ EZ - 24 Hour Non-Stop Set - Part 1,"248,265 views",,,NA,5.2K,135
P.E with Joe | Friday 27th March 2020,"2,626,542 views",,,32.35,58K,1K
Types of People in Quarantine,"151,298 views",,,8.32,7.1K,197
Missed You (Bonus Track),"367,296 views",,,2.24,31K,122
ABANDONING OUR VAN IN AFRICA,"474,953 views",,,20.58,14K,566
PewDiePie! - We built you a gaming PC!,"2,430,189 views",,,26.47,148K,4.2K
Pop Smoke - Shake The Room (Official Video) ft. Quavo,"1,606,868 views",,,4.33,164K,1.3K
I Tried FBI Academy,"607,990 views",,,36.07,58K,399
Meet Jim's New Dog. Milson | Friday Night Dinner,"216,224 views",,,1.59,3.9K,88
Theft and unrest spreads to southern Italy,"873,701 views",,,2.57,7.4K,458
"Coronavirus. Italy deaths climb above 10,000 - BBC News","923,844 views",,,8.5,6.1K,412
Creative People Who Are On Another Level !,"940,202 views",,,10.24,39K,1.3K
US won't pay for Harry and Meghan's security,"121,165 views",,,0.27,2.9K,66
Coronavirus fear grips workers in India,"889,743 views",,,2.39,5.5K,563
I made myself a birthday cake 4 months early?? *bake with me gone wrong*,"280,470 views",,,12.27,14K,291
Newcastle United 5 Manchester United 0 | 1996 | Full 90 Minutes,"89,915 views",,,NA,1.2K,20
Gove. 'Length of lockdown is not fixed',"166,662 views",,,0.2,628,344
Coronavirus. All parts of UK 'on emergency footing' - minister 🔴 @BBC News - BBC,"165,711 views",,,34.53,997,134
"MEGA PORK RAMEN Challenge, Tokyo JP | メガ豚野郎ラメン","1,676,087 views",,,8.15,67K,1.3K
Gusttavo Lima - Buteco em Casa,"14,731,931 views",,,0.15,1M,10K
Taking a break...,"195,033 views",,,12.08,18K,232
P.E with Joe | Monday 23rd March 2020,"5,748,300 views",,,33.07,78K,2.1K
"SKEPTA, CHIP & YOUNG ADZ -  WAZE (THE MOVIE)","1,415,733 views",,,3.23,56K,1.6K
Lil Mosey - Blueberry Faygo (Dir. by @_ColeBennett_),"10,595,738 views",,,3,636K,18K
KSI - Poppin (feat. Lil Pump & Smokepurpp),"3,688,102 views",,,3.32,352K,16K
Fredo - Scorpion (Official Video),"2,486,784 views",,,3.44,54K,1.4K
CHUNKZ AND YUNG FILLY | CHICKEN SHOP DATE,"1,506,613 views",,,7.24,75K,867
Joyner Lucas - Will (ADHD),"9,338,091 views",,,3.59,646K,7.1K
Bill Gates makes a prediction about when coronavirus cases will peak,"8,369,040 views",,,10.51,83K,13K
"Live! Virtual Pub Quiz - Episode 1, New Quiz every Thursday Night Live","395,440 views",,,NA,7.5K,79
Backyard Underground Bunker Tour/Update 5 years on,"15,012,696 views",,,10.02,449K,9.6K
A BRAND NEW GAME SHOW ft. SIDEMEN,"1,622,944 views",,,28.03,99K,1.2K
Dua Lipa - Break My Heart (Official Video),"14,831,753 views",,,3.49,977K,13K
Ant & Dec prank Bradley Walsh a second time! | Saturday Night Takeaway 2020,"1,887,892 views",,,13.53,29K,749
Doing Charli D'Amelio's Makeup!,"18,541,949 views",,,20.53,941K,34K
Mastermind x #OFB Bandokay - War [Music Video] | GRM Daily,"2,026,302 views",,,2.31,52K,857
WHY WE BROKE UP,"482,355 views",,,24.04,26K,408
‘People Are Dying’. Battling Coronavirus Inside a N.Y.C. Hospital | NYT News,"6,346,071 views",,,5.33,96K,6.5K
SCARING KEVIN HART WITH A SNAKE!! (FREAKOUT),"8,414,789 views",,,5.26,516K,5.8K
PARTYNEXTDOOR & Rihanna - BELIEVE IT (Official Audio),"3,095,690 views",,,3.03,154K,2.5K
Who’s Most Likely To... with my BFFs,"4,045,255 views",,,10.16,Like,Dislike
"Idina Menzel, Evan Rachel Wood - Show Yourself (From ""Frozen 2""/ Sing-Along)","5,731,880 views",,,4.39,120K,3.7K
NLE Choppa - Walk Em Down feat. Roddy Ricch (Official Music Video),"14,917,881 views",,,2.55,523K,10K
Noah Schnapp Teaches Me How To Act!  |  Charli D'Amelio,"3,215,659 views",,,10.04,246K,5.2K
