video_id,comment
oy80-T0JJtA,You know he's famous when snoop dogg isn't the thumbnail lol
oy80-T0JJtA,this friends intro was cursed all the couples are broken up
oy80-T0JJtA,who else is watching when David just surprised heath with a lambo?
oy80-T0JJtA,Lmao. Heath in the back not having a single clue he’s gonna get a Lambo in 2019
oy80-T0JJtA,This is so sad Liza and David were faking there relationship in this video that's litteretly so sad ?
oy80-T0JJtA,i just realized jason wasn’t in that intro
oy80-T0JJtA,Who’s watching this because they found out that David wanted this to be the last vlog? Just me? Ok then??
oy80-T0JJtA,I can’t believe this was suppose to be David’s last vlog I would’ve died.
oy80-T0JJtA,“why would u do that”
oy80-T0JJtA,"“well, i broke his hip” ??"
oy80-T0JJtA,The vlog squad is what team 10 wishes they could be but they can't. Vlog squad is a genuine group of friends and team 10 is just a group of fake people wanting clout.
oy80-T0JJtA,I started watching David 3 days ago from his most recent video I’ve watched more then 50 of his videos in 3 days ???
oy80-T0JJtA,05:05:00 AM
oy80-T0JJtA,why would you buy him a car
oy80-T0JJtA,“i broke his hip”
oy80-T0JJtA,he gives out cars like they’re lollipops?
oy80-T0JJtA,It's so weird I just found out this was the first time David surprised someone with a car
oy80-T0JJtA,david dobrik won youtube everyone else can go home
oy80-T0JJtA,When is Ilya getting a car
oy80-T0JJtA,"""its your car"" "
oy80-T0JJtA,"""hahaha"""
oy80-T0JJtA,"""hahaha"""
oy80-T0JJtA,"""hahaha?"""
oy80-T0JJtA,"""Preferably a bonde haired blue eyed-"" ""ok ok"""
oy80-T0JJtA,"2015: david does a creepy close-up of snoop dogg from across the room, uses him for clickbait by putting him in the thumbnail ""SMOKING WITH SNOOP DOGG?!?!?"""
oy80-T0JJtA,2018: actually smoking with snoop dogg and doesn't even put it in the thumb nail.
oy80-T0JJtA,"damn, david's actually amazing."
oy80-T0JJtA,This 14 minute video felt no different than a 4 minute video..
oy80-T0JJtA,David's so dedicated that when his blog is way over 4:20 he makes it 14:20
oy80-T0JJtA,It took me rewatching this to realise Reggie was the one who painted their house AHAHA
oy80-T0JJtA,“It paid off being your friend” ???
oy80-T0JJtA,Who’s watching when David is president and just gives out rockets to the public
oy80-T0JJtA,april of 2020 he should make a 42:00 long vlog or post daily cause itll be 4/20 the whole month
oy80-T0JJtA,Now heath got his own lambo
oy80-T0JJtA,When u realize the ending was so good because David wanted to stop vlogging plz never stop David u inspire me so much you are my favorite YouTuber u are the best
oy80-T0JJtA,Anyone re-watch this? Just me? Probably still high from this vlog
oy80-T0JJtA,Idk why it took me this long but REGGIE PAINTED THE HOUSE ???
oy80-T0JJtA,I’m still re-watching this TI’LL THIS DAY.
oy80-T0JJtA,This is a masterpiece.
oy80-T0JJtA,I just realized that this is the longest David’s vlogs ever for now
oy80-T0JJtA,This was supposed to be his last vlog and he cried after he finished the vlog now he is stuck with more vlogging
oy80-T0JJtA,14:20 = 4:20 
oy80-T0JJtA,This means that every video should and can be 14 minutes and 20 seconds long
oy80-T0JJtA,00:00 You can hear Seth Rogen laugh
