word,frequency
u,852
animals,180
animal,93
093e,59
20,53
0947,48
0928,45
name,40
0930,35
0915,35
39,33
0902,32
10,32
part,28
094d,27
kids,26
english,25
092e,24
2019,24
wild,23
094b,23
voiceovers,23
hood,23
092a,23
091c,23
top,22
names,21
0940,21
pet,21
pets,20
0935,20
hindi,18
0939,18
world,18
093f,17
sounds,17
dog,17
amp,16
zoo,16
0938,16
funny,15
5,15
learn,14
0438,14
0924,14
0932,12
feeding,12
dogs,12
0917,12
learning,11
domestic,11
meet,11
story,11
0926,11
tour,10
amazing,10
believe,10
quot,10
2,10
room,10
schleich,10
food,9
new,9
092f,9
people,8
video,8
scientific,8
birds,8
compilation,8
collection,8
children,8
one,8
saved,8
gladiator,7
reptile,7
vs,7
1,7
0941,7
best,7
043a,7
haul,7
fe0f,7
farm,7
toy,7
lives,7
092c,7
sound,7
043d,7
tiger,6
toys,6
00a0,6
review,6
ed,6
cute,6
shelter,6
0440,6
fun,6
0442,6
cat,6
0906,6
09be,6
big,6
exist,6
0430,6
091a,6
sea,6
papo,5
unbelievable,5
help,5
gameplay,5
cats,5
home,5
live,5
09b0,5
0948,5
update,5
got,5
0443,5
rottweiler,5
horse,5
09c7,5
090f,5
white,5
love,5
0916,5
0445,4
0435,4
may,4
creatures,4
gets,4
bedtime,4
easy,4
feed,4
videos,4
09bf,4
african,4
humans,4
water,4
3,4
unusual,4
young,4
like,4
043e,4
0936,4
0432,4
09a8,4
0441,4
look,4
family,4
ever,4
hd,4
nursery,4
0905,4
abuse,4
lion,4
night,4
0627,4
life,4
00bd,4
baby,4
safari,4
0433,4
0436,4
sheep,4
091f,4
0964,4
pictures,3
cow,3
talent,3
hit,3
dairy,3
203c,3
minecraft,3
tongues,3
8,3
charlotte,3
jackpot,3
farming,3
unique,3
fish,3
ones,3
rescue,3
day,3
pc,3
wolf,3
09ae,3
genetics,3
0937,3
start,3
24,3
babies,3
society,3
0444,3
064a,3
044b,3
vlog,3
january,3
settling,3
fails,3
end,3
back,3
cutest,3
displaced,3
two,3
09c1,3
barry,3
0907,3
0908,3
process,3
watch,3
0942,3
0001f984,3
class,3
death,3
rescued,3
things,3
cm,3
x,3
aquatic,3
drawing,3
real,3
could,3
ultimate,3
092b,3
extinct,3
went,3
song,3
police,3
ocean,3
games,3
2018,3
daily,3
acting,3
emotional,3
vol,3
secrets,3
set,3
17,3
12,3
11,3
pdf,3
unboxing,3
colors,3
combine,2
black,2
balto,2
vaping,2
recovery,2
another,2
4,2
species,2
viomatic,2
science,2
know,2
0001f9f8,2
figurine,2
confused,2
management,2
toddlers,2
good,2
caught,2
jack,2
bait,2
rhymes,2
figurines,2
beatboxer,2
0923,2
beautiful,2
us,2
county,2
pierce,2
rare,2
puppy,2
special,2
0641,2
0644,2
horniman,2
0001f63b,2
app,2
away,2
horses,2
human,2
peck,2
0001f525,2
facebook,2
fruits,2
en,2
el,2
july,2
play,2
savanna,2
beauty,2
hip,2
humane,2
hyenas,2
favorite,2
2020,2
savannah,2
seen,2
guide,2
expensive,2
dan,2
made,2
harlem,2
043c,2
pom,2
list,2
043f,2
london,2
understanding,2
flowers,2
couple,2
buying,2
09b2,2
viral,2
emerged,2
09b8,2
23,2
28,2
read,2
laugh,2
figures,2
museum,2
voices,2
strongest,2
0995,2
099c,2
actually,2
2605,2
adorable,2
0996,2
routine,2
terra,2
suburban,2
hand,2
dodo,2
digital,2
try,2
even,2
spot,2
095c,2
instagram,2
liv,2
deal,2
0001f923,2
episode,2
change,2
indian,2
produc,2
models,2
kitchen,2
birth,2
sense,2
hilarious,2
ps4,2
store,2
years,2
awareness,2
found,2
20e3,2
arena,2
preschool,2
0431,2
shopping,2
forest,2
gardens,2
9,2
constructor,2
062a,2
strangest,2
facts,2
richest,2
twitter,2
smart,2
planet,2
moments,2
heads,2
funniest,2
bgt,2
snakes,2
lost,2
details,2
born,2
0920,2
jungle,2
monkeys,2
veeyan,2
reptiles,2
advanced,2
vegetables,2
fight,2
ming,2
celebrities,2
find,2
nighty,2
peta,2
snare,2
snake,2
shame,2
career,2
35,2
catch,2
battle,2
091d,2
0001f43c,2
0914,2
kala,2
collecta,2
19,2
16,2
14,2
15,2
13,2
0913,2
0001f436,2
ear,2
fort,2
huge,2
weirder,2
hebrew,2
charged,1
body,1
044f,1
program,1
grove,1
lobster,1
stories,1
metro,1
bs,1
0e04,1
sees,1
rooster,1
hurricane,1
healthy,1
never,1
sick,1
playtime,1
wildanimal,1
peoples,1
plus,1
lends,1
gameplay39,1
basement,1
information,1
09ad,1
trajano,1
mods,1
become,1
evs,1
semi,1
entertainment,1
building,1
mal,1
man,1
tiktok,1
small,1
regret,1
wagons,1
rb,1
papotoys,1
st,1
abro,1
handle,1
voiceover,1
mission,1
silly,1
deputies,1
raw,1
itz,1
long,1
nueva,1
hurry,1
indonesia,1
giving,1
09aa,1
welfare,1
month,1
million,1
eventually,1
chandrababu,1
pregnant,1
priceless,1
rocks,1
ready,1
seek,1
goose,1
kingdom,1
pond,1
elk,1
044c,1
nearly,1
lilly,1
come,1
bitterly,1
enclosure,1
bbc,1
nama,1
lol,1
christoph,1
closet,1
09e7,1
banana,1
domésticos,1
offers,1
beatbox,1
bootleg,1
duke,1
ajpw,1
rescuers,1
newborn,1
dig,1
turtle,1
millionaire,1
2030,1
gallon,1
friend,1
intense,1
game,1
online,1
superpowers,1
venom,1
rainbow,1
lawsuit,1
natural,1
coach,1
easily,1
skulls,1
full,1
faunaview,1
knew,1
bugs,1
lowest,1
mengenal,1
reacts,1
nation,1
control,1
golden,1
fattest,1
owners,1
news14,1
insanely,1
kung,1
damage,1
boulevard,1
britain,1
med,1
medicine,1
miraculously,1
east,1
monkey,1
records,1
side,1
waterfall,1
lottery,1
passed,1
0648,1
possibly,1
better,1
lego,1
portuguese,1
favorites,1
outside,1
dinosaurs,1
0646,1
ancestors,1
0001f431,1
freeze,1
blew,1
understand,1
chart,1
0001f43e,1
bahasa,1
0001f63a,1
near,1
stable,1
owning,1
saddest,1
places,1
reality,1
needs,1
stay,1
known,1
movement,1
future,1
recur,1
carnivorous,1
juguemos,1
ep,1
fastest,1
scarier,1
pictur,1
0001f631,1
migration,1
plz,1
09a6,1
robloide,1
em,1
robot,1
zebras,1
elly,1
action,1
englishl,1
prohibited,1
earth,1
africa,1
zooba,1
miss,1
express,1
champions,1
beatboxing,1
099f,1
sheikh,1
milkfish,1
kangaroos,1
nowthis,1
cuddling,1
money,1
krugerpark,1
prices,1
judges,1
biteforce,1
creature,1
android,1
kid,1
bears,1
cobra,1
0943,1
dumb,1
09b7,1
solution,1
