"Title","views","Publisher","Time","Duration","Like","Dislike"
"Nintendo Direct Mini 3.26.20","3,132,895 views",,,"28:55","107K","8.2K"
"Lil Mosey - Blueberry Faygo (Dir. by @_ColeBennett_)","3,940,636 views",,,"3:00","396K","9.6K"
"‘People Are Dying’: Battling Coronavirus Inside a N.Y.C. Hospital | NYT News","2,752,119 views",,,"5:33","55K","3.4K"
"SCARING KEVIN HART WITH A SNAKE!! (FREAKOUT)","7,320,961 views",,,"5:26","470K","4.7K"
"Kim & Kourtney's Feud Gets Physical: ""KUWTK"" Katch-Up (S18, E1) | E!","927,391 views",,,"3:21","17K","1K"
"President Trump and Coronavirus Task Force Hold Press Briefing | TIME","836,785 views",,,"1:11:07","4.4K","1.7K"
"Joyner Lucas - Will (ADHD)","5,549,575 views",,,"3:59","496K","5.2K"
"Dr. Fauci Answers Trevor’s Questions About Coronavirus | The Daily Social Distancing Show","1,143,623 views",,,"13:23","61K","624"
"Bill Gates: Returning to normal life in April is not realistic","1,000,420 views",,,"10:51","15K","1.8K"
"I have a BIG announcement...","510,692 views",,,"2:56","43K","802"
"NAV & Gunna - Turks feat. Travis Scott (Official Audio)","371,483 views",,,"2:41","61K","393"
"DDG - Toxic (Audio)","136,413 views",,,"2:36","27K","242"
"Quando Rondo - Nita's Grandson (Official Video)","201,364 views",,,"2:23","25K","172"
"Mozzy - I Ain’t Perfect (Official Video) ft. Blxst","305,820 views",,,"3:29","27K","363"
"PARTYNEXTDOOR & Rihanna - BELIEVE IT (Official Audio)","561,366 views",,,"3:03","65K","708"
"Machine Gun Kelly & Travis Barker - Misery Business (Paramore Cover)","864,758 views",,,"3:23","65K","1.9K"
"Ms. Juicy Is Too JUICY for Nick Cannon 💦😂 Wild 'N Out","598,357 views",,,"3:19","19K","297"
"Megan Thee Stallion ""B.I.T.C.H."" Official Lyrics & Meaning | Verified","625,964 views",,,"8:01","55K","632"
"Who Won My Best Friend's Heart? *REVEAL | Twin My Heart w/ The Merrell Twins Season 2 EP 6 Pt 2","660,501 views",,,"35:35","41K","809"
"Selena Gomez - Dance Again (Performance Video)","2,524,371 views",,,"2:48","334K","5.7K"
"Sober Convos 4: Crushes and The Perfect Relationship","765,708 views",,,"8:48","66K","597"
"KSI - Poppin (feat. Lil Pump & Smokepurpp)","1,514,940 views",,,"3:32","246K","8.7K"
"Dua Lipa - Break My Heart (Official Video)","4,826,164 views",,,"3:49","618K","6.6K"
"Backyard Underground Bunker Tour/Update 5 years on","2,965,216 views",,,"10:01","169K","1.6K"
"PSA Safe Grocery Shopping in COVID-19 Pandemic – UPDATED!!!","12,602,564 views",,,"13:31","140K","3.4K"
"Ice Cream Taste Test Tournament (Day 4)","1,096,023 views",,,"14:57","36K","655"
"Bassassin - Fortnite Shorts","659,906 views",,,"0:31","44K","1.1K"
"Coronavirus Outbreak: U.S. Is Now the Global Virus Epicenter","1,130,773 views",,,"2:04","4.5K","2.1K"
"Coronavirus Deaths Are Skyrocketing in Spain","660,434 views",,,"5:12","9.8K","353"
"Huawei P40 Pro Impressions: What We Should Copy!","1,992,267 views",,,"11:04","69K","3K"
"How Much Should You Spend to play Half Life Alyx?","698,843 views",,,"18:50","27K","619"
"My Ex-Girlfriend is MOVING IN WITH ME...","1,008,692 views",,,"17:38","58K","1.5K"
"A New Chapter..","1,239,802 views",,,"14:17","103K","1.2K"
"More Gigantamax action comes to the Pokémon Sword and Pokémon Shield Expansion Pass!","442,898 views",,,"2:15","21K","836"
"Doctor Recommends Strict Measures To Curb Coronavirus In U.S. | Morning Joe | MSNBC","264,548 views",,,"10:20","2.7K","195"
"Bartenders Match the Drink to the Person | Lineup | Cut","540,718 views",,,"13:22","22K","175"
"Inside FaZe Rug's Closet! **HUGE GIVEAWAY**","1,639,234 views",,,"21:42","194K","1.5K"
"Hello (from the Inside) An Adele Parody by Chris Mann","158,612 views",,,"4:51","6K","69"
