"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"HglBDQRLr7M",2019-08-24,"UCaWd5_7JhbQBe4dknZhsHJg","top 20 funniest saturday night live sketches","Live from New York, it's the funniest Saturday Night Live sketches of all time! We're taking a look at the sketches that best define this long-running variety show's ...","https://i.ytimg.com/vi/HglBDQRLr7M/default.jpg","120","90","https://i.ytimg.com/vi/HglBDQRLr7M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HglBDQRLr7M/hqdefault.jpg","480","360","WatchMojo.com","none",472103,4205,320,0,536,8,2019
"ls7aUk9O6mM",2016-02-01,"UCZvWhMNL9lihS7WnlRHhc5w","simon talbots sketch show news homie","Se første afsnit af Simon Talbots Sketch show lige her: ...","https://i.ytimg.com/vi/ls7aUk9O6mM/default.jpg","120","90","https://i.ytimg.com/vi/ls7aUk9O6mM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ls7aUk9O6mM/hqdefault.jpg","480","360","TV 2 ZULU","none",75745,671,22,0,18,2,2016
"CbgqtvJOJus",2009-02-27,"UCEOhc9YlTSHwnWyHuj74IKw","1 4 the best of dave allen the comedy sketches","All his best comedy sketches.","https://i.ytimg.com/vi/CbgqtvJOJus/default.jpg","120","90","https://i.ytimg.com/vi/CbgqtvJOJus/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CbgqtvJOJus/hqdefault.jpg","480","360","SociopathicFruitloop","none",2869494,6503,514,0,336,2,2009
"MS2aEfbEi7s",2014-04-03,"UC-amAbzwrQxuVt7ll6n7hww","7 into 28","Description.","https://i.ytimg.com/vi/MS2aEfbEi7s/default.jpg","120","90","https://i.ytimg.com/vi/MS2aEfbEi7s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MS2aEfbEi7s/hqdefault.jpg","480","360","Boozetowne","none",4639118,52899,1037,0,1650,4,2014
"P1DO2dOMpvw",2018-01-17,"UCq377a2rLY4zJtn9DWAoShw","elie semoun merki complet","","https://i.ytimg.com/vi/P1DO2dOMpvw/default.jpg","120","90","https://i.ytimg.com/vi/P1DO2dOMpvw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/P1DO2dOMpvw/hqdefault.jpg","480","360","rsgfyjkthsqef","none",573998,2174,831,0,563,1,2018
"18JmieM8SFc",2015-10-01,"UC1BIdP2KqbyPWePMQlRjsUA","fast show drunk guy","One of my favourite characters from the old UK series The Fast Show. Paul Whitehouse as Rowley Birkin QC ...and his rambling mumbles.","https://i.ytimg.com/vi/18JmieM8SFc/default.jpg","120","90","https://i.ytimg.com/vi/18JmieM8SFc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/18JmieM8SFc/hqdefault.jpg","480","360","analogmoose","none",468218,1362,69,0,73,10,2015
"gjxNXT2SL04",2019-07-30,"UCH99CnBIVsNXQP_-f9FgafA","staff kountoko nouveau sketch guinéen partie 1","nouveau Sketch partie 1 guinéen - Abonnez vous pour ne rater aucune nouveauté: http://bit.ly/29LUGfj - Regardez plus de films et séries de Guinée: ...","https://i.ytimg.com/vi/gjxNXT2SL04/default.jpg","120","90","https://i.ytimg.com/vi/gjxNXT2SL04/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gjxNXT2SL04/hqdefault.jpg","480","360","Africa Mandingue","none",43539,1093,17,0,106,7,2019
"2ChPAqPdDdw",2014-05-16,"UCaWd5_7JhbQBe4dknZhsHJg","top 10 monty python 39 s flying circus moments","And now for something completely different... Welcome to WatchMojo.com, and today we're counting down our picks for the top 10 Monty Python TV moments.","https://i.ytimg.com/vi/2ChPAqPdDdw/default.jpg","120","90","https://i.ytimg.com/vi/2ChPAqPdDdw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2ChPAqPdDdw/hqdefault.jpg","480","360","WatchMojo.com","none",1265957,9451,685,0,2204,5,2014
"sA-iF45pOlI",2011-11-03,"UCGuyFUxb0hFZj_axuY3_Uyw","dave allen at large 10 note stuck under car tyre","This is not only what I consider to be Dave Allen's best sketch, I think it's the best comedy sketch ever. I watched it when it was first aired on Monday 15 ...","https://i.ytimg.com/vi/sA-iF45pOlI/default.jpg","120","90","https://i.ytimg.com/vi/sA-iF45pOlI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sA-iF45pOlI/hqdefault.jpg","480","360","quisquose00","none",175260,804,24,0,103,11,2011
"LLF6ra51OPo",2009-12-09,"UCfkYXCakbonyKaFHLHLUhNA","the riot act sketch","","https://i.ytimg.com/vi/LLF6ra51OPo/default.jpg","120","90","https://i.ytimg.com/vi/LLF6ra51OPo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/LLF6ra51OPo/hqdefault.jpg","480","360","Jay Sukow","none",22,0,0,0,0,12,2009
