"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"1g3asaQTMHU",2017-08-12,"UC4-TKVOqVXsSk3pDxzy3mmQ","stand 20up","","https://i.ytimg.com/vi/1g3asaQTMHU/default.jpg","120","90","https://i.ytimg.com/vi/1g3asaQTMHU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/1g3asaQTMHU/hqdefault.jpg","480","360","Josh Baker","none",15,0,0,0,0,8,2017
"4Q11p1cO9DQ",2016-02-22,"UCk53NhTs-6DY_XVYbwycw_A","stand 20up 20for 20kids hd","","https://i.ytimg.com/vi/4Q11p1cO9DQ/default.jpg","120","90","https://i.ytimg.com/vi/4Q11p1cO9DQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4Q11p1cO9DQ/hqdefault.jpg","480","360","Heather Sufk","none",137,3,0,0,0,2,2016
"NRSO3Q_d0BA",2013-11-07,"UCaHYRyYRVJkuQX_ql5ZOHOw","stand up twenty one","lien de telechargement du beatz: http://old.hulkshare.com/dl/6mwpv84692tc/stand%20up%20(%20twenty%20one%20)?d=1 lien de telechargement de la ...","https://i.ytimg.com/vi/NRSO3Q_d0BA/default.jpg","120","90","https://i.ytimg.com/vi/NRSO3Q_d0BA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NRSO3Q_d0BA/hqdefault.jpg","480","360","Slayer Beatz","none",63,2,0,0,0,11,2013
"hnrR0IeanBQ",2018-11-18,"UCi14bJWs6zQFmDtkCel8nIw","stand up by el neón dance music","More info below<U+2193> ------------------------------ Song: Stand Up by El Neón Get this song here: ...","https://i.ytimg.com/vi/hnrR0IeanBQ/default.jpg","120","90","https://i.ytimg.com/vi/hnrR0IeanBQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/hnrR0IeanBQ/hqdefault.jpg","480","360","Alrota Music","none",226,5,3,0,0,11,2018
"jlW2yLrLQB0",2019-06-18,"UC6I2VTEX5p-7Z9V5xa8FiDA","cadeira de rodas que fica em pé conheça a stand up casa médica","A Cadeira de Rodas Motorizada Freedom ""STAND-UP"" proporciona total liberdade de movimentos, com total segurança, e o acionamento da função stand-up, ...","https://i.ytimg.com/vi/jlW2yLrLQB0/default.jpg","120","90","https://i.ytimg.com/vi/jlW2yLrLQB0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jlW2yLrLQB0/hqdefault.jpg","480","360","Casa Médica Londrina","none",2122,61,3,0,4,6,2019
"jHaCTttuHsg",2020-01-20,"UCKeXDa2yjCUk1J2-LwrF_bg","betsy 20hoffman 27s 20stand 20up 20at 20gotham 20comedy 20club","Betsy Hoffman @GothamComedy.","https://i.ytimg.com/vi/jHaCTttuHsg/default.jpg","120","90","https://i.ytimg.com/vi/jHaCTttuHsg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jHaCTttuHsg/hqdefault.jpg","480","360","betsyvsny","none",8,NA,NA,0,0,1,2020
"wJy1ImM6SRA",2018-04-17,"UCEAvkPULnoKY2FS9Ag3uTUA","supergres t 20 up","Sistema di posa sopraelevata.","https://i.ytimg.com/vi/wJy1ImM6SRA/default.jpg","120","90","https://i.ytimg.com/vi/wJy1ImM6SRA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/wJy1ImM6SRA/hqdefault.jpg","480","360","Ceramiche Supergres","none",577,4,0,0,0,4,2018
"pH6uGOGip5w",2020-01-05,"UCnxFsfTqnaBAXGQaSWCcYew","arrêter le porno en 2020 motivation","Je n'ai qu'une seule question à vous poser pour commencer cette nouvelle année : qui voulez-vous devenir ? ...","https://i.ytimg.com/vi/pH6uGOGip5w/default.jpg","120","90","https://i.ytimg.com/vi/pH6uGOGip5w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/pH6uGOGip5w/hqdefault.jpg","480","360","Goodbye Porno","none",4522,369,2,0,67,1,2020
"SUNOJPuDkVk",2017-05-30,"UCpLscA5_QxiXtI0-aIUllrQ","quiqlitex dual white 20 up to 150 lumens","Concealed USB Rechargeable Hands-Free LED Light Source for Public Safety.","https://i.ytimg.com/vi/SUNOJPuDkVk/default.jpg","120","90","https://i.ytimg.com/vi/SUNOJPuDkVk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SUNOJPuDkVk/hqdefault.jpg","480","360","Brian Quittner","none",6243,5,1,0,1,5,2017
"cyskqwwBeNw",2018-04-06,"UCxMAbVFmxKUVGAll0WVGpFw","cardi b get up 10 official audio","Cardi B - Get Up 10 from Cardi B's Debut Album Invasion of Privacy available now! Stream/Download: https://CardiB.lnk.to/IOPAY INVASION OF PRIVACY ...","https://i.ytimg.com/vi/cyskqwwBeNw/default.jpg","120","90","https://i.ytimg.com/vi/cyskqwwBeNw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/cyskqwwBeNw/hqdefault.jpg","480","360","Cardi B","none",39663765,294107,16174,0,13221,4,2018
