"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"ZJy1ajvMU1k",2016-03-07,"UCIEv3lZ_tNXHzL3ox-_uUGQ","how to master 5 basic cooking skills gordon ramsay","We've compiled five previous videos into one, helping you to master your basic skills in the kitchen. Cooking rice, chopping an onion, sharpening a knife, ...","https://i.ytimg.com/vi/ZJy1ajvMU1k/default.jpg","120","90","https://i.ytimg.com/vi/ZJy1ajvMU1k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ZJy1ajvMU1k/hqdefault.jpg","480","360","Gordon Ramsay","none",28441225,470176,9375,0,21195,3,2016
"66Ck_5SePZg",2019-09-22,"UC295-Dw_tDNtZXFeAPAW6Aw","36 crazy ways to cook eggs","DELICIOUS IDEAS FOR FAMILY BREAKFAST How do you like your eggs? Scrambled? Poached? Boiled? Check out a top selection of ideas on how to prepare ...","https://i.ytimg.com/vi/66Ck_5SePZg/default.jpg","120","90","https://i.ytimg.com/vi/66Ck_5SePZg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/66Ck_5SePZg/hqdefault.jpg","480","360","5-Minute Crafts","none",18581505,136419,13047,0,4837,9,2019
"U0bUfUfceao",2017-07-21,"UCH8NnRkxQg1zX7mHFRPq73g","best recipes for july cakes cupcakes and more yummy dessert recipes by so yummy","Delicious recipe for JULY, Best recipe video. Click here: https://www.youtube.com/watch?v=eaJg60dBml8&list=PLKpGBDk4Hp8rjzAeHNQ5WpIkNjdbJaWN9 ...","https://i.ytimg.com/vi/U0bUfUfceao/default.jpg","120","90","https://i.ytimg.com/vi/U0bUfUfceao/mqdefault.jpg","320","180","https://i.ytimg.com/vi/U0bUfUfceao/hqdefault.jpg","480","360","So Yummy","none",42543903,207433,18617,0,6499,7,2017
"1kRcUKux2aU",2019-07-11,"UC295-Dw_tDNtZXFeAPAW6Aw","26 cooking tricks and tips","SUPER-QUICK DISHES FOR UNEXPECTED GUESTS It's always difficult to choose what to prepare and do not spend a lot of time. There is no need to spend ...","https://i.ytimg.com/vi/1kRcUKux2aU/default.jpg","120","90","https://i.ytimg.com/vi/1kRcUKux2aU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/1kRcUKux2aU/hqdefault.jpg","480","360","5-Minute Crafts","none",5602851,67025,4693,0,1436,7,2019
"VMcmWCjzsj4",2019-05-25,"UC2WuPTt0k8yDJpfenggOAVQ","11 unusual yet delicious ways to cook food creative unconventional cooking hacks by blossom","Learn how to create delicious meals in the most unconventional yet easiest way possible! We get creative with our cooking where we use unusual methods of ...","https://i.ytimg.com/vi/VMcmWCjzsj4/default.jpg","120","90","https://i.ytimg.com/vi/VMcmWCjzsj4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VMcmWCjzsj4/hqdefault.jpg","480","360","Blossom","none",18232084,192885,14909,0,3887,5,2019
"URdX9rFIbcc",2018-01-11,"UCJFp8uSYCjXOMnkUyb3CQ3Q","4 meals anyone can make","Get the recipes: https://tasty.co/compilation/4-meals-anyone-can-make Buy the Tasty Cookbook Today: http://bit.ly/2zVLRyd Check us out on Facebook!","https://i.ytimg.com/vi/URdX9rFIbcc/default.jpg","120","90","https://i.ytimg.com/vi/URdX9rFIbcc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/URdX9rFIbcc/hqdefault.jpg","480","360","Tasty","none",17357922,413261,9402,0,13795,1,2018
"WEDndTCyGgU",2018-10-31,"UCJFp8uSYCjXOMnkUyb3CQ3Q","4 easy meals to start cooking","Get the recipe: https://tasty.co/compilation/4-meals-anyone-can-make-part-2 Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...","https://i.ytimg.com/vi/WEDndTCyGgU/default.jpg","120","90","https://i.ytimg.com/vi/WEDndTCyGgU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WEDndTCyGgU/hqdefault.jpg","480","360","Tasty","none",2148928,45484,945,0,1100,10,2018
"u1ELxTd31C4",2019-04-05,"UCNCOInIMDrClXTw25JYHE_Q","delicious fried chicken leg with coca cola chicken leg cooking with coca cola","Hi everyone, today we show you about ""Delicious Fried Chicken Leg With Coca Cola "". We just show you how to cook for our daily food. We hope you like this ...","https://i.ytimg.com/vi/u1ELxTd31C4/default.jpg","120","90","https://i.ytimg.com/vi/u1ELxTd31C4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/u1ELxTd31C4/hqdefault.jpg","480","360","Kdeb Family Kitchen","none",15118004,39194,15775,0,NA,4,2019
"dbSL7vmt27Y",2020-02-27,"UCcjhYlL1WRBjKaJsMH_h7Lg","250 vs 25 pasta bolognese pro chef amp home cook swap ingredients epicurious","Expert chef Frank and home cook John are swapping materials and hoping for the best! We gave John $250 worth of ingredients and Frank's recipe notebook, ...","https://i.ytimg.com/vi/dbSL7vmt27Y/default.jpg","120","90","https://i.ytimg.com/vi/dbSL7vmt27Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dbSL7vmt27Y/hqdefault.jpg","480","360","Epicurious","none",4936568,95668,4106,0,6612,2,2020
"KGAj8IhnR3c",2019-12-19,"UCcjhYlL1WRBjKaJsMH_h7Lg","500 vs 16 steak dinner pro chef amp home cook swap ingredients epicurious","Expert chef Frank and home cook Lorenzo are swapping their recipes and ingredients, just for your viewing pleasure. We gave Lorenzo $500 worth of ...","https://i.ytimg.com/vi/KGAj8IhnR3c/default.jpg","120","90","https://i.ytimg.com/vi/KGAj8IhnR3c/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KGAj8IhnR3c/hqdefault.jpg","480","360","Epicurious","none",24938361,505527,15401,0,27697,12,2019
