"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"MVVH0OlAN8s",2020-03-08,"UC63mNFJR8EAb8wAIJwoCmTA","40 kitchen hacks recipes cooking hacks","Timestamps 00:09 Amazing kitchen gadgets 03:33 Easy way to make dumplings 04:26 DIY sausages 05:09 How to peel a corn 07:37 Potato hacks This video is ...","https://i.ytimg.com/vi/MVVH0OlAN8s/default.jpg","120","90","https://i.ytimg.com/vi/MVVH0OlAN8s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MVVH0OlAN8s/hqdefault.jpg","480","360","5-Minute Crafts FAMILY","none",77331,1316,158,0,40,3,2020
"zLfGZOrUuPU",2020-03-08,"UCLVMo8sGc-PsLmP8Ozb977A","king crab amazing king crab cutting amp cooking delicious pepper crab curry recipe crab cleaning","KING CRAB !!! Amazing King Crab Cutting & Cooking Delicious PEPPER CRAB CURRY Recipe || Crab Cleaning hope you enjoy this video please subscribe ...","https://i.ytimg.com/vi/zLfGZOrUuPU/default.jpg","120","90","https://i.ytimg.com/vi/zLfGZOrUuPU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zLfGZOrUuPU/hqdefault.jpg","480","360","popi kitchen with village food","none",34060,918,95,0,81,3,2020
"mi7ScJbHxss",2020-03-07,"UC7kik35dej0CfocfkncN7dw","thakumar kochur shag recipe bengali unique cooking by our grandmother village food","Thakumar Kochur Shag Recipe Bengali Unique Cooking by our Grandmother | Village Food it's very tasty and very delicious. All Bengali people very like this ...","https://i.ytimg.com/vi/mi7ScJbHxss/default.jpg","120","90","https://i.ytimg.com/vi/mi7ScJbHxss/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mi7ScJbHxss/hqdefault.jpg","480","360","villfood","none",40509,1719,70,0,149,3,2020
"CFdecZr5IuE",2020-03-07,"UCwbXPUMNQwUGCG_nCkAq3uA","cooking rice fry with chicken roasted recipe","Hi every one welcome to visit my channel is talk about cooking life style and Cooking rice fry with chicken roasted recipe. Please subscribe me to view more ...","https://i.ytimg.com/vi/CFdecZr5IuE/default.jpg","120","90","https://i.ytimg.com/vi/CFdecZr5IuE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CFdecZr5IuE/hqdefault.jpg","480","360","Natural Life TV","none",29023,941,31,0,91,3,2020
"Fql_zy1EuqI",2020-03-05,"UC295-Dw_tDNtZXFeAPAW6Aw","100 cooking tricks that will help you to cut costs live","How to become a true chef <U+0001F951> Brilliant kitchen and cooking tips for beginners! This video is made for entertainment purposes. We do not make any warranties ...","https://i.ytimg.com/vi/Fql_zy1EuqI/default.jpg","120","90","https://i.ytimg.com/vi/Fql_zy1EuqI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Fql_zy1EuqI/hqdefault.jpg","480","360","5-Minute Crafts","none",454464,6012,576,0,289,3,2020
"EtImhRShqUI",2020-03-06,"UCbRj3Tcy1Zoz3rcf83nW5kw","the best steak frites w wagyu beef sam the cooking guy 4k","How can you go wrong with Wagyu beef and fries? This is the BEST Steak Frites, prepare yourself. LINK TO THE 'LOUIS 4 CHARITY' SHIRT ...","https://i.ytimg.com/vi/EtImhRShqUI/default.jpg","120","90","https://i.ytimg.com/vi/EtImhRShqUI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EtImhRShqUI/hqdefault.jpg","480","360","SAM THE COOKING GUY","none",362826,10563,257,0,1006,3,2020
"BaxvApyXwBA",2020-03-07,"UCI78AdiI6f7VKhqW1i4B3Rw","asmr filet mignon amp extra cheesy pizza mukbang no talking cooking amp eating sounds zach choi asmr","ASMR FILET MIGNON & EXTRA CHEESY PIZZA MUKBANG <U+BA39><U+BC29> (COOKING & EATING SOUNDS) BUY MY MERCH!: https://fanjoy.co/collections/zach-choi ...","https://i.ytimg.com/vi/BaxvApyXwBA/default.jpg","120","90","https://i.ytimg.com/vi/BaxvApyXwBA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/BaxvApyXwBA/hqdefault.jpg","480","360","Zach Choi ASMR","none",678728,32722,1003,0,1908,3,2020
"jPa5uExpPkk",2020-03-06,"UCHp19YI5Alff6jfadPx4l6Q","cooking sea weed salad chicken recipe cooking with sros","Hi guys. Welcome with a recipe today is cooking sea weed salad chicken. Taste sea weed together. Thank you. More yummy cooking: Yummy Dragon Fruit ...","https://i.ytimg.com/vi/jPa5uExpPkk/default.jpg","120","90","https://i.ytimg.com/vi/jPa5uExpPkk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jPa5uExpPkk/hqdefault.jpg","480","360","Cooking With Sros","none",34529,1114,89,0,104,3,2020
"tnBXalqf4nk",2020-03-07,"UCHLID1uJTWg5CCiNQMcg1-A","bánh mì vi<U+1EC7>t nam asmr cooking culinary frank","Công th<U+1EE9>c BÁNH MÌ VI<U+1EC6>T NAM: Th<U+1ECB>t Ngu<U+1ED9>i: Th<U+1ECB>t ba ch<U+1EC9> - 1.5 kg B<U+1ED9>t xá xíu - 1.5 tsp Ngu v<U+1ECB> huong - 1.5 tsp Ðu<U+1EDD>ng - 1.5 tsp Nu<U+1EDB>c tuong - 20 ml Ru<U+1EE3>u n<U+1EA5>u...","https://i.ytimg.com/vi/tnBXalqf4nk/default.jpg","120","90","https://i.ytimg.com/vi/tnBXalqf4nk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/tnBXalqf4nk/hqdefault.jpg","480","360","Culinary Frank's Food Channel","none",27536,1539,6,0,134,3,2020
"jog1wD8K9xM",2020-03-05,"UC57XAjJ04TY8gNxOWf-Sy0Q","26 fun cooking gadgets you have to try","UNBELIEVABLE COOKING GADGETS YOU HAD NEVER SEEN BEFORE Hello friends! Time to confess, how many of you aren't actually great at cooking?","https://i.ytimg.com/vi/jog1wD8K9xM/default.jpg","120","90","https://i.ytimg.com/vi/jog1wD8K9xM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jog1wD8K9xM/hqdefault.jpg","480","360","5-Minute Crafts PLAY","none",265331,2991,264,0,108,3,2020
