"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"2ypk0-zH8Oc",2020-03-20,"UCbRj3Tcy1Zoz3rcf83nW5kw","quarantine lockdown munchies part 2 sam the cooking guy 4k","We're continuing our quarantine/lockdown munchies fest with 5 new recipes, this time with BEEF! LOUIS 4 CHARITY' SHIRT (MORE IMPORTANT THAN EVER) ...","https://i.ytimg.com/vi/2ypk0-zH8Oc/default.jpg","120","90","https://i.ytimg.com/vi/2ypk0-zH8Oc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2ypk0-zH8Oc/hqdefault.jpg","480","360","SAM THE COOKING GUY","none",188780,5700,95,0,1031,3,2020
"VyEm9oUxHJ0",2020-03-21,"UCwbXPUMNQwUGCG_nCkAq3uA","yummy cooking noodle soup pork recipe","Hi every one welcome to visit my channel is talk about cooking life style and Yummy cooking Noodle soup pork recipe. Please subscribe me to view more videos ...","https://i.ytimg.com/vi/VyEm9oUxHJ0/default.jpg","120","90","https://i.ytimg.com/vi/VyEm9oUxHJ0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VyEm9oUxHJ0/hqdefault.jpg","480","360","Natural Life TV","none",10259,656,25,0,57,3,2020
"S3awv4PEZZE",2020-03-19,"UCCLVg6BI7NxDIp6GFKfFGFw","30 fast and simple cooking tricks that make you a chef","TIMESTAMPS: 00:00 Cooking 60 sausages at a time 01:19 Baked cheesy sandwiches 03:25 Baking pancakes without pan 03:52 Juicy baked chicken recipe ...","https://i.ytimg.com/vi/S3awv4PEZZE/default.jpg","120","90","https://i.ytimg.com/vi/S3awv4PEZZE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/S3awv4PEZZE/hqdefault.jpg","480","360","5-Minute Crafts Recycle","none",58743,693,43,0,32,3,2020
"dvKi9JnGvkE",2020-03-20,"UCHp19YI5Alff6jfadPx4l6Q","cooking chicken stir fry green sweet pepper cooking with sros","Hello everyone. Today I bring you cooking chicken stir fry green sweet pepper. Hope you enjoy. Thank you. More yummy cooking: Yummy Dragon Fruit Dessert ...","https://i.ytimg.com/vi/dvKi9JnGvkE/default.jpg","120","90","https://i.ytimg.com/vi/dvKi9JnGvkE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dvKi9JnGvkE/hqdefault.jpg","480","360","Cooking With Sros","none",17068,793,29,0,62,3,2020
"Y6B7-tNIqJc",2020-03-21,"UCHLID1uJTWg5CCiNQMcg1-A","bánh mì heo quay pork belly roll asmr cooking culinary frank","Công th<U+1EE9>c BÁNH MÌ HEO QUAY Th<U+1ECB>t heo ba ch<U+1EC9> - 1kg Mu<U+1ED1>i - 2tsp Ðu<U+1EDD>ng - 2tsp B<U+1ED9>t ngu v<U+1ECB> huong - 1.5tsp Ru<U+1EE3>u n<U+1EA5>u an D<U+1EA7>u mè S<U+1ED1>t an kèm: Nu<U+1EDB>c tuong - 40ml.","https://i.ytimg.com/vi/Y6B7-tNIqJc/default.jpg","120","90","https://i.ytimg.com/vi/Y6B7-tNIqJc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Y6B7-tNIqJc/hqdefault.jpg","480","360","Culinary Frank's Food Channel","none",8871,798,5,0,61,3,2020
"l3Wlf-o-Qyo",2020-03-18,"UCk3JZr7eS3pg5AGEvBdEvFg","butter chicken delicious healthy country chicken recipe chicken curry recipes village cooking","Today we made a healthy country chicken recipe with butter. Butter chicken recipe is everyone is love because butter is more delicious to eat. We use country ...","https://i.ytimg.com/vi/l3Wlf-o-Qyo/default.jpg","120","90","https://i.ytimg.com/vi/l3Wlf-o-Qyo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/l3Wlf-o-Qyo/hqdefault.jpg","480","360","Village Cooking Channel","none",1486295,48848,1673,0,2254,3,2020
"XY1K0tYG8vI",2020-03-20,"UCcp9uRaBwInxl_SZqGRksDA","<U+62B9><U+8336><U+30DF><U+30EB><U+30AF><U+30EC><U+30FC><U+30D5><U+309A><U+306E><U+4F5C><U+308A><U+65B9> matcha milee crepe|hidamari cooking","HidaMari Cooking(<U+3072><U+3060><U+307E><U+308A><U+30AF><U+30C3><U+30AD><U+30F3><U+30B0>)<U+3078><U+3088><U+3046><U+3053><U+305D><U+3002> <U+3053><U+306E><U+30C1><U+30E3><U+30F3><U+30CD><U+30EB><U+3067><U+306F><U+3001><U+30C1><U+30E7><U+30B3><U+30EC><U+30FC><U+30C8><U+3084><U+62B9><U+8336><U+3001><U+5B63><U+7BC0><U+306E><U+30D5><U+30EB><U+30FC><U+30C4><U+3092><U+4F7F><U+3063><U+305F><U+304A><U+83D3><U+5B50><U+306E><U+30EC><U+30B7><U+30D4><U+3092><U+4E2D><U+5FC3><U+306B><U+6295><U+7A3F>...","https://i.ytimg.com/vi/XY1K0tYG8vI/default.jpg","120","90","https://i.ytimg.com/vi/XY1K0tYG8vI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XY1K0tYG8vI/hqdefault.jpg","480","360","HidaMari Cooking","none",48239,2609,25,0,122,3,2020
"xek5qNrFKd0",2020-03-19,"UCHp19YI5Alff6jfadPx4l6Q","crispy ocean fish cooking dried rice noodle cooking with sros","Hello. Come back with crispy ocean fish cooking dried rice noodle. Hope you enjoy. Thank you. More yummy cooking: Yummy Dragon Fruit Dessert - Pick ...","https://i.ytimg.com/vi/xek5qNrFKd0/default.jpg","120","90","https://i.ytimg.com/vi/xek5qNrFKd0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xek5qNrFKd0/hqdefault.jpg","480","360","Cooking With Sros","none",33964,1132,46,0,103,3,2020
"VwcULpF6eoA",2020-03-20,"UCYg_V2UuNiDztyH-uuFB9fw","not pinakbet but bulanglang poklee cooking","Sa panahon ngayon, kailangan healthy eating muna tayo para lumakas ang resistensya natin! That's why vegetable dish ang gagawin natin. Many people think ...","https://i.ytimg.com/vi/VwcULpF6eoA/default.jpg","120","90","https://i.ytimg.com/vi/VwcULpF6eoA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VwcULpF6eoA/hqdefault.jpg","480","360","PokLee Cooking Official","none",33968,1629,17,0,157,3,2020
"66Ck_5SePZg",2019-09-22,"UC295-Dw_tDNtZXFeAPAW6Aw","36 crazy ways to cook eggs","DELICIOUS IDEAS FOR FAMILY BREAKFAST How do you like your eggs? Scrambled? Poached? Boiled? Check out a top selection of ideas on how to prepare ...","https://i.ytimg.com/vi/66Ck_5SePZg/default.jpg","120","90","https://i.ytimg.com/vi/66Ck_5SePZg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/66Ck_5SePZg/hqdefault.jpg","480","360","5-Minute Crafts","none",18573840,136328,13039,0,4836,9,2019
