"","video_id","duration"
"1","hzGrwaFztrE",120
"2","mbTwGJhqrv4",180
"3","yH8YspHM27s",18.54
"4","f2uHnfI54fU",25.58
"5","Z2L42G7tAHo",76.34
"6","DM8T7zqNsNE",93.35
"7","4DiHq_myrx4",24.03
"8","2kSjgiV4wG8",12.15
"9","PRxpsclx650",149.27
"10","TWfz3zfHNCk",138.14
"11","aDshY43Ol2U",2.02
"12","7STPc_5Ae4U",118.04
"13","pOLlaRDyII4",128.58
"14","a09KyiHNKYY",127.28
"15","wlpunOUxYSo",2.34
"16","_Zl5EzrpZ9E",172.56
"17","ZKbydYg8R-E",153.58
"18","BMrYdkV37g0",166.46
"19","UHmWO5_wmoA",2.41
"20","1wn9l91LVpI",169.58
"21","EsxsAZT85s4",170.56
"22","AKKRhPJdsqY",159.21
"23","X13iHHZhhCU",136.09
"24","QzBig8uEm5E",163.06
"25","gddcUtzsKgg",127.09
"26","4C_Mv44Jv78",13.49
"27","cZKP0R0w7_4",152.46
"28","sUlelAYZGRE",150.21
"29","xTlWHMoGqhA",120
"30","easyichzP5M",147
"31","0G1eGvBVSJc",120
"32","U8J6SjDCmZY",125.4
"33","eu3QDY5z0d0",155.59
"34","PUpCChxkZbY",125
"35","MWG1As2Nm-g",137.09
"36","qRrRhvLxbXw",135.14
"37","u0C-Hywcy7Q",78.5
"38","5k1KjQBqurQ",14.01
"39","Us3z3TIxTOI",150.49
"40","BONMwGL-kVg",147
"41","PHT3J3BKpew",145.09
"42","hbrXd8T3fE0",161.18
"43","M7z6F4Lcthc",142.23
"44","8kMM90hh-O8",144
"45","mmVRIR_eJc4",135.46
"46","xH33uI-cqa8",142.51
"47","MukIXLmFEWU",133.11
"48","0JsWh-WN1DY",148.19
"49","rf3iHqE240I",5.06
"50","qDWJllytQwM",142.31
"51","hDPZvTcKyzw",152.16
"52","RByoMwxHxxo",140.22
"53","tj814hcan3c",131.15
"54","rWtRFEEbdhk",136.54
"55","cK_scrPFOt4",123.19
"56","zcNWeWxgw5M",12.32
"57","wJY-4ueo-3U",140.22
"58","qmQP4TBvCu4",137.45
"59","q849TUnJRO0",120
"60","l0jVo2oGDwo",137.28
"61","I2RZVusUbCU",149.29
"62","-ottnI65duU",145.47
"63","qOuNceOzNAI",152.02
"64","8TYwRQP_8Ek",157.47
"65","Tj_48kPwKtc",146.1
"66","T-Bvf6s7gts",147.02
"67","TNo1l06Jz_w",120
"68","XR-_dafQRxc",120
"69","77ZdDhj2iU8",149.46
"70","-lfOObH83fk",147.55
"71","dyOyfnzMX0E",91.37
"72","eQPSq3kSjfg",155.53
"73","NzDyWRRI4CQ",85.21
"74","8CydgiuZ6No",133.36
"75","6SX4EYJM6zU",145.56
"76","HRNq5O2ieOs",10.2
"77","UpJrUNJcS5w",153.38
"78","VYslZytdOWg",20.36
"79","juDsiLpI3QU",137.5
"80","86gZJB0voCg",130.25
"81","F6f4eAXQkqo",157.45
"82","Q2YB7jfpPEM",156.34
"83","HAg3fuFczs0",2.04
"84","JyQJHOEK3RQ",153.47
"85","I5dD9n2HlIg",78.59
"86","Nk8ca_ftL7c",135.34
"87","1CKDs0APLhQ",151.11
"88","tGgLvA31RQw",129.02
"89","5Eulut8erDQ",98.09
"90","ubWpCEa0JkM",110.42
"91","8b1F8p4D_uA",180
"92","7TycGwEbJa0",106.5
"93","jlR3T0r7exw",155.56
"94","5_-spKPRU-I",160.01
"95","QVWxzZA4KSo",124.04
"96","q3WWxTbS7gc",152.14
"97","BslcqqAOmRQ",144.22
"98","vfNe4a67pWE",119.02
"99","PXvggkfusi8",187.07
"100","LfNiC9XiKTU",NA
"101","SFejUSu3iDE",NA
"102","ym5e-QwsXA0",NA
"103","gSoRJXxKytc",NA
