"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"3fYhojiDuAE",2009-04-26,"UCUGCfw5Kjg6xrF6XFoKw-ww","choosing the correct prints for you","To view the next video in this series click: http://www.monkeysee.com/play/10672 This video will show how to choose the correct prints.","https://i.ytimg.com/vi/3fYhojiDuAE/default.jpg","120","90","https://i.ytimg.com/vi/3fYhojiDuAE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3fYhojiDuAE/hqdefault.jpg","480","360","MonkeySee","none",887,1,0,0,0,4,2009
"oJJBzCXjab0",2009-05-26,"UCHpw8xwDNhU9gdohEcJu4aA","how to dress cardigans","How to Dress, presented by Jess Cartner-Morley. Jess, the Guardian's fashion editor, guides you through the latest trends. This week: cardigans.","https://i.ytimg.com/vi/oJJBzCXjab0/default.jpg","120","90","https://i.ytimg.com/vi/oJJBzCXjab0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/oJJBzCXjab0/hqdefault.jpg","480","360","The Guardian","none",6999,10,22,0,1,5,2009
"kcqDk0F_5CQ",2009-11-17,"UCHpw8xwDNhU9gdohEcJu4aA","how to wear sweater dresses","Jess Cartner-Morley, the Guardian's fashion editor, guides you through how to wear a sweater dress.","https://i.ytimg.com/vi/kcqDk0F_5CQ/default.jpg","120","90","https://i.ytimg.com/vi/kcqDk0F_5CQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kcqDk0F_5CQ/hqdefault.jpg","480","360","The Guardian","none",14167,19,11,0,5,11,2009
"-sFieOUSV9M",2009-07-11,"UCGph0UqiMexJiS2s7sSB22g","all pokemon in 5 seconds","All of 'em.","https://i.ytimg.com/vi/-sFieOUSV9M/default.jpg","120","90","https://i.ytimg.com/vi/-sFieOUSV9M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-sFieOUSV9M/hqdefault.jpg","480","360","gingertothetenth","none",904318,3142,475,0,6631,7,2009
"eDoYelskwXU",2009-11-04,"UCHeykGsxF9pp5Wd7YpaCALg","how to wear the sheath dress trend fashion cents","This video gives you a few ways to wear the classic, simple and easy sheath dress that has been made popular again by first lady Michelle Obama. So it can be ...","https://i.ytimg.com/vi/eDoYelskwXU/default.jpg","120","90","https://i.ytimg.com/vi/eDoYelskwXU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/eDoYelskwXU/hqdefault.jpg","480","360","Fashion Cents TV","none",849,2,0,0,0,11,2009
"rP0JXLam6ak",2009-04-24,"UCJio1eWeU79A-PEnqPIidug","chop suey 2x speed","Chop Suey sped up, and it sounds like kids are singing it.","https://i.ytimg.com/vi/rP0JXLam6ak/default.jpg","120","90","https://i.ytimg.com/vi/rP0JXLam6ak/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rP0JXLam6ak/hqdefault.jpg","480","360","TaintedHeartz","none",4239,57,1,0,13,4,2009
"KeGfAcs4KnQ",2009-09-22,"UCc4ic4D69gsVKOtrwAirl8w","wardrobe essentials the brogues and the knit","Get the looks here: http://www.my-wardrobe.com/my-tv/wardrobe-staple/brogues?c_id=my-tv.","https://i.ytimg.com/vi/KeGfAcs4KnQ/default.jpg","120","90","https://i.ytimg.com/vi/KeGfAcs4KnQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KeGfAcs4KnQ/hqdefault.jpg","480","360","mywardrobetv","none",6710,8,0,0,1,9,2009
"uZymfjUtoFc",2009-11-20,"UCrB-ZjkuK-9hPYdpdeaRTjg","20 seconds for 20 days day 3","This is your daily reminder to vote Click here to do it! Do it!! http://www.sam-e.com/job/profile/213 And to see what is going on with this 20 Seconds Thing, click ...","https://i.ytimg.com/vi/uZymfjUtoFc/default.jpg","120","90","https://i.ytimg.com/vi/uZymfjUtoFc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/uZymfjUtoFc/hqdefault.jpg","480","360","Brigitte Dale","none",5489,102,6,0,29,11,2009
"IexAAMOSok0",2009-04-19,"UCa3F9Zd-oMX5-TQmcjMYLSA","learning how to blow raspberries at mommy jan 11 2009 vid00032 1","3 and a half month old Connor mimicking Mommy blowing raspberries. Now he does it CONSTANTLY.","https://i.ytimg.com/vi/IexAAMOSok0/default.jpg","120","90","https://i.ytimg.com/vi/IexAAMOSok0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IexAAMOSok0/hqdefault.jpg","480","360","mommyslittledude","none",126,2,0,0,NA,4,2009
"lxx4G2a4vW8",2009-03-30,"UCFNu3E85j9MKRUv7RjJB1XA","molle level iii assault pack in the field","A review of this excellent piece of gear in the field. This pack is ideal for short trips or when you are out hunting or shooting. You can get this pack at...","https://i.ytimg.com/vi/lxx4G2a4vW8/default.jpg","120","90","https://i.ytimg.com/vi/lxx4G2a4vW8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/lxx4G2a4vW8/hqdefault.jpg","480","360","Ammosmith Reloading","none",52612,127,8,0,98,3,2009
