"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"OMf0jUObm7s",2020-01-02,"UC20SdCjoKjR9dEfIMkix11Q","top 100 songs of the 2000s","get your favorite songs from this video on amazon: https://amzn.to/2UWRgyH game channel: ...","https://i.ytimg.com/vi/OMf0jUObm7s/default.jpg","120","90","https://i.ytimg.com/vi/OMf0jUObm7s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OMf0jUObm7s/hqdefault.jpg","480","360","younger days","none",1243530,27162,615,0,1570,1,2020
"l5n7fP_P0IY",2019-11-16,"UCLQ2NRPg-TOk-izeBmf_B7Q","top 100 most popular songs 2000 2020","Nostalgia Overload!! SUBSCRIBE <U+25BB> https://www.youtube.com/c/CoxContent *REACH OUT FOR ANY INFORMATIONS OR QUESTIONS* EMAIL ...","https://i.ytimg.com/vi/l5n7fP_P0IY/default.jpg","120","90","https://i.ytimg.com/vi/l5n7fP_P0IY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/l5n7fP_P0IY/hqdefault.jpg","480","360","Cox Content","none",297952,6535,476,0,743,11,2019
"xPwkrbGkjX8",2018-03-03,"UCEHUcHftUTnRqy2CYhi7SZA","20 years of hits in 5 minutes greatest hits mashup nikita afonso stephen scaccia randy c","FREE mp3 DOWNLOAD!! http://bit.ly/2TCnT2a STREAM OUR MUSIC! <U+27AA> http://spoti.fi/2Hmx8vQ <U+27AA> https://apple.co/2Ida6vN <U+27AA> https://kkbox.fm/VD4lki 40 songs in ...","https://i.ytimg.com/vi/xPwkrbGkjX8/default.jpg","120","90","https://i.ytimg.com/vi/xPwkrbGkjX8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xPwkrbGkjX8/hqdefault.jpg","480","360","TheSafehouseProject","none",8014491,190251,2907,0,3718,3,2018
"FTXwuGaeY3U",2020-01-10,"UCKHOcnZ2BXbot2ZAt_8TnkQ","new popular songs 2020 top 40 songs this week best hits music playlist 2020","New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music Playlist 2020 New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music ...","https://i.ytimg.com/vi/FTXwuGaeY3U/default_live.jpg","120","90","https://i.ytimg.com/vi/FTXwuGaeY3U/mqdefault_live.jpg","320","180","https://i.ytimg.com/vi/FTXwuGaeY3U/hqdefault_live.jpg","480","360","Best Cover Collection","live",2169492,9486,802,0,0,1,2020
"SuslujmZLjw",2019-04-23,"UC_A7K2dXFsTMAciGmnNxy-Q","top 100 songs released in early 2000s tu hi meri shab hai zara zara agar tum mil jao","Click On The Timing Mentioned Below To Listen To The Particular Song In The Above Jukebox 00:00:05 Tu Hi Meri Shab Hai | Gangster 00:06:32 Woh Lamhe ...","https://i.ytimg.com/vi/SuslujmZLjw/default.jpg","120","90","https://i.ytimg.com/vi/SuslujmZLjw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SuslujmZLjw/hqdefault.jpg","480","360","Saregama Music","none",2078177,25680,1562,0,440,4,2019
"Ey627GbVnNQ",2018-08-26,"UCEHUcHftUTnRqy2CYhi7SZA","quot 2000 39 s vs 2010 39 s quot hit songs mashup randy c nikita afonso stephen scaccia","Support us on Patreon! https://patreon.com/tspmusic Check us out on Spotify & Apple Music! <U+27AA> https://spoti.fi/2MOPoV5 <U+27AA> https://apple.co/2Ida6vN <U+25B7> Check out ...","https://i.ytimg.com/vi/Ey627GbVnNQ/default.jpg","120","90","https://i.ytimg.com/vi/Ey627GbVnNQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Ey627GbVnNQ/hqdefault.jpg","480","360","TheSafehouseProject","none",1946298,31739,314,0,576,8,2018
"zaOZL_pPNWk",2016-06-03,"UCtwQvkMG2Ksbe2HhB1WJlOg","guy sings every hit song from 2000 2016 over one beat","Subscribe to Cover Nation for more of the content you love and new types of content coming soon: http://smarturl.it/SubCoverNation Click That Bell to Turn On ...","https://i.ytimg.com/vi/zaOZL_pPNWk/default.jpg","120","90","https://i.ytimg.com/vi/zaOZL_pPNWk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zaOZL_pPNWk/hqdefault.jpg","480","360","Cover Nation","none",16604843,330988,19624,0,14046,6,2016
"YNWHD2_vd2w",2016-01-23,"UCwTmdH72_KpJFZZ_xLo6UZQ","best hits 2000 2015 <U+265B> video megamix <U+265B> 133 hits","Audio & Video Mix by DJ Crayfish, Czech Republic http://www.facebook.com/crayfishdj.","https://i.ytimg.com/vi/YNWHD2_vd2w/default.jpg","120","90","https://i.ytimg.com/vi/YNWHD2_vd2w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YNWHD2_vd2w/hqdefault.jpg","480","360","DJ Crayfish","none",2680329,12233,1385,0,372,1,2016
"K7yUaev2KyQ",2019-02-08,"UCtW7qWjpCZ8zps-Cf2NF26w","2000 39 s romantic hindi songs blockbuster bollywood songs collection love songs – video jukebox","Tracks 00:24 Aap Ka Aana Dil Dhadkana 04:55 Jagte Hain Hum Raat Raat Bhar 09:04 Dil Mein Hai Pyar Tera Hoton Pe Gitwa 15:03 Kiska Chehra Ab Main ...","https://i.ytimg.com/vi/K7yUaev2KyQ/default.jpg","120","90","https://i.ytimg.com/vi/K7yUaev2KyQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/K7yUaev2KyQ/hqdefault.jpg","480","360","Gaane Sune Ansune","none",1436186,6441,1371,0,113,2,2019
"Nq-ArW3aiE4",2019-01-08,"UCG_Zg8auRCa9o3HURyM5u5A","top 10 worldwide hits of each year 2010 2018","This video presents the Top 10 Worldwide Hits from the 2010s Data taken from www.mediatraffic.de Enjoy it! Thanks for watching!","https://i.ytimg.com/vi/Nq-ArW3aiE4/default.jpg","120","90","https://i.ytimg.com/vi/Nq-ArW3aiE4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Nq-ArW3aiE4/hqdefault.jpg","480","360","Hot Music Charts","none",2611398,66079,2053,0,5583,1,2019
"xPAA2JZi0zY",2020-01-25,"UC20SdCjoKjR9dEfIMkix11Q","forgotten hit songs of the past 20 years","get your favorite songs from this video on amazon: https://amzn.to/2UWRgyH game channel: ...","https://i.ytimg.com/vi/xPAA2JZi0zY/default.jpg","120","90","https://i.ytimg.com/vi/xPAA2JZi0zY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xPAA2JZi0zY/hqdefault.jpg","480","360","younger days","none",939719,33216,545,0,2440,1,2020
