"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"UJZZgsHqEYc",2020-03-05,"UCElDIDDQVSU0xrtYQGPkyAQ","top songs 2020 <U+0001F9E1> top 20 popular songs playlist 2020 <U+0001F9E1> best english music collection 202is","Top Songs 2020 <U+0001F9E1> Top 20 Popular Songs Playlist 2020 <U+0001F9E1> Best English Music Collection 2020 Thanks for watching. If you like video please ""SUBSCRIBE"" ...","https://i.ytimg.com/vi/UJZZgsHqEYc/default.jpg","120","90","https://i.ytimg.com/vi/UJZZgsHqEYc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/UJZZgsHqEYc/hqdefault.jpg","480","360","One For All.","none",15145,183,9,0,22,3,2020
"FTXwuGaeY3U",2020-01-10,"UCKHOcnZ2BXbot2ZAt_8TnkQ","new popular songs 2020 top 40 songs this week best hits music playlist 2020","New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music Playlist 2020 New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music ...","https://i.ytimg.com/vi/FTXwuGaeY3U/default_live.jpg","120","90","https://i.ytimg.com/vi/FTXwuGaeY3U/mqdefault_live.jpg","320","180","https://i.ytimg.com/vi/FTXwuGaeY3U/hqdefault_live.jpg","480","360","Best Cover Collection","live",2169898,9491,802,0,0,1,2020
"jsPxjJDRIGE",2017-09-12,"UCNEsHy_l58djAxZHch2-S5w","greatest love songs of all time love songs greatest hits playlist most beautiful love songs","Greatest Love Songs Of All Time - Love Songs Greatest Hits Playlist - Most Beautiful Love Songs Greatest Love Songs Of All Time - Love Songs Greatest Hits ...","https://i.ytimg.com/vi/jsPxjJDRIGE/default.jpg","120","90","https://i.ytimg.com/vi/jsPxjJDRIGE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jsPxjJDRIGE/hqdefault.jpg","480","360","Music Box","none",11832997,47971,5656,0,1164,9,2017
"xPwkrbGkjX8",2018-03-03,"UCEHUcHftUTnRqy2CYhi7SZA","20 years of hits in 5 minutes greatest hits mashup nikita afonso stephen scaccia randy c","FREE mp3 DOWNLOAD!! http://bit.ly/2TCnT2a STREAM OUR MUSIC! <U+27AA> http://spoti.fi/2Hmx8vQ <U+27AA> https://apple.co/2Ida6vN <U+27AA> https://kkbox.fm/VD4lki 40 songs in ...","https://i.ytimg.com/vi/xPwkrbGkjX8/default.jpg","120","90","https://i.ytimg.com/vi/xPwkrbGkjX8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xPwkrbGkjX8/hqdefault.jpg","480","360","TheSafehouseProject","none",8014575,190251,2907,0,3718,3,2018
"nvDNSDui-LA",2017-09-29,"UC2OcG7ukBiYMe1CdlfFJgNg","westlife top 20 best love songs westlife greatest hits westlife best of full playlist","Westlife Top 20 Best Love Songs New 2017 -Westlife Greatest Hits - Westlife Best Of Full Playlist Westlife Top 20 Best Love Songs New 2017 -Westlife Greatest ...","https://i.ytimg.com/vi/nvDNSDui-LA/default.jpg","120","90","https://i.ytimg.com/vi/nvDNSDui-LA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/nvDNSDui-LA/hqdefault.jpg","480","360","I Love OPM","none",8185662,30099,4203,0,1355,9,2017
"HhAzk-EnpQs",2018-12-22,"UCGUy4HMHxCj33V2R7Rqr2zQ","top 100 romantic songs ever best english love songs 80 39 s 90 39 s playlist love songs remember","Top 100 Romantic Songs Ever - Best English Love Songs 80's 90's Playlist - Love Songs Remember https://youtu.be/HhAzk-EnpQs Thanks for watching!","https://i.ytimg.com/vi/HhAzk-EnpQs/default.jpg","120","90","https://i.ytimg.com/vi/HhAzk-EnpQs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HhAzk-EnpQs/hqdefault.jpg","480","360","Collection Love Songs","none",4128232,16054,3098,0,450,12,2018
"cHP9-Xf95K0",2018-12-17,"UCGUy4HMHxCj33V2R7Rqr2zQ","best love songs 2018 2019 new songs playlist the best english love songs colection hd","Best Love Songs 2018 - 2019 New Songs Playlist The Best English Love Songs Colection HD https://youtu.be/cHP9-Xf95K0 Thanks for watching! Don't forget to ...","https://i.ytimg.com/vi/cHP9-Xf95K0/default.jpg","120","90","https://i.ytimg.com/vi/cHP9-Xf95K0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/cHP9-Xf95K0/hqdefault.jpg","480","360","Collection Love Songs","none",6905864,30614,3837,0,976,12,2018
"pioizAsehlk",2017-09-29,"UCGUy4HMHxCj33V2R7Rqr2zQ","best romantic songs love songs playlist 2017 great english love songs collection hd","Best Romantic Songs Love Songs Playlist 2017 Great English Love Songs Collection HD Thanks for watching! Don't forget to SUBCRIBE, Like & Share my ...","https://i.ytimg.com/vi/pioizAsehlk/default.jpg","120","90","https://i.ytimg.com/vi/pioizAsehlk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/pioizAsehlk/hqdefault.jpg","480","360","Collection Love Songs","none",10040543,68017,4586,0,1661,9,2017
"iA7uQCruBgU",2019-05-03,"UCCjbLNTRDUROSwH6mUZmLXA","1 hour special nightcore <U+266B> best nightcore of all time <U+2605> top 20 nightcore songs","1 HOUR SPECIAL NIGHTCORE <U+266B> BEST NIGHTCORE OF ALL TIME <U+2606> TOP 20 NIGHTCORE SONGS Thanks for watching. If you like video please ...","https://i.ytimg.com/vi/iA7uQCruBgU/default.jpg","120","90","https://i.ytimg.com/vi/iA7uQCruBgU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/iA7uQCruBgU/hqdefault.jpg","480","360","EDM 2020","none",1822397,30204,682,0,636,5,2019
"RY69lPWfyOI",2020-01-03,"UCudwNYFE5jCpfRdoz6iGwXA","love songs 2020 top 100 romantic love songs 2020 best love songs collection","Love Songs 2020 - Top 100 Romantic Love Songs 2020 - Best Love Songs Collection.","https://i.ytimg.com/vi/RY69lPWfyOI/default.jpg","120","90","https://i.ytimg.com/vi/RY69lPWfyOI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RY69lPWfyOI/hqdefault.jpg","480","360","POP MUSIC","none",30985,169,15,0,3,1,2020
