"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"ST56ATKfgfs",2015-03-19,"UCYy9EGb3fvmUSgMVfJ7KXJw","native american flute music meditation music for shamanic astral projection healing music","Native American Flute Music: Meditation Music for Shamanic Astral Projection, Healing Music Shamanism is a system for psychic, emotional, and spiritual ...","https://i.ytimg.com/vi/ST56ATKfgfs/default.jpg","120","90","https://i.ytimg.com/vi/ST56ATKfgfs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ST56ATKfgfs/hqdefault.jpg","480","360","Nu Meditation Music","none",13366141,116408,5823,0,7625,3,2015
"vC3mG-RuyHY",2018-03-19,"UCGUvkqf6b7HMKXtq6Q9_yFA","pray for sleep slaves to sadness official lyric video","""Slaves to Sadness"" available now on: iTunes: https://itunes.apple.com/us/album/pray-for-sleep-ep/1323828050 Google Play: ...","https://i.ytimg.com/vi/vC3mG-RuyHY/default.jpg","120","90","https://i.ytimg.com/vi/vC3mG-RuyHY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vC3mG-RuyHY/hqdefault.jpg","480","360","Pray for Sleep","none",4259,105,4,0,16,3,2018
"9uIk_91GQYI",2018-11-14,"UCjzHeG1KWoonmf9d5KBvSiw","beautiful relaxing music calm piano music amp guitar music with birds singing","Beautiful relaxing music by Peder B. Helland. Stream or download this music: https://soothingrelaxation.lnk.to/sunny-morningsYL Enjoy calm piano music and ...","https://i.ytimg.com/vi/9uIk_91GQYI/default.jpg","120","90","https://i.ytimg.com/vi/9uIk_91GQYI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9uIk_91GQYI/hqdefault.jpg","480","360","Soothing Relaxation","none",12660860,85001,4241,0,2487,11,2018
"GA4H3Esr3V4",2017-04-04,"UCqPYhcdFgrlUXiGmPRAej1w","peaceful sleep music deep sleeping music fall asleep fast calming music meditation music quot love quot","Wishing you better sleep, peaceful meditations before sleep and inspired living. For the best sleep ever download your FREE meditation!","https://i.ytimg.com/vi/GA4H3Esr3V4/default.jpg","120","90","https://i.ytimg.com/vi/GA4H3Esr3V4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/GA4H3Esr3V4/hqdefault.jpg","480","360","Jason Stephenson - Sleep Meditation Music","none",12274122,55551,7027,0,2756,4,2017
"gYvyCkMZ_FY",2015-07-11,"UCzH1ebQRhLJe0Yx4xayGUlA","songs to put a baby to sleep lyrics baby lullaby lullabies for bedtime fisher price 2 hours<U+2665>","Songs To Put A Baby To Sleep Lyrics -Baby Lullaby Lullabies for Bedtime Fisher Price 2 HOURS<U+2665> DOWNLOAD Songs To Put A Baby To Sleep Lyrics-Baby ...","https://i.ytimg.com/vi/gYvyCkMZ_FY/default.jpg","120","90","https://i.ytimg.com/vi/gYvyCkMZ_FY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gYvyCkMZ_FY/hqdefault.jpg","480","360","Best Baby Lullabies","none",46157262,116463,42137,0,0,7,2015
"Zx21SRioM18",2019-03-22,"UCnGCZkAKWe8Xa3Bl-A-GrNw","ambient music for sleeping","Provided to YouTube by Symphonic Distribution Ambient Music For Sleeping · Sleeping Music, Deep Sleep Music Experience, Deep Sleep Music Collective ...","https://i.ytimg.com/vi/Zx21SRioM18/default.jpg","120","90","https://i.ytimg.com/vi/Zx21SRioM18/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Zx21SRioM18/hqdefault.jpg","480","360","Sleeping Music - Topic","none",54,0,0,0,0,3,2019
"XpYbYlVswv4",2018-02-17,"UCLbDS-cxBNlDqOMpFGPRiMQ","night time recitation for restful sleep","For all my friends out there who have a difficult time falling asleep and feel uneasy before going to sleep. Insha Allah (God Willing) this will help. If volume is not ...","https://i.ytimg.com/vi/XpYbYlVswv4/default.jpg","120","90","https://i.ytimg.com/vi/XpYbYlVswv4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XpYbYlVswv4/hqdefault.jpg","480","360","YourSincereWellWisher","none",386,7,0,0,1,2,2018
"O-tszKY7OlM",2012-06-10,"UCBBOGWX22AtHin-QsasjTmQ","nightcore no time for sleeping","Originally : LaVive - No time for sleeping Download : https://dl.dropbox.com/u/86039891/Nightcore%20-%20NO%20TIME%20FOR%20SLEEPING.mp3.","https://i.ytimg.com/vi/O-tszKY7OlM/default.jpg","120","90","https://i.ytimg.com/vi/O-tszKY7OlM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/O-tszKY7OlM/hqdefault.jpg","480","360","Lukasz A","none",340,2,0,0,0,6,2012
"QijW9udEU7o",2018-01-26,"UC9qO3oy7fXi4Dhx7qyqNFkg","free tory lanez meek mill hard trap type beat quot those sleepin 39 on me quot prod hygh fiv5","Tory Lanez x Meek Mill Hard Trap Intro Type Beat - ""For Those Sleepin' On Me""(Prod. HygH Fiv5) a Sick Intro Type Beat For a Rapper Like Tory Lanez Or Meek ...","https://i.ytimg.com/vi/QijW9udEU7o/default.jpg","120","90","https://i.ytimg.com/vi/QijW9udEU7o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/QijW9udEU7o/hqdefault.jpg","480","360","Weskaapse Laaities","none",63,3,0,0,0,1,2018
"J8Ohrx37ZA0",2012-02-24,"UCnb2gzZt3eqwiRP6ZXcibNg","dream theater wait for sleep piano cover","off the 1992 album ""Images and Words"". SHEET MUSIC: ...","https://i.ytimg.com/vi/J8Ohrx37ZA0/default.jpg","120","90","https://i.ytimg.com/vi/J8Ohrx37ZA0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/J8Ohrx37ZA0/hqdefault.jpg","480","360","fabski622","none",1826,33,0,0,0,2,2012
"5-ikYJjCKvw",2016-01-31,"UC53WE1Cs-4ViukmLmcMV38w","january 2016 favorites","All the things ive been loving in Jan 2016, especially all of you! I love you guys from the bottom of my heart and Im working on posting more and improving my ...","https://i.ytimg.com/vi/5-ikYJjCKvw/default.jpg","120","90","https://i.ytimg.com/vi/5-ikYJjCKvw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5-ikYJjCKvw/hqdefault.jpg","480","360","Emet Tauber","none",75,7,0,0,3,1,2016
"mqVvxSnKBz8",2017-09-26,"UCyQDtrUl3a-QgoTbyl5CNyA","abraham hicks bedtime meditation listen to this before bed for higher frequency no ad","","https://i.ytimg.com/vi/mqVvxSnKBz8/default.jpg","120","90","https://i.ytimg.com/vi/mqVvxSnKBz8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mqVvxSnKBz8/hqdefault.jpg","480","360","Spiritual Awakening","none",1686596,14554,1773,0,472,9,2017
"asKVWzrNetM",2017-04-24,"UCX4AB6OCQDTT5743EeLkTLQ","wait for sleep nightcore","Original by Dream Theater ---LYRICS--- Standing by the window Eyes upon the moon Hoping that the memory will leave his spirit soon She shuts the doors and ...","https://i.ytimg.com/vi/asKVWzrNetM/default.jpg","120","90","https://i.ytimg.com/vi/asKVWzrNetM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/asKVWzrNetM/hqdefault.jpg","480","360","Sonadow Fazbear","none",55775,1291,13,0,86,4,2017
"HDw2VIVvV1w",2016-11-12,"UCD9PZYV5heAevh9vrsYmt1g","how to fall asleep fast 20 life hacks for sleep everyone should know","BUY MY MERCH OUT NOW! http://bit.ly/wengiemerch JOIN THE FAMILY <U+279C> http://bit.ly/make-life-beautiful <U+279C> Join the VLOG Squad: <U+279C> http://bit.ly/1TYfnop GET ...","https://i.ytimg.com/vi/HDw2VIVvV1w/default.jpg","120","90","https://i.ytimg.com/vi/HDw2VIVvV1w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HDw2VIVvV1w/hqdefault.jpg","480","360","Wengie","none",16445099,478786,12093,0,63004,11,2016
"1uD8DlxwHsE",2009-03-17,"UCoyH2yHH3YL38No5kOpCZ2g","matchbox twenty 3am studio version","I couldn't find the Studio version anywhere, so i thought I upload it (: Maybe some others would like to hear it,too. Lyrics: She say it's cold outside and she hands ...","https://i.ytimg.com/vi/1uD8DlxwHsE/default.jpg","120","90","https://i.ytimg.com/vi/1uD8DlxwHsE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/1uD8DlxwHsE/hqdefault.jpg","480","360","nagertrank","none",3677757,7325,278,0,510,3,2009
"xdN4brmXhcc",2017-06-13,"UC75EYu084suwIz23xAwMMkw","how to get rid of bed bugs ace hardware","Learn how to eliminate bed bugs from your home and stop infestation using Harris EPA registered products. Always use caution with products and read the ...","https://i.ytimg.com/vi/xdN4brmXhcc/default.jpg","120","90","https://i.ytimg.com/vi/xdN4brmXhcc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xdN4brmXhcc/hqdefault.jpg","480","360","Ace Hardware","none",1146698,4194,361,0,405,6,2017
"C3qoVN-XnIM",2017-06-06,"UCXoWOtjHwGIgNDAELSPE3Og","easy diy hinged hoophouse for raised bed","This is my take at a hinged hoophouse for my raised bed. I am really happy with the way it turned out! This is the products I used for this build: ...","https://i.ytimg.com/vi/C3qoVN-XnIM/default.jpg","120","90","https://i.ytimg.com/vi/C3qoVN-XnIM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/C3qoVN-XnIM/hqdefault.jpg","480","360","Christopher Brandsdal","none",1106893,25689,450,0,1029,6,2017
