"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"cq2Ef6rvL6g",2019-10-16,"UCUjD5RFkzbwfivClshUqqpg","ambient chillout lounge relaxing music essential relax session 1 background chill out music","AMBIENT CHILLOUT LOUNGE RELAXING MUSIC - Essential Relax Session 1 - Background Chill Out Music - Music For Relax, Study, Work Enjoy Calm music ...","https://i.ytimg.com/vi/cq2Ef6rvL6g/default.jpg","120","90","https://i.ytimg.com/vi/cq2Ef6rvL6g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/cq2Ef6rvL6g/hqdefault.jpg","480","360","Relax Chillout Music","none",4669442,26952,1453,0,649,10,2019
"DTqmzCDM59Q",2016-11-04,"UC0OqjLDBPKRPO2gIBIwWXtA","matthew 2024 20expository 20study 20 20youtube mp4","","https://i.ytimg.com/vi/DTqmzCDM59Q/default.jpg","120","90","https://i.ytimg.com/vi/DTqmzCDM59Q/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DTqmzCDM59Q/hqdefault.jpg","480","360","louise Lacourse","none",18,0,0,0,0,11,2016
"9uIk_91GQYI",2018-11-14,"UCjzHeG1KWoonmf9d5KBvSiw","beautiful relaxing music calm piano music amp guitar music with birds singing","Beautiful relaxing music by Peder B. Helland. Stream or download this music: https://soothingrelaxation.lnk.to/sunny-morningsYL Enjoy calm piano music and ...","https://i.ytimg.com/vi/9uIk_91GQYI/default.jpg","120","90","https://i.ytimg.com/vi/9uIk_91GQYI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9uIk_91GQYI/hqdefault.jpg","480","360","Soothing Relaxation","none",12660860,85003,4241,0,2488,11,2018
"H8-lWIDT19k",2012-01-25,"UCoEiMuO3sPS9TbeKvVAL8IQ","music to help study and work concentration music focus music alpha waves studying music <U+262F>r2","Music to Help Study and Work - Concentration Music, Focus Music, Alpha Waves, Studying Music - RelaxingRecords are experts in creating study music and ...","https://i.ytimg.com/vi/H8-lWIDT19k/default.jpg","120","90","https://i.ytimg.com/vi/H8-lWIDT19k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/H8-lWIDT19k/hqdefault.jpg","480","360","RelaxingRecords - Study Music for Concentration","none",7355825,20806,1309,0,3934,1,2012
"GBexfwe-9j0",2017-06-27,"UCQINXHZqCU5i06HzxRkujfg","disney piano collection relaxing piano music music for relax study work","0:00 Beauty And The Beast/<U+7F8E><U+5973><U+3068><U+91CE><U+7363> 3:31 A Whole New World/<U+30A2><U+30E9><U+30B8><U+30F3> 7:07 For The First Time In Forever/<U+751F><U+307E><U+308C><U+3066><U+306F><U+3058><U+3081><U+3066> <U+30A2><U+30CA><U+3068><U+96EA><U+306E><U+5973><U+738B> 9:55 Let It Go/<U+30A2><U+30CA><U+3068> ...","https://i.ytimg.com/vi/GBexfwe-9j0/default.jpg","120","90","https://i.ytimg.com/vi/GBexfwe-9j0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/GBexfwe-9j0/hqdefault.jpg","480","360","BGM channel","none",11286450,74401,3935,0,1292,6,2017
"unU8SdLtd3E",2014-01-09,"UCixFwZ8qA3R0QRnIzcIb-vw","harp music tibetan celestial relaxing 432 hz strings solo playlist for study concentrate and yoga","please sub http://www.youtube.com/subscription_center?add_user=relaxriverofficial Tibetan meditation music with harp is the best new age meditation music for ...","https://i.ytimg.com/vi/unU8SdLtd3E/default.jpg","120","90","https://i.ytimg.com/vi/unU8SdLtd3E/mqdefault.jpg","320","180","https://i.ytimg.com/vi/unU8SdLtd3E/hqdefault.jpg","480","360","Relax River - Relaxation Flows in You","none",8277237,34096,1752,0,1005,1,2014
"WRWVywsfcpg",2011-11-29,"UCJJmDk_lxosfvRFiwgOn6xw","learning numbers counting 1 20 for kids by elf learning numbers song elf kids videos","Count from 1 to 20 with this fun, marching style numbers learning video for kids! Perfect for preschool, kindergarten, esl and efl children. ---------------- To make ...","https://i.ytimg.com/vi/WRWVywsfcpg/default.jpg","120","90","https://i.ytimg.com/vi/WRWVywsfcpg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WRWVywsfcpg/hqdefault.jpg","480","360","ELF Kids Videos","none",4756168,2584,1327,0,9,11,2011
"c6XGRW7C4wU",2012-11-23,"UCVQFeI0_cTGpnE519lWsrHg","animals 20video 20for 20kids 20 20youtube","Video converted and uploaded via free Leawo PSP Video Converter http://www.leawo.com/video-converter/free-pspconverter.html.","https://i.ytimg.com/vi/c6XGRW7C4wU/default.jpg","120","90","https://i.ytimg.com/vi/c6XGRW7C4wU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/c6XGRW7C4wU/hqdefault.jpg","480","360","MrAhmednawawy","none",315,0,0,0,0,11,2012
"ETTcskgCv0M",2018-01-05,"UCMdV1ynMzE4y0NoeTZa7GZA","30 minute french sing along compilation for beginners basho amp friends 4k learning songs for kids","Enjoy 30 uninterrupted minutes of beginner French sing-along songs from BASHO & FRIENDS! Learn the French alphabet, greetings, common phrases, and ...","https://i.ytimg.com/vi/ETTcskgCv0M/default.jpg","120","90","https://i.ytimg.com/vi/ETTcskgCv0M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ETTcskgCv0M/hqdefault.jpg","480","360","BASHO & FRIENDS","none",48858,728,22,0,13,1,2018
"2u0FgW0P73I",2019-05-08,"UCM-kkAdedmM0UYUSj8bXIBA","offset function in excel pivot","Create a pivot table that is based on a dynamic data source -- that is a range that adjusts automatically by offset function in pivot table in data source. if data is ...","https://i.ytimg.com/vi/2u0FgW0P73I/default.jpg","120","90","https://i.ytimg.com/vi/2u0FgW0P73I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2u0FgW0P73I/hqdefault.jpg","480","360","Knowledge Game","none",11,0,0,0,0,5,2019
