"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"O3neeCUhGtk",2019-10-31,"UCepWEz3BW6EMKA4CU-yGDMw","best english songs 2020 top 20 pop songs 2020 best hits music playlist","Best English Songs 2020 - Top 20 Pop Songs 2020 - Best Hits Music Playlist Best English Songs 2020 - Top 20 Pop Songs 2020 - Best Hits Music Playlist ...","https://i.ytimg.com/vi/O3neeCUhGtk/default.jpg","120","90","https://i.ytimg.com/vi/O3neeCUhGtk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/O3neeCUhGtk/hqdefault.jpg","480","360","TOP Music","none",577354,1151,183,0,24,10,2019
"dDxf190Oimc",2019-12-07,"UCq8sNODw9D-5qN6o8ougOXA","pop hits 2020<U+0001F31F> top 20 pop songs playlist 2020<U+0001F31F> best english music 2020 songs","Pop Hits 2020   Top 20 Pop Songs Playlist 2020   Best English Music 2020   <U+2713>Invite you to watch: ...","https://i.ytimg.com/vi/dDxf190Oimc/default.jpg","120","90","https://i.ytimg.com/vi/dDxf190Oimc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dDxf190Oimc/hqdefault.jpg","480","360","Music Collection 2019","none",2091,13,0,0,0,12,2019
"sIJfYix8RUI",2019-05-03,"UCTO6ZRrh6XCUju4WfpYhs5w","pop 2019 hits rihanna maroon 5 taylor swift ed sheeran adele shawn mendes sam smith","Pop 2019 Hits | Rihanna, Maroon 5, Taylor Swift, Ed Sheeran, Adele, Shawn Mendes, Sam Smith Pop 2019 Hits | Rihanna, Maroon 5, Taylor Swift, Ed Sheeran, ...","https://i.ytimg.com/vi/sIJfYix8RUI/default.jpg","120","90","https://i.ytimg.com/vi/sIJfYix8RUI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sIJfYix8RUI/hqdefault.jpg","480","360","Love Music","none",17630648,79385,8064,0,1614,5,2019
"FTXwuGaeY3U",2020-01-10,"UCKHOcnZ2BXbot2ZAt_8TnkQ","new popular songs 2020 top 40 songs this week best hits music playlist 2020","New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music Playlist 2020 New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music ...","https://i.ytimg.com/vi/FTXwuGaeY3U/default_live.jpg","120","90","https://i.ytimg.com/vi/FTXwuGaeY3U/mqdefault_live.jpg","320","180","https://i.ytimg.com/vi/FTXwuGaeY3U/hqdefault_live.jpg","480","360","Best Cover Collection","live",2170109,9492,803,0,0,1,2020
"-ObdvMkCKws",2019-07-16,"UCoDZIZuadPBixSPFR7jAq2A","top 20 most popular songs by ncs best of ncs most viewed songs","Top 20 Most Popular Songs by NCS | Best of NCS | Most Viewed Songs Tracklist: 01. Janji - Heroes Tonight (feat. Johnning) 02. Defqwop - Heart Afire feat.","https://i.ytimg.com/vi/-ObdvMkCKws/default.jpg","120","90","https://i.ytimg.com/vi/-ObdvMkCKws/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-ObdvMkCKws/hqdefault.jpg","480","360","Magic Sound","none",8092769,99284,2942,0,4149,7,2019
"-hg7ILmqadg",2019-04-25,"UCJF5gGOftRW5YnGv5Qg0Qvg","new pop songs playlist 2019 billboard hot 100 chart top songs 2019 vevo hot this week","New Pop Songs Playlist 2019 - Billboard Hot 100 Chart - Top Songs 2019 (Vevo Hot This Week) https://youtu.be/-hg7ILmqadg ...","https://i.ytimg.com/vi/-hg7ILmqadg/default.jpg","120","90","https://i.ytimg.com/vi/-hg7ILmqadg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-hg7ILmqadg/hqdefault.jpg","480","360","Playlist US-UK Music - CEP","none",2244505,10843,1354,0,655,4,2019
"X9gFdOOWx-8",2018-06-27,"UCvYhEsecAJ-hE0mLN3DId_w","top 20 musicas internacionais 2018 melhores musicas pop internacional 2018","TOP 20 - Musicas Internacionais 2018 - Melhores Musicas Pop Internacional 2018. Não se esqueça de gostar e compartilhar a mistura se você gosta dela!","https://i.ytimg.com/vi/X9gFdOOWx-8/default.jpg","120","90","https://i.ytimg.com/vi/X9gFdOOWx-8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/X9gFdOOWx-8/hqdefault.jpg","480","360","The Lonely - Música Eletrônica","none",4928955,60484,3293,0,3345,6,2018
"gTXlTt_bqBw",2016-10-09,"UCfsZ89oTD7mxkF6aiuLXk0g","top 100 best songs of 2016","Top 100 Songs of 2016 Top 100 Best Songs of 2016 So Far.","https://i.ytimg.com/vi/gTXlTt_bqBw/default.jpg","120","90","https://i.ytimg.com/vi/gTXlTt_bqBw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gTXlTt_bqBw/hqdefault.jpg","480","360","TopMusicWorld","none",3417913,28124,2179,0,3483,10,2016
"1-6FE3yJdXw",2018-11-30,"UCgR4pXCr9fGiUvZfsnlZ2Hg","top 50 pop songs of the 1980 39 s","Top 50 Pop Songs of the 1980's YouTube Playlist: https://goo.gl/UBYVNW <U+2705> Spotify Playlist: https://goo.gl/c7ZysX.","https://i.ytimg.com/vi/1-6FE3yJdXw/default.jpg","120","90","https://i.ytimg.com/vi/1-6FE3yJdXw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/1-6FE3yJdXw/hqdefault.jpg","480","360","#RedMusic","none",848907,15409,554,0,1115,11,2018
"Yo9o-6h3Gsw",2019-12-04,"UCnKwTyCWYRWskGgaj952ggQ","pop hits 2020 <U+0001F3B2> top 20 pop songs playlist 2020 <U+0001F3B2> best english music 2028","Pop Hits 2020 Top 20 Pop Songs Playlist 2020 Best English Music 2020 pop, best pop songs, best pop song, pop music, pop playlist 2019, pop hits, english ...","https://i.ytimg.com/vi/Yo9o-6h3Gsw/default.jpg","120","90","https://i.ytimg.com/vi/Yo9o-6h3Gsw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Yo9o-6h3Gsw/hqdefault.jpg","480","360","Top Hits 2020","none",471,7,0,0,0,12,2019
"rM3kAgEeeVM",2020-03-04,"UCgR4pXCr9fGiUvZfsnlZ2Hg","top 50 pop hits of march 2020","YouTube Playlist: https://bit.ly/2LhPPae - Watch the full music videos here <U+2705> Spotify Playlist: https://spoti.fi/2NXiGmf - Stream the full tracks here Watch ...","https://i.ytimg.com/vi/rM3kAgEeeVM/default.jpg","120","90","https://i.ytimg.com/vi/rM3kAgEeeVM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rM3kAgEeeVM/hqdefault.jpg","480","360","#RedMusic","none",99232,2983,117,0,182,3,2020
"56cPIbEP1M8",2015-08-02,"UCAAvYB_eDXpbVYOLOZCdTLw","20 pop songs in 10 minutes on piano music school online","Published on Jul 25, 2015 https://MusicSchoolOnline.com https://musicschoolonline.com/instrument/ Music School Online instructor Alfie Magliano plays 20 pop ...","https://i.ytimg.com/vi/56cPIbEP1M8/default.jpg","120","90","https://i.ytimg.com/vi/56cPIbEP1M8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/56cPIbEP1M8/hqdefault.jpg","480","360","AudioSchoolOnline","none",2511,37,0,0,14,8,2015
"TjzEg__hYzs",2020-01-20,"UCgR4pXCr9fGiUvZfsnlZ2Hg","top 50 hit songs of january 2020","Hey guys! <U+0001F918> You can listen to the Full Songs here: YouTube Playlist: https://bit.ly/2JUIHNO <U+2705> Spotify Playlist: https://goo.gl/zLNTgA Contact us here: ...","https://i.ytimg.com/vi/TjzEg__hYzs/default.jpg","120","90","https://i.ytimg.com/vi/TjzEg__hYzs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/TjzEg__hYzs/hqdefault.jpg","480","360","#RedMusic","none",990616,17279,604,0,692,1,2020
