"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"58V52ePkD-Q",2011-12-16,"UCoookXUzPciGrEZEXmh4Jjg","sesame street the number 20 song","If you're watching videos with your preschooler and would like to do so in a safe, child-friendly environment, please join us at http://www.sesamestreet.org Count ...","https://i.ytimg.com/vi/58V52ePkD-Q/default.jpg","120","90","https://i.ytimg.com/vi/58V52ePkD-Q/mqdefault.jpg","320","180","https://i.ytimg.com/vi/58V52ePkD-Q/hqdefault.jpg","480","360","Sesame Street","none",5013458,2561,1245,0,0,12,2011
"9T51n3tvZ3M",2019-04-10,"UC7v_YlS5RVfKPe8sWfN406A","tierra whack – unemployed official music video","""Unemployed"" out now: http://smartURL.it/UnemployedWhack Director: Cat Solen Production: Artery Industries Follow Tierra Whack: ...","https://i.ytimg.com/vi/9T51n3tvZ3M/default.jpg","120","90","https://i.ytimg.com/vi/9T51n3tvZ3M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9T51n3tvZ3M/hqdefault.jpg","480","360","Tierra Whack","none",3545046,155490,3130,0,8207,4,2019
"_MVzXKfr6e8",2017-11-22,"UCVcQH8A634mauPrGbWs7QlQ","count to 20 and workout fun counting song for kids count by 1 39 s to 20 jack hartmann","Jack Hartmann's Count to 20 and Workout will have you counting to 20 as you engage your body and brain and workout as you count. Do a new set of exercises ...","https://i.ytimg.com/vi/_MVzXKfr6e8/default.jpg","120","90","https://i.ytimg.com/vi/_MVzXKfr6e8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_MVzXKfr6e8/hqdefault.jpg","480","360","Jack Hartmann Kids Music Channel","none",2151508,2673,391,0,52,11,2017
"WziA88-n02k",2009-10-27,"UC3Xu7mc5Zzep3lV17hqbs5A","matchbox twenty unwell official video","The official video of ""Unwell"" by Matchbox Twenty from the album 'Exile on Mainstream'. ON SALE NOW! Matchbox Twenty 2020 w/ special guest The ...","https://i.ytimg.com/vi/WziA88-n02k/default.jpg","120","90","https://i.ytimg.com/vi/WziA88-n02k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WziA88-n02k/hqdefault.jpg","480","360","Matchbox Twenty","none",49271491,244994,8089,0,11238,10,2009
"zEDJcXsynLI",2018-12-12,"UC8zHV1Kjz1MsfwBIGdNO5bQ","midi 20","Provided to YouTube by Universal Music Group Midi 20 · Grand Corps Malade Midi 20 <U+2117> 2006 Anouche Productions Released on: 2006-03-27 Producer: S Petit ...","https://i.ytimg.com/vi/zEDJcXsynLI/default.jpg","120","90","https://i.ytimg.com/vi/zEDJcXsynLI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zEDJcXsynLI/hqdefault.jpg","480","360","Grand Corps Malade - Topic","none",62927,844,43,0,34,12,2018
"O11UikJigxo",2016-08-22,"UCGisHCs_0OoG71Epo9ieSYA","rob thomas pieces official video","Here's the official video of ""Pieces"" from my album 'The Great Unknown'. My single ""Pieces"" available now: iTunes - http://smarturl.it/RobThomasPieces Google ...","https://i.ytimg.com/vi/O11UikJigxo/default.jpg","120","90","https://i.ytimg.com/vi/O11UikJigxo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/O11UikJigxo/hqdefault.jpg","480","360","Rob Thomas","none",10049152,105139,2360,0,2787,8,2016
"-_NACf1BtE8",2016-04-04,"UChf0ErPjca3wGIuaBlOrMhg","number bonds to 20 song learn number bonds w sneaky minecraft sheep","Learn number bonds to 20 with this fun song. Chant along as the sneaky Minecraft sheep says each number bond to twenty. Teaching children number bonds to ...","https://i.ytimg.com/vi/-_NACf1BtE8/default.jpg","120","90","https://i.ytimg.com/vi/-_NACf1BtE8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-_NACf1BtE8/hqdefault.jpg","480","360","Mister Teach","none",88578,157,21,0,0,4,2016
"dxGD45SK08o",2009-10-07,"UCG7AaCh_CiG6pq_rRDNw72A","karma to burn 20 official","http://shop.napalmrecords.com/live-2009-reunion-tour-digipack.html The stoner rock legend Karma to Burn celebrates its rebirth with an audiovisual blow by ...","https://i.ytimg.com/vi/dxGD45SK08o/default.jpg","120","90","https://i.ytimg.com/vi/dxGD45SK08o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dxGD45SK08o/hqdefault.jpg","480","360","Napalm Records","none",632554,3209,73,0,222,10,2009
"DORt4VAHCgE",2015-05-25,"UCEASvrDWITwm6jhp0r6uExw","onze 20 querendo te encontrar clipe oficial","Disponível no iTunes: https://itunes.apple.com/br/album/vida-loka/id927656083 Gravadora: ArtMix/Maynard Music Marketing: Cenarte Music Direção Artística: ...","https://i.ytimg.com/vi/DORt4VAHCgE/default.jpg","120","90","https://i.ytimg.com/vi/DORt4VAHCgE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DORt4VAHCgE/hqdefault.jpg","480","360","Onze:20","none",41559708,397814,6511,0,8478,5,2015
"MLURoADdwUM",2020-01-06,"UCoyaxd5LQSuP4ChkxK0pnZQ","fifa 20 team of the year reveal trailer","The world has spoken. The best of the best have been chosen. See the 11 players who made the FIFA 20 Team of the Year at http://ea.com/toty From the streets ...","https://i.ytimg.com/vi/MLURoADdwUM/default.jpg","120","90","https://i.ytimg.com/vi/MLURoADdwUM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MLURoADdwUM/hqdefault.jpg","480","360","EA SPORTS FIFA","none",1056720,50225,2587,0,3722,1,2020
"3niRS3_9hz0",2015-08-18,"UCq-Fj5jknLsUf-MWSy4_brA","20 20 video song john abraham welcome back shadab t series","Presenting '20-20' VIDEO Song in the voice of Anu malik, Shadab & Mamta Sharma from bollywood movie Welcome Back exclusively on T-Series. Click to share ...","https://i.ytimg.com/vi/3niRS3_9hz0/default.jpg","120","90","https://i.ytimg.com/vi/3niRS3_9hz0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3niRS3_9hz0/hqdefault.jpg","480","360","T-Series","none",2157581,4306,1211,0,309,8,2015
"wVKMSEKyII4",2015-10-15,"UC6YY5-32nbSuaDIp0jluxTA","never end tail konomi suzuki feat tatsuyuki kob","Fairy tail opening 20.","https://i.ytimg.com/vi/wVKMSEKyII4/default.jpg","120","90","https://i.ytimg.com/vi/wVKMSEKyII4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/wVKMSEKyII4/hqdefault.jpg","480","360","Ayase Aika","none",212937,3560,22,0,143,10,2015
"O01ukYaL9K8",2018-06-22,"UCWYVOsf-KqyODMyWQOCnRxw","crown the empire 20 20 live","Vans Warped Tour 2018 Pomona, CA.","https://i.ytimg.com/vi/O01ukYaL9K8/default.jpg","120","90","https://i.ytimg.com/vi/O01ukYaL9K8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/O01ukYaL9K8/hqdefault.jpg","480","360","Leonidas Sanchez","none",14635,283,5,0,48,6,2018
"hTboVxIbXns",2016-05-04,"UCImSxYV3FEQ-skkY67kFcxw","hey 20 you 39 ve got a lot of friends the friends of 20","Hey 20, you've got a lot of friends (The Friends of 20) is a fun sing along song for children about The Friends of 20. The song contains all the addition ...","https://i.ytimg.com/vi/hTboVxIbXns/default.jpg","120","90","https://i.ytimg.com/vi/hTboVxIbXns/mqdefault.jpg","320","180","https://i.ytimg.com/vi/hTboVxIbXns/hqdefault.jpg","480","360","Rocking Dan Teaching Man","none",20149,29,8,0,0,5,2016
"AAKtxkVPB-o",2019-03-13,"UCnU0keu6m0jn3CEgBBk08QQ","raw one piece op20 live","","https://i.ytimg.com/vi/AAKtxkVPB-o/default.jpg","120","90","https://i.ytimg.com/vi/AAKtxkVPB-o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AAKtxkVPB-o/hqdefault.jpg","480","360","Letstalk Anime","none",143744,2328,33,0,147,3,2019
