"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"PVxES5NhSoY",2020-03-18,"UCg7D7ydCY6jqJetETlnSRfQ","teknomiles 20 20duro 20 official 20music 20video","Upload your mp3 to Youtube at https://audioship.io.","https://i.ytimg.com/vi/PVxES5NhSoY/default.jpg","120","90","https://i.ytimg.com/vi/PVxES5NhSoY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PVxES5NhSoY/hqdefault.jpg","480","360","KELLY OFFICAL","none",0,0,0,0,0,3,2020
"ABd3_iUCE48",2014-08-31,"UCroWR3ajbQe3T9x18EqJ_7w","bhudar o 39 nchekeofficial 20music 20video 2","This music video is of one of Roc-A-Taylor Gang artists Bhudar and was directed and produced by Roc-A-Taylor Films.visit our facebook fan page here ...","https://i.ytimg.com/vi/ABd3_iUCE48/default.jpg","120","90","https://i.ytimg.com/vi/ABd3_iUCE48/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ABd3_iUCE48/hqdefault.jpg","480","360","Taylor Mafia Entertainment","none",162,3,0,0,0,8,2014
"bi2BElD1_c4",2014-11-09,"UCX8UDZV2lGudbewHTCkJClQ","official 20backout 20music 20video","","https://i.ytimg.com/vi/bi2BElD1_c4/default.jpg","120","90","https://i.ytimg.com/vi/bi2BElD1_c4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/bi2BElD1_c4/hqdefault.jpg","480","360","Deezal Kay Films","none",37,0,0,0,0,11,2014
"yOyBmzc6Wqs",2020-02-04,"UChwzHCrvf74cjQzmubiV8nw","lil tjay 20 20 official video","Official video for ""20/20"" by Lil Tjay. Listen & Download “20/20"" out now: https://LilTjay.lnk.to/2020 Amazon - https://LilTjay.lnk.to/2020/amazon Apple Music ...","https://i.ytimg.com/vi/yOyBmzc6Wqs/default.jpg","120","90","https://i.ytimg.com/vi/yOyBmzc6Wqs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/yOyBmzc6Wqs/hqdefault.jpg","480","360","liltjayVEVO","none",5946733,177715,2530,0,8164,2,2020
"3NVsuBJboB8",2017-03-18,"UCTuGnrEOTYkAHIOrBM6ecTQ","wonder 20boys 20 20suatu 20hari 20 official 20music 20video mp4","","https://i.ytimg.com/vi/3NVsuBJboB8/default.jpg","120","90","https://i.ytimg.com/vi/3NVsuBJboB8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3NVsuBJboB8/hqdefault.jpg","480","360","junet saputra","none",10,1,0,0,0,3,2017
"31T3fNhja00",2017-05-04,"UCAWwR387krMEqonrbv5VALw","mattyb 20 20you 20make 20my 20heart 20skip 20 official 20music 20video mp4","My fellow youths it is our time to expand our music career.","https://i.ytimg.com/vi/31T3fNhja00/default.jpg","120","90","https://i.ytimg.com/vi/31T3fNhja00/mqdefault.jpg","320","180","https://i.ytimg.com/vi/31T3fNhja00/hqdefault.jpg","480","360","manuline classic","none",115,1,0,0,0,5,2017
"KiLCgdrfZMY",2011-01-22,"UC3G1WFwwms__krutUbh-rzg","i 20 critics official video trillestvideoupper","http://make5figures.com I-20 - Critics (Official Music Video) trillestvideoupper World Premiere.","https://i.ytimg.com/vi/KiLCgdrfZMY/default.jpg","120","90","https://i.ytimg.com/vi/KiLCgdrfZMY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KiLCgdrfZMY/hqdefault.jpg","480","360","Vince Piscitelli","none",1014,11,0,0,1,1,2011
"mintuQ6Cpvg",2016-07-17,"UCfKxjq9qEK1PXGJFjCMxNEQ","jux 20 20wivu 20 official 20music 20video mp4","","https://i.ytimg.com/vi/mintuQ6Cpvg/default.jpg","120","90","https://i.ytimg.com/vi/mintuQ6Cpvg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mintuQ6Cpvg/hqdefault.jpg","480","360","Makwesheni TV","none",65,0,0,0,0,7,2016
"zjMtaw2mrrc",2020-01-04,"UCq-Fj5jknLsUf-MWSy4_brA","illegal weapon 2 0 street dancer 3d varun d shraddha k tanishk b jasmine sandlas garry sandhu","Presenting the video song ""Illegal Weapon 2.0 "" from the upcoming bollywood movie StreetDancer3D, The movie features Varun Dhawan, Shraddha Kapoor, ...","https://i.ytimg.com/vi/zjMtaw2mrrc/default.jpg","120","90","https://i.ytimg.com/vi/zjMtaw2mrrc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zjMtaw2mrrc/hqdefault.jpg","480","360","T-Series","none",216130455,1884517,170102,0,20408,1,2020
"WziA88-n02k",2009-10-27,"UC3Xu7mc5Zzep3lV17hqbs5A","matchbox twenty unwell official video","The official video of ""Unwell"" by Matchbox Twenty from the album 'Exile on Mainstream'. ON SALE NOW! Matchbox Twenty 2020 w/ special guest The ...","https://i.ytimg.com/vi/WziA88-n02k/default.jpg","120","90","https://i.ytimg.com/vi/WziA88-n02k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WziA88-n02k/hqdefault.jpg","480","360","Matchbox Twenty","none",49414060,245907,8110,0,11269,10,2009
