"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"OIxqbUrZZIs",2017-04-04,"UCSScY3QALRU6HKzUt25T3fw","deep house vibes summer mix 17 2017 dj nikos danelakis","This is my choice of # Club house # Deep House & a bit of Nu Disco # Future House # Tropical House soulfull & Tech House hits 2017,,,,Enjoy it..... A big thanks..","https://i.ytimg.com/vi/OIxqbUrZZIs/default.jpg","120","90","https://i.ytimg.com/vi/OIxqbUrZZIs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OIxqbUrZZIs/hqdefault.jpg","480","360","Dj Nikos Danelakis","none",13273,164,11,0,8,4,2017
"JX4T3xweYwc",2017-09-13,"UClxo4Ijng6U74qTmlqWDz4g","summer sounds top 20 mix september 2017","FREE DOWNLOAD: https://theartistunion.com/tracks/d104e1 Listen on SoundCloud: https://soundcloud.com/summersoundsmusic/summer-feels-radio-22 ...","https://i.ytimg.com/vi/JX4T3xweYwc/default.jpg","120","90","https://i.ytimg.com/vi/JX4T3xweYwc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JX4T3xweYwc/hqdefault.jpg","480","360","SUMMER SOUNDS","none",2410,36,0,0,12,9,2017
"Z8lAwzwcna4",2017-05-19,"UCCXpJXESxS2GPzteN-s3jrA","reggaeton mix summer 2017 <U+0001F31E> the best summer mix <U+0001F50A> latin music mix <U+25BA> nicky jam pitbull wisI regark uhd hd","REGGAETON MIX SUMMER 2017 1:06' Hour SUMMER MIX BEST LATIN MUSIC MIX <U+25BB> ESTRENOS VERANO 2017 <U+25BB> REGGAETON, DEMBOW, ...","https://i.ytimg.com/vi/Z8lAwzwcna4/default.jpg","120","90","https://i.ytimg.com/vi/Z8lAwzwcna4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Z8lAwzwcna4/hqdefault.jpg","480","360","Planet Records Official","none",428399,2316,468,0,22,5,2017
"4YnU2B9knjY",2018-08-01,"UClxo4Ijng6U74qTmlqWDz4g","summer sounds top 20 mix august 2018","FREE DOWNLOAD: https://theartistunion.com/tracks/2424a0 Listen on SoundCloud: https://soundcloud.com/summersoundsmusic/summer-feels-radio-35 ...","https://i.ytimg.com/vi/4YnU2B9knjY/default.jpg","120","90","https://i.ytimg.com/vi/4YnU2B9knjY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4YnU2B9knjY/hqdefault.jpg","480","360","SUMMER SOUNDS","none",576,28,1,0,6,8,2018
"abBlJRuRwJ8",2017-04-21,"UCSScY3QALRU6HKzUt25T3fw","deep house 20 mix 2017 dj nikos danelakis","This is my choice of # Club house # Deep House & a bit of Nu Disco # Future House # Tropical House soulfull & Tech House hits 2017 ,,,,Enjoy it..... A big ...","https://i.ytimg.com/vi/abBlJRuRwJ8/default.jpg","120","90","https://i.ytimg.com/vi/abBlJRuRwJ8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/abBlJRuRwJ8/hqdefault.jpg","480","360","Dj Nikos Danelakis","none",51398,432,27,0,18,4,2017
"aJ7O8bIrgXk",2017-04-26,"UClxo4Ijng6U74qTmlqWDz4g","summer sounds top 18 exclusive mix april 2017","FREE DOWNLOAD: https://theartistunion.com/tracks/5d9c48 Listen on SoundCloud: https://soundcloud.com/summersoundsmusic/summer-feels-radio-15 ...","https://i.ytimg.com/vi/aJ7O8bIrgXk/default.jpg","120","90","https://i.ytimg.com/vi/aJ7O8bIrgXk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/aJ7O8bIrgXk/hqdefault.jpg","480","360","SUMMER SOUNDS","none",6345,75,2,0,28,4,2017
"79WU9F-92To",2018-08-07,"UCPWBlX15fNBUw0cLqKM-V7g","best remixes of popular songs 2018 new charts music mix dance house edm summer","Best Remixes Of Popular Songs 2018 | New Charts Music Mix | Dance, House, EDM, Summer [Re-Upload] - Copyright Issues... <U+25BB> Support » Donate For Free: ...","https://i.ytimg.com/vi/79WU9F-92To/default.jpg","120","90","https://i.ytimg.com/vi/79WU9F-92To/mqdefault.jpg","320","180","https://i.ytimg.com/vi/79WU9F-92To/hqdefault.jpg","480","360","DJEkkiMusic","none",599110,4967,306,0,143,8,2018
"ue4YiE6Uw-0",2017-08-03,"UCEki-2mWv2_QFbfSGemiNmw","deep house vibes summer 2017 chill out mix","Relax, enjoy and share this Mix! <U+2705> Subscribe ChillHouseMix <U+25BB> http://bit.ly/1MNRgZn <U+2606> Other free Deep House Mixes: goo.gl/ZJFBAw <U+2606> Listen to more music ...","https://i.ytimg.com/vi/ue4YiE6Uw-0/default.jpg","120","90","https://i.ytimg.com/vi/ue4YiE6Uw-0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ue4YiE6Uw-0/hqdefault.jpg","480","360","Chill House Mix","none",7521,188,13,0,28,8,2017
"VKbZhGMJRy0",2017-12-22,"UClxo4Ijng6U74qTmlqWDz4g","summer sounds top 16 exclusive mix december 2017 x 2","FREE DOWNLOAD: https://theartistunion.com/tracks/42e01d Listen on SoundCloud: https://soundcloud.com/summersoundsmusic/summer-feels-radio-27 ...","https://i.ytimg.com/vi/VKbZhGMJRy0/default.jpg","120","90","https://i.ytimg.com/vi/VKbZhGMJRy0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VKbZhGMJRy0/hqdefault.jpg","480","360","SUMMER SOUNDS","none",1088,23,1,0,4,12,2017
"JxVE-L_u3vc",2017-07-28,"UClxo4Ijng6U74qTmlqWDz4g","kevin lidder top 16 summer mix august 2017 part ii","FREE DOWNLOAD: https://theartistunion.com/tracks/ed0161 Listen on SoundCloud: https://soundcloud.com/summersoundsmusic/summer-feels-radio-20 ...","https://i.ytimg.com/vi/JxVE-L_u3vc/default.jpg","120","90","https://i.ytimg.com/vi/JxVE-L_u3vc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JxVE-L_u3vc/hqdefault.jpg","480","360","SUMMER SOUNDS","none",920,22,6,0,6,7,2017
