"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"-ObdvMkCKws",2019-07-16,"UCoDZIZuadPBixSPFR7jAq2A","top 20 most popular songs by ncs best of ncs most viewed songs","Top 20 Most Popular Songs by NCS | Best of NCS | Most Viewed Songs Tracklist: 01. Janji - Heroes Tonight (feat. Johnning) 02. Defqwop - Heart Afire feat.","https://i.ytimg.com/vi/-ObdvMkCKws/default.jpg","120","90","https://i.ytimg.com/vi/-ObdvMkCKws/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-ObdvMkCKws/hqdefault.jpg","480","360","Magic Sound","none",8092769,99283,2942,0,4149,7,2019
"DyGBiYZtb9g",2018-06-28,"UCjGoZ7Wxg_Ma0odXYzm0h7Q","20 top christian workout songs <U+25BA>deluxe edition 2018<U+25C4>","TRACKSLIST | <U+2B07><U+FE0F> 01 What a Beautiful Name 02 I Won't Let You Go 03 Hills and Valleys 04 Trust in You 05 God Help Me 06 Wonder 07 How Can It Be 08 ...","https://i.ytimg.com/vi/DyGBiYZtb9g/default.jpg","120","90","https://i.ytimg.com/vi/DyGBiYZtb9g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DyGBiYZtb9g/hqdefault.jpg","480","360","Worship God","none",408539,3973,390,0,89,6,2018
"exsDJ7ysRx4",2020-01-01,"UCuFwzKrS0wE43CSkyaHBGiQ","best of 2019 punjabi songs latest punjabi songs 2020 dj party songs audio jukebox saga music","Set the dance floor on fire with Best of 2019 Punjabi Songs DJ non stop Punjabi Songs 2019 by Jordan Sandhu, Sidhu Moose Wala, Bohemia, Badshah, ...","https://i.ytimg.com/vi/exsDJ7ysRx4/default.jpg","120","90","https://i.ytimg.com/vi/exsDJ7ysRx4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/exsDJ7ysRx4/hqdefault.jpg","480","360","SagaHits","none",1041012,8588,921,0,207,1,2020
"FTXwuGaeY3U",2020-01-10,"UCKHOcnZ2BXbot2ZAt_8TnkQ","new popular songs 2020 top 40 songs this week best hits music playlist 2020","New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music Playlist 2020 New Popular Songs 2020 - Top 40 Songs This Week - Best Hits Music ...","https://i.ytimg.com/vi/FTXwuGaeY3U/default.jpg","120","90","https://i.ytimg.com/vi/FTXwuGaeY3U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/FTXwuGaeY3U/hqdefault.jpg","480","360","Best Cover Collection","none",2170109,9492,803,0,0,1,2020
"W-Sj0myYEJs",2016-12-26,"UCzMxEa-lDX2AfgotszScOFg","2 hours of party pop music epidemic sound music library","Be a part of our pop community - sign up to our newsletter: http://link.epidemicsound.com/PopNews Listen to our Pop Playlist: ...","https://i.ytimg.com/vi/W-Sj0myYEJs/default.jpg","120","90","https://i.ytimg.com/vi/W-Sj0myYEJs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/W-Sj0myYEJs/hqdefault.jpg","480","360","Epidemic Pop","none",528642,4417,187,0,199,12,2016
"5j_3RN1QeoY",2017-08-17,"UC6mmtc9CwL6_-2Xq1cAg1Tg","upbeat pop music playlist 2017 uplifting pop songs mix for studying and concentration","1 Hour of the best upbeat pop music to dance to at a party, studying and concentration, relaxing... Perfect clean pop songs vocal mix in English 2017. Thank you ...","https://i.ytimg.com/vi/5j_3RN1QeoY/default.jpg","120","90","https://i.ytimg.com/vi/5j_3RN1QeoY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5j_3RN1QeoY/hqdefault.jpg","480","360","Gravity Music","none",72407,186,28,0,15,8,2017
"PpKrSlY7zck",2018-12-07,"UC1IodN5UrqtdddZ55WLQ4cg","party dance music mix 2019 new mashup 2019 club mega party best remixes 2019 dance dj silviu m","SHARE MIX <U+27A1><U+FE0F> https://bit.ly/2G68t38 Download free <U+27A1><U+FE0F> https://bit.ly/2SAJ9DQ Guys, Hit the to join the notification ! Thank you LIKE and SHARE Mix, ...","https://i.ytimg.com/vi/PpKrSlY7zck/default.jpg","120","90","https://i.ytimg.com/vi/PpKrSlY7zck/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PpKrSlY7zck/hqdefault.jpg","480","360","Dj Silviu M Official","none",403968,2784,189,0,74,12,2018
"vqGV6AcfU6M",2019-01-15,"UCYo5An-3L_eOd1l5WQdU3oQ","20 minute timer with happy upbeat music for kids countdown timer chill relaxing instrumental","20 Minute Timer with Music for Kids! Happy, Fun, Chill, Relax, Positive Upbeat Instrumental! Want a really fun upbeat positive timer for kids? Timer For Kids with ...","https://i.ytimg.com/vi/vqGV6AcfU6M/default.jpg","120","90","https://i.ytimg.com/vi/vqGV6AcfU6M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vqGV6AcfU6M/hqdefault.jpg","480","360","Mr. Timer","none",144278,458,47,0,55,1,2019
"e8RSFaRjOA4",2018-04-03,"UC6mmtc9CwL6_-2Xq1cAg1Tg","upbeat pop music for studying playlist chill pop study music clean 2018 mix","1 Hour of the best pop music for studying and concentration, doing homework, reading, focus... Upbeat clean pop songs (English vocal 2018 mix). Chill pop ...","https://i.ytimg.com/vi/e8RSFaRjOA4/default.jpg","120","90","https://i.ytimg.com/vi/e8RSFaRjOA4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/e8RSFaRjOA4/hqdefault.jpg","480","360","Gravity Music","none",181072,786,54,0,81,4,2018
"3PtWC8EChtU",2018-09-17,"UCYo5An-3L_eOd1l5WQdU3oQ","20 minute timer with pop music for kids fun timer for classrooms school home studying","20 Minute Timer with Pop Music for Kids! Fun Timer for Classrooms, School, Home, Events, Studying! 20 Minute Timer with Pop Relaxing Music for Kids!","https://i.ytimg.com/vi/3PtWC8EChtU/default.jpg","120","90","https://i.ytimg.com/vi/3PtWC8EChtU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3PtWC8EChtU/hqdefault.jpg","480","360","Mr. Timer","none",65333,267,34,0,58,9,2018
