"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"gCYcHz2k5x0",2013-06-17,"UCpDJl2EmP7Oh90Vylx0dZtA","martin garrix animals official video","Martin Garrix and Spinnin' Records proudly present the official video for Animals. Subscribe to Spinnin TV NOW : http://bit.ly/SPINNINTV Like this track? Add it to ...","https://i.ytimg.com/vi/gCYcHz2k5x0/default.jpg","120","90","https://i.ytimg.com/vi/gCYcHz2k5x0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gCYcHz2k5x0/hqdefault.jpg","480","360","Spinnin' Records","none",1374702222,8250263,297049,0,293066,6,2013
"CEHKRXgHseU",2020-03-22,"UC09IvZwjpunzrdHH1EHok-w","<U+0001F923> funniest <U+0001F436> dogs and <U+0001F63B>cats try not to laugh funny pet animals 39 lifeog rescue show","Enjoy new funniest and very cute compilation of the week about try not laugh funny animals' life video. But some cats in this video will actually surprise you!","https://i.ytimg.com/vi/CEHKRXgHseU/default.jpg","120","90","https://i.ytimg.com/vi/CEHKRXgHseU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CEHKRXgHseU/hqdefault.jpg","480","360","Funny Animals' Life","none",188533,2976,132,0,159,3,2020
"Ge0xHkgL1zs",2020-03-21,"UCwmZiChSryoWQCZMIQezgTg","top 5 best animal mothers bbc earth","From our top 5 mothers to yours; here are some of the finest displays of motherhood in the animal kingdom. Subscribe: http://bit.ly/BBCEarthSub ...","https://i.ytimg.com/vi/Ge0xHkgL1zs/default.jpg","120","90","https://i.ytimg.com/vi/Ge0xHkgL1zs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Ge0xHkgL1zs/hqdefault.jpg","480","360","BBC Earth","none",204964,3024,187,0,251,3,2020
"qpgTC9MDx1o",2014-09-29,"UCN1hnUccO4FD5WfM7ithXaw","maroon 5 animals official music video","Maroon 5 - Animals Director: Samuel Bayer Buy Now! http://smarturl.it/M5V Sign up for updates: http://smarturl.it/Maroon5.News.","https://i.ytimg.com/vi/qpgTC9MDx1o/default.jpg","120","90","https://i.ytimg.com/vi/qpgTC9MDx1o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qpgTC9MDx1o/hqdefault.jpg","480","360","Maroon5VEVO","none",645367984,3705064,185731,0,145292,9,2014
"uIKJgxbhAzM",2020-03-17,"UCwmZiChSryoWQCZMIQezgTg","5 amazing animal behaviours caught on spy camera bbc earth","What DO animals get up to when they think we're not looking? We use spy animals to find out. Subscribe: http://bit.ly/BBCEarthSub #SpyInTheWild #SpyCamera ...","https://i.ytimg.com/vi/uIKJgxbhAzM/default.jpg","120","90","https://i.ytimg.com/vi/uIKJgxbhAzM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/uIKJgxbhAzM/hqdefault.jpg","480","360","BBC Earth","none",412496,6575,308,0,511,3,2020
"H7uia7mUOT0",2020-03-23,"UCrBYTP-sa4dtOjMWEBfR_Ng","try not to laugh watching funny animals compilation funniest animals vines 2020","This is a Try Not To Laugh Challenge Impossible Vine Compilation With The Funniest Animal Vines of AFV on All Of Vines. Hope you enjoy watching New funny ...","https://i.ytimg.com/vi/H7uia7mUOT0/default.jpg","120","90","https://i.ytimg.com/vi/H7uia7mUOT0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/H7uia7mUOT0/hqdefault.jpg","480","360","All Of Vines","none",20209,208,7,0,25,3,2020
"Ss5S3yiGxg8",2020-02-15,"UCwmZiChSryoWQCZMIQezgTg","the greatest fights in the animal kingdom top 5 bbc earth","Watch as monkeys, guanacos and kangaroos all go head-to-head in our greatest animal fights! For family or territory, these determined animals won't go down ...","https://i.ytimg.com/vi/Ss5S3yiGxg8/default.jpg","120","90","https://i.ytimg.com/vi/Ss5S3yiGxg8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Ss5S3yiGxg8/hqdefault.jpg","480","360","BBC Earth","none",2773650,19010,2369,0,1898,2,2020
"uDHIKmFfp4g",2018-09-25,"UC2CCXzC56k0b8L49R_iW-Yw","tunna 4 vegas ft dababy animal official video","IG: @stunna4vegas @DaBaby Shot by: @medleyfilms_ STUNNA SEASON @ OUT NOW!","https://i.ytimg.com/vi/uDHIKmFfp4g/default.jpg","120","90","https://i.ytimg.com/vi/uDHIKmFfp4g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/uDHIKmFfp4g/hqdefault.jpg","480","360","DaBaby","none",41790057,299340,12631,0,6050,9,2018
"dZ6F1KTnAVg",2019-06-22,"UCwmZiChSryoWQCZMIQezgTg","best wild animal chases top 5 bbc earth","Leopards and ostriches, hawks and iguanas, wolves and buffaloes... Which predator vs prey fight is the best one? Find out in this Top 5. Subscribe: ...","https://i.ytimg.com/vi/dZ6F1KTnAVg/default.jpg","120","90","https://i.ytimg.com/vi/dZ6F1KTnAVg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dZ6F1KTnAVg/hqdefault.jpg","480","360","BBC Earth","none",7652210,44887,3786,0,1649,6,2019
"KDVtxitDfnI",2018-05-04,"UCrKIAVMSxnxRtasrtUdHfAg","14 craziest animal fights caught on camera","Top 10 Crazy Epic Wild Animal Fights Caught on Film SUBSCRIBE FOR MORE <U+25BB> https://goo.gl/JcGwWb Featuring: Lion vs Crocodile Snake vs Bunny Rabbit ...","https://i.ytimg.com/vi/KDVtxitDfnI/default.jpg","120","90","https://i.ytimg.com/vi/KDVtxitDfnI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KDVtxitDfnI/hqdefault.jpg","480","360","Jake's Top 10","none",12535349,90674,24072,0,10382,5,2018
