"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"CH0gsFpIwi4",2017-02-12,"UCHoo5_Bk4j63tdI2b6L5AYA","20 puppies who are way too cute for this world","Here are 20 puppies pictures featuring some of the cutest puppies in the world! This video features some very cute puppy breeds. I hope you enjoy it! Fluffing a ...","https://i.ytimg.com/vi/CH0gsFpIwi4/default.jpg","120","90","https://i.ytimg.com/vi/CH0gsFpIwi4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CH0gsFpIwi4/hqdefault.jpg","480","360","The Top 5er","none",16668,325,12,0,NA,2,2017
"f3sGEKV7xTY",2019-05-16,"UCaTvrHqmyJV52NqA8datjBQ","cutest dogs and puppies in the world cutest dogs of the world 20 puppies tv","Watch more cute & funny dogs! https://youtube.com/playlist?list=PLdXcZ0YplYyrIrlhhP3-cvxZWhXQNnlJo Welcome to Puppies TV! Everyday we publish content ...","https://i.ytimg.com/vi/f3sGEKV7xTY/default.jpg","120","90","https://i.ytimg.com/vi/f3sGEKV7xTY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/f3sGEKV7xTY/hqdefault.jpg","480","360","Puppies TV","none",2476,63,5,0,4,5,2019
"dd4SlApk-6c",2019-08-02,"UCKQo5ORhXZTs48SPk8tcAeQ","20 puppies born to local shelter dog","20 puppies born to local shelter dog.","https://i.ytimg.com/vi/dd4SlApk-6c/default.jpg","120","90","https://i.ytimg.com/vi/dd4SlApk-6c/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dd4SlApk-6c/hqdefault.jpg","480","360","KETKnbc","none",4630,18,0,0,0,8,2019
"bbx2-koR_I0",2019-05-05,"UCkEBDbzLyH-LbB2FgMoSMaQ","top 3 cutest puppy moments too cute","It's time to see the countdown of the 3 cutest puppies from Too Cute! Which breed would you vote for the number one spot? Stream Full Episodes of Too Cute: ...","https://i.ytimg.com/vi/bbx2-koR_I0/default.jpg","120","90","https://i.ytimg.com/vi/bbx2-koR_I0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/bbx2-koR_I0/hqdefault.jpg","480","360","Animal Planet","none",142252,2870,46,0,144,5,2019
"JJus9Edng2g",2017-02-13,"UCHoo5_Bk4j63tdI2b6L5AYA","25 cute kittens that will make your day better","Here are 25 cute kitten pictures that are sure to bring a smile to your face. Because - who doesn't love cute cats? I tried to pick some of the cutest kittens I could ...","https://i.ytimg.com/vi/JJus9Edng2g/default.jpg","120","90","https://i.ytimg.com/vi/JJus9Edng2g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/JJus9Edng2g/hqdefault.jpg","480","360","The Top 5er","none",7521,188,11,0,NA,2,2017
"x3wIFJHh32s",2017-11-16,"UCvCsQ6U7At8A_pLJyDmwBxg","samoyed dog giving birth to 12 puppies birth vlog","October 31, 2017 Lexi brought the cutest puppies into the world <U+2661> Don't forget to like this video OR comment down below for another puppy vlog! Thanks for ...","https://i.ytimg.com/vi/x3wIFJHh32s/default.jpg","120","90","https://i.ytimg.com/vi/x3wIFJHh32s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/x3wIFJHh32s/hqdefault.jpg","480","360","Courtney Marmo","none",3898652,46522,2993,0,5281,11,2017
"G13vfqf_dME",2019-05-18,"UCG8rbF3g2AMX70yOd8vqIZg","i bought the world 39 s biggest puppy","Join the movement. Be a Maverick <U+25BB> https://ShopLoganPaul.com/ Follower @GingerTheGiant on Instagram: https://www.instagram.com/gingerthegiant/ ...","https://i.ytimg.com/vi/G13vfqf_dME/default.jpg","120","90","https://i.ytimg.com/vi/G13vfqf_dME/mqdefault.jpg","320","180","https://i.ytimg.com/vi/G13vfqf_dME/hqdefault.jpg","480","360","Logan Paul","none",14022099,476044,18033,0,29734,5,2019
"HdZ_UfnzvRQ",2019-05-15,"UCAmhbG40GSFEJEa-6Yj8zAQ","cute puppies and babies playing together compilation 2019","Cute Puppies and Babies Playing Together Compilation 2019 Thanks For Watching ! Please Like Share & Comment If You Like This Video ! Subscribe CUTE ...","https://i.ytimg.com/vi/HdZ_UfnzvRQ/default.jpg","120","90","https://i.ytimg.com/vi/HdZ_UfnzvRQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HdZ_UfnzvRQ/hqdefault.jpg","480","360","Cute Babies and Pets TV","none",4511039,18827,7813,0,NA,5,2019
"A5fvBzwKLxo",2017-09-21,"UCW-urTEVvu3KZ7ciZdYXR4g","top 10 cute puppy breeds","TOP 10 CUTE PUPPY DOG BREEDS VIDEOS 2017 Down in the dumps? Not for long! Just one look at our Top 10 cute puppy breeds and you won't be able to ...","https://i.ytimg.com/vi/A5fvBzwKLxo/default.jpg","120","90","https://i.ytimg.com/vi/A5fvBzwKLxo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/A5fvBzwKLxo/hqdefault.jpg","480","360","Amazing Channel Top10","none",1912174,11899,1619,0,964,9,2017
"11MRVlp28Ew",2017-04-01,"UCCreAfCtzPzNWASZHukiu2g","pregnant australian shepherd dog breeds giving birth to many cutes puppies","Video can use the content-based copyright law contains reasonable use fair use (https: //www.youtube.com/yt/copyright / ...) All issues policy violations, ...","https://i.ytimg.com/vi/11MRVlp28Ew/default.jpg","120","90","https://i.ytimg.com/vi/11MRVlp28Ew/mqdefault.jpg","320","180","https://i.ytimg.com/vi/11MRVlp28Ew/hqdefault.jpg","480","360","Story Animal Giving Birth","none",878380,4047,591,0,216,4,2017
