"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"BkD2nN5275c",2020-02-19,"UC09IvZwjpunzrdHH1EHok-w","<U+0001F923> funniest <U+0001F436> dogs and <U+0001F63B> cats awesome funny pet animals videos","Enjoy new funniest and very cute compilation of the week about try not laugh funny animals' life video. But some cats in this video will actually surprise you!","https://i.ytimg.com/vi/BkD2nN5275c/default.jpg","120","90","https://i.ytimg.com/vi/BkD2nN5275c/mqdefault.jpg","320","180","https://i.ytimg.com/vi/BkD2nN5275c/hqdefault.jpg","480","360","Funny Animals' Life","none",16162433,177841,9469,0,5500,2,2020
"F4K1mMDlsj0",2017-09-04,"UCweOkPb1wVVH0Q0Tlj4a5Pw","mv 10cm pet","[MV] 10cm _ pet *English subtitles are now available. (Please click on 'CC' button or activate 'Interactive Transcript' function) [Notice] 1theK YouTube is also an ...","https://i.ytimg.com/vi/F4K1mMDlsj0/default.jpg","120","90","https://i.ytimg.com/vi/F4K1mMDlsj0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/F4K1mMDlsj0/hqdefault.jpg","480","360","1theK (<U+C6D0><U+B354><U+CF00><U+C774>)","none",5846420,148600,832,0,5779,9,2017
"QynVVUP54WI",2019-10-13,"UCWwqHwqLSrdWMgp5DZG5Dzg","how to sneak pets into class 8 funny pet pranks and hacks","Subscribe Here: https://www.youtube.com/channel/UCWwqHwqLSrdWMgp5DZG5Dzg?sub_confirmation=1 19 Creative Photo Tricks! Scary Halloween Photo ...","https://i.ytimg.com/vi/QynVVUP54WI/default.jpg","120","90","https://i.ytimg.com/vi/QynVVUP54WI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/QynVVUP54WI/hqdefault.jpg","480","360","Troom Troom","none",8882079,61461,7377,0,6099,10,2019
"TGN6KAjo_g8",2019-04-13,"UCA0MDADBWmCFro3SXR5mlSg","the secret life of pets 2 11 minutes clips trailers 2019","Watch the official trailer & clip compilation for The Secret Life of Pets 2, an animation movie starring Jenny Slate, Kevin Hart and Harrison Ford. In theaters June ...","https://i.ytimg.com/vi/TGN6KAjo_g8/default.jpg","120","90","https://i.ytimg.com/vi/TGN6KAjo_g8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/TGN6KAjo_g8/hqdefault.jpg","480","360","Entertainment Access","none",32243451,170206,17559,0,4810,4,2019
"DV4gbjDO0pE",2019-04-10,"UCkNMthZPrgH-uaeklZzUSiw","i bought my boyfriend his dream pet emotional","He was so surprised!!! <U+2661> SUBSCRIBE! http://bit.ly/IvanitaLomeli FOLLOW ME! INSTAGRAM: https://www.instagram.com/ivanitalomeli TWITTER: ...","https://i.ytimg.com/vi/DV4gbjDO0pE/default.jpg","120","90","https://i.ytimg.com/vi/DV4gbjDO0pE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DV4gbjDO0pE/hqdefault.jpg","480","360","Ivanita Lomeli","none",5769301,114572,3440,0,8058,4,2019
"_RLJYoPww7E",2020-01-09,"UCbaGn5VkOVlcRgIWAHcrJKA","match the pet to the owner lineup cut","We're making a Lineup game! Sign up for updates: http://bit.ly/lineup-game Sponsor this series: http://www.cut.com/sponsorship SUBSCRIBE: ...","https://i.ytimg.com/vi/_RLJYoPww7E/default.jpg","120","90","https://i.ytimg.com/vi/_RLJYoPww7E/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_RLJYoPww7E/hqdefault.jpg","480","360","Cut","none",6407119,178290,1628,0,9903,1,2020
"oU23xZ13ieg",2019-02-12,"UCvGgLvXM9g6ktj3T-W25KEQ","<U+0001F640> 10 most awesome and unusual petsut","What can be better than having a nice and loving pet? Of course, a cat or a dog is an endless source of high spirits and joy! But some people prefer keeping in ...","https://i.ytimg.com/vi/oU23xZ13ieg/default.jpg","120","90","https://i.ytimg.com/vi/oU23xZ13ieg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/oU23xZ13ieg/hqdefault.jpg","480","360","Awesome Animals","none",8692141,56779,2656,0,3803,2,2019
"40i7lA6Wfw4",2020-02-18,"UC295-Dw_tDNtZXFeAPAW6Aw","14 tricks every pet owner should know","Pet owner secrets that will change your life Animals are our little companions. Whether you have dogs, cats' fish or reptiles, I show you some amazing crafts you ...","https://i.ytimg.com/vi/40i7lA6Wfw4/default.jpg","120","90","https://i.ytimg.com/vi/40i7lA6Wfw4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/40i7lA6Wfw4/hqdefault.jpg","480","360","5-Minute Crafts","none",1499973,17547,1623,0,764,2,2020
"Kb6rxy_Lpx0",2018-09-10,"UC2etEuPIfohP4P53wM0KImA","22 cute pet hacks and crafts","DIY TOYS FOR YOUR PETS This time we prepared the cutest hacks possible because it's all about our favorite pets! We love our pets and care of them and ...","https://i.ytimg.com/vi/Kb6rxy_Lpx0/default.jpg","120","90","https://i.ytimg.com/vi/Kb6rxy_Lpx0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Kb6rxy_Lpx0/hqdefault.jpg","480","360","5-Minute Crafts GIRLY","none",4435074,52822,3077,0,2807,9,2018
"TmWhY_irAXE",2018-11-30,"UCAUB8xZmHho16u6GKlnLhXA","pet","Provided to YouTube by Universal Music Group Pet · A Perfect Circle Thirteenth Step <U+2117> 2003 Virgin Records Released on: 2003-01-01 Associated Performer, ...","https://i.ytimg.com/vi/TmWhY_irAXE/default.jpg","120","90","https://i.ytimg.com/vi/TmWhY_irAXE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/TmWhY_irAXE/hqdefault.jpg","480","360","A Perfect Circle - Topic","none",793612,9946,705,0,98,11,2018
