"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"0PZzqQYvPwI",2019-12-17,"UCmAIxR82R7uVggBEAm56zkw","20 20 and 50 50 science and technology space technology satellite space probe orbit pslv gslv","visit full course at: https://synopsisias.in/ For queries related to the course mail us at synopsisias.in@gmail.com or 9620206040 ...","https://i.ytimg.com/vi/0PZzqQYvPwI/default.jpg","120","90","https://i.ytimg.com/vi/0PZzqQYvPwI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/0PZzqQYvPwI/hqdefault.jpg","480","360","Synopsis IAS - Synacademy","none",1436,63,0,0,20,12,2019
"a5lZ8SxFYfk",2019-12-01,"UCmAIxR82R7uVggBEAm56zkw","20 20 and 50 50 science and technology defense technology 3 surface fleet aircraft carrier","visit full course at: https://synopsisias.in/ For queries related to the course mail us at synopsisias.in@gmail.com or 9620206040 ...","https://i.ytimg.com/vi/a5lZ8SxFYfk/default.jpg","120","90","https://i.ytimg.com/vi/a5lZ8SxFYfk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/a5lZ8SxFYfk/hqdefault.jpg","480","360","Synopsis IAS - Synacademy","none",575,45,0,0,11,12,2019
"XvkEExdl-w4",2017-06-27,"UCeQEKFH31vvD-InkTGSvCrA","9 amazing magnet gadgets","Music: Monolith - https://open.spotify.com/track/2Dujp1sL96EJo2HNAlZoIq Music: The Last Sun - https://open.spotify.com/track/6xXwRWVWVtFQQ3FXUjSETj ...","https://i.ytimg.com/vi/XvkEExdl-w4/default.jpg","120","90","https://i.ytimg.com/vi/XvkEExdl-w4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XvkEExdl-w4/hqdefault.jpg","480","360","brusspup","none",27815738,210690,12453,0,4413,6,2017
"2pLsq-jKqkU",2019-12-05,"UCmAIxR82R7uVggBEAm56zkw","20 20 and 50 50 science and technology defense technology mtcr wassenaar nsg npt etc","visit full course at: https://synopsisias.in/ For queries related to the course mail us at synopsisias.in@gmail.com or 9620206040 ...","https://i.ytimg.com/vi/2pLsq-jKqkU/default.jpg","120","90","https://i.ytimg.com/vi/2pLsq-jKqkU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2pLsq-jKqkU/hqdefault.jpg","480","360","Synopsis IAS - Synacademy","none",716,43,0,0,10,12,2019
"PvInWsGrNrw",2019-11-15,"UCmAIxR82R7uVggBEAm56zkw","science and technology defense technology part 1 internal security upsc ias 20 20 and 50 50","visit full course at: https://synopsisias.in/ For queries related to the course mail us at synopsisias.in@gmail.com or 9620206040 #Science&Technology.","https://i.ytimg.com/vi/PvInWsGrNrw/default.jpg","120","90","https://i.ytimg.com/vi/PvInWsGrNrw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PvInWsGrNrw/hqdefault.jpg","480","360","Synopsis IAS - Synacademy","none",2662,120,1,0,32,11,2019
"K2Bwmdl61Sw",2018-01-04,"UCZYTClx2T1of7BRZ86-8fow","egyptian blue how an ancient pigment could save lives","The world's first artificial pigment, Egyptian blue, may help scientists prevent forgery and even save lives. We're conducting a survey of our viewers! If you have ...","https://i.ytimg.com/vi/K2Bwmdl61Sw/default.jpg","120","90","https://i.ytimg.com/vi/K2Bwmdl61Sw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/K2Bwmdl61Sw/hqdefault.jpg","480","360","SciShow","none",244311,10173,72,0,328,1,2018
"Eja-shQOEew",2019-11-17,"UCmAIxR82R7uVggBEAm56zkw","20 20 and 50 50 science and technology defense technology 2 submarines internal security ias","visit full course at: https://synopsisias.in/ For queries related to the course mail us at synopsisias.in@gmail.com or 9620206040 ...","https://i.ytimg.com/vi/Eja-shQOEew/default.jpg","120","90","https://i.ytimg.com/vi/Eja-shQOEew/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Eja-shQOEew/hqdefault.jpg","480","360","Synopsis IAS - Synacademy","none",1835,75,0,0,12,11,2019
"rlmZ41nernA",2017-12-05,"UC2degRCen8AXcmQYbCCqoJw","top 3 amazing science technology","1. BMW Motorrad VISION NEXT 100 : All new – and yet the BMW Motorrad VISION NEXT 100 still captures elements from the BMW Motorrad timeline: black ...","https://i.ytimg.com/vi/rlmZ41nernA/default.jpg","120","90","https://i.ytimg.com/vi/rlmZ41nernA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rlmZ41nernA/hqdefault.jpg","480","360","Science Technology","none",739,21,1,0,3,12,2017
"4u6A40QTWVI",2017-04-28,"UC0rDDvHM7u_7aWgAojSXl1Q","you can melt metal in your hand liquid metal science experiments","Gallium metal melts at about 30ºC 86ºF so you can melt it in your hand or warm water, and pour it into molds. Great fun science experiment. Buy Gallium here ...","https://i.ytimg.com/vi/4u6A40QTWVI/default.jpg","120","90","https://i.ytimg.com/vi/4u6A40QTWVI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4u6A40QTWVI/hqdefault.jpg","480","360","DaveHax","none",15756740,61719,7283,0,5112,4,2017
"5bW1vuCgEaA",2016-09-21,"UCfK41aTB7_VI2DHTJy2l-yg","fastbrick robotics hadrian x digital construction system","21 Sep 2016 - Fastbrick Robotics Limited (ASX:FBR) is set to cause a revolution in the construction industry and our new animation showcases the Hadrian X ...","https://i.ytimg.com/vi/5bW1vuCgEaA/default.jpg","120","90","https://i.ytimg.com/vi/5bW1vuCgEaA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5bW1vuCgEaA/hqdefault.jpg","480","360","FBR","none",767492,3156,285,0,424,9,2016
