"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"1","PxJo6idz9J0","2019-04-22","UCS-pF5Wx7kPXQUdZXHj07FQ","20 brand new best kitchen gadgets in market 2019","These new gadgets from ""BestKitchenGadgets"" in 2019 that you can buy right now. These Gadgets are very useful and make your life more Easier. 20 Brand ...","https://i.ytimg.com/vi/PxJo6idz9J0/default.jpg",120,90,"https://i.ytimg.com/vi/PxJo6idz9J0/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/PxJo6idz9J0/hqdefault.jpg",480,360,"Best Kitchen Gadgets","none",1888864,9009,1161,0,156,4,2019
"2","1UHn6nMzEDo","2019-07-03","UC17Uwo5BkSTtGVbOkywJ7_Q","15 most useful gadgets under 25 on amazon","15 Most Useful Gadgets | Under 25$ on Amazon <U+2713>Subscribe:https://goo.gl/8yYYBq 2º Channel in Hindi(India)  https://bit.ly/2OOuWDV   ...","https://i.ytimg.com/vi/1UHn6nMzEDo/default.jpg",120,90,"https://i.ytimg.com/vi/1UHn6nMzEDo/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/1UHn6nMzEDo/hqdefault.jpg",480,360,"Future Tech","none",1213234,13754,1872,0,550,7,2019
"3","_kx_cLu9Cqc","2019-09-06","UC17Uwo5BkSTtGVbOkywJ7_Q","9 coolest latest gadgets you can buy online","9 Coolest Latest Gadgets | YOU CAN BUY ONLINE <U+2713>Subscribe:https://goo.gl/8yYYBq 2º Channel in Hindi(India)  https://bit.ly/2OOuWDV   ...","https://i.ytimg.com/vi/_kx_cLu9Cqc/default.jpg",120,90,"https://i.ytimg.com/vi/_kx_cLu9Cqc/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/_kx_cLu9Cqc/hqdefault.jpg",480,360,"Future Tech","none",498802,5093,550,0,105,9,2019
"4","G7INAdZz-20","2019-08-18","UC17Uwo5BkSTtGVbOkywJ7_Q","9 coolest latest gadgets you can buy online","9 Coolest Latest Gadgets | YOU CAN BUY ONLINE <U+2713>Subscribe:https://goo.gl/8yYYBq 2º Channel in Hindi(India)  https://bit.ly/2OOuWDV   ...","https://i.ytimg.com/vi/G7INAdZz-20/default.jpg",120,90,"https://i.ytimg.com/vi/G7INAdZz-20/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/G7INAdZz-20/hqdefault.jpg",480,360,"Future Tech","none",643522,8012,418,0,113,8,2019
"5","ManglTkjefA","2019-05-16","UChbXRhgaHHuyNUeCtCy5nEA","10 cool gadgets you need to see 2019 amazon","10 COOL GADGETS YOU NEED TO SEE 2019 AMAZON LINKS :1.Belkin Boost Up Wireless Charging Dock for iPhone + Apple Watch + USB-A Port (Wireless ...","https://i.ytimg.com/vi/ManglTkjefA/default.jpg",120,90,"https://i.ytimg.com/vi/ManglTkjefA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/ManglTkjefA/hqdefault.jpg",480,360,"techupdate","none",327303,1933,319,0,58,5,2019
"6","1uYA6pA48Ac","2019-01-22","UChbXRhgaHHuyNUeCtCy5nEA","10 cool gadgets you need to see 2019","10 COOL GADGETS YOU NEED TO SEE 2019 LINKS:1.PrintBrush™ XDR -Colors:https://printbrush.com/ 2.SuperSliders 4703295Z Multi-Surface 2-in-1 ...","https://i.ytimg.com/vi/1uYA6pA48Ac/default.jpg",120,90,"https://i.ytimg.com/vi/1uYA6pA48Ac/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/1uYA6pA48Ac/hqdefault.jpg",480,360,"techupdate","none",840205,7807,853,0,154,1,2019
"7","Sx-0WwXVdwI","2019-09-11","UC17Uwo5BkSTtGVbOkywJ7_Q","10 new tech gadgets 2019 available on amazon","10 NEW Tech Gadgets 2019 | Available on AMAZON <U+2713>Subscribe:https://goo.gl/8yYYBq 2º Channel in Hindi(India)  https://bit.ly/2OOuWDV   ...","https://i.ytimg.com/vi/Sx-0WwXVdwI/default.jpg",120,90,"https://i.ytimg.com/vi/Sx-0WwXVdwI/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/Sx-0WwXVdwI/hqdefault.jpg",480,360,"Future Tech","none",566877,5064,592,0,144,9,2019
"8","7sKHCwtfxRs","2019-12-25","UCpF_oqDZhRaRU04Igka17LQ","20 super crazy cool products available on amazon amp online new gadget under rs100 rs500 rs1000 10k","Topics : 20 SUPER CRAZY COOL PRODUCTS AVAILABLE ON AMAZON & Online | NEW Gadget Under Rs100, Rs500,Rs1000,10K Gadgets Under Rs100, ...","https://i.ytimg.com/vi/7sKHCwtfxRs/default.jpg",120,90,"https://i.ytimg.com/vi/7sKHCwtfxRs/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/7sKHCwtfxRs/hqdefault.jpg",480,360,"New Tech Gadgets","none",962933,13462,1000,0,145,12,2019
"9","53kgC_MvgrA","2019-09-11","UCFUyy6LM16KiI-VdA6pMO0Q","top 5 best future gadgets and future technology coming in 2019 2020","Top 5 Best Future Gadgets And Future Technology Coming in 2019-2020 5. NOVA X - 1080P Mini Projector in the world. 4. Joyscube - Interactive Gaming ...","https://i.ytimg.com/vi/53kgC_MvgrA/default.jpg",120,90,"https://i.ytimg.com/vi/53kgC_MvgrA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/53kgC_MvgrA/hqdefault.jpg",480,360,"Futurist","none",47282,320,67,0,28,9,2019
"10","EjAJn5kNinw","2018-01-02","UC6H07z6zAwbHRl4Lbl0GSsw","10 cool gadgets you should buy","BRAIN TIME <U+25BB> https://goo.gl/tTWgH2 1. Magbulb https://www.kickstarter.com/projects/864631672/magbulb-worlds-first-magnetic-lightbulb-socket 2.","https://i.ytimg.com/vi/EjAJn5kNinw/default.jpg",120,90,"https://i.ytimg.com/vi/EjAJn5kNinw/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/EjAJn5kNinw/hqdefault.jpg",480,360,"TechZone","none",4352169,32740,2795,0,1313,1,2018
