channel,section,playlist,video,link,time,views,publication date,likes,dislikes,description
psivewri,no sections,Reviews & Unboxings,Gaming On The Cheapest Laptop Possible?,https://youtu.be/RlYAuZ4nT9w,4:25,1816690, jaan 2018,23 435,1174,"Of course you can buy a cheap and decent second hand laptop. But can you game on one of the cheapest / low end HP laptops ever made? Let's find out.► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087► Subscribe for more! https://goo.gl/hfDQ9K ► If you’ve enjoyed feel free to leave a like :D► Follow Me :) https://twitter.com/NathanPSIMusic used:""Miami Viceroy""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
psivewri,no sections,Reviews & Unboxings,Should You Buy an Old Alienware Laptop?,https://youtu.be/M4V4h5ux6pg,4:14,1042997, okt 2017,15 861,457,"Old Alienware laptops are getting pretty cheap. So, should you buy one? With decent graphics, performance and build quality is it worth purchasing an old one cheap? Let's find out :)► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087The unit I took a look at was a Dell Alienware M17x R4, i7-3630QM, 16GB DDR3 1,600MHz, ATI Radeon 7970M 2GB, 17.3"" 1920x1080, 1x 1TB SSHD, 32GB M.Sata SSD, 500GB 5,400RPM HDD.► Subscribe for more! https://goo.gl/hfDQ9K ► If you’ve enjoyed feel free to leave a like :D► Follow Me :) https://twitter.com/NathanPSI""Killing Time""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b...► Should you buy an old Alienware Laptop? https://youtu.be/M4V4h5ux6pg"
psivewri,no sections,Reviews & Unboxings,I Bought This $13 Laptop From eBay...,https://youtu.be/BFgUkC_gUj0,7:09,893449, aug 2018,14 242,550,"I'm back! Today we are looking at this $13 NEC Versa LX laptop I bought off of eBay for $13. It's old, very rough around the edges but it surprisingly works! Join me on my journey to discover just how capable a laptop from 1999 is :)► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087*Side note, some scenes in this video were shot many months ago (before my channel was demonetized). I have tried to match all the new footage in with the old. Hope you all enjoy, many more videos to come!Specifications:NEC Versa LX333MHz Pentium II CPU128MB of PC100 SD Ram5GB Hard disk8MB ATI RAGE LT Pro Graphics14.1"" Display 1024x768Music used:""Your Call""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b...#Psivewri #Laptop"
psivewri,no sections,Reviews & Unboxings,I Bought A 25 Year Old Laptop From eBay! Can We Fix It?,https://youtu.be/a8CUX8WbN10,7:57,842216,mai 2019,21 167,643,"I bought 1994 IBM Thinkpad 360Cs off of eBay for $21.50 plus postage ;) It was sold as not working. Can we fix it? Let's find out!► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087► Subscribe for more! https://goo.gl/hfDQ9K ► If you’ve enjoyed feel free to leave a like :D► Follow me on Twitter and Instagram for updates and information :)Twitter 🐦 https://twitter.com/NathanPSIInstagram 📸 https://www.instagram.com/nathan_sive...Full Specifications:Intel i486SX 33MHz 4MB of Ram164MB Hard DiskMusic Used:""Lobby Time""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
psivewri,no sections,Reviews & Unboxings,What can you do with a $10 LAPTOP?,https://youtu.be/TZgdlrxncbo,4:46,722740, märts 2017,9823,448,"Can you game? Can you browse the web? Watch YouTube? I scored this ancient Toshiba Tecra M5 laptop for $10 on Gumtree. Let's see what we can do with it.► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087► Subscribe for more! https://goo.gl/hfDQ9K ► If you’ve enjoyed feel free to leave a like :D► Follow Me :) https://twitter.com/NathanPSIMusic Used:""Digital Lemonade""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
psivewri,no sections,Reviews & Unboxings,Using Apple's G4 Cube!,https://youtu.be/cQFGk3FJOno,8:43,645457,aug 2019,16 150,485,"Recently I bought an Apple Power Mac G4 Cube off of eBay, complete with cinema display, speakers, mouse and keyboard. Let's see if it survived shipping and what it's capable of in 2019. Enjoy :) #Apple #G4 #Cube► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087► Follow me on Social MediaTwitter 🐦 https://twitter.com/NathanPSIInstagram 📸 https://www.instagram.com/nathan_sive...► Subscribe for more! https://goo.gl/hfDQ9K ► If you’ve enjoyed feel free to leave a like :DThe G4 Cubes Specifications:PowerPC G4 7400 450MHz CPU640MB PC100 Ram (Originally 64MB)160GB 7,200RPM Seagate IDE HDD (Originally 20GB)ATI Rage 128 Pro 16MB Graphics5X DVD-ROMMusic Used:""Jellyfish in Space""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
psivewri,no sections,Reviews & Unboxings,I Found A 27” Apple iMac In A Bin! Does It Work?,https://youtu.be/QT8OBJwNH4s,7:12,586195, märts 2019,12 929,745,"I found this Apple 27"" mid-2011 iMac being thrown out. Does it work? Let's find out :)► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087► Subscribe for more! https://goo.gl/hfDQ9K ► If you’ve enjoyed feel free to leave a like :D► Follow me on Twitter and Instagram for updates and information :)Twitter 🐦 https://twitter.com/NathanPSIInstagram 📸 https://www.instagram.com/nathan_sive...Full system specs:Apple 27"" 2560x1440 Mid-2011 iMac 12,2Intel Core i5-2400 3.1GHz1GB Radeon HD 6970m Graphics4GB DDR3 1,333MHz Ram (before upgrade)Music used:""Lobby Time""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
psivewri,no sections,Reviews & Unboxings,Is a $50 Apple Mac Mini Still Good?,https://youtu.be/eTcinzdspEU,2:35,563829, aug 2017,7665,418,"Yesterday I picked up this 2009 Apple Mac Mini for $50. Is it still usable? Can it run games? Let's find out :) *Note* Since I'm working heaps these days uploads won't be as frequent, maybe one video a week.► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087► Subscribe for more! https://goo.gl/hfDQ9K ► If you’ve enjoyed feel free to leave a like :D► Follow Me :) https://twitter.com/NathanPSI► Is a $50 Mac Mini Still good? https://youtu.be/eTcinzdspEU""Jerry Five""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
psivewri,no sections,Reviews & Unboxings,$25 Apple Macbook From eBay... Gets Restored!,https://youtu.be/yksdQylgGm4,10:59,511758,nov 2019,9395,350,"Recently I bought a unibody Apple Macbook for $25 off of eBay. It was sold as 'parts or repair' so let's see if we can fix it up :) #Apple #MacBook #Restoration ► Follow me on Social MediaTwitter 🐦 https://twitter.com/NathanPSIInstagram 📸 https://www.instagram.com/nathan_sive...► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087The Macbook's Specs:2.0GHz Intel Core 2 Duo P73504GB DDR3 1,066MHz Ram160GB 5,400RPM Hard disk (Before SSD upgrade)256MB Nvidia 9400m Graphics13.3"" LED-backlit TFT display 1280x8008X DL SuperdriveMusic Used:""Lobby Time""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
psivewri,no sections,Reviews & Unboxings,Using An Old Windows ME PC! Big Mistake?,https://youtu.be/i8Y6Dmw16ng,13:50,455421, sept 2019,10 838,406,"Let's try gaming and refurbishing this ancient Windows ME computer tower :) Does it still work after sitting around for many years? Let's find out :) #retro #WindowsME #Gaming► Follow me on Social MediaTwitter 🐦 https://twitter.com/NathanPSIInstagram 📸 https://www.instagram.com/nathan_sive...► Send me stuff here!Nathan SivewrightParcel Collect 10045 46100Shop 3, 50 O.G RoadKLEMZIG SA 5087System Specifications:233MHz AMD K6-2 Socket 7 CPU128MB 133MHz SD-RAM3.2GB Seagate Hard Disk8MB 3DFX VooDoo II 3D Accelerator 4MB S3 Virge DX Graphics CardMusic Used:""George Street Shuffle""Kevin MacLeod (incompetech.com)Licensed under Creative Commons: By Attribution 3.0http://creativecommons.org/licenses/b..."
