video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,month,year
7sExF5B4G-U,2014-05-10,UC7DpParfqYQEbFGt5eTX5pQ,trey songz smartphones official music video,TRIGGA Reloaded Available Now! Download: http://smarturl.it/TRIGGAreloaded iTunes: http://smarturl.it/RELOADEDitunes Google Play: ...,https://i.ytimg.com/vi/7sExF5B4G-U/default.jpg,120,90,https://i.ytimg.com/vi/7sExF5B4G-U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7sExF5B4G-U/hqdefault.jpg,480,360,Trey Songz,none,22501949,156591,6169,0,7759,5,2014
0pss7E6IF_8,2019-11-12,UCMiJRAwDNSNzuYeN2uWa0pA,top 20 best smartphones of 2019,"You've heard about the Samsung Galaxy Fold, Galaxy Note 10, Huawei Mate 30 Pro, OnePlus 7T...but which 2019 smartphones are the BEST overall? Here are ...",https://i.ytimg.com/vi/0pss7E6IF_8/default.jpg,120,90,https://i.ytimg.com/vi/0pss7E6IF_8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0pss7E6IF_8/hqdefault.jpg,480,360,Mrwhosetheboss,none,2524710,76415,2984,0,6866,11,2019
BlIBf26Cris,2019-12-12,UC18WQbNSfrqxlIjKeIW3bGQ,top 5 best smartphones to buy in early 2020,"Top 5 BEST Smartphones To Buy In 2020! In this video review, these are in my opinion some of the best phones in late 2019 going into 2020! This video is for all ...",https://i.ytimg.com/vi/BlIBf26Cris/default.jpg,120,90,https://i.ytimg.com/vi/BlIBf26Cris/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BlIBf26Cris/hqdefault.jpg,480,360,ASBYT,none,1058573,10830,970,0,1330,12,2019
4OnwUz-I2GI,2019-12-24,UCBJycsmduvYEL83R_U4JriQ,smartphone awards 2019,The best of smartphones in 2019! Show more for all links/phones Top Big Phones [0:51] Best Compact Phones [2:50] Best Cameras [4:53] Best Battery Life ...,https://i.ytimg.com/vi/4OnwUz-I2GI/default.jpg,120,90,https://i.ytimg.com/vi/4OnwUz-I2GI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4OnwUz-I2GI/hqdefault.jpg,480,360,Marques Brownlee,none,4798495,188455,6768,0,22933,12,2019
qHOlHLCRpak,2014-04-05,UCRefL7JBIzknPiFiy_JpVlw,trey songz smartphones lyrics,Thank you for watching!,https://i.ytimg.com/vi/qHOlHLCRpak/default.jpg,120,90,https://i.ytimg.com/vi/qHOlHLCRpak/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qHOlHLCRpak/hqdefault.jpg,480,360,Trey Songz,none,6564036,47214,1837,0,1284,4,2014
nEzgkRqkHFg,2019-12-21,UC4hQDT1yzyH0KeSKAPJqeMg,top 5 sulit smartphones 2019 mga pinakasulit ngayon,These are the top 5 best smartphones you will find for under PHP16k. Some of which you might not even know and have the best specs for the price. Xiaomi Mi ...,https://i.ytimg.com/vi/nEzgkRqkHFg/default.jpg,120,90,https://i.ytimg.com/vi/nEzgkRqkHFg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nEzgkRqkHFg/hqdefault.jpg,480,360,Unbox Diaries,none,392541,12262,439,0,13986,12,2019
LCGnT3iQdMQ,2017-10-26,UCHfTDXwTz92RoLa6Jgjkctg,7 most beautiful smartphone in the world look like 7 wonders of the world,"Please watch: ""Recently launched high end Smartphone 2018 Top 5"" https://www.youtube.com/watch?v=KQMS-4CU04o --~-- Hello, Friend's Here Is List of Top ...",https://i.ytimg.com/vi/LCGnT3iQdMQ/default.jpg,120,90,https://i.ytimg.com/vi/LCGnT3iQdMQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/LCGnT3iQdMQ/hqdefault.jpg,480,360,All4 you,none,2681369,15393,2555,0,505,10,2017
RBaua5o0PVw,2019-11-17,UCIrrRLyFMVmmL9NDAU2obJA,top 5 best smartphones of 2019,Which 2019 Smartphones are the BEST? Here are my Top 5 smartphones for 2019! <U+25BB><U+25BB><U+25BB>SUBSCRIBE for more: ...,https://i.ytimg.com/vi/RBaua5o0PVw/default.jpg,120,90,https://i.ytimg.com/vi/RBaua5o0PVw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RBaua5o0PVw/hqdefault.jpg,480,360,SuperSaf,none,548818,13131,746,0,2296,11,2019
C1QC8NNODsw,2019-08-10,UCXGgrKt94gR6lmN4aN3mYTg,i 39 m over smartphones,The Samsung Galaxy Note 10+ 5G got me thinking about phones in 2019... Go subscribe to Jon Rettinger! https://www.youtube.com/user/jon4lakers The Galaxy ...,https://i.ytimg.com/vi/C1QC8NNODsw/default.jpg,120,90,https://i.ytimg.com/vi/C1QC8NNODsw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/C1QC8NNODsw/hqdefault.jpg,480,360,Austin Evans,none,729062,28893,1401,0,3679,8,2019
yn_MPRHSQo8,2019-12-14,UCswqv-OXePrufGSxIbE9_Jg,best budget smartphones in 2020 top 5 picks,Links to the budget smartphones we listed in this video: <U+25BB> 5. Xiaomi Redmi Note 7 - https://amzn.to/2RTKyYH <U+25BB> 4. Moto G7 - https://amzn.to/2LV4WVJ <U+25BB> 3.,https://i.ytimg.com/vi/yn_MPRHSQo8/default.jpg,120,90,https://i.ytimg.com/vi/yn_MPRHSQo8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yn_MPRHSQo8/hqdefault.jpg,480,360,10BestOnes,none,147947,1745,155,0,358,12,2019
RxHZTNquCL8,2019-06-19,UCUMZ7gohGI9HcU9VNsr2FJQ,why smartphones stopped being cool,"Smartphone sales are declining, and the pace of innovation is slowing. Manufacturers are scrambling to find new ways to conjure up excitement. Bloomberg ...",https://i.ytimg.com/vi/RxHZTNquCL8/default.jpg,120,90,https://i.ytimg.com/vi/RxHZTNquCL8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RxHZTNquCL8/hqdefault.jpg,480,360,Bloomberg,none,79494,1499,142,0,182,6,2019
vin2CjR7viI,2018-01-20,UC6H07z6zAwbHRl4Lbl0GSsw,10 most unusual and coolest smartphones,JELLY GUMMY BEAR <U+25BB> https://goo.gl/TmjSDa 1. CAT S60 https://www.catphones.com/shop/cat-s60-smartphone/ 2. Lumigon T3 https://lumigon.com 3. SONY ...,https://i.ytimg.com/vi/vin2CjR7viI/default.jpg,120,90,https://i.ytimg.com/vi/vin2CjR7viI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/vin2CjR7viI/hqdefault.jpg,480,360,TechZone,none,7146786,40034,5791,0,1332,1,2018
L_Shqjv7t2c,2019-06-12,UCMiJRAwDNSNzuYeN2uWa0pA,top 15 best smartphones of 2019 under 500,"You've heard about the Redmi K20 Pro, ASUS Zenfone 6, OnePlus 7, Samsung A70, Xiaomi Mi 9T and more...but which is my favourite? Subscribe for more ...",https://i.ytimg.com/vi/L_Shqjv7t2c/default.jpg,120,90,https://i.ytimg.com/vi/L_Shqjv7t2c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/L_Shqjv7t2c/hqdefault.jpg,480,360,Mrwhosetheboss,none,1366850,37328,1028,0,3400,6,2019
V6uYmm4yzEo,2019-07-01,UCX_NX_xlAngBU1K9yitx8aA,top 10 best budget full screen smartphones without notch in 2019 2020,Top 10 Best Budget Full screen smartphones without notch buy here: Get Coupon/Promo Code For most popular Store:http://bit.ly/2JbWaCU 1<U+25BB> Xiaomi Mi 9T ...,https://i.ytimg.com/vi/V6uYmm4yzEo/default.jpg,120,90,https://i.ytimg.com/vi/V6uYmm4yzEo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/V6uYmm4yzEo/hqdefault.jpg,480,360,Gadget 4 Deals,none,249998,2210,181,0,79,7,2019
l4h7U6SGOFw,2019-11-18,UC18WQbNSfrqxlIjKeIW3bGQ,top 7 best smartphones you never knew existed 2020,Cubot X20 Pro: http://bit.ly/2Qu8kdh * Xiaomi Mi 9T: https://www.banggood.com/custlink/DDmG67K0nv * Xiaomi Mi 9T Pro: http://bit.ly/2KyfQQJ * Samsung ...,https://i.ytimg.com/vi/l4h7U6SGOFw/default.jpg,120,90,https://i.ytimg.com/vi/l4h7U6SGOFw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/l4h7U6SGOFw/hqdefault.jpg,480,360,ASBYT,none,783606,12815,738,0,1198,11,2019
cpIEWsQpRMk,2018-12-19,UCBJycsmduvYEL83R_U4JriQ,smartphone awards 2018,The best of smartphones in 2018! Show more for all links/phones Top Big Phones [0:53] Best Compact Phones [2:33] Best Cameras [4:26] Best Battery Life ...,https://i.ytimg.com/vi/cpIEWsQpRMk/default.jpg,120,90,https://i.ytimg.com/vi/cpIEWsQpRMk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/cpIEWsQpRMk/hqdefault.jpg,480,360,Marques Brownlee,none,5827684,195564,6733,0,24538,12,2018
MiH1D2wsEx8,2019-09-17,UC57XAjJ04TY8gNxOWf-Sy0Q,life without smartphones how it was,DO WE SPEND TOO MUCH TIME WITH OUR GADGETS? These days we are so addicted to our smartphones so that it's even difficult to believe that a few years ...,https://i.ytimg.com/vi/MiH1D2wsEx8/default.jpg,120,90,https://i.ytimg.com/vi/MiH1D2wsEx8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/MiH1D2wsEx8/hqdefault.jpg,480,360,5-Minute Crafts PLAY,none,5691500,48698,3844,0,1055,9,2019
uyU5rdJcd8U,2019-02-23,UCrX0lGAJ3Q-fHiFsOb9hvHw,best latest released phones 2019 newest smartphones,"February 2019 is an exciting time for new phones. With MWC (Mobile World Congress) about to start, many manufacturers will be announcing their latest ...",https://i.ytimg.com/vi/uyU5rdJcd8U/default.jpg,120,90,https://i.ytimg.com/vi/uyU5rdJcd8U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/uyU5rdJcd8U/hqdefault.jpg,480,360,Tech Best,none,1033952,4969,724,0,285,2,2019
