"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"5HrFIVk7Q0k",2019-12-08,"UCKvn9VBLAiLiYL4FFJHri6g","giant slip n slide football <U+26BD><U+FE0F><U+0001F4A6> billy vs jezzA<U+7300>‡<U+6557><U+7720><U+6C69><U+206C><U+656B><U+7065><U+7420>","IT WAS FAR TOO COLD FOR THIS GIANT SLIP AND SLIDE CHALLENGE! <U+0001F976>   VOTE FOR YOUR POTW HERE: http://bit.ly/santanderpotw #ucl #ad ...","https://i.ytimg.com/vi/5HrFIVk7Q0k/default.jpg","120","90","https://i.ytimg.com/vi/5HrFIVk7Q0k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5HrFIVk7Q0k/hqdefault.jpg","480","360","F2Freestylers - Ultimate Soccer Skills Channel","none",4018077,88561,2785,0,9046,12,2019
"YPvtz1lHRiw",2019-12-29,"UCX7NrBIGUezEJxDK3vCZa7Q","the most genius plays in football","The most creative & smart plays in football. Featuring Lionel Messi, Cristiano Ronaldo, Kevin De Bruyne, Mesut Özil, Neymar Jr, Zlatan Ibrahimovic, Roberto ...","https://i.ytimg.com/vi/YPvtz1lHRiw/default.jpg","120","90","https://i.ytimg.com/vi/YPvtz1lHRiw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YPvtz1lHRiw/hqdefault.jpg","480","360","Score 90","none",3574444,26571,1311,0,608,12,2019
"z7xI58dFZjI",2019-04-25,"UCjrLVNjIdMwBDU22NqRMJ4A","best animated football ads ft messi amp ronaldo","Ads#Messi#Ronaldo.","https://i.ytimg.com/vi/z7xI58dFZjI/default.jpg","120","90","https://i.ytimg.com/vi/z7xI58dFZjI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/z7xI58dFZjI/hqdefault.jpg","480","360","FootVic","none",2728344,34421,1855,0,474,4,2019
"AUyOZAfnehM",2019-05-07,"UCy2WOudK6eTlvcFN9ik52-A","10 most funny penalty kicks in football","10 MOST FUNNY PENALTY KICKS IN FOOTBALL.","https://i.ytimg.com/vi/AUyOZAfnehM/default.jpg","120","90","https://i.ytimg.com/vi/AUyOZAfnehM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AUyOZAfnehM/hqdefault.jpg","480","360","Trend Wave","none",59310743,202659,35894,0,2980,5,2019
"XxNwZoc7Mn0",2019-10-26,"UCO8qj5u80Ga7N_tP3BZWWhQ","top 10 real goal machines in football 2019","Home of Football <U+27A0> Top 10 Real Goal Machines In Football 2019 Cristiano Ronaldo doesn't stop scoring. After scoring the 700th goal of his career playing for ...","https://i.ytimg.com/vi/XxNwZoc7Mn0/default.jpg","120","90","https://i.ytimg.com/vi/XxNwZoc7Mn0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XxNwZoc7Mn0/hqdefault.jpg","480","360","Home of Football","none",439235,7561,359,0,387,10,2019
"nWpAaJ7egSg",2019-06-08,"UCVnYChvCKORfHUUrxZtCQjw","incredible natural phenomena in football history","INCREDIBLE NATURAL PHENOMENA IN FOOTBALL HISTORY.","https://i.ytimg.com/vi/nWpAaJ7egSg/default.jpg","120","90","https://i.ytimg.com/vi/nWpAaJ7egSg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/nWpAaJ7egSg/hqdefault.jpg","480","360","CREATIVE","none",22718159,62166,14927,0,2682,6,2019
"2crwBKPnhvU",2019-10-02,"UCVnYChvCKORfHUUrxZtCQjw","10 football matches with crazy weather","10 FOOTBALL MATCHES WITH CRAZY WEATHER.","https://i.ytimg.com/vi/2crwBKPnhvU/default.jpg","120","90","https://i.ytimg.com/vi/2crwBKPnhvU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2crwBKPnhvU/hqdefault.jpg","480","360","CREATIVE","none",4733802,20446,2019,0,423,10,2019
"S3B7Bvidrjo",2019-06-13,"UCVnYChvCKORfHUUrxZtCQjw","10 most powerful goals in football","10 MOST POWERFUL GOALS IN FOOTBALL.","https://i.ytimg.com/vi/S3B7Bvidrjo/default.jpg","120","90","https://i.ytimg.com/vi/S3B7Bvidrjo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/S3B7Bvidrjo/hqdefault.jpg","480","360","CREATIVE","none",17302655,85223,19959,0,2658,6,2019
"YG31UsLOMpc",2019-12-26,"UClvgyQvIplPQU8N73vPlFUA","top 100 ridiculous goals in football 2019","TURN ON NOTIFICATIONS TO NEVER MISS AN UPLOAD!   Title: Top 100 Ridiculous Goals 2019 Check out my latest music upload: FOLLOW ME :D ...","https://i.ytimg.com/vi/YG31UsLOMpc/default.jpg","120","90","https://i.ytimg.com/vi/YG31UsLOMpc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YG31UsLOMpc/hqdefault.jpg","480","360","AshStudio7","none",1439086,9834,727,0,210,12,2019
"X8cGKluvk9I",2019-11-05,"UCHYhXiy8KYCuYgz3MvZrptQ","funny soccer football vines 2019 <U+25CF> goals l skills l fails 80","Funny Soccer Football Vines 2019 <U+25CB> Goals l Skills l Fails I created my instagram, follow me https://www.instagram.com/sim_mot7/ Production Music courtesy ...","https://i.ytimg.com/vi/X8cGKluvk9I/default.jpg","120","90","https://i.ytimg.com/vi/X8cGKluvk9I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/X8cGKluvk9I/hqdefault.jpg","480","360","Sim Mot","none",7476489,62757,3225,0,1229,11,2019
